date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,22.19,0.91,49.26,44.24,3.14,4.29,5.64,0,0.67,0,2.72,0,20.61,4.36,4.49,0.0,29.46,0,-2580.02,0,0.0
Feb 2016,10.45,0.43,47.61,42.35,3.14,4.3,5.64,0,0.32,0,2.63,0,9.71,4.21,4.49,0.0,18.41,0,-2582.26,0,-2.24000000000024
Mar 2016,41.69,1.7,103.7,91.65,3.14,4.3,5.65,0,1.26,0,5.73,0,38.72,9.18,4.49,0.0,52.39,0,-2584.96,0,-2.69999999999982
Apr 2016,1.13,0.05,85.77,74.43,4.04,4.99,5.7,0,0.03,0,4.74,0,1.05,7.59,4.75,1.59,14.99,0,-2583.61,0,1.34999999999991
May 2016,10.98,0.45,191.66,165.24,5.13,5.82,5.77,0,0.33,0,10.59,0,10.2,16.97,5.07,3.57,35.81,0,-2586.13,0,-2.51999999999998
Jun 2016,4.07,0.17,77.19,66.82,5.69,6.25,5.8,0,0.12,0,4.27,0,3.78,6.83,5.24,4.67,20.53,0,-2584.54,0,1.59000000000015
Jul 2016,139.2,5.69,92.6,85.73,4.86,5.62,5.76,0,4.21,0,5.12,0,129.3,8.2,5.0,4.42,146.91,0,-2590.62,0,-6.07999999999993
Aug 2016,148.62,6.08,110.84,101.8,4.57,5.4,5.74,0,4.5,0,6.13,0,138.04,9.81,4.92,3.78,156.55,0,-2591.47,0,-0.849999999999909
Sep 2016,122.61,5.01,72.86,68.27,4.35,5.23,5.73,0,3.71,0,4.03,0,113.89,6.45,4.85,3.03,128.22,0,-2590.36,0,1.10999999999967
Oct 2016,37.34,1.53,51.46,46.56,3.96,4.93,5.71,0,1.13,0,2.84,0,34.68,4.56,4.74,1.33,45.31,0,-2591.39,0,-1.02999999999975
Nov 2016,106.16,4.34,121.57,109.59,3.16,4.32,5.67,0,3.21,0,6.72,0,98.6,10.76,4.51,0.0,113.87,0,-2594.45,0,-3.05999999999995
Dec 2016,12.61,0.52,54.53,48.36,3.16,4.32,5.67,0,0.38,0,3.01,0,11.72,4.83,4.51,0.0,21.05,0,-2590.19,0,4.25999999999976
Jan 2017,72.79,2.98,102.26,91.69,3.16,4.32,5.67,0,2.2,0,5.65,0,67.61,9.05,4.51,0.0,81.17,0,-2592.46,0,-2.26999999999998
Feb 2017,58.44,2.39,82.36,74.07,3.16,4.32,5.67,0,1.77,0,4.55,0,54.29,7.29,4.51,0.0,66.09,0,-2590.27,0,2.19000000000005
Mar 2017,109.96,4.5,141.92,127.17,3.16,4.32,5.67,0,3.33,0,7.85,0,102.14,12.56,4.51,0.0,119.22,0,-2589.62,0,0.6500000000000911
Apr 2017,31.41,1.28,178.35,155.11,3.3,4.43,5.69,0,0.95,0,9.86,0,29.18,15.79,4.55,0.29,49.8,0,-2584.12,0,5.5
May 2017,40.38,1.65,234.01,202.76,4.93,5.68,5.79,0,1.22,0,12.94,0,37.51,20.71,5.04,3.52,66.78,0,-2579.28,0,4.839999999999691
Jun 2017,27.6,1.13,206.84,178.86,5.45,6.08,5.82,0,0.83,0,11.43,0,25.64,18.31,5.19,4.4,53.53,0,-2574.43,0,4.85000000000036
Jul 2017,141.12,5.77,166.52,149.12,4.83,5.6,5.78,0,4.27,0,9.21,0,131.08,14.74,5.01,4.3,155.13,0,-2572.38,0,2.04999999999973
Aug 2017,132.68,5.43,177.63,158.32,4.72,5.52,5.78,0,4.01,0,9.82,0,123.24,15.72,4.98,3.87,147.81,0,-2568.99,0,3.39000000000033
Sep 2017,89.78,3.67,102.85,92.56,4.58,5.42,5.77,0,2.72,0,5.69,0,83.39,9.1,4.94,3.04,100.47,0,-2564.81,0,4.17999999999984
