date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,3.18,0.13,25.63,23.24,3.17,4.34,5.69,0,0.1,0,1.42,0,2.95,2.27,4.52,0.0,9.75,0,-2579.98,0,0.0
Feb 2016,55.84,2.28,70.67,63.96,3.17,4.34,5.69,0,1.69,0,3.91,0,51.87,6.26,4.53,0.0,62.65,0,-2584.15,0,-4.17000000000007
Mar 2016,10.1,0.41,37.64,33.8,3.18,4.34,5.69,0,0.31,0,2.08,0,9.38,3.33,4.53,0.0,17.24,0,-2584.24,0,-0.0899999999996908
Apr 2016,37.8,1.55,60.6,54.47,3.73,4.77,5.73,0,1.14,0,3.35,0,35.12,5.36,4.69,0.9,46.07,0,-2587.55,0,-3.3100000000003997
May 2016,3.7,0.15,41.74,36.39,6.03,6.53,5.87,0,0.11,0,2.31,0,3.44,3.69,5.37,3.85,16.35,0,-2589.68,0,-2.12999999999965
Jun 2016,54.22,2.22,43.7,40.11,6.15,6.62,5.88,0,1.64,0,2.42,0,50.36,3.87,5.41,4.73,64.36,0,-2596.99,0,-7.30999999999995
Jul 2016,142.48,5.83,72.31,68.38,5.43,6.07,5.84,0,4.31,0,4.0,0,132.35,6.4,5.2,4.39,148.33,0,-2603.54,0,-6.55000000000018
Aug 2016,146.85,6.01,82.21,77.12,5.06,5.79,5.82,0,4.44,0,4.54,0,136.4,7.28,5.09,3.73,152.5,0,-2605.46,0,-1.92000000000007
Sep 2016,181.39,7.42,82.05,78.58,4.28,5.19,5.78,0,5.49,0,4.54,0,168.49,7.26,4.86,2.93,183.54,0,-2606.02,0,-0.559999999999945
Oct 2016,17.1,0.7,20.56,19.17,4.5,5.36,5.79,0,0.52,0,1.14,0,15.88,1.82,4.93,1.46,24.09,0,-2604.7,0,1.32000000000016
