date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,3.18,0.13,27.46,25.28,4.76,6.4,8.08,0,0.1,0,1.52,0,2.95,2.43,6.43,0.0,11.82,0,-2676.97,0,0.0
Feb 2016,55.84,2.28,72.5,66.0,4.76,6.4,8.08,0,1.69,0,4.01,0,51.87,6.42,6.44,0.0,64.72,0,-2683.43,0,-6.460000000000041
Mar 2016,10.1,0.41,39.44,35.82,4.76,6.41,8.09,0,0.31,0,2.18,0,9.38,3.49,6.44,0.0,19.31,0,-2685.81,0,-2.38000000000011
Apr 2016,37.8,1.55,62.29,56.42,5.18,6.73,8.11,0,1.14,0,3.44,0,35.12,5.51,6.57,0.9,48.1,0,-2691.41,0,-5.599999999999911
May 2016,3.7,0.15,38.27,34.06,6.91,8.05,8.22,0,0.11,0,2.12,0,3.44,3.39,7.08,3.85,17.75,0,-2695.84,0,-4.43000000000029
Jun 2016,54.22,2.22,41.31,38.71,7.0,8.12,8.23,0,1.64,0,2.28,0,50.36,3.66,7.11,4.73,65.85,0,-2705.68,0,-9.839999999999689
Jul 2016,142.48,5.83,75.66,71.86,6.46,7.71,8.2,0,4.31,0,4.18,0,132.35,6.7,6.95,4.39,150.39,0,-2714.72,0,-9.03999999999996
Aug 2016,146.85,6.01,85.77,80.76,6.19,7.51,8.19,0,4.44,0,4.74,0,136.4,7.59,6.87,3.73,154.6,0,-2718.82,0,-4.10000000000036
Sep 2016,181.39,7.42,84.57,81.28,5.6,7.06,8.16,0,5.49,0,4.67,0,168.49,7.49,6.7,2.93,185.6,0,-2721.56,0,-2.73999999999978
Oct 2016,17.1,0.7,23.75,22.45,5.77,7.19,8.18,0,0.52,0,1.31,0,15.88,2.1,6.76,1.46,26.2,0,-2722.48,0,-0.920000000000073
Nov 2016,15.95,0.65,38.3,35.09,4.79,6.44,8.12,0,0.48,0,2.12,0,14.81,3.39,6.47,0.0,24.67,0,-2730.29,0,-7.80999999999995
