date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,30.41,1.24,74.41,66.12,3.17,4.34,5.69,0,0.92,0,4.11,0,28.25,6.59,4.52,0.0,39.36,0,-2579.81,0,0.0
Feb 2016,35.12,1.44,55.94,50.49,3.17,4.34,5.69,0,1.06,0,3.09,0,32.62,4.95,4.53,0.0,42.1,0,-2580.47,0,-0.6599999999998539
Mar 2016,20.54,0.84,91.75,80.56,3.18,4.34,5.69,0,0.62,0,5.07,0,19.08,8.12,4.53,0.0,31.73,0,-2582.0,0,-1.5300000000001999
Apr 2016,13.86,0.57,173.35,149.93,4.15,5.08,5.75,0,0.42,0,9.58,0,12.88,15.34,4.81,1.09,34.13,0,-2582.0,0,0.0
May 2016,0.69,0.03,192.42,165.09,6.83,7.14,5.92,0,0.02,0,10.64,0,0.64,17.03,5.6,3.94,27.21,0,-2578.85,0,3.15000000000009
Jun 2016,24.63,1.01,95.77,83.23,7.21,7.44,5.94,0,0.74,0,5.29,0,22.88,8.48,5.72,4.73,41.8,0,-2578.04,0,0.809999999999945
Jul 2016,70.45,2.88,68.07,61.44,7.0,7.27,5.93,0,2.13,0,3.76,0,65.44,6.03,5.66,4.8,81.92,0,-2582.67,0,-4.63000000000011
Aug 2016,119.86,4.9,91.8,84.02,5.97,6.49,5.88,0,3.63,0,5.07,0,111.33,8.13,5.36,3.99,128.8,0,-2587.51,0,-4.84000000000015
Sep 2016,133.73,5.47,86.51,80.27,5.06,5.79,5.82,0,4.05,0,4.78,0,124.22,7.66,5.09,3.01,139.98,0,-2588.67,0,-1.15999999999985
Oct 2016,154.34,6.31,74.81,71.49,3.4,4.52,5.73,0,4.67,0,4.14,0,143.36,6.62,4.61,0.9,155.49,0,-2588.67,0,0.0
Nov 2016,50.11,2.05,97.27,86.5,3.19,4.36,5.72,0,1.52,0,5.38,0,46.54,8.61,4.55,0.0,59.7,0,-2586.49,0,2.18000000000029
Dec 2016,50.36,2.06,83.55,74.76,3.19,4.36,5.72,0,1.52,0,4.62,0,46.78,7.4,4.55,0.0,58.72,0,-2585.32,0,1.1699999999996202
Jan 2017,75.04,3.07,84.3,76.42,3.2,4.37,5.72,0,2.27,0,4.66,0,69.7,7.46,4.55,0.0,81.72,0,-2584.9,0,0.42000000000007304
Feb 2017,34.18,1.4,70.15,62.63,3.2,4.37,5.73,0,1.03,0,3.88,0,31.75,6.21,4.56,0.0,42.52,0,-2583.69,0,1.2100000000000402
Mar 2017,125.07,5.11,135.11,121.97,3.2,4.37,5.73,0,3.78,0,7.47,0,116.18,11.96,4.56,0.0,132.69,0,-2584.5,0,-0.809999999999945
Apr 2017,154.08,6.3,185.85,166.58,3.27,4.42,5.74,0,4.66,0,10.27,0,143.11,16.45,4.58,0.45,164.59,0,-2578.98,0,5.519999999999981
May 2017,9.63,0.39,193.78,166.72,6.46,6.87,5.93,0,0.29,0,10.71,0,8.95,17.15,5.52,3.47,35.09,0,-2570.23,0,8.75
Jun 2017,67.03,2.74,176.65,154.35,6.67,7.03,5.95,0,2.03,0,9.77,0,62.26,15.64,5.58,4.56,88.04,0,-2568.63,0,1.59999999999991
Jul 2017,77.36,3.16,105.87,94.14,6.79,7.13,5.96,0,2.34,0,5.85,0,71.86,9.37,5.62,4.56,91.41,0,-2567.34,0,1.2899999999999598
Aug 2017,131.12,5.36,149.42,133.86,5.8,6.37,5.9,0,3.97,0,8.26,0,121.79,13.23,5.33,3.86,144.21,0,-2569.66,0,-2.31999999999971
Sep 2017,70.16,2.87,135.75,119.68,5.79,6.36,5.9,0,2.12,0,7.5,0,65.17,12.02,5.33,3.06,85.58,0,-2567.2,0,2.46000000000004
Oct 2017,27.59,1.13,97.86,85.8,4.49,5.37,5.83,0,0.83,0,5.41,0,25.63,8.66,4.95,1.2,40.45,0,-2566.54,0,0.6599999999998539
Nov 2017,26.11,1.07,86.48,76.29,3.22,4.39,5.76,0,0.79,0,4.78,0,24.25,7.66,4.58,0.0,36.48,0,-2567.32,0,-0.7800000000002
Dec 2017,2.96,0.12,59.54,52.28,3.22,4.4,5.76,0,0.09,0,3.29,0,2.75,5.27,4.58,0.0,12.6,0,-2567.51,0,-0.19000000000005499
Jan 2018,11.21,0.46,46.09,41.09,3.22,4.4,5.76,0,0.34,0,2.55,0,10.41,4.08,4.58,0.0,19.07,0,-2569.88,0,-2.36999999999989
Feb 2018,21.51,0.88,61.17,54.43,3.22,4.4,5.76,0,0.65,0,3.38,0,19.98,5.41,4.58,0.0,29.98,0,-2572.76,0,-2.8800000000001096
Mar 2018,31.11,1.27,132.77,116.13,3.23,4.4,5.77,0,0.94,0,7.34,0,28.9,11.75,4.59,0.0,45.24,0,-2574.49,0,-1.7299999999995601
Apr 2018,33.22,1.36,233.47,202.19,4.29,5.22,5.83,0,1.0,0,12.91,0,30.85,20.67,4.9,1.33,57.75,0,-2571.97,0,2.51999999999998
May 2018,8.6,0.35,232.08,199.41,6.79,7.14,5.99,0,0.26,0,12.83,0,7.99,20.54,5.64,3.94,38.11,0,-2565.23,0,6.739999999999781
Jun 2018,75.14,3.07,225.42,196.46,6.65,7.03,5.98,0,2.27,0,12.46,0,69.8,19.95,5.6,4.63,99.98,0,-2562.06,0,3.1700000000000697
Jul 2018,54.21,2.22,104.89,92.28,7.18,7.44,6.02,0,1.64,0,5.8,0,50.35,9.28,5.76,4.74,70.14,0,-2557.93,0,4.13000000000011
Aug 2018,166.34,6.8,151.25,136.95,5.55,6.19,5.92,0,5.03,0,8.36,0,154.51,13.39,5.28,3.96,177.13,0,-2561.25,0,-3.32000000000016
Sep 2018,94.88,3.88,92.14,83.41,5.54,6.19,5.92,0,2.87,0,5.09,0,88.13,8.16,5.28,3.05,104.61,0,-2557.74,0,3.51000000000022
Oct 2018,0.0,0.0,42.23,36.96,4.89,5.69,5.89,0,0.0,0,2.33,0,0.0,3.74,5.09,1.35,10.18,0,-2558.74,0,-1.0
Nov 2018,13.08,0.53,56.61,50.18,3.24,4.43,5.79,0,0.4,0,3.13,0,12.15,5.01,4.61,0.0,21.77,0,-2563.64,0,-4.90000000000009
Dec 2018,20.84,0.85,61.88,55.01,3.24,4.43,5.8,0,0.63,0,3.42,0,19.35,5.48,4.61,0.0,29.44,0,-2565.91,0,-2.26999999999998
Jan 2019,3.67,0.15,39.82,35.43,3.25,4.43,5.8,0,0.11,0,2.2,0,3.41,3.52,4.61,0.0,11.54,0,-2567.65,0,-1.7400000000002398
Feb 2019,1.9,0.08,59.84,52.5,3.25,4.43,5.8,0,0.06,0,3.31,0,1.76,5.3,4.61,0.0,11.67,0,-2571.13,0,-3.4800000000000204
Mar 2019,11.91,0.49,104.55,91.18,3.25,4.44,5.8,0,0.36,0,5.78,0,11.06,9.25,4.62,0.0,24.94,0,-2573.57,0,-2.4400000000000497
Apr 2019,12.66,0.52,116.34,101.09,4.23,5.19,5.87,0,0.38,0,6.43,0,11.76,10.3,4.91,1.1,28.06,0,-2573.23,0,0.340000000000146
May 2019,3.5,0.14,146.22,125.68,6.88,7.22,6.03,0,0.11,0,8.08,0,3.25,12.94,5.69,3.96,25.84,0,-2573.38,0,-0.150000000000091
Jun 2019,57.52,2.35,53.95,48.86,6.97,7.29,6.04,0,1.74,0,2.98,0,53.43,4.78,5.71,4.8,68.71,0,-2575.18,0,-1.79999999999973
Jul 2019,95.8,3.92,70.87,64.98,6.73,7.1,6.02,0,2.9,0,3.92,0,88.98,6.27,5.64,4.68,105.58,0,-2581.28,0,-6.10000000000036
Aug 2019,104.7,4.28,95.01,86.11,6.26,6.75,6.0,0,3.17,0,5.25,0,97.25,8.41,5.51,4.06,115.23,0,-2585.17,0,-3.88999999999987
Sep 2019,68.25,2.79,64.62,58.67,5.99,6.54,5.99,0,2.06,0,3.57,0,63.4,5.72,5.43,3.24,77.79,0,-2586.81,0,-1.63999999999987
Oct 2019,12.66,0.52,30.41,27.28,5.25,5.98,5.94,0,0.38,0,1.68,0,11.76,2.69,5.22,1.74,21.41,0,-2590.4,0,-3.5900000000001495
Nov 2019,15.79,0.65,34.43,31.32,3.27,4.46,5.83,0,0.48,0,1.9,0,14.67,3.05,4.64,0.0,22.36,0,-2596.02,0,-5.619999999999889
Dec 2019,2.74,0.11,33.9,30.33,3.27,4.46,5.83,0,0.08,0,1.87,0,2.55,3.0,4.64,0.0,10.19,0,-2599.47,0,-3.44999999999982
Jan 2020,11.51,0.47,31.58,28.71,3.27,4.46,5.84,0,0.35,0,1.75,0,10.69,2.8,4.64,0.0,18.13,0,-2603.34,0,-3.87000000000035
Feb 2020,2.32,0.09,25.65,23.25,3.27,4.47,5.84,0,0.07,0,1.42,0,2.16,2.27,4.64,0.0,9.07,0,-2607.08,0,-3.73999999999978
Mar 2020,1.08,0.04,33.9,30.24,3.39,4.56,5.85,0,0.03,0,1.87,0,1.0,3.0,4.68,0.12,8.8,0,-2611.43,0,-4.34999999999991
Apr 2020,1.01,0.04,78.94,68.12,6.29,6.78,6.02,0,0.03,0,4.36,0,0.94,6.99,5.53,3.18,16.64,0,-2615.49,0,-4.05999999999995
May 2020,38.94,1.59,141.37,123.08,6.48,6.93,6.04,0,1.18,0,7.81,0,36.17,12.51,5.59,3.91,58.19,0,-2620.3,0,-4.8100000000004
Jun 2020,49.72,2.03,65.73,58.63,7.04,7.35,6.07,0,1.5,0,3.63,0,46.18,5.82,5.75,4.73,62.49,0,-2621.26,0,-0.9600000000000359
Jul 2020,122.85,5.02,80.47,74.37,6.46,6.91,6.04,0,3.72,0,4.45,0,114.11,7.12,5.59,4.67,131.49,0,-2626.93,0,-5.66999999999962
Aug 2020,110.29,4.51,61.07,57.31,6.23,6.74,6.03,0,3.34,0,3.38,0,102.44,5.41,5.52,4.08,117.45,0,-2629.47,0,-2.53999999999996
Sep 2020,245.24,10.03,131.09,123.25,4.2,5.18,5.91,0,7.42,0,7.25,0,227.79,11.6,4.93,2.99,247.31,0,-2632.87,0,-3.40000000000009
