date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,30.41,1.24,75.26,67.07,3.93,5.32,6.82,0,0.92,0,4.16,0,28.25,6.66,5.43,0.0,40.35,0,-2628.48,0,0.0
Feb 2016,35.12,1.44,56.79,51.45,3.93,5.32,6.83,0,1.06,0,3.14,0,32.62,5.03,5.43,0.0,43.09,0,-2630.22,0,-1.7399999999997802
Mar 2016,20.54,0.84,92.59,81.51,3.93,5.32,6.83,0,0.62,0,5.12,0,19.08,8.2,5.44,0.0,32.71,0,-2632.85,0,-2.63000000000011
Apr 2016,13.86,0.57,173.45,150.24,4.9,6.07,6.89,0,0.42,0,9.59,0,12.88,15.35,5.72,1.09,35.05,0,-2633.93,0,-1.0799999999999301
May 2016,0.69,0.03,192.52,165.4,7.58,8.12,7.05,0,0.02,0,10.64,0,0.64,17.04,6.51,3.94,28.13,0,-2631.91,0,2.01999999999998
Jun 2016,24.63,1.01,97.93,85.3,7.97,8.42,7.08,0,0.74,0,5.41,0,22.88,8.67,6.63,4.73,42.9,0,-2632.23,0,-0.320000000000164
Jul 2016,70.45,2.88,68.93,62.4,7.75,8.25,7.07,0,2.13,0,3.81,0,65.44,6.1,6.56,4.8,82.91,0,-2637.88,0,-5.650000000000089
Aug 2016,119.86,4.9,92.66,84.98,6.73,7.47,7.01,0,3.63,0,5.12,0,111.33,8.2,6.27,3.99,129.79,0,-2643.81,0,-5.92999999999984
Sep 2016,133.73,5.47,87.38,81.24,5.82,6.77,6.96,0,4.05,0,4.83,0,124.22,7.73,6.0,3.01,140.96,0,-2646.05,0,-2.24000000000024
Oct 2016,154.34,6.31,75.67,72.45,4.16,5.5,6.86,0,4.67,0,4.18,0,143.36,6.7,5.52,0.9,156.47,0,-2647.14,0,-1.0899999999996899
Nov 2016,50.11,2.05,98.14,87.47,3.95,5.34,6.85,0,1.52,0,5.43,0,46.54,8.69,5.46,0.0,60.69,0,-2646.05,0,1.0899999999996899
Dec 2016,50.36,2.06,81.64,73.36,3.95,5.35,6.86,0,1.52,0,4.51,0,46.78,7.23,5.46,0.0,59.46,0,-2645.96,0,0.0900000000001455
Jan 2017,75.04,3.07,85.17,77.39,3.95,5.35,6.86,0,2.27,0,4.71,0,69.7,7.54,5.46,0.0,82.7,0,-2646.78,0,-0.820000000000164
Feb 2017,34.18,1.4,63.87,57.48,3.95,5.35,6.86,0,1.03,0,3.53,0,31.75,5.65,5.46,0.0,42.87,0,-2646.66,0,0.12000000000034598
Mar 2017,125.07,5.11,142.97,128.93,3.95,5.35,6.87,0,3.78,0,7.9,0,116.18,12.66,5.47,0.0,134.3,0,-2648.96,0,-2.30000000000018
Apr 2017,154.08,6.3,186.66,167.5,4.02,5.41,6.87,0,4.66,0,10.32,0,143.11,16.52,5.49,0.45,165.57,0,-2644.14,0,4.82000000000016
May 2017,9.63,0.39,193.88,167.04,7.21,7.85,7.07,0,0.29,0,10.72,0,8.95,17.16,6.42,3.47,36.0,0,-2636.48,0,7.65999999999985
Jun 2017,67.03,2.74,178.15,155.86,7.42,8.01,7.08,0,2.03,0,9.85,0,62.26,15.77,6.49,4.56,89.08,0,-2636.0,0,0.48000000000001797
Jul 2017,77.36,3.16,106.72,95.1,7.55,8.11,7.09,0,2.34,0,5.9,0,71.86,9.45,6.53,4.56,92.4,0,-2635.77,0,0.230000000000018
Aug 2017,131.12,5.36,150.28,134.83,6.55,7.35,7.04,0,3.97,0,8.31,0,121.79,13.3,6.24,3.86,145.2,0,-2639.18,0,-3.4099999999998505
Sep 2017,70.16,2.87,136.6,120.63,6.54,7.34,7.04,0,2.12,0,7.55,0,65.17,12.09,6.24,3.06,86.56,0,-2637.8,0,1.3799999999996497
Oct 2017,27.59,1.13,98.72,86.75,5.24,6.35,6.96,0,0.83,0,5.46,0,25.63,8.74,5.86,1.2,41.43,0,-2638.23,0,-0.429999999999836
Nov 2017,26.11,1.07,87.35,77.26,3.97,5.37,6.89,0,0.79,0,4.83,0,24.25,7.73,5.49,0.0,37.47,0,-2640.1,0,-1.86999999999989
Dec 2017,2.96,0.12,57.46,50.72,3.97,5.38,6.89,0,0.09,0,3.18,0,2.75,5.09,5.49,0.0,13.32,0,-2641.37,0,-1.26999999999998
Jan 2018,11.21,0.46,46.95,42.06,3.97,5.38,6.9,0,0.34,0,2.6,0,10.41,4.16,5.49,0.0,20.06,0,-2645.0,0,-3.6300000000001096
Feb 2018,21.51,0.88,62.03,55.39,3.98,5.38,6.9,0,0.65,0,3.43,0,19.98,5.49,5.49,0.0,30.97,0,-2648.96,0,-3.96000000000004
Mar 2018,31.11,1.27,133.62,117.08,3.98,5.38,6.9,0,0.94,0,7.39,0,28.9,11.83,5.49,0.0,46.22,0,-2651.78,0,-2.82000000000016
Apr 2018,33.22,1.36,233.58,202.51,5.04,6.2,6.97,0,1.0,0,12.91,0,30.85,20.68,5.81,1.33,58.67,0,-2650.35,0,1.43000000000029
May 2018,8.6,0.35,232.18,199.72,7.54,8.12,7.12,0,0.26,0,12.84,0,7.99,20.55,6.54,3.94,39.03,0,-2644.73,0,5.619999999999889
Jun 2018,75.14,3.07,225.54,196.78,7.4,8.01,7.12,0,2.27,0,12.47,0,69.8,19.96,6.51,4.63,100.9,0,-2642.7,0,2.0300000000002
Jul 2018,54.21,2.22,107.9,95.09,7.94,8.42,7.15,0,1.64,0,5.97,0,50.35,9.55,6.66,4.74,71.31,0,-2639.7,0,3.0
Aug 2018,166.34,6.8,152.15,137.94,6.3,7.17,7.06,0,5.03,0,8.41,0,154.51,13.47,6.19,3.96,178.12,0,-2643.98,0,-4.2800000000002
Sep 2018,94.88,3.88,93.0,84.38,6.3,7.17,7.06,0,2.87,0,5.14,0,88.13,8.23,6.19,3.05,105.59,0,-2641.55,0,2.42999999999984
Oct 2018,0.0,0.0,43.06,37.89,5.64,6.67,7.02,0,0.0,0,2.38,0,0.0,3.81,6.0,1.35,11.16,0,-2643.64,0,-2.08999999999969
Nov 2018,13.08,0.53,57.47,51.15,3.99,5.41,6.93,0,0.4,0,3.18,0,12.15,5.09,5.51,0.0,22.75,0,-2649.63,0,-5.990000000000241
Dec 2018,20.84,0.85,59.45,53.16,4.0,5.41,6.93,0,0.63,0,3.29,0,19.35,5.26,5.52,0.0,30.13,0,-2652.98,0,-3.34999999999991
Jan 2019,3.67,0.15,40.68,36.39,4.0,5.41,6.93,0,0.11,0,2.25,0,3.41,3.6,5.52,0.0,12.53,0,-2655.99,0,-3.00999999999976
Feb 2019,1.9,0.08,60.7,53.46,4.0,5.41,6.94,0,0.06,0,3.36,0,1.76,5.37,5.52,0.0,12.66,0,-2660.57,0,-4.580000000000379
Mar 2019,11.91,0.49,105.39,92.14,4.0,5.42,6.94,0,0.36,0,5.83,0,11.06,9.33,5.52,0.0,25.92,0,-2664.09,0,-3.5199999999999796
Apr 2019,12.66,0.52,117.12,101.98,4.98,6.17,7.0,0,0.38,0,6.47,0,11.76,10.37,5.81,1.1,29.04,0,-2664.84,0,-0.75
May 2019,3.5,0.14,146.32,125.99,7.64,8.2,7.16,0,0.11,0,8.09,0,3.25,12.95,6.59,3.96,26.75,0,-2666.08,0,-1.2399999999997802
Jun 2019,57.52,2.35,55.44,50.37,7.72,8.27,7.17,0,1.74,0,3.06,0,53.43,4.91,6.62,4.8,69.75,0,-2669.0,0,-2.9200000000000697
Jul 2019,95.8,3.92,71.76,65.96,7.48,8.08,7.16,0,2.9,0,3.97,0,88.98,6.35,6.55,4.68,106.57,0,-2676.16,0,-7.15999999999985
Aug 2019,104.7,4.28,95.91,87.11,7.01,7.73,7.13,0,3.17,0,5.3,0,97.25,8.49,6.42,4.06,116.22,0,-2681.13,0,-4.970000000000249
Sep 2019,68.25,2.79,65.51,59.66,6.74,7.52,7.12,0,2.06,0,3.62,0,63.4,5.8,6.34,3.24,78.77,0,-2683.86,0,-2.7300000000000204
Oct 2019,12.66,0.52,31.25,28.23,6.0,6.96,7.08,0,0.38,0,1.73,0,11.76,2.77,6.12,1.74,22.39,0,-2688.53,0,-4.67000000000007
Nov 2019,15.79,0.65,35.29,32.28,4.02,5.44,6.96,0,0.48,0,1.95,0,14.67,3.12,5.54,0.0,23.34,0,-2695.24,0,-6.709999999999581
Dec 2019,2.74,0.11,31.11,28.17,4.02,5.44,6.97,0,0.08,0,1.72,0,2.55,2.75,5.55,0.0,10.85,0,-2699.77,0,-4.5300000000002
Jan 2020,11.51,0.47,32.45,29.68,4.02,5.44,6.97,0,0.35,0,1.79,0,10.69,2.87,5.55,0.0,19.11,0,-2704.93,0,-5.15999999999985
Feb 2020,2.32,0.09,26.51,24.21,4.03,5.44,6.97,0,0.07,0,1.47,0,2.16,2.35,5.55,0.0,10.05,0,-2709.76,0,-4.830000000000379
