date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,30.41,1.24,75.26,67.07,3.93,5.32,6.82,0,0.92,0,4.16,0,28.25,6.66,5.43,0.0,40.35,0,-2628.48,0,0.0
Feb 2016,35.12,1.44,56.79,51.45,3.93,5.32,6.83,0,1.06,0,3.14,0,32.62,5.03,5.43,0.0,43.09,0,-2630.22,0,-1.7399999999997802
Mar 2016,20.54,0.84,92.59,81.51,3.93,5.32,6.83,0,0.62,0,5.12,0,19.08,8.2,5.44,0.0,32.71,0,-2632.85,0,-2.63000000000011
Apr 2016,13.86,0.57,173.53,150.4,4.51,5.77,6.87,0,0.42,0,9.59,0,12.88,15.36,5.61,1.09,34.94,0,-2633.93,0,-1.0799999999999301
May 2016,0.69,0.03,196.43,169.09,6.12,7.0,6.97,0,0.02,0,10.86,0,0.64,17.39,6.08,3.94,28.05,0,-2631.88,0,2.04999999999973
Jun 2016,24.63,1.01,93.31,81.73,6.36,7.18,6.98,0,0.74,0,5.16,0,22.88,8.26,6.15,4.73,42.02,0,-2631.9,0,-0.0199999999999818
Jul 2016,70.45,2.88,65.96,60.22,6.23,7.08,6.98,0,2.13,0,3.65,0,65.44,5.84,6.12,4.8,82.2,0,-2637.71,0,-5.80999999999995
Aug 2016,119.86,4.9,104.01,94.96,5.61,6.62,6.94,0,3.63,0,5.75,0,111.33,9.21,5.94,3.99,130.46,0,-2643.71,0,-6.0
Sep 2016,133.73,5.47,90.47,84.06,5.07,6.2,6.91,0,4.05,0,5.0,0,124.22,8.01,5.78,3.01,141.02,0,-2645.26,0,-1.55000000000018
Oct 2016,154.34,6.31,75.6,72.41,4.07,5.44,6.86,0,4.67,0,4.18,0,143.36,6.69,5.49,0.9,156.44,0,-2646.13,0,-0.869999999999891
Nov 2016,50.11,2.05,98.05,87.4,3.95,5.34,6.85,0,1.52,0,5.42,0,46.54,8.68,5.46,0.0,60.68,0,-2645.04,0,1.09000000000015
Dec 2016,50.36,2.06,81.57,73.29,3.95,5.35,6.86,0,1.52,0,4.51,0,46.78,7.22,5.46,0.0,59.45,0,-2644.96,0,0.0799999999999272
Jan 2017,75.04,3.07,85.08,77.31,3.95,5.35,6.86,0,2.27,0,4.7,0,69.7,7.53,5.46,0.0,82.7,0,-2645.78,0,-0.820000000000164
Feb 2017,34.18,1.4,64.02,57.61,3.95,5.35,6.86,0,1.03,0,3.54,0,31.75,5.67,5.46,0.0,42.88,0,-2645.67,0,0.110000000000127
Mar 2017,125.07,5.11,143.02,128.97,3.95,5.35,6.87,0,3.78,0,7.91,0,116.18,12.66,5.47,0.0,134.3,0,-2647.95,0,-2.27999999999975
Apr 2017,154.08,6.3,187.12,167.91,4.0,5.39,6.87,0,4.66,0,10.34,0,143.11,16.56,5.48,0.45,165.61,0,-2643.13,0,4.81999999999971
May 2017,9.63,0.39,195.62,168.83,5.91,6.85,6.99,0,0.29,0,10.81,0,8.95,17.32,6.04,3.47,35.78,0,-2635.44,0,7.69000000000005
Jun 2017,67.03,2.74,185.2,162.22,6.04,6.95,7.0,0,2.03,0,10.24,0,62.26,16.39,6.08,4.56,89.3,0,-2634.79,0,0.6500000000000911
Jul 2017,77.36,3.16,116.01,103.39,6.11,7.01,7.01,0,2.34,0,6.41,0,71.86,10.27,6.11,4.56,92.8,0,-2634.09,0,0.6999999999998181
Aug 2017,131.12,5.36,156.37,140.28,5.52,6.56,6.97,0,3.97,0,8.64,0,121.79,13.84,5.93,3.86,145.43,0,-2636.9,0,-2.80999999999995
Sep 2017,70.16,2.87,140.66,124.34,5.51,6.55,6.98,0,2.12,0,7.78,0,65.17,12.45,5.93,3.06,86.62,0,-2635.12,0,1.7800000000001999
Oct 2017,27.59,1.13,98.93,87.05,4.73,5.96,6.93,0,0.83,0,5.47,0,25.63,8.76,5.71,1.2,41.3,0,-2635.26,0,-0.14000000000032697
Nov 2017,26.11,1.07,87.32,77.24,3.97,5.37,6.89,0,0.79,0,4.83,0,24.25,7.73,5.49,0.0,37.47,0,-2637.1,0,-1.83999999999969
Dec 2017,2.96,0.12,57.45,50.72,3.97,5.38,6.89,0,0.09,0,3.18,0,2.75,5.09,5.49,0.0,13.32,0,-2638.37,0,-1.26999999999998
Jan 2018,11.21,0.46,46.94,42.05,3.97,5.38,6.9,0,0.34,0,2.59,0,10.41,4.15,5.49,0.0,20.06,0,-2641.99,0,-3.6199999999998904
Feb 2018,21.51,0.88,62.02,55.38,3.98,5.38,6.9,0,0.65,0,3.43,0,19.98,5.49,5.49,0.0,30.96,0,-2645.95,0,-3.96000000000004
Mar 2018,31.11,1.27,133.59,117.06,3.98,5.38,6.9,0,0.94,0,7.39,0,28.9,11.83,5.49,0.0,46.22,0,-2648.77,0,-2.82000000000016
Apr 2018,33.22,1.36,233.64,202.66,4.62,5.88,6.94,0,1.0,0,12.92,0,30.85,20.68,5.68,1.33,58.55,0,-2647.35,0,1.42000000000007
May 2018,8.6,0.35,236.52,203.77,6.12,7.03,7.04,0,0.26,0,13.08,0,7.99,20.94,6.13,3.94,38.99,0,-2641.7,0,5.650000000000089
Jun 2018,75.14,3.07,232.33,202.92,6.04,6.96,7.03,0,2.27,0,12.84,0,69.8,20.57,6.1,4.63,101.1,0,-2639.34,0,2.35999999999967
Jul 2018,54.21,2.22,112.47,99.37,6.36,7.21,7.06,0,1.64,0,6.22,0,50.35,9.96,6.2,4.74,71.25,0,-2635.88,0,3.46000000000004
Aug 2018,166.34,6.8,156.09,141.53,5.38,6.46,7.0,0,5.03,0,8.63,0,154.51,13.82,5.91,3.96,178.2,0,-2639.82,0,-3.94000000000005
Sep 2018,94.88,3.88,92.58,84.23,5.37,6.46,7.0,0,2.87,0,5.12,0,88.13,8.19,5.92,3.05,105.28,0,-2637.12,0,2.70000000000027
Oct 2018,0.0,0.0,38.27,33.95,4.98,6.16,6.98,0,0.0,0,2.12,0,0.0,3.39,5.8,1.35,10.54,0,-2639.18,0,-2.05999999999995
Nov 2018,13.08,0.53,57.45,51.14,3.99,5.41,6.93,0,0.4,0,3.18,0,12.15,5.09,5.51,0.0,22.75,0,-2645.39,0,-6.210000000000041
Dec 2018,20.84,0.85,59.42,53.14,4.0,5.41,6.93,0,0.63,0,3.28,0,19.35,5.26,5.52,0.0,30.13,0,-2648.74,0,-3.34999999999991
Jan 2019,3.67,0.15,40.67,36.38,4.0,5.41,6.93,0,0.11,0,2.25,0,3.41,3.6,5.52,0.0,12.53,0,-2651.76,0,-3.0200000000004397
Feb 2019,1.9,0.08,60.69,53.46,4.0,5.41,6.94,0,0.06,0,3.36,0,1.76,5.37,5.52,0.0,12.66,0,-2656.33,0,-4.56999999999971
Mar 2019,11.91,0.49,105.37,92.12,4.0,5.42,6.94,0,0.36,0,5.83,0,11.06,9.33,5.52,0.0,25.92,0,-2659.85,0,-3.5199999999999796
Apr 2019,12.66,0.52,117.18,102.13,4.59,5.87,6.98,0,0.38,0,6.48,0,11.76,10.37,5.7,1.1,28.93,0,-2660.6,0,-0.75
May 2019,3.5,0.14,151.32,130.61,6.18,7.09,7.07,0,0.11,0,8.36,0,3.25,13.39,6.17,3.96,26.77,0,-2661.81,0,-1.2100000000000402
Jun 2019,57.52,2.35,46.75,43.28,6.23,7.13,7.08,0,1.74,0,2.58,0,53.43,4.14,6.18,4.8,68.55,0,-2664.38,0,-2.57000000000016
Jul 2019,95.8,3.92,69.63,64.46,6.09,7.02,7.07,0,2.9,0,3.85,0,88.98,6.16,6.14,4.68,105.97,0,-2671.93,0,-7.549999999999731
Aug 2019,104.7,4.28,107.29,97.14,5.81,6.81,7.06,0,3.17,0,5.93,0,97.25,9.5,6.06,4.06,116.88,0,-2676.93,0,-5.0
Sep 2019,68.25,2.79,76.19,69.06,5.65,6.68,7.05,0,2.06,0,4.21,0,63.4,6.74,6.02,3.24,79.4,0,-2678.96,0,-2.0300000000002
Oct 2019,12.66,0.52,39.47,35.45,5.21,6.35,7.03,0,0.38,0,2.18,0,11.76,3.49,5.89,1.74,22.89,0,-2682.97,0,-4.00999999999976
Nov 2019,15.79,0.65,35.27,32.26,4.02,5.44,6.96,0,0.48,0,1.95,0,14.67,3.12,5.54,0.0,23.34,0,-2689.18,0,-6.210000000000041
Dec 2019,2.74,0.11,31.09,28.15,4.02,5.44,6.97,0,0.08,0,1.72,0,2.55,2.75,5.55,0.0,10.84,0,-2693.71,0,-4.5300000000002
Jan 2020,11.51,0.47,32.51,29.72,4.02,5.44,6.97,0,0.35,0,1.8,0,10.69,2.88,5.55,0.0,19.12,0,-2698.88,0,-5.17000000000007
Feb 2020,2.32,0.09,26.58,24.27,4.03,5.44,6.97,0,0.07,0,1.47,0,2.16,2.35,5.55,0.0,10.06,0,-2703.7,0,-4.81999999999971
