date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,22.48,0.24,0,0.41,0.02,0.01,0.07,0,0.25,0,-0.18,0,21.99,0.0,0.07,0.0,22.06,0,439.93,0,0.0
Feb 2016,433.17,4.65,0,8.0,0.02,0.01,0.07,0,4.79,0,-3.45,0,423.74,0.09,0.07,0.0,423.9,0,439.93,0,0.0
Mar 2016,121.83,1.31,0,2.25,0.02,0.01,0.07,0,1.35,0,-0.97,0,119.18,0.03,0.07,0.0,119.27,0,441.21,0,1.2799999999999698
Apr 2016,66.12,0.71,0,1.22,0.02,0.01,0.07,0,0.73,0,-0.53,0,64.68,0.01,0.07,0.0,64.76,0,441.52,0,0.310000000000002
May 2016,6.73,0.07,0,0.11,0.09,0.07,0.07,0,0.07,0,-0.05,0,6.58,0.0,0.08,0.27,6.93,0,441.65,0,0.12999999999999498
Jun 2016,227.01,2.44,0,4.14,0.34,0.29,0.07,0,2.51,0,-1.81,0,222.07,0.05,0.12,1.38,223.63,0,441.34,0,-0.310000000000002
Jul 2016,988.11,10.6,0,18.21,0.22,0.19,0.07,0,10.92,0,-7.86,0,966.59,0.22,0.1,1.25,968.16,0,440.58,0,-0.7599999999999909
Aug 2016,816.81,8.76,0,15.05,0.21,0.18,0.07,0,9.03,0,-6.5,0,799.02,0.18,0.1,1.07,800.37,0,442.32,0,1.7400000000000102
Sep 2016,2168.12,23.26,0,40.04,0.02,0.01,0.07,0,23.96,0,-17.25,0,2120.9,0.47,0.07,0.72,2122.16,0,443.72,0,1.40000000000003
Oct 2016,198.42,2.13,0,3.66,0.02,0.01,0.07,0,2.19,0,-1.58,0,194.1,0.04,0.07,0.0,194.21,0,449.64,0,5.919999999999959
Nov 2016,43.82,0.47,0,0.81,0.02,0.01,0.07,0,0.48,0,-0.35,0,42.86,0.01,0.07,0.0,42.94,0,450.19,0,0.5500000000000109
Dec 2016,158.11,1.7,0,2.92,0.02,0.01,0.07,0,1.75,0,-1.26,0,154.66,0.03,0.07,0.0,154.76,0,450.26,0,0.0699999999999932
