date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,67.18,0.54,2.54,3.41,0.03,0.43,2.33,0.01,0.53,0,-0.05,0,66.11,0.11,1.93,0.0,68.15,0,-6964.9,0,0.0
Feb 2016,3.52,0.03,4.88,5.19,0.03,0.43,2.33,0.01,0.03,0,-0.1,0,3.47,0.21,1.93,0.0,5.61,0,-6966.74,0,-1.84000000000015
Mar 2016,77.01,0.62,23.54,23.99,0.04,0.43,2.44,0.04,0.61,0,-0.48,0,75.78,1.03,2.01,0.02,78.84,0,-6969.14,0,-2.4000000000005497
Apr 2016,9.55,0.08,15.07,13.74,1.48,0.43,25.7,8.06,0.08,0,-0.31,0,9.4,0.66,18.69,4.08,32.82,0,-6971.42,0,-2.27999999999975
May 2016,60.66,0.49,11.59,10.59,1.64,0.43,28.32,8.96,0.48,0,-0.24,0,59.7,0.51,20.56,4.57,85.33,0,-6993.37,0,-21.9499999999998
Jun 2016,35.54,0.29,25.62,23.7,2.03,0.43,34.66,11.15,0.28,0,-0.52,0,34.98,1.12,25.11,5.68,66.89,0,-7017.04,0,-23.6700000000001
Jul 2016,1008.53,8.09,11.36,18.52,1.08,0.43,19.31,5.86,8.02,0,-0.23,0,992.42,0.5,14.1,4.93,1011.95,0,-7046.47,0,-29.4300000000003
Aug 2016,701.41,5.62,20.71,25.07,1.21,0.43,21.32,6.55,5.58,0,-0.42,0,690.21,0.91,15.55,4.51,711.17,0,-7057.06,0,-10.5900000000001
Sep 2016,572.97,4.59,21.83,25.26,1.08,0.43,19.35,5.87,4.56,0,-0.44,0,563.82,0.96,14.14,3.8,582.71,0,-7071.18,0,-14.1199999999999
Oct 2016,198.86,1.59,6.45,7.28,1.04,0.43,18.59,5.61,1.58,0,-0.13,0,195.69,0.28,13.59,2.59,212.14,0,-7084.35,0,-13.1700000000001
Nov 2016,317.33,2.54,3.95,6.79,0.03,0.43,2.34,0.01,2.52,0,-0.08,0,312.26,0.17,1.93,0.0,314.37,0,-7098.46,0,-14.1099999999997
Dec 2016,37.58,0.3,1.03,1.7,0.03,0.43,2.34,0.01,0.3,0,-0.02,0,36.98,0.05,1.93,0.0,38.96,0,-7098.34,0,0.119999999999891
Jan 2017,231.42,1.86,2.89,5.08,0.03,0.43,2.34,0.01,1.84,0,-0.06,0,227.72,0.13,1.93,0.0,229.78,0,-7100.4,0,-2.0599999999994902
Feb 2017,163.39,1.31,3.36,4.98,0.03,0.43,2.34,0.01,1.3,0,-0.07,0,160.78,0.15,1.94,0.0,162.86,0,-7100.95,0,-0.550000000000182
Mar 2017,346.4,2.78,14.67,17.5,0.03,0.43,2.34,0.01,2.75,0,-0.3,0,340.87,0.64,1.94,0.0,343.45,0,-7102.05,0,-1.1000000000003602
Apr 2017,146.79,1.18,10.72,11.21,0.86,0.43,15.77,4.64,1.17,0,-0.22,0,144.44,0.47,11.57,2.56,159.04,0,-7101.92,0,0.130000000000109
May 2017,631.16,5.06,15.15,19.24,1.05,0.43,18.76,5.67,5.02,0,-0.31,0,621.08,0.66,13.71,4.31,639.76,0,-7114.66,0,-12.7399999999998
Jun 2017,441.69,3.54,20.29,22.24,1.54,0.43,26.78,8.43,3.51,0,-0.41,0,434.63,0.89,19.46,5.24,460.22,0,-7127.35,0,-12.6900000000005
Jul 2017,1022.99,8.2,12.88,20.15,1.06,0.43,19.03,5.76,8.14,0,-0.26,0,1006.65,0.56,13.9,4.9,1026.03,0,-7147.83,0,-20.479999999999603
Aug 2017,793.22,6.36,20.92,26.07,1.16,0.43,20.51,6.27,6.31,0,-0.43,0,780.55,0.92,14.97,4.6,801.03,0,-7158.13,0,-10.3000000000002
Sep 2017,670.83,5.38,19.02,23.43,0.95,0.43,17.24,5.14,5.34,0,-0.39,0,660.11,0.83,12.62,3.64,677.21,0,-7171.09,0,-12.96
Oct 2017,802.82,6.44,11.27,17.71,0.17,0.43,4.53,0.76,6.38,0,-0.23,0,790.0,0.49,3.51,1.31,795.3,0,-7181.88,0,-10.79
Nov 2017,46.41,0.37,1.91,2.63,0.03,0.43,2.34,0.01,0.37,0,-0.04,0,45.67,0.08,1.94,0.0,47.69,0,-7180.8,0,1.0799999999999301
Dec 2017,424.12,3.4,4.5,8.19,0.03,0.43,2.34,0.01,3.37,0,-0.09,0,417.35,0.2,1.94,0.0,419.48,0,-7182.8,0,-2.0
Jan 2018,187.16,1.5,2.61,4.44,0.03,0.43,2.34,0.01,1.49,0,-0.05,0,184.17,0.11,1.94,0.0,186.23,0,-7181.86,0,0.940000000000509
Feb 2018,209.45,1.68,4.86,6.83,0.03,0.43,2.34,0.01,1.67,0,-0.1,0,206.1,0.21,1.94,0.0,208.25,0,-7182.76,0,-0.9000000000005458
Mar 2018,143.72,1.15,15.49,16.68,0.03,0.43,2.34,0.01,1.14,0,-0.31,0,141.42,0.68,1.94,0.0,144.04,0,-7183.53,0,-0.7699999999995271
Apr 2018,143.38,1.15,9.19,9.63,0.92,0.43,16.78,4.98,1.14,0,-0.19,0,141.09,0.4,12.29,2.74,156.53,0,-7185.04,0,-1.5100000000002198
May 2018,522.4,4.19,13.43,16.56,1.17,0.43,20.74,6.35,4.15,0,-0.27,0,514.05,0.59,15.13,4.41,534.18,0,-7198.62,0,-13.5799999999999
Jun 2018,462.33,3.71,15.64,17.86,1.54,0.43,26.79,8.43,3.68,0,-0.32,0,454.95,0.68,19.47,5.31,480.41,0,-7213.54,0,-14.9200000000001
Jul 2018,423.36,3.39,9.43,11.42,1.61,0.43,27.92,8.82,3.37,0,-0.19,0,416.6,0.41,20.28,5.08,442.37,0,-7233.85,0,-20.310000000000397
Aug 2018,518.84,4.16,13.04,15.94,1.39,0.43,24.3,7.57,4.13,0,-0.26,0,510.55,0.57,17.68,4.59,533.4,0,-7254.85,0,-21.0
Sep 2018,1396.92,11.2,19.69,30.39,0.47,0.43,9.43,2.45,11.11,0,-0.4,0,1374.61,0.86,7.02,3.72,1386.21,0,-7272.3,0,-17.4499999999998
Oct 2018,822.7,6.6,13.3,19.55,0.46,0.43,9.34,2.42,6.54,0,-0.27,0,809.56,0.58,6.96,2.51,819.62,0,-7272.3,0,0.0
Nov 2018,132.49,1.06,2.61,4.0,0.03,0.43,2.35,0.01,1.05,0,-0.05,0,130.38,0.11,1.94,0.0,132.44,0,-7275.46,0,-3.1599999999998505
Dec 2018,57.13,0.46,1.21,2.03,0.03,0.43,2.35,0.01,0.45,0,-0.02,0,56.22,0.05,1.95,0.0,58.21,0,-7276.8,0,-1.34000000000015
Jan 2019,115.69,0.93,1.92,3.2,0.03,0.43,2.35,0.01,0.92,0,-0.04,0,113.84,0.08,1.95,0.0,115.87,0,-7278.72,0,-1.92000000000007
Feb 2019,132.31,1.06,3.83,5.2,0.03,0.43,2.36,0.01,1.05,0,-0.08,0,130.2,0.17,1.95,0.0,132.32,0,-7280.18,0,-1.46000000000004
Mar 2019,10.65,0.09,12.22,11.26,1.19,0.43,21.04,6.45,0.08,0,-0.25,0,10.48,0.53,15.35,2.95,29.32,0,-7281.56,0,-1.38000000000011
Apr 2019,217.96,1.75,6.51,7.36,1.17,0.43,20.83,6.38,1.73,0,-0.13,0,214.48,0.28,15.2,3.65,233.61,0,-7299.27,0,-17.71
May 2019,256.75,2.06,11.04,11.86,1.41,0.43,24.62,7.68,2.04,0,-0.22,0,252.64,0.48,17.92,4.39,275.44,0,-7315.77,0,-16.5
Jun 2019,206.52,1.66,11.02,11.01,1.83,0.43,31.5,10.05,1.64,0,-0.22,0,203.22,0.48,22.85,5.53,232.08,0,-7335.29,0,-19.5199999999995
Jul 2019,430.75,3.45,5.59,7.69,1.65,0.43,28.52,9.03,3.43,0,-0.11,0,423.87,0.24,20.71,5.25,450.07,0,-7360.84,0,-25.5500000000002
Aug 2019,1526.62,12.24,21.19,32.72,0.65,0.43,12.35,3.45,12.14,0,-0.43,0,1502.24,0.93,9.11,4.45,1516.73,0,-7382.27,0,-21.4300000000003
Sep 2019,1683.49,13.5,40.02,52.72,0.29,0.43,6.52,1.44,13.39,0,-0.81,0,1656.6,1.75,4.94,3.5,1666.8,0,-7383.9,0,-1.6299999999991999
Oct 2019,382.65,3.07,12.72,15.31,0.62,0.43,11.81,3.27,3.04,0,-0.26,0,376.54,0.56,8.73,1.89,387.71,0,-7379.91,0,3.98999999999978
Nov 2019,48.42,0.39,2.1,2.84,0.03,0.43,2.35,0.01,0.39,0,-0.04,0,47.65,0.09,1.95,0.0,49.69,0,-7387.56,0,-7.650000000000549
Dec 2019,350.58,2.81,3.35,6.48,0.03,0.43,2.35,0.01,2.79,0,-0.07,0,344.98,0.15,1.95,0.0,347.07,0,-7389.56,0,-2.0
Jan 2020,46.55,0.37,1.5,2.24,0.03,0.43,2.36,0.01,0.37,0,-0.03,0,45.81,0.07,1.95,0.0,47.83,0,-7389.19,0,0.37000000000079997
Feb 2020,181.98,1.46,4.83,6.58,0.03,0.43,2.36,0.01,1.45,0,-0.1,0,179.07,0.21,1.95,0.0,181.23,0,-7391.2,0,-2.01000000000022
Mar 2020,75.46,0.61,16.25,16.87,0.03,0.43,2.36,0.01,0.6,0,-0.33,0,74.26,0.71,1.95,0.0,76.92,0,-7392.2,0,-1.0
Apr 2020,57.55,0.46,10.46,10.18,0.93,0.43,16.87,5.01,0.46,0,-0.21,0,56.63,0.46,12.36,2.56,72.01,0,-7394.28,0,-2.07999999999993
May 2020,379.04,3.04,10.17,12.12,1.28,0.43,22.54,6.96,3.01,0,-0.21,0,372.99,0.45,16.42,4.33,394.19,0,-7408.46,0,-14.1800000000003
Jun 2020,640.54,5.14,26.88,30.45,1.37,0.43,24.05,7.48,5.09,0,-0.55,0,630.31,1.18,17.5,5.28,654.27,0,-7425.56,0,-17.1000000000004
Jul 2020,482.42,3.87,15.36,17.74,1.56,0.43,27.12,8.54,3.84,0,-0.31,0,474.71,0.67,19.71,5.09,500.18,0,-7442.85,0,-17.29
Aug 2020,881.29,7.07,15.78,21.86,1.05,0.43,18.82,5.68,7.01,0,-0.32,0,867.21,0.69,13.76,4.48,886.13,0,-7462.99,0,-20.1399999999994
Sep 2020,1081.62,8.67,24.53,32.47,0.59,0.43,11.44,3.14,8.6,0,-0.5,0,1064.34,1.07,8.46,3.5,1077.38,0,-7473.92,0,-10.9300000000003
Oct 2020,5.31,0.04,6.22,5.4,1.16,0.43,20.57,6.29,0.04,0,-0.13,0,5.23,0.27,15.01,2.43,22.95,0,-7477.62,0,-3.69999999999982
Nov 2020,2.39,0.02,0.9,1.3,0.03,0.43,2.36,0.01,0.02,0,-0.02,0,2.35,0.04,1.95,0.0,4.34,0,-7494.43,0,-16.8100000000004
Dec 2020,2.49,0.02,0.57,0.98,0.03,0.43,2.36,0.01,0.02,0,-0.01,0,2.45,0.02,1.95,0.0,4.43,0,-7496.78,0,-2.3499999999994503
Jan 2021,34.58,0.28,0.79,1.44,0.03,0.43,2.36,0.01,0.28,0,-0.02,0,34.03,0.03,1.95,0.0,36.02,0,-7499.12,0,-2.34000000000015
Feb 2021,54.68,0.44,1.24,2.05,0.03,0.43,2.36,0.01,0.43,0,-0.03,0,53.81,0.05,1.95,0.0,55.82,0,-7501.22,0,-2.10000000000036
Mar 2021,7.18,0.06,4.34,4.05,0.69,0.43,12.93,3.65,0.06,0,-0.09,0,7.07,0.19,9.53,1.77,18.56,0,-7503.16,0,-1.9399999999996
Apr 2021,18.21,0.15,2.73,1.81,1.44,0.43,25.12,7.85,0.14,0,-0.06,0,17.92,0.12,18.28,3.96,40.27,0,-7514.24,0,-11.0799999999999
May 2021,262.83,2.11,3.32,4.16,1.62,0.43,27.99,8.84,2.09,0,-0.07,0,258.63,0.15,20.33,5.29,284.4,0,-7535.38,0,-21.1400000000003
Jun 2021,171.86,1.38,8.76,8.46,1.9,0.43,32.58,10.42,1.37,0,-0.18,0,169.11,0.38,23.63,5.67,198.8,0,-7557.79,0,-22.4099999999999
Jul 2021,382.99,3.07,5.67,7.33,1.71,0.43,29.48,9.35,3.05,0,-0.12,0,376.88,0.25,21.4,5.31,403.83,0,-7584.44,0,-26.6499999999996
Aug 2021,267.51,2.15,7.3,8.02,1.69,0.43,29.16,9.24,2.13,0,-0.15,0,263.24,0.32,21.17,4.85,289.58,0,-7606.94,0,-22.5
Sep 2021,1025.29,8.22,11.58,19.31,0.66,0.43,12.48,3.49,8.15,0,-0.24,0,1008.92,0.51,9.21,3.6,1022.23,0,-7629.73,0,-22.79
Oct 2021,305.48,2.45,6.35,8.06,1.02,0.43,18.31,5.5,2.43,0,-0.13,0,300.6,0.28,13.39,2.85,317.11,0,-7634.39,0,-4.6600000000007595
Nov 2021,105.87,0.85,1.37,2.59,0.03,0.43,2.37,0.01,0.84,0,-0.03,0,104.18,0.06,1.96,0.0,106.2,0,-7647.74,0,-13.349999999999499
Dec 2021,198.36,1.59,2.83,4.75,0.03,0.43,2.36,0.01,1.58,0,-0.06,0,195.19,0.12,1.96,0.0,197.28,0,-7649.29,0,-1.55000000000018
Jan 2022,96.42,0.77,1.59,2.73,0.03,0.43,2.36,0.01,0.77,0,-0.03,0,94.88,0.07,1.96,0.0,96.9,0,-7650.13,0,-0.8400000000001461
Feb 2022,143.89,1.15,3.05,4.54,0.03,0.43,2.37,0.01,1.14,0,-0.06,0,141.59,0.13,1.96,0.0,143.68,0,-7651.75,0,-1.61999999999989
Mar 2022,23.17,0.19,8.32,8.7,0.05,0.43,2.59,0.08,0.18,0,-0.17,0,22.8,0.36,2.12,0.04,25.33,0,-7653.03,0,-1.27999999999975
Apr 2022,125.67,1.01,3.68,3.8,1.23,0.43,21.79,6.7,1.0,0,-0.07,0,123.66,0.16,15.89,3.53,143.24,0,-7655.56,0,-2.53000000000065
May 2022,254.19,2.04,8.15,8.91,1.52,0.43,26.4,8.29,2.02,0,-0.17,0,250.13,0.36,19.19,4.83,274.51,0,-7673.26,0,-17.6999999999998
Jun 2022,422.42,3.39,8.62,10.67,1.57,0.43,27.29,8.6,3.36,0,-0.18,0,415.67,0.38,19.83,5.29,441.17,0,-7694.34,0,-21.0799999999999
Jul 2022,1617.3,12.97,21.38,33.55,0.73,0.43,13.72,3.92,12.86,0,-0.43,0,1591.47,0.94,10.1,4.88,1607.39,0,-7715.14,0,-20.8000000000002
Aug 2022,1229.74,9.86,28.75,37.57,0.79,0.43,14.67,4.25,9.78,0,-0.58,0,1210.1,1.26,10.78,4.43,1226.57,0,-7717.39,0,-2.25
Sep 2022,787.89,6.32,29.72,34.92,0.85,0.43,15.62,4.58,6.27,0,-0.6,0,775.31,1.3,11.46,3.62,791.7,0,-7723.05,0,-5.65999999999985
Oct 2022,238.55,1.91,5.9,7.13,0.97,0.43,17.6,5.26,1.9,0,-0.12,0,234.74,0.26,12.88,2.51,250.39,0,-7732.06,0,-9.01000000000022
Nov 2022,283.12,2.27,3.5,6.09,0.03,0.43,2.37,0.01,2.25,0,-0.07,0,278.59,0.15,1.96,0.0,280.71,0,-7745.14,0,-13.0799999999999
Dec 2022,59.9,0.48,1.29,2.14,0.03,0.43,2.37,0.01,0.48,0,-0.03,0,58.94,0.06,1.96,0.0,60.96,0,-7745.32,0,-0.179999999999382
Jan 2023,97.35,0.78,1.73,2.87,0.03,0.43,2.37,0.01,0.77,0,-0.04,0,95.8,0.08,1.96,0.0,97.83,0,-7747.23,0,-1.90999999999985
Feb 2023,103.72,0.83,2.93,4.09,0.03,0.43,2.37,0.01,0.82,0,-0.06,0,102.07,0.13,1.96,0.0,104.16,0,-7748.86,0,-1.63000000000011
Mar 2023,254.51,2.04,10.47,12.65,0.04,0.43,2.53,0.06,2.02,0,-0.21,0,250.45,0.46,2.08,0.04,253.02,0,-7750.46,0,-1.60000000000036
Apr 2023,148.45,1.19,9.95,10.1,1.24,0.43,21.86,6.72,1.18,0,-0.2,0,146.08,0.44,15.94,3.64,166.09,0,-7751.16,0,-0.6999999999998181
May 2023,85.03,0.68,10.71,9.9,1.67,0.43,28.91,9.15,0.68,0,-0.22,0,83.68,0.47,20.99,4.8,109.94,0,-7768.95,0,-17.79
Jun 2023,225.1,1.81,9.97,10.15,1.82,0.43,31.35,9.99,1.79,0,-0.2,0,221.5,0.44,22.74,5.56,250.24,0,-7793.05,0,-24.1000000000004
Jul 2023,1256.63,10.08,13.1,22.36,0.94,0.43,17.05,5.07,9.99,0,-0.27,0,1236.56,0.57,12.49,5.01,1254.63,0,-7818.38,0,-25.3299999999999
Aug 2023,432.2,3.47,18.41,20.43,1.45,0.43,25.29,7.91,3.44,0,-0.37,0,425.3,0.81,18.39,4.52,449.02,0,-7825.65,0,-7.269999999999531
Sep 2023,597.48,4.79,12.28,16.28,0.94,0.43,17.05,5.07,4.75,0,-0.25,0,587.94,0.54,12.49,3.37,604.34,0,-7844.49,0,-18.840000000000103
Oct 2023,332.42,2.67,6.93,8.95,0.92,0.43,16.78,4.97,2.64,0,-0.14,0,327.11,0.3,12.3,2.62,342.33,0,-7855.34,0,-10.850000000000401
Nov 2023,129.47,1.04,1.94,3.33,0.03,0.44,2.37,0.01,1.03,0,-0.04,0,127.4,0.08,1.97,0.0,129.45,0,-7867.26,0,-11.9200000000001
Dec 2023,3.5,0.03,0.7,1.12,0.03,0.44,2.37,0.01,0.03,0,-0.01,0,3.44,0.03,1.97,0.0,5.44,0,-7868.64,0,-1.38000000000011
Jan 2024,39.34,0.32,1.0,1.7,0.03,0.44,2.37,0.01,0.31,0,-0.02,0,38.71,0.04,1.97,0.0,40.72,0,-7870.99,0,-2.3499999999994503
Feb 2024,16.78,0.13,1.55,2.05,0.03,0.44,2.37,0.01,0.13,0,-0.03,0,16.51,0.07,1.97,0.0,18.55,0,-7873.07,0,-2.07999999999993
Mar 2024,55.75,0.45,6.66,7.26,0.12,0.44,3.85,0.52,0.44,0,-0.14,0,54.86,0.29,3.03,0.27,58.44,0,-7875.34,0,-2.2700000000004397
Apr 2024,78.47,0.63,3.83,3.52,1.28,0.44,22.64,6.99,0.62,0,-0.08,0,77.22,0.17,16.49,3.56,97.44,0,-7878.63,0,-3.28999999999996
May 2024,85.35,0.68,3.49,2.88,1.65,0.44,28.49,9.01,0.68,0,-0.07,0,83.98,0.15,20.69,4.7,109.53,0,-7897.29,0,-18.659999999999897
Jun 2024,329.24,2.64,7.76,8.95,1.7,0.44,29.37,9.31,2.62,0,-0.16,0,323.98,0.34,21.32,5.47,351.11,0,-7920.86,0,-23.5699999999997
Jul 2024,577.56,4.63,10.91,14.24,1.49,0.44,25.91,8.12,4.59,0,-0.22,0,568.33,0.48,18.84,5.13,592.78,0,-7943.93,0,-23.0700000000006
Aug 2024,524.09,4.2,12.26,15.23,1.38,0.44,24.24,7.54,4.17,0,-0.25,0,515.72,0.54,17.65,4.59,538.49,0,-7962.47,0,-18.54
