date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,67.18,0.54,2.54,3.41,0.03,0.42,2.32,0.01,0.53,0,-0.05,0,66.11,0.11,1.92,0.0,68.13,0,-6964.9,0,0.0
Feb 2016,3.52,0.03,4.87,5.18,0.03,0.42,2.32,0.01,0.03,0,-0.1,0,3.47,0.21,1.92,0.0,5.6,0,-6966.73,0,-1.82999999999993
Mar 2016,77.01,0.62,23.53,23.98,0.04,0.42,2.45,0.05,0.61,0,-0.48,0,75.78,1.03,2.02,0.02,78.84,0,-6969.11,0,-2.38000000000011
Apr 2016,9.55,0.08,14.7,13.02,1.84,0.42,31.53,10.08,0.08,0,-0.3,0,9.4,0.64,22.86,4.08,36.98,0,-6971.4,0,-2.28999999999996
May 2016,60.66,0.49,11.01,9.63,2.04,0.42,34.8,11.2,0.48,0,-0.22,0,59.7,0.48,25.21,4.57,89.95,0,-6997.15,0,-25.75
Jun 2016,35.54,0.29,24.83,22.42,2.53,0.42,42.73,13.94,0.28,0,-0.5,0,34.98,1.09,30.9,5.68,72.64,0,-7025.05,0,-27.9000000000005
Jul 2016,1008.53,8.09,10.73,17.65,1.34,0.42,23.53,7.32,8.02,0,-0.22,0,992.42,0.47,17.13,4.93,1014.96,0,-7059.74,0,-34.6899999999996
Aug 2016,701.41,5.62,20.11,24.19,1.5,0.42,26.05,8.19,5.58,0,-0.41,0,690.21,0.88,18.94,4.51,714.53,0,-7073.08,0,-13.3400000000001
Sep 2016,572.97,4.59,21.19,24.36,1.35,0.42,23.59,7.34,4.56,0,-0.43,0,563.82,0.93,17.17,3.8,585.72,0,-7090.29,0,-17.21
Oct 2016,198.86,1.59,5.97,6.56,1.29,0.42,22.64,7.01,1.58,0,-0.12,0,195.69,0.26,16.49,2.59,215.02,0,-7106.21,0,-15.9200000000001
Nov 2016,317.33,2.54,3.92,6.77,0.03,0.42,2.32,0.01,2.52,0,-0.08,0,312.26,0.17,1.92,0.0,314.36,0,-7122.96,0,-16.75
Dec 2016,37.58,0.3,1.02,1.69,0.03,0.43,2.32,0.01,0.3,0,-0.02,0,36.98,0.04,1.92,0.0,38.94,0,-7122.83,0,0.130000000000109
Jan 2017,231.42,1.86,2.88,5.06,0.03,0.43,2.32,0.01,1.84,0,-0.06,0,227.72,0.13,1.92,0.0,229.77,0,-7124.87,0,-2.03999999999996
Feb 2017,163.39,1.31,3.33,4.96,0.03,0.43,2.32,0.01,1.3,0,-0.07,0,160.78,0.15,1.92,0.0,162.84,0,-7125.4,0,-0.529999999999745
Mar 2017,346.4,2.78,14.57,17.4,0.03,0.43,2.32,0.01,2.75,0,-0.3,0,340.87,0.64,1.92,0.0,343.43,0,-7126.48,0,-1.0799999999999301
Apr 2017,146.79,1.18,10.42,10.71,1.07,0.43,19.11,5.79,1.17,0,-0.21,0,144.44,0.46,13.96,2.56,161.42,0,-7126.34,0,0.139999999999418
May 2017,631.16,5.06,14.76,18.6,1.3,0.43,22.84,7.08,5.02,0,-0.3,0,621.08,0.65,16.64,4.31,642.67,0,-7141.25,0,-14.9099999999999
Jun 2017,441.69,3.54,19.99,21.57,1.92,0.43,32.87,10.54,3.51,0,-0.41,0,434.63,0.88,23.83,5.24,464.57,0,-7156.61,0,-15.3599999999997
Jul 2017,1022.99,8.2,12.58,19.59,1.32,0.43,23.18,7.2,8.14,0,-0.26,0,1006.65,0.55,16.88,4.9,1028.99,0,-7181.07,0,-24.46
Aug 2017,793.22,6.36,20.33,25.2,1.44,0.43,25.03,7.84,6.31,0,-0.41,0,780.55,0.89,18.21,4.6,804.24,0,-7194.08,0,-13.0100000000002
Sep 2017,670.83,5.38,18.5,22.69,1.18,0.43,20.94,6.43,5.34,0,-0.38,0,660.11,0.81,15.28,3.64,679.84,0,-7209.98,0,-15.899999999999599
Oct 2017,802.82,6.44,11.14,17.54,0.2,0.43,5.06,0.95,6.38,0,-0.23,0,790.0,0.49,3.88,1.31,795.67,0,-7223.18,0,-13.2000000000007
