date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,112.59,0.9,3.94,5.14,0.03,0.43,2.32,0.01,0.9,0,-0.08,0,110.79,0.17,1.92,0.0,112.89,0,-6947.99,0,0.0
Feb 2016,143.21,1.15,8.67,10.01,0.03,0.43,2.32,0.01,1.14,0,-0.18,0,140.92,0.38,1.92,0.0,143.22,0,-6949.49,0,-1.5
Mar 2016,35.76,0.29,23.22,23.3,0.09,0.43,3.21,0.31,0.28,0,-0.47,0,35.19,1.02,2.56,0.21,38.97,0,-6950.84,0,-1.35000000000036
Apr 2016,139.56,1.12,15.32,15.54,0.97,0.43,17.45,5.22,1.11,0,-0.31,0,137.33,0.67,12.77,3.77,154.54,0,-6954.14,0,-3.30000000000018
May 2016,40.02,0.32,15.48,14.55,1.32,0.43,23.13,7.18,0.32,0,-0.31,0,39.39,0.68,16.84,4.94,61.84,0,-6969.34,0,-15.1999999999998
Jun 2016,174.23,1.4,25.51,25.32,1.42,0.43,24.74,7.73,1.39,0,-0.52,0,171.45,1.12,18.0,5.6,196.16,0,-6990.22,0,-20.880000000000102
Jul 2016,208.16,1.67,10.59,10.98,1.46,0.43,25.44,7.97,1.66,0,-0.22,0,204.84,0.46,18.5,5.56,229.36,0,-7011.95,0,-21.7299999999996
Aug 2016,572.97,4.59,10.97,14.68,1.05,0.43,18.78,5.68,4.56,0,-0.22,0,563.82,0.48,13.72,4.77,582.8,0,-7033.54,0,-21.5900000000001
Sep 2016,1891.88,15.17,33.08,47.71,0.2,0.43,4.96,0.91,15.05,0,-0.67,0,1861.66,1.45,3.81,3.54,1870.46,0,-7047.08,0,-13.54
Oct 2016,986.07,7.91,16.38,24.08,0.25,0.43,5.81,1.21,7.84,0,-0.33,0,970.32,0.72,4.43,2.46,977.92,0,-7040.28,0,6.80000000000018
Nov 2016,188.92,1.51,3.14,4.98,0.03,0.43,2.33,0.01,1.5,0,-0.06,0,185.9,0.14,1.93,0.0,187.97,0,-7039.84,0,0.4399999999996
Dec 2016,81.9,0.66,1.64,2.65,0.03,0.43,2.33,0.01,0.65,0,-0.03,0,80.6,0.07,1.93,0.0,82.6,0,-7040.72,0,-0.880000000000109
Jan 2017,246.04,1.97,3.66,5.94,0.03,0.43,2.33,0.01,1.96,0,-0.07,0,242.11,0.16,1.93,0.0,244.2,0,-7042.42,0,-1.69999999999982
Feb 2017,138.13,1.11,4.5,5.89,0.03,0.43,2.33,0.01,1.1,0,-0.09,0,135.92,0.2,1.93,0.0,138.05,0,-7042.86,0,-0.4399999999996
Mar 2017,368.95,2.96,19.57,22.44,0.05,0.43,2.64,0.11,2.93,0,-0.4,0,363.06,0.86,2.15,0.14,366.21,0,-7044.18,0,-1.3200000000006202
Apr 2017,640.61,5.14,17.78,22.38,0.55,0.43,10.62,2.86,5.09,0,-0.36,0,630.38,0.78,7.87,3.36,642.39,0,-7044.31,0,-0.130000000000109
May 2017,149.26,1.2,29.14,28.93,1.15,0.43,20.38,6.23,1.19,0,-0.59,0,146.88,1.28,14.87,4.43,167.45,0,-7050.69,0,-6.3799999999992005
Jun 2017,424.83,3.41,13.27,15.59,1.21,0.43,21.37,6.57,3.38,0,-0.27,0,418.04,0.58,15.58,5.41,439.62,0,-7068.67,0,-17.9800000000005
Jul 2017,225.16,1.81,14.39,14.86,1.43,0.43,24.99,7.82,1.79,0,-0.29,0,221.56,0.63,18.18,5.48,245.85,0,-7085.78,0,-17.1099999999997
