date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,112.59,0.9,3.97,5.23,0.03,0.48,2.63,0.01,0.9,0,-0.08,0,110.79,0.17,2.18,0.0,113.14,0,-6962.52,0,0.0
Feb 2016,143.21,1.15,8.69,10.09,0.03,0.48,2.63,0.01,1.14,0,-0.18,0,140.92,0.38,2.18,0.0,143.48,0,-6964.33,0,-1.80999999999949
Mar 2016,35.76,0.29,23.27,23.39,0.11,0.48,3.82,0.41,0.28,0,-0.47,0,35.19,1.02,3.03,0.21,39.44,0,-6966.0,0,-1.67000000000007
Apr 2016,139.56,1.12,15.02,14.99,1.28,0.48,22.8,6.96,1.11,0,-0.31,0,137.33,0.66,16.64,3.77,158.39,0,-6969.8,0,-3.80000000000018
May 2016,40.02,0.32,15.04,13.75,1.75,0.48,30.37,9.57,0.32,0,-0.31,0,39.39,0.66,22.07,4.94,67.05,0,-6988.61,0,-18.809999999999498
Jun 2016,174.23,1.4,24.88,24.29,1.88,0.48,32.52,10.31,1.39,0,-0.51,0,171.45,1.09,23.61,5.6,201.75,0,-7014.33,0,-25.7200000000003
Jul 2016,208.16,1.67,9.71,9.7,1.94,0.48,33.45,10.63,1.66,0,-0.2,0,204.84,0.42,24.28,5.56,235.1,0,-7041.26,0,-26.9300000000003
Aug 2016,572.97,4.59,10.27,13.72,1.39,0.48,24.58,7.57,4.56,0,-0.21,0,563.82,0.45,17.91,4.77,586.95,0,-7068.19,0,-26.9299999999994
Sep 2016,1891.88,15.17,32.63,47.27,0.25,0.48,6.15,1.22,15.05,0,-0.66,0,1861.66,1.43,4.7,3.54,1871.32,0,-7085.62,0,-17.4300000000003
Oct 2016,986.07,7.91,16.27,23.96,0.32,0.48,7.29,1.61,7.84,0,-0.33,0,970.32,0.71,5.52,2.46,979.0,0,-7079.71,0,5.90999999999985
Nov 2016,188.92,1.51,3.16,5.05,0.03,0.48,2.64,0.01,1.5,0,-0.06,0,185.9,0.14,2.18,0.0,188.22,0,-7080.33,0,-0.619999999999891
Dec 2016,81.9,0.66,1.66,2.72,0.03,0.48,2.64,0.01,0.65,0,-0.03,0,80.6,0.07,2.18,0.0,82.85,0,-7081.53,0,-1.19999999999982
Jan 2017,246.04,1.97,3.68,6.02,0.03,0.48,2.64,0.01,1.96,0,-0.07,0,242.11,0.16,2.18,0.0,244.46,0,-7083.55,0,-2.0200000000004397
Feb 2017,138.13,1.11,4.51,5.96,0.03,0.48,2.64,0.01,1.1,0,-0.09,0,135.92,0.2,2.18,0.0,138.3,0,-7084.3,0,-0.75
Mar 2017,368.95,2.96,19.6,22.53,0.06,0.48,3.05,0.15,2.93,0,-0.4,0,363.06,0.86,2.48,0.14,366.54,0,-7085.93,0,-1.63000000000011
Apr 2017,640.61,5.14,17.66,22.15,0.72,0.48,13.7,3.82,5.09,0,-0.36,0,630.38,0.77,10.11,3.36,644.63,0,-7086.44,0,-0.509999999999309
May 2017,149.26,1.2,29.07,28.55,1.52,0.48,26.71,8.3,1.19,0,-0.59,0,146.88,1.27,19.44,4.43,172.01,0,-7094.95,0,-8.51000000000022
Jun 2017,424.83,3.41,12.78,14.77,1.6,0.48,28.03,8.76,3.38,0,-0.26,0,418.04,0.56,20.39,5.41,444.41,0,-7117.19,0,-22.2399999999998
Jul 2017,225.16,1.81,13.5,13.57,1.9,0.48,32.86,10.42,1.79,0,-0.27,0,221.56,0.59,23.85,5.48,251.48,0,-7138.75,0,-21.5600000000004
Aug 2017,1203.92,9.65,14.69,23.62,0.86,0.48,16.0,4.61,9.57,0,-0.3,0,1184.69,0.64,11.76,4.6,1201.7,0,-7165.15,0,-26.3999999999996
Sep 2017,142.3,1.14,18.24,18.04,1.4,0.49,24.8,7.64,1.13,0,-0.37,0,140.02,0.8,18.07,3.51,162.41,0,-7171.87,0,-6.72000000000025
Oct 2017,19.11,0.15,3.27,2.65,1.18,0.49,21.29,6.43,0.15,0,-0.07,0,18.81,0.14,15.56,2.53,37.04,0,-7191.78,0,-19.909999999999897
Nov 2017,319.54,2.56,2.98,5.92,0.03,0.49,2.65,0.01,2.54,0,-0.06,0,314.44,0.13,2.19,0.0,316.76,0,-7209.08,0,-17.3000000000002
Dec 2017,7.79,0.06,0.63,1.13,0.03,0.49,2.65,0.01,0.06,0,-0.01,0,7.67,0.03,2.19,0.0,9.88,0,-7209.24,0,-0.159999999999854
Jan 2018,64.25,0.52,0.98,1.93,0.03,0.49,2.65,0.01,0.51,0,-0.02,0,63.22,0.04,2.19,0.0,65.45,0,-7211.83,0,-2.59000000000015
Feb 2018,127.7,1.02,1.78,3.22,0.03,0.49,2.65,0.01,1.02,0,-0.04,0,125.66,0.08,2.19,0.0,127.93,0,-7213.99,0,-2.15999999999985
Mar 2018,65.13,0.52,6.21,6.97,0.11,0.49,3.83,0.41,0.52,0,-0.13,0,64.09,0.27,3.04,0.22,67.62,0,-7215.65,0,-1.65999999999985
Apr 2018,119.02,0.95,3.39,3.47,1.29,0.49,22.99,7.02,0.95,0,-0.07,0,117.12,0.15,16.77,3.73,137.78,0,-7218.9,0,-3.25
May 2018,125.03,1.0,9.32,8.95,1.64,0.49,28.68,8.98,0.99,0,-0.19,0,123.04,0.41,20.85,4.83,149.13,0,-7237.72,0,-18.8200000000006
Jun 2018,566.67,4.54,11.02,14.31,1.47,0.49,25.97,8.05,4.51,0,-0.22,0,557.62,0.48,18.92,5.42,582.43,0,-7261.45,0,-23.7299999999996
Jul 2018,272.31,2.18,14.14,14.6,1.88,0.49,32.52,10.3,2.17,0,-0.29,0,267.96,0.62,23.61,5.57,297.76,0,-7280.51,0,-19.060000000000397
Aug 2018,756.13,6.06,10.09,15.17,1.24,0.49,22.12,6.72,6.01,0,-0.21,0,744.05,0.44,16.16,4.79,765.44,0,-7306.42,0,-25.9099999999999
Sep 2018,534.92,4.29,21.16,24.34,1.1,0.49,19.94,5.96,4.25,0,-0.43,0,526.38,0.93,14.59,3.74,545.63,0,-7320.81,0,-14.3900000000003
Oct 2018,37.77,0.3,5.96,5.43,1.19,0.49,21.33,6.45,0.3,0,-0.12,0,37.16,0.26,15.59,2.58,55.59,0,-7334.69,0,-13.8799999999992
Nov 2018,10.36,0.08,0.99,1.5,0.03,0.49,2.66,0.01,0.08,0,-0.02,0,10.2,0.04,2.2,0.0,12.43,0,-7351.98,0,-17.29
Dec 2018,214.26,1.72,1.86,3.98,0.03,0.49,2.66,0.01,1.7,0,-0.04,0,210.84,0.08,2.2,0.0,213.12,0,-7354.57,0,-2.59000000000015
Jan 2019,10.92,0.09,0.72,1.25,0.03,0.49,2.66,0.01,0.09,0,-0.01,0,10.75,0.03,2.2,0.0,12.98,0,-7355.55,0,-0.9800000000004729
Feb 2019,2.85,0.02,1.15,1.6,0.03,0.49,2.66,0.01,0.02,0,-0.02,0,2.81,0.05,2.2,0.0,5.05,0,-7358.13,0,-2.5799999999999303
Mar 2019,28.62,0.23,5.03,5.49,0.15,0.49,4.5,0.64,0.23,0,-0.1,0,28.17,0.22,3.52,0.32,32.22,0,-7360.78,0,-2.64999999999964
Apr 2019,185.13,1.48,3.4,4.06,1.23,0.49,22.1,6.71,1.47,0,-0.07,0,182.17,0.15,16.14,3.77,202.23,0,-7364.83,0,-4.05000000000018
May 2019,93.22,0.75,6.72,6.11,1.68,0.49,29.41,9.23,0.74,0,-0.14,0,91.73,0.29,21.38,4.89,118.29,0,-7382.59,0,-17.7600000000002
Jun 2019,428.19,3.43,7.6,9.7,1.64,0.49,28.71,8.99,3.41,0,-0.15,0,421.35,0.33,20.88,5.6,448.16,0,-7407.06,0,-24.4700000000003
Jul 2019,444.36,3.56,13.4,15.45,1.68,0.49,29.39,9.22,3.53,0,-0.27,0,437.26,0.59,21.37,5.43,464.64,0,-7429.13,0,-22.0699999999997
Aug 2019,516.74,4.14,11.49,14.39,1.46,0.49,25.81,7.99,4.11,0,-0.23,0,508.49,0.5,18.8,4.86,532.65,0,-7451.47,0,-22.3400000000001
Sep 2019,448.41,3.6,15.43,17.91,1.24,0.49,22.23,6.75,3.57,0,-0.31,0,441.24,0.68,16.23,3.96,462.11,0,-7470.27,0,-18.8000000000002
Oct 2019,137.28,1.1,4.15,4.5,1.15,0.49,20.74,6.24,1.09,0,-0.08,0,135.09,0.18,15.17,2.75,153.19,0,-7486.46,0,-16.1899999999996
Nov 2019,50.63,0.41,1.19,1.98,0.08,0.49,3.4,0.26,0.4,0,-0.02,0,49.82,0.05,2.73,0.1,52.7,0,-7502.71,0,-16.25
Dec 2019,6.86,0.05,0.61,1.11,0.03,0.49,2.66,0.01,0.05,0,-0.01,0,6.75,0.03,2.2,0.0,8.98,0,-7505.57,0,-2.85999999999967
Jan 2020,18.78,0.15,0.67,1.26,0.03,0.49,2.66,0.01,0.15,0,-0.01,0,18.48,0.03,2.2,0.0,20.72,0,-7508.19,0,-2.61999999999989
Feb 2020,2.87,0.02,1.02,1.47,0.03,0.49,2.67,0.01,0.02,0,-0.02,0,2.82,0.04,2.2,0.0,5.07,0,-7510.71,0,-2.5200000000004397
Mar 2020,1.49,0.01,3.76,3.59,0.58,0.49,11.57,3.08,0.01,0,-0.08,0,1.47,0.16,8.59,1.48,11.7,0,-7513.37,0,-2.65999999999985
Apr 2020,38.26,0.31,2.47,1.75,1.45,0.49,25.65,7.93,0.3,0,-0.05,0,37.64,0.11,18.68,4.09,60.53,0,-7523.41,0,-10.04
May 2020,323.81,2.6,2.57,4.13,1.47,0.49,25.87,8.01,2.58,0,-0.05,0,318.64,0.11,18.85,4.9,342.49,0,-7544.97,0,-21.5600000000004
Jun 2020,362.38,2.91,13.44,14.84,1.68,0.49,29.38,9.22,2.88,0,-0.27,0,356.6,0.59,21.36,5.52,384.07,0,-7565.21,0,-20.2399999999998
Jul 2020,294.64,2.36,6.75,7.59,1.85,0.49,32.09,10.15,2.34,0,-0.14,0,289.94,0.3,23.3,5.55,319.08,0,-7588.29,0,-23.0799999999999
Aug 2020,662.54,5.31,13.44,17.6,1.32,0.49,23.59,7.22,5.27,0,-0.27,0,651.96,0.59,17.2,4.84,674.59,0,-7613.58,0,-25.29
Sep 2020,1570.37,12.59,26.28,38.37,0.38,0.49,8.23,1.92,12.49,0,-0.53,0,1545.29,1.15,6.19,3.67,1556.3,0,-7629.78,0,-16.1999999999998
Oct 2020,703.95,5.65,18.31,23.59,0.42,0.49,8.94,2.17,5.6,0,-0.37,0,692.71,0.8,6.7,2.04,702.25,0,-7627.8,0,1.9799999999995601
Nov 2020,136.69,1.1,3.05,4.53,0.03,0.49,2.67,0.01,1.09,0,-0.06,0,134.5,0.13,2.21,0.0,136.84,0,-7631.39,0,-3.5900000000001495
Dec 2020,474.49,3.8,6.64,10.75,0.03,0.49,2.67,0.01,3.77,0,-0.13,0,466.91,0.29,2.21,0.0,469.41,0,-7633.02,0,-1.63000000000011
Jan 2021,277.14,2.22,3.93,6.52,0.03,0.49,2.67,0.01,2.2,0,-0.08,0,272.71,0.17,2.21,0.0,275.09,0,-7632.05,0,0.970000000000255
