date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,132.1,0.22,0.05,0.35,0.0,0.06,0.52,0.0,0.21,0,-0.03,0,131.67,0.01,0.46,0.0,132.14,0,-287.41,0,0.0
Feb 2016,135.77,0.23,0.11,0.45,0.0,0.06,0.52,0.0,0.21,0,-0.07,0,135.33,0.03,0.46,0.0,135.82,0,-287.75,0,-0.339999999999975
Mar 2016,111.27,0.19,0.26,0.61,0.0,0.06,0.52,0.0,0.17,0,-0.16,0,110.9,0.06,0.46,0.0,111.43,0,-288.13,0,-0.379999999999995
Apr 2016,37.03,0.06,0.08,0.24,0.0,0.07,0.52,0.0,0.06,0,-0.05,0,36.91,0.02,0.46,0.0,37.39,0,-288.63,0,-0.5
May 2016,2.18,0.0,0.01,0.12,0.01,0.12,0.73,0.02,0.0,0,-0.0,0,2.18,0.0,0.6,0.61,3.39,0,-289.14,0,-0.509999999999991
Jun 2016,69.28,0.12,0.0,0.19,0.12,0.19,0.75,0.03,0.11,0,-0.0,0,69.05,0.0,0.65,0.74,70.45,0,-290.47,0,-1.33000000000004
Jul 2016,347.43,0.59,0.06,0.74,0.11,0.18,0.72,0.03,0.54,0,-0.04,0,346.3,0.02,0.63,0.75,347.7,0,-291.83,0,-1.3599999999999601
Aug 2016,467.92,0.79,0.1,0.99,0.09,0.15,0.67,0.02,0.73,0,-0.06,0,466.4,0.02,0.59,0.62,467.63,0,-292.77,0,-0.939999999999998
Sep 2016,592.71,1.0,0.07,1.16,0.05,0.11,0.61,0.01,0.92,0,-0.04,0,590.78,0.02,0.54,0.47,591.8,0,-293.37,0,-0.600000000000023
Oct 2016,580.83,0.98,0.04,1.11,0.0,0.06,0.52,0.0,0.91,0,-0.03,0,578.94,0.01,0.46,0.01,579.42,0,-293.55,0,-0.18000000000000702
Nov 2016,180.64,0.31,0.03,0.41,0.0,0.07,0.52,0.0,0.28,0,-0.02,0,180.05,0.01,0.46,0.0,180.52,0,-293.2,0,0.350000000000023
Dec 2016,223.89,0.38,0.04,0.49,0.0,0.07,0.52,0.0,0.35,0,-0.02,0,223.16,0.01,0.46,0.0,223.63,0,-293.46,0,-0.259999999999991
Jan 2017,335.27,0.57,0.11,0.78,0.0,0.07,0.52,0.0,0.52,0,-0.07,0,334.18,0.03,0.46,0.0,334.67,0,-293.66,0,-0.200000000000045
Feb 2017,134.1,0.23,0.13,0.46,0.0,0.07,0.52,0.0,0.21,0,-0.08,0,133.67,0.03,0.46,0.0,134.16,0,-293.72,0,-0.0600000000000023
Mar 2017,480.45,0.81,0.83,2.01,0.0,0.07,0.52,0.0,0.75,0,-0.51,0,478.88,0.2,0.46,0.0,479.54,0,-294.11,0,-0.38999999999998597
Apr 2017,556.75,0.94,1.1,2.51,0.0,0.07,0.52,0.0,0.87,0,-0.67,0,554.94,0.27,0.46,0.0,555.67,0,-294.39,0,-0.27999999999997305
May 2017,36.72,0.06,0.04,0.18,0.03,0.09,0.57,0.01,0.06,0,-0.03,0,36.6,0.01,0.5,0.16,37.28,0,-294.71,0,-0.319999999999993
