date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,55.37,1.08,0,1.13,0.65,0.14,0.12,0.01,0.88,0,-0.62,0,53.41,0.06,0.4,0.0,53.87,30.18,178.31,0.0,0.0
Feb 2016,51.84,0.83,0,1.04,0.36,0.14,0.12,0.01,0.82,0,-0.47,0,50.19,0.04,0.44,0.0,50.67,30.4,178.47,0.219999999999999,0.15999999999999698
Mar 2016,285.22,3.59,0,5.1,0.48,0.14,0.12,0.01,4.53,0,-2.05,0,277.1,0.19,0.5,0.0,277.79,30.28,178.71,-0.119999999999997,0.24000000000000898
Apr 2016,65.47,5.36,0,8.04,0.27,0.17,0.12,0.01,1.04,0,-3.06,0,59.06,0.28,0.74,0.01,60.1,30.23,181.08,-0.0500000000000007,2.37
May 2016,167.43,5.37,0,2.29,8.15,2.29,0.86,0.01,2.66,0,-3.06,0,159.41,0.28,2.83,5.88,168.4,29.7,178.94,-0.530000000000001,-2.1400000000000103
Jun 2016,82.88,8.11,0,1.94,12.31,1.94,1.22,0.0,1.32,0,-4.63,0,73.45,0.43,2.93,8.08,84.9,33.59,171.79,3.89,-7.150000000000009
Jul 2016,577.2,10.39,0,7.64,12.3,4.17,0.78,0.01,9.16,0,-5.93,0,557.65,0.55,4.81,7.97,570.98,42.25,159.18,8.66,-12.61
Aug 2016,760.06,12.16,0,11.96,8.94,2.44,0.5,0.01,12.06,0,-6.94,0,735.84,0.65,3.13,6.45,746.06,46.34,153.68,4.09,-5.5
Sep 2016,354.07,9.1,0,4.32,13.16,3.67,0.7,0.01,5.62,0,-5.19,0,339.36,0.48,4.15,5.52,349.5,50.2,151.86,3.86,-1.8199999999999898
Oct 2016,118.29,1.83,0,2.1,0.92,0.25,0.14,0.01,1.88,0,-1.04,0,114.58,0.1,0.83,0.14,115.65,56.23,146.08,6.0299999999999905,-5.78
Nov 2016,361.14,4.76,0,6.34,1.02,0.14,0.12,0.01,5.73,0,-2.72,0,350.65,0.25,0.48,0.0,351.38,56.19,146.65,-0.0399999999999991,0.569999999999993
Dec 2016,72.12,1.26,0,1.39,0.65,0.14,0.12,0.01,1.14,0,-0.72,0,69.72,0.07,0.41,0.0,70.2,56.7,149.56,0.510000000000005,2.91
Jan 2017,206.82,3.18,0,3.74,1.22,0.14,0.12,0.01,3.28,0,-1.82,0,200.35,0.17,0.42,0.0,200.94,56.91,149.88,0.209999999999994,0.319999999999993
Feb 2017,194.95,2.83,0,3.51,0.93,0.14,0.12,0.01,3.09,0,-1.62,0,189.02,0.15,0.44,0.0,189.62,57.69,151.23,0.780000000000001,1.3499999999999899
Mar 2017,369.57,8.28,0,6.99,5.71,0.14,0.12,0.01,5.86,0,-4.72,0,355.43,0.44,0.68,0.0,356.55,58.14,152.6,0.45000000000000295,1.37
Apr 2017,333.32,10.82,0,8.09,8.47,0.14,0.12,0.01,5.29,0,-6.18,0,317.21,0.57,1.01,0.0,318.8,63.13,153.64,4.99,1.03999999999999
May 2017,586.2,15.18,0,15.79,7.8,0.56,0.19,0.01,9.3,0,-8.66,0,561.73,0.81,1.66,2.11,566.31,70.56,152.64,7.43,-1.0
Jun 2017,182.96,4.29,0,2.35,6.5,2.35,1.03,0.0,2.9,0,-2.45,0,175.77,0.23,3.69,7.25,186.94,76.31,150.99,5.75,-1.64999999999998
Jul 2017,612.77,7.83,0,7.88,7.82,3.81,0.72,0.01,9.72,0,-4.47,0,595.21,0.42,4.82,7.67,608.13,77.8,143.18,1.4899999999999898,-7.81
Aug 2017,735.94,9.07,0,10.75,5.71,2.69,0.54,0.01,11.68,0,-5.18,0,715.19,0.48,3.65,6.67,726.0,77.7,140.05,-0.0999999999999943,-3.13
Sep 2017,316.76,4.01,0,3.26,6.09,3.26,0.68,0.01,5.03,0,-2.29,0,307.72,0.21,3.9,5.01,316.84,77.6,139.35,-0.100000000000009,-0.7000000000000172
Oct 2017,402.54,4.91,0,6.94,0.66,0.14,0.12,0.01,6.39,0,-2.8,0,391.24,0.26,0.7,0.0,392.2,77.19,136.4,-0.40999999999999703,-2.9499999999999904
Nov 2017,229.18,2.87,0,4.01,0.48,0.14,0.12,0.01,3.64,0,-1.64,0,222.68,0.15,0.47,0.0,223.3,77.12,139.88,-0.0699999999999932,3.4799999999999907
Dec 2017,62.95,0.92,0,1.2,0.34,0.14,0.12,0.01,1.0,0,-0.53,0,61.03,0.05,0.42,0.0,61.5,77.1,141.77,-0.0200000000000102,1.8900000000000101
Jan 2018,118.3,1.5,0,2.12,0.29,0.14,0.12,0.01,1.88,0,-0.86,0,114.92,0.08,0.49,0.0,115.49,76.99,142.14,-0.10999999999999902,0.369999999999976
Feb 2018,151.57,1.93,0,2.69,0.38,0.14,0.12,0.01,2.41,0,-1.1,0,147.23,0.1,0.5,0.0,147.83,76.77,143.05,-0.219999999999999,0.910000000000025
Mar 2018,233.85,2.84,0,4.07,0.38,0.14,0.12,0.01,3.71,0,-1.62,0,227.29,0.15,0.64,0.0,228.09,76.62,144.25,-0.149999999999991,1.19999999999999
Apr 2018,216.56,2.72,0,6.68,0.26,2.83,0.12,0.01,3.44,0,-1.55,0,210.41,0.14,1.02,0.0,211.57,76.33,146.22,-0.29000000000000603,1.97
May 2018,346.92,5.12,0,8.37,2.6,3.21,0.34,0.01,5.5,0,-2.92,0,336.3,0.27,2.54,2.68,341.8,72.86,148.0,-3.47,1.78
Jun 2018,208.66,5.51,0,2.66,8.37,2.66,1.02,0.01,3.31,0,-3.15,0,199.83,0.29,3.92,7.33,211.38,70.04,147.57,-2.8199999999999905,-0.430000000000007
Jul 2018,480.06,6.42,0,5.02,9.41,4.69,0.87,0.01,7.62,0,-3.66,0,466.03,0.34,5.64,7.98,479.98,72.83,139.4,2.7899999999999903,-8.169999999999991
Aug 2018,412.82,5.32,0,4.21,8.07,4.21,0.81,0.01,6.55,0,-3.03,0,400.96,0.28,5.01,6.79,413.04,72.78,134.52,-0.0499999999999972,-4.88
Sep 2018,470.71,5.9,0,6.15,5.66,2.85,0.57,0.01,7.47,0,-3.37,0,457.34,0.31,3.53,5.26,466.45,72.42,130.44,-0.35999999999999893,-4.08000000000001
Oct 2018,226.48,2.95,0,3.98,0.64,0.14,0.12,0.01,3.59,0,-1.69,0,219.93,0.16,0.8,0.0,220.89,72.25,128.73,-0.17000000000000198,-1.7100000000000102
Nov 2018,164.02,2.09,0,2.91,0.41,0.14,0.12,0.01,2.6,0,-1.19,0,159.33,0.11,0.51,0.0,159.95,72.05,130.53,-0.200000000000003,1.80000000000001
Dec 2018,137.67,1.87,0,2.47,0.5,0.14,0.12,0.01,2.18,0,-1.07,0,133.62,0.1,0.53,0.0,134.25,71.92,131.83,-0.12999999999999498,1.30000000000001
Jan 2019,119.95,1.56,0,2.16,0.34,0.14,0.12,0.01,1.9,0,-0.89,0,116.49,0.08,0.46,0.0,117.04,71.85,132.84,-0.0700000000000074,1.00999999999999
Feb 2019,198.0,2.51,0,3.49,0.46,0.14,0.12,0.01,3.14,0,-1.43,0,192.35,0.13,0.68,0.0,193.17,71.7,133.74,-0.149999999999991,0.9000000000000059
Mar 2019,127.73,1.89,0,2.33,0.68,0.14,0.12,0.01,2.03,0,-1.08,0,123.81,0.1,0.86,0.0,124.77,71.45,135.35,-0.25,1.6099999999999899
Apr 2019,356.74,5.41,0,12.44,0.26,4.49,0.12,0.01,5.66,0,-3.09,0,345.66,0.29,1.05,0.0,347.01,71.23,136.19,-0.219999999999999,0.840000000000003
May 2019,339.76,5.67,0,5.76,3.49,0.64,0.2,0.01,5.39,0,-3.23,0,328.7,0.3,1.65,1.16,331.81,66.06,138.65,-5.17,2.4600000000000097
Jun 2019,159.61,3.1,0,2.11,4.7,2.11,1.12,0.0,2.53,0,-1.77,0,153.98,0.16,3.56,7.93,165.65,67.45,139.46,1.39,0.810000000000002
Jul 2019,522.32,6.74,0,5.89,8.82,4.47,0.83,0.01,8.29,0,-3.85,0,507.29,0.36,5.4,7.98,521.03,67.6,131.16,0.149999999999991,-8.30000000000001
Aug 2019,1352.3,16.97,0,22.44,4.52,1.21,0.3,0.01,21.46,0,-9.69,0,1313.87,0.9,2.2,6.32,1323.3,67.36,126.8,-0.239999999999995,-4.36
Sep 2019,568.33,6.97,0,8.56,3.82,1.81,0.4,0.01,9.02,0,-3.98,0,552.34,0.37,2.53,4.46,559.7,68.76,131.96,1.4000000000000101,5.16000000000001
Oct 2019,488.73,5.95,0,8.43,0.74,0.14,0.12,0.01,7.75,0,-3.4,0,475.02,0.32,0.7,0.0,476.04,68.62,132.16,-0.140000000000001,0.19999999999998896
Nov 2019,125.54,1.72,0,2.27,0.48,0.14,0.12,0.01,1.99,0,-0.98,0,121.82,0.09,0.56,0.0,122.47,68.64,136.41,0.019999999999996004,4.25
Dec 2019,175.71,2.29,0,3.12,0.5,0.14,0.12,0.01,2.79,0,-1.31,0,170.64,0.12,0.46,0.0,171.22,68.53,137.31,-0.10999999999999902,0.9000000000000059
Jan 2020,52.27,0.88,0,1.03,0.45,0.14,0.12,0.01,0.83,0,-0.5,0,50.56,0.05,0.44,0.0,51.05,68.54,138.69,0.0100000000000051,1.38
Feb 2020,230.43,2.95,0,4.05,0.57,0.14,0.12,0.01,3.66,0,-1.68,0,223.83,0.16,0.54,0.0,224.52,68.52,138.9,-0.0200000000000102,0.210000000000008
Mar 2020,159.43,4.11,0,3.14,3.24,0.14,0.12,0.01,2.53,0,-2.35,0,152.78,0.22,0.7,0.0,153.7,68.52,140.77,0.0,1.87
Apr 2020,111.4,5.82,0,3.99,4.98,0.14,0.12,0.01,1.77,0,-3.32,0,103.82,0.31,0.96,0.0,105.08,71.03,140.84,2.51000000000001,0.0699999999999932
May 2020,689.42,10.92,0,16.99,0.26,0.68,0.12,0.01,10.94,0,-6.23,0,667.57,0.58,1.23,0.96,670.33,75.02,139.18,3.9899999999999904,-1.66
Jun 2020,558.34,8.93,0,7.46,9.59,3.49,0.67,0.01,8.86,0,-5.1,0,540.55,0.47,4.57,7.11,552.71,73.48,142.82,-1.5399999999999898,3.6399999999999904
Jul 2020,417.39,5.37,0,4.29,8.15,4.29,0.9,0.01,6.62,0,-3.06,0,405.4,0.29,5.27,7.74,418.69,75.66,138.81,2.17999999999999,-4.009999999999991
Aug 2020,384.6,4.71,0,3.94,7.15,3.94,0.83,0.01,6.1,0,-2.69,0,373.79,0.25,4.78,6.73,385.55,75.14,133.75,-0.519999999999996,-5.06
Sep 2020,448.11,5.37,0,5.96,4.71,2.52,0.51,0.01,7.11,0,-3.07,0,435.63,0.29,3.2,4.62,443.73,74.4,129.61,-0.7399999999999949,-4.139999999999991
Oct 2020,6.43,0.33,0,0.25,0.38,0.14,0.12,0.01,0.1,0,-0.19,0,6.0,0.02,0.78,0.0,6.79,73.89,128.53,-0.510000000000005,-1.08000000000001
Nov 2020,43.99,0.64,0,0.87,0.26,0.16,0.12,0.01,0.7,0,-0.37,0,42.66,0.03,0.6,0.0,43.29,73.47,128.34,-0.42000000000000204,-0.18999999999999803
Dec 2020,30.35,0.52,0,0.64,0.28,0.14,0.12,0.01,0.48,0,-0.29,0,29.36,0.03,0.51,0.0,29.9,73.08,128.56,-0.39000000000000107,0.219999999999999
Jan 2021,38.93,0.64,0,0.79,0.31,0.14,0.12,0.01,0.62,0,-0.36,0,37.68,0.03,0.48,0.0,38.2,72.81,128.64,-0.269999999999996,0.0799999999999841
Feb 2021,44.97,0.6,0,0.88,0.27,0.23,0.12,0.01,0.71,0,-0.34,0,43.66,0.03,0.64,0.0,44.32,72.61,128.79,-0.200000000000003,0.150000000000006
Mar 2021,13.16,0.41,0,1.0,0.27,0.64,0.12,0.01,0.21,0,-0.23,0,12.54,0.02,0.96,0.0,13.52,72.12,129.05,-0.489999999999995,0.260000000000019
Apr 2021,128.61,1.72,0,7.77,0.34,5.5,0.13,0.01,2.04,0,-0.98,0,124.85,0.09,1.2,0.07,126.2,70.89,128.92,-1.23,-0.130000000000024
May 2021,155.5,2.37,0,1.97,3.59,1.97,1.0,0.0,2.47,0,-1.35,0,150.67,0.13,3.24,7.12,161.16,64.65,129.8,-6.23999999999999,0.880000000000024
Jun 2021,319.01,4.26,0,3.46,6.47,3.46,1.01,0.01,5.06,0,-2.43,0,309.69,0.23,4.73,8.3,322.95,64.02,122.8,-0.63000000000001,-7.00000000000001
Jul 2021,379.58,4.71,0,3.98,7.15,3.98,0.99,0.01,6.02,0,-2.69,0,368.84,0.25,5.02,8.31,382.42,63.29,116.13,-0.729999999999997,-6.67
Aug 2021,197.87,2.89,0,2.38,4.38,2.38,1.04,0.0,3.14,0,-1.65,0,191.85,0.15,3.43,7.04,202.47,62.43,110.16,-0.859999999999999,-5.97
Sep 2021,361.5,4.45,0,4.09,5.8,3.14,0.61,0.01,5.74,0,-2.54,0,351.32,0.24,3.7,4.83,360.08,62.04,103.58,-0.39000000000000107,-6.58
Oct 2021,24.49,0.42,0,0.54,0.27,0.17,0.12,0.01,0.39,0,-0.24,0,23.68,0.02,0.84,0.0,24.54,61.61,101.34,-0.43,-2.23999999999999
Nov 2021,123.33,1.58,0,2.22,0.32,0.14,0.12,0.01,1.96,0,-0.9,0,119.78,0.08,0.52,0.0,120.39,60.97,101.38,-0.640000000000001,0.03999999999999201
Dec 2021,156.77,2.01,0,2.8,0.38,0.14,0.12,0.01,2.49,0,-1.14,0,152.28,0.11,0.48,0.0,152.87,60.74,102.33,-0.22999999999999698,0.950000000000003
Jan 2022,98.89,1.31,0,1.81,0.31,0.14,0.12,0.01,1.57,0,-0.75,0,96.02,0.07,0.48,0.0,96.56,60.61,103.56,-0.130000000000003,1.23
Feb 2022,139.34,1.75,0,2.49,0.3,0.14,0.12,0.01,2.21,0,-1.0,0,135.38,0.09,0.53,0.0,136.01,60.41,104.27,-0.200000000000003,0.7099999999999941
Mar 2022,157.0,2.07,0,2.81,0.47,0.14,0.12,0.01,2.49,0,-1.18,0,152.44,0.11,0.7,0.0,153.25,60.15,105.38,-0.259999999999998,1.11
Apr 2022,320.39,4.04,0,6.65,0.27,0.78,0.12,0.01,5.08,0,-2.31,0,311.27,0.21,0.97,0.0,312.46,59.88,106.58,-0.269999999999996,1.2
May 2022,443.89,9.04,0,11.95,3.78,2.01,0.43,0.01,7.04,0,-5.16,0,427.81,0.48,2.96,4.14,435.39,58.5,109.25,-1.38,2.67
Jun 2022,526.41,6.92,0,6.59,7.6,3.7,0.7,0.01,8.35,0,-3.95,0,511.15,0.37,4.61,7.16,523.29,57.73,106.58,-0.770000000000003,-2.67
Jul 2022,948.3,11.31,0,14.52,5.23,2.58,0.52,0.01,15.05,0,-6.46,0,921.93,0.6,3.56,7.67,933.77,57.71,103.13,-0.019999999999996004,-3.45
