date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,14.81,0.31,0,0.36,0.23,0.12,0.1,0.01,0.24,0,-0.18,0,14.27,0.02,0.4,0.0,14.68,30.18,179.08,0.0,0.0
Feb 2016,224.88,2.8,0,4.02,0.35,0.12,0.1,0.01,3.57,0,-1.6,0,218.51,0.15,0.4,0.0,219.05,29.98,179.05,-0.19999999999999898,-0.0300000000000011
Mar 2016,98.6,1.39,0,1.83,0.39,0.12,0.1,0.01,1.56,0,-0.79,0,95.65,0.07,0.53,0.0,96.25,29.91,180.92,-0.0700000000000003,1.8699999999999801
Apr 2016,392.33,5.01,0,13.09,0.23,5.71,0.1,0.01,6.23,0,-2.86,0,381.09,0.27,0.67,0.0,382.03,29.75,181.61,-0.16,0.6900000000000259
May 2016,353.74,4.46,0,3.72,6.78,3.72,0.73,0.01,5.61,0,-2.55,0,343.67,0.24,3.97,4.22,352.09,23.68,184.88,-6.07,3.2699999999999796
Jun 2016,500.11,6.89,0,5.36,10.46,5.36,1.21,0.01,7.94,0,-3.93,0,485.28,0.37,5.6,7.7,498.95,23.48,183.01,-0.19999999999999898,-1.87
Jul 2016,748.28,9.09,0,9.45,9.64,5.29,0.95,0.01,11.87,0,-5.19,0,727.32,0.48,5.43,7.68,740.91,24.18,178.11,0.699999999999999,-4.89999999999998
Aug 2016,897.75,11.2,0,13.92,5.91,2.83,0.55,0.01,14.24,0,-6.39,0,872.3,0.59,3.1,6.13,882.13,24.05,176.17,-0.129999999999999,-1.9400000000000301
Sep 2016,586.07,7.43,0,8.28,6.05,3.05,0.58,0.01,9.3,0,-4.24,0,569.34,0.39,3.22,4.74,577.69,24.57,177.36,0.52,1.1900000000000301
Oct 2016,77.96,1.04,0,1.46,0.23,0.12,0.1,0.01,1.24,0,-0.59,0,75.69,0.06,0.48,0.0,76.22,24.92,177.1,0.35000000000000103,-0.260000000000019
Nov 2016,109.03,1.38,0,2.0,0.23,0.14,0.1,0.01,1.73,0,-0.79,0,105.92,0.07,0.37,0.0,106.36,24.65,177.66,-0.270000000000003,0.560000000000002
Dec 2016,61.75,0.85,0,1.18,0.23,0.12,0.1,0.01,0.98,0,-0.48,0,59.93,0.04,0.29,0.0,60.26,24.46,178.51,-0.18999999999999803,0.8499999999999941
Jan 2017,165.27,2.08,0,3.0,0.28,0.12,0.1,0.01,2.62,0,-1.19,0,160.57,0.11,0.31,0.0,160.99,24.37,178.91,-0.0899999999999999,0.400000000000006
Feb 2017,67.68,0.92,0,1.29,0.23,0.12,0.1,0.01,1.07,0,-0.52,0,65.69,0.05,0.34,0.0,66.08,24.31,180.25,-0.0600000000000023,1.34
Mar 2017,106.39,1.48,0,2.03,0.33,0.12,0.1,0.01,1.69,0,-0.84,0,103.22,0.08,0.5,0.0,103.8,24.17,180.71,-0.139999999999997,0.46000000000000796
Apr 2017,103.26,1.36,0,7.98,0.23,6.14,0.1,0.01,1.64,0,-0.77,0,100.26,0.07,0.6,0.0,100.93,23.98,181.46,-0.190000000000001,0.75
May 2017,235.55,3.35,0,2.81,5.09,2.81,1.11,0.0,3.74,0,-1.91,0,228.46,0.18,3.17,5.47,237.27,17.56,182.24,-6.42,0.780000000000001
Jun 2017,705.19,8.78,0,9.01,9.32,5.01,0.91,0.01,11.19,0,-5.01,0,685.22,0.47,5.08,7.52,698.29,17.78,177.48,0.22000000000000197,-4.760000000000019
Jul 2017,482.23,5.86,0,5.2,8.89,5.2,1.32,0.01,7.65,0,-3.35,0,468.72,0.31,5.3,7.82,482.15,17.9,175.24,0.119999999999997,-2.2399999999999802
Aug 2017,666.11,8.53,0,8.71,8.76,4.53,0.83,0.01,10.57,0,-4.87,0,647.01,0.45,4.52,6.37,658.36,17.61,170.42,-0.289999999999999,-4.82000000000002
Sep 2017,63.38,1.67,0,1.38,2.53,1.38,1.56,0.0,1.01,0,-0.95,0,60.71,0.09,1.96,5.58,68.33,18.14,168.93,0.530000000000001,-1.48999999999998
Oct 2017,500.25,6.18,0,8.94,0.55,0.12,0.1,0.01,7.94,0,-3.52,0,486.14,0.33,0.41,0.13,487.01,18.89,161.85,0.75,-7.08000000000001
Nov 2017,66.14,1.02,0,1.28,0.38,0.12,0.1,0.01,1.05,0,-0.58,0,64.07,0.05,0.32,0.0,64.45,19.0,166.04,0.10999999999999902,4.19
Dec 2017,165.67,2.11,0,3.02,0.3,0.12,0.1,0.01,2.63,0,-1.21,0,160.93,0.11,0.26,0.0,161.3,19.04,166.41,0.0399999999999991,0.370000000000005
Jan 2018,290.11,3.6,0,5.22,0.36,0.12,0.1,0.01,4.6,0,-2.06,0,281.9,0.19,0.3,0.0,282.4,19.05,167.75,0.0100000000000016,1.34
Feb 2018,254.35,3.24,0,4.6,0.43,0.12,0.1,0.01,4.04,0,-1.85,0,247.08,0.17,0.32,0.0,247.58,19.09,170.2,0.0399999999999991,2.44999999999999
Mar 2018,501.89,6.03,0,8.94,0.33,0.12,0.1,0.01,7.96,0,-3.44,0,487.9,0.32,0.36,0.0,488.57,19.17,172.3,0.0800000000000018,2.10000000000002
