date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,137.86,3.3,0,2.71,2.4,0.1,0.09,0.01,2.19,0,-1.89,0,132.37,0.18,0.32,0.0,132.87,30.18,180.14,0.0,0.0
Feb 2016,143.37,2.49,0,2.67,1.21,0.1,0.09,0.01,2.27,0,-1.42,0,138.6,0.13,0.37,0.0,139.11,32.24,180.36,2.06,0.22000000000002698
Mar 2016,117.09,2.52,0,2.26,1.65,0.1,0.09,0.01,1.86,0,-1.44,0,112.72,0.13,0.51,0.0,113.36,33.06,181.14,0.82,0.779999999999973
Apr 2016,127.37,4.42,0,8.81,0.2,2.31,0.09,0.01,2.02,0,-2.52,0,120.93,0.23,0.73,0.01,121.91,34.18,181.48,1.12,0.34000000000000297
May 2016,95.15,4.03,0,1.79,6.12,1.79,1.52,0.0,1.51,0,-2.3,0,89.61,0.21,2.65,6.28,98.74,31.41,180.9,-2.77,-0.579999999999984
Jun 2016,374.22,5.44,0,4.2,8.26,4.2,1.41,0.01,5.94,0,-3.1,0,362.85,0.29,4.92,7.88,375.93,34.61,172.32,3.2,-8.580000000000009
Jul 2016,316.41,3.81,0,3.68,5.78,3.68,1.66,0.0,5.02,0,-2.17,0,307.58,0.2,4.51,8.4,320.69,35.15,165.87,0.5399999999999989,-6.44999999999999
Aug 2016,486.59,6.27,0,5.11,9.51,5.11,1.16,0.01,7.72,0,-3.58,0,472.6,0.33,5.44,6.96,485.33,34.39,158.67,-0.7599999999999979,-7.200000000000019
Sep 2016,503.74,6.38,0,5.94,7.83,4.09,0.74,0.01,7.99,0,-3.64,0,489.36,0.34,4.28,5.06,499.04,34.51,154.7,0.119999999999997,-3.97
Oct 2016,228.74,2.86,0,4.05,0.38,0.1,0.09,0.01,3.63,0,-1.63,0,222.25,0.15,0.52,0.0,222.92,34.7,153.26,0.190000000000005,-1.44
Nov 2016,268.8,3.32,0,4.75,0.39,0.1,0.09,0.01,4.27,0,-1.9,0,261.21,0.18,0.32,0.0,261.7,34.54,155.18,-0.160000000000004,1.92000000000002
Dec 2016,190.66,2.68,0,3.43,0.73,0.1,0.09,0.01,3.03,0,-1.53,0,184.96,0.14,0.3,0.0,185.4,34.6,157.47,0.0600000000000023,2.2899999999999903
Jan 2017,168.61,2.31,0,3.03,0.57,0.1,0.09,0.01,2.68,0,-1.32,0,163.62,0.12,0.31,0.0,164.05,35.01,158.89,0.40999999999999703,1.41999999999999
Feb 2017,115.65,1.86,0,2.14,0.78,0.1,0.09,0.01,1.84,0,-1.06,0,111.95,0.1,0.38,0.0,112.43,35.25,160.17,0.24000000000000196,1.28
Mar 2017,397.64,5.18,0,7.03,0.94,0.1,0.09,0.01,6.31,0,-2.96,0,386.14,0.28,0.53,0.0,386.95,35.64,160.87,0.39000000000000107,0.7000000000000172
Apr 2017,746.07,10.32,0,14.06,1.7,0.1,0.09,0.01,11.84,0,-5.89,0,723.91,0.55,0.71,0.0,725.16,36.02,164.14,0.380000000000003,3.2699999999999796
May 2017,324.39,5.31,0,9.98,3.0,4.92,0.35,0.01,5.15,0,-3.03,0,313.93,0.28,2.32,1.95,318.48,36.99,170.01,0.969999999999999,5.87
Jun 2017,529.96,7.33,0,5.56,11.12,5.56,1.14,0.01,8.41,0,-4.18,0,514.22,0.39,5.96,7.66,528.24,33.1,169.84,-3.89,-0.169999999999987
Jul 2017,398.16,9.35,0,4.73,14.2,4.73,1.42,0.01,6.32,0,-5.34,0,382.49,0.5,5.25,7.8,396.03,33.83,165.27,0.729999999999997,-4.5699999999999905
Aug 2017,556.24,11.05,0,6.4,15.86,5.49,0.97,0.01,8.83,0,-6.31,0,536.37,0.59,5.74,6.48,549.18,39.47,157.04,5.64,-8.230000000000018
Sep 2017,213.19,8.08,0,2.98,12.26,2.98,1.23,0.0,3.38,0,-4.61,0,201.73,0.43,3.57,5.25,210.97,45.06,152.12,5.59,-4.91999999999999
Oct 2017,84.06,1.3,0,1.55,0.52,0.1,0.09,0.01,1.33,0,-0.74,0,81.43,0.07,0.63,0.0,82.14,52.0,144.42,6.94,-7.700000000000019
Nov 2017,147.91,1.91,0,2.62,0.38,0.1,0.09,0.01,2.35,0,-1.09,0,143.65,0.1,0.41,0.0,144.16,51.87,144.94,-0.130000000000003,0.52000000000001
Dec 2017,35.96,0.62,0,0.71,0.33,0.1,0.09,0.01,0.57,0,-0.35,0,34.78,0.03,0.33,0.0,35.14,51.81,146.12,-0.0599999999999952,1.18000000000001
Jan 2018,39.36,0.62,0,0.76,0.28,0.1,0.09,0.01,0.62,0,-0.36,0,38.12,0.03,0.38,0.0,38.53,51.79,146.26,-0.0200000000000031,0.139999999999986
Feb 2018,95.41,1.4,0,1.74,0.48,0.1,0.09,0.01,1.51,0,-0.8,0,92.5,0.07,0.49,0.0,93.06,51.68,146.45,-0.10999999999999902,0.18999999999999803
Mar 2018,196.33,7.54,0,4.2,7.34,0.1,0.09,0.01,3.12,0,-4.3,0,185.67,0.4,0.61,0.0,186.68,51.65,147.09,-0.0300000000000011,0.640000000000015
Apr 2018,281.78,5.03,0,11.23,0.19,3.79,0.09,0.01,4.47,0,-2.87,0,272.28,0.27,0.96,0.0,273.51,58.36,145.83,6.71,-1.25999999999999
May 2018,136.68,4.18,0,2.02,6.34,2.02,1.24,0.0,2.17,0,-2.38,0,130.34,0.22,3.15,5.45,139.16,53.87,147.35,-4.49,1.51999999999998
Jun 2018,830.01,11.73,0,11.45,10.64,4.29,0.78,0.01,13.17,0,-6.7,0,805.11,0.62,5.18,7.65,818.56,56.28,140.45,2.41,-6.900000000000009
Jul 2018,285.03,4.29,0,3.42,6.51,3.42,1.67,0.0,4.52,0,-2.45,0,276.22,0.23,4.62,8.16,289.23,58.2,138.52,1.92,-1.92999999999998
