date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,40.42,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,40.41,0,1.12,0.0,41.53,0,-8583.35,0,0.0
Feb 2016,74.65,0,0,0,0,0.34,1.46,0.0,0.02,0,0.34,0,74.64,0,1.12,0.0,75.76,0,-8584.47,0,-1.11999999999898
Mar 2016,37.64,0,0,0,0,0.34,1.87,0.12,0.01,0,0.34,0,37.63,0,1.41,0.0,39.05,0,-8585.57,0,-1.1000000000003602
Apr 2016,4.28,0,0,0,0,0.34,35.58,9.75,0.0,0,0.34,0,4.28,0,25.48,0.03,29.8,0,-8586.98,0,-1.40999999999985
May 2016,324.61,0,0,0,0,0.34,12.02,3.02,0.07,0,0.34,0,324.54,0,8.66,0.04,333.24,0,-8612.49,0,-25.5100000000002
Jun 2016,36.21,0,0,0,0,0.34,48.88,13.55,0.01,0,0.34,0,36.2,0,34.99,0.05,71.24,0,-8621.13,0,-8.63999999999942
Jul 2016,163.86,0,0,0,0,0.34,37.28,10.24,0.03,0,0.34,0,163.83,0,26.7,0.05,190.58,0,-8656.16,0,-35.0300000000007
Aug 2016,153.15,0,0,0,0,0.34,32.04,8.74,0.03,0,0.34,0,153.12,0,22.96,0.04,176.12,0,-8682.87,0,-26.710000000000896
Sep 2016,144.22,0,0,0,0,0.34,27.42,7.42,0.03,0,0.34,0,144.19,0,19.66,0.04,163.88,0,-8705.84,0,-22.9699999999993
Oct 2016,262.82,0,0,0,0,0.34,1.5,0.01,0.06,0,0.34,0,262.77,0,1.15,0.02,263.93,0,-8725.5,0,-19.659999999999897
Nov 2016,44.71,0,0,0,0,0.34,1.47,0.0,0.01,0,0.34,0,44.7,0,1.12,0.0,45.82,0,-8726.61,0,-1.11000000000058
Dec 2016,43.63,0,0,0,0,0.34,1.47,0.0,0.01,0,0.34,0,43.62,0,1.12,0.0,44.74,0,-8727.72,0,-1.10999999999876
Jan 2017,28.79,0,0,0,0,0.34,1.47,0.0,0.01,0,0.34,0,28.79,0,1.12,0.0,29.91,0,-8728.84,0,-1.1200000000008001
Feb 2017,58.86,0,0,0,0,0.34,1.47,0.0,0.01,0,0.34,0,58.85,0,1.12,0.0,59.97,0,-8729.95,0,-1.11000000000058
Mar 2017,115.36,0,0,0,0,0.34,1.51,0.01,0.02,0,0.34,0,115.34,0,1.16,0.0,116.49,0,-8731.06,0,-1.10999999999876
Apr 2017,232.66,0,0,0,0,0.34,9.01,2.16,0.05,0,0.34,0,232.61,0,6.51,0.03,239.15,0,-8732.19,0,-1.13000000000102
May 2017,306.26,0,0,0,0,0.34,13.21,3.36,0.06,0,0.34,0,306.2,0,9.51,0.04,315.75,0,-8738.69,0,-6.5
