date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,0.83,0,0,0,0,0.27,1.3,0.0,0.0,0,0.27,0,0.83,0,1.03,0.0,1.86,0,-8584.8,0,0.0
Feb 2016,66.81,0,0,0,0,0.27,1.3,0.0,0.01,0,0.27,0,66.79,0,1.03,0.0,67.82,0,-8585.83,0,-1.03000000000065
Mar 2016,2.93,0,0,0,0,0.27,2.48,0.34,0.0,0,0.27,0,2.93,0,1.87,0.0,4.8,0,-8586.85,0,-1.0200000000004399
Apr 2016,88.16,0,0,0,0,0.27,20.99,5.63,0.02,0,0.27,0,88.14,0,15.09,0.04,103.27,0,-8588.72,0,-1.8699999999989798
May 2016,166.41,0,0,0,0,0.27,21.39,5.74,0.03,0,0.27,0,166.37,0,15.38,0.05,181.8,0,-8603.83,0,-15.110000000000598
Jun 2016,209.59,0,0,0,0,0.27,23.61,6.38,0.04,0,0.27,0,209.54,0,16.96,0.05,226.55,0,-8619.22,0,-15.389999999999402
Jul 2016,293.09,0,0,0,0,0.27,18.93,5.04,0.06,0,0.27,0,293.03,0,13.62,0.05,306.7,0,-8636.18,0,-16.9600000000009
Aug 2016,283.16,0,0,0,0,0.27,15.35,4.02,0.06,0,0.27,0,283.1,0,11.06,0.04,294.2,0,-8649.79,0,-13.610000000000598
Sep 2016,250.84,0,0,0,0,0.27,12.33,3.15,0.05,0,0.27,0,250.79,0,8.91,0.04,259.73,0,-8660.84,0,-11.0499999999993
Oct 2016,8.58,0,0,0,0,0.27,25.62,6.95,0.0,0,0.27,0,8.58,0,18.4,0.03,27.0,0,-8669.73,0,-8.88999999999942
Nov 2016,21.77,0,0,0,0,0.27,2.22,0.26,0.0,0,0.27,0,21.76,0,1.69,0.0,23.45,0,-8688.15,0,-18.4200000000001
