date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,0.83,0,0,0,0,0.41,1.62,0.0,0.0,0,0.41,0,0.83,0,1.21,0.0,2.03,0,-8593.07,0,0.0
Feb 2016,66.81,0,0,0,0,0.41,1.62,0.0,0.01,0,0.41,0,66.79,0,1.21,0.0,68.0,0,-8594.28,0,-1.2100000000009499
Mar 2016,2.93,0,0,0,0,0.41,3.57,0.56,0.0,0,0.41,0,2.93,0,2.6,0.0,5.53,0,-8595.47,0,-1.1899999999986899
Apr 2016,88.16,0,0,0,0,0.41,34.43,9.38,0.02,0,0.41,0,88.14,0,24.64,0.04,112.81,0,-8598.07,0,-2.60000000000036
May 2016,166.41,0,0,0,0,0.41,35.1,9.57,0.03,0,0.41,0,166.37,0,25.12,0.05,191.54,0,-8622.73,0,-24.6599999999999
Jun 2016,209.59,0,0,0,0,0.41,38.79,10.63,0.04,0,0.41,0,209.54,0,27.75,0.05,237.35,0,-8647.85,0,-25.1200000000008
Jul 2016,293.09,0,0,0,0,0.41,31.0,8.4,0.06,0,0.41,0,293.03,0,22.19,0.05,315.27,0,-8675.62,0,-27.7700000000004
Aug 2016,283.16,0,0,0,0,0.41,25.03,6.69,0.06,0,0.41,0,283.1,0,17.93,0.04,301.07,0,-8697.79,0,-22.1700000000001
Sep 2016,250.84,0,0,0,0,0.41,20.0,5.25,0.05,0,0.41,0,250.79,0,14.33,0.04,265.16,0,-8715.7,0,-17.909999999999897
Oct 2016,8.58,0,0,0,0,0.41,42.14,11.58,0.0,0,0.41,0,8.58,0,30.15,0.03,38.75,0,-8730.02,0,-14.3199999999997
Nov 2016,21.77,0,0,0,0,0.41,3.15,0.44,0.0,0,0.41,0,21.76,0,2.3,0.0,24.07,0,-8760.19,0,-30.1700000000001
Dec 2016,2.05,0,0,0,0,0.41,1.62,0.0,0.0,0,0.41,0,2.05,0,1.21,0.0,3.26,0,-8762.49,0,-2.29999999999927
Jan 2017,30.3,0,0,0,0,0.41,1.62,0.0,0.01,0,0.41,0,30.3,0,1.21,0.0,31.5,0,-8763.7,0,-1.2100000000009499
Feb 2017,11.81,0,0,0,0,0.41,1.62,0.0,0.0,0,0.41,0,11.8,0,1.21,0.0,13.01,0,-8764.9,0,-1.19999999999891
Mar 2017,7.62,0,0,0,0,0.41,4.9,0.94,0.0,0,0.41,0,7.62,0,3.55,0.0,11.17,0,-8766.1,0,-1.20000000000073
Apr 2017,9.77,0,0,0,0,0.41,45.69,12.6,0.0,0,0.41,0,9.76,0,32.68,0.04,42.48,0,-8769.65,0,-3.5499999999992697
May 2017,133.57,0,0,0,0,0.41,39.94,10.95,0.03,0,0.41,0,133.55,0,28.58,0.05,162.17,0,-8802.37,0,-32.7200000000012
Jun 2017,342.37,0,0,0,0,0.41,24.95,6.67,0.07,0,0.41,0,342.3,0,17.87,0.05,360.22,0,-8830.96,0,-28.5899999999983
Jul 2017,218.43,0,0,0,0,0.41,39.15,10.73,0.05,0,0.41,0,218.38,0,28.01,0.05,246.44,0,-8848.81,0,-17.8500000000004
Aug 2017,145.57,0,0,0,0,0.41,42.13,11.58,0.03,0,0.41,0,145.54,0,30.14,0.04,175.72,0,-8876.83,0,-28.0200000000004
Sep 2017,39.38,0,0,0,0,0.41,50.41,13.95,0.01,0,0.41,0,39.37,0,36.05,0.04,75.46,0,-8906.98,0,-30.1499999999996
Oct 2017,232.93,0,0,0,0,0.41,10.61,2.57,0.05,0,0.41,0,232.88,0,7.63,0.03,240.53,0,-8943.07,0,-36.0900000000001
Nov 2017,7.56,0,0,0,0,0.41,1.62,0.0,0.0,0,0.41,0,7.55,0,1.21,0.0,8.76,0,-8950.67,0,-7.60000000000036
Dec 2017,108.52,0,0,0,0,0.41,1.62,0.0,0.02,0,0.41,0,108.5,0,1.21,0.0,109.7,0,-8951.87,0,-1.20000000000073
Jan 2018,135.32,0,0,0,0,0.41,1.62,0.0,0.03,0,0.41,0,135.29,0,1.21,0.0,136.5,0,-8953.06,0,-1.1899999999986899
Feb 2018,53.7,0,0,0,0,0.41,1.62,0.0,0.01,0,0.41,0,53.69,0,1.21,0.0,54.89,0,-8954.24,0,-1.18000000000029
Mar 2018,159.72,0,0,0,0,0.41,1.62,0.0,0.03,0,0.41,0,159.68,0,1.21,0.0,160.89,0,-8955.44,0,-1.20000000000073
Apr 2018,114.28,0,0,0,0,0.41,8.98,2.1,0.02,0,0.41,0,114.26,0,6.46,0.01,120.73,0,-8956.61,0,-1.17000000000007
May 2018,360.55,0,0,0,0,0.41,15.8,4.05,0.08,0,0.41,0,360.48,0,11.33,0.05,371.86,0,-8963.07,0,-6.4599999999991295
Jun 2018,179.27,0,0,0,0,0.41,42.58,11.71,0.04,0,0.41,0,179.23,0,30.46,0.05,209.74,0,-8974.37,0,-11.300000000001098
Jul 2018,127.52,0,0,0,0,0.41,52.81,14.63,0.03,0,0.41,0,127.49,0,37.77,0.05,165.31,0,-9004.84,0,-30.4699999999993
Aug 2018,290.47,0,0,0,0,0.41,26.03,6.98,0.06,0,0.41,0,290.41,0,18.64,0.05,309.09,0,-9042.64,0,-37.7999999999993
Sep 2018,186.13,0,0,0,0,0.41,28.77,7.76,0.04,0,0.41,0,186.09,0,20.6,0.04,206.73,0,-9061.26,0,-18.6200000000008
Oct 2018,69.83,0,0,0,0,0.41,33.88,9.22,0.01,0,0.41,0,69.82,0,24.24,0.03,94.09,0,-9081.86,0,-20.6000000000004
