date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,34.09,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,34.09,0,1.12,0.0,35.2,0,-8563.12,0,0.0
Feb 2016,40.62,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,40.62,0,1.12,0.0,41.73,0,-8564.23,0,-1.10999999999876
Mar 2016,27.66,0,0,0,0,0.34,1.71,0.07,0.01,0,0.34,0,27.66,0,1.3,0.0,28.95,0,-8565.33,0,-1.1000000000003602
Apr 2016,81.11,0,0,0,0,0.34,21.79,5.81,0.02,0,0.34,0,81.09,0,15.63,0.04,96.77,0,-8566.62,0,-1.29000000000087
May 2016,41.12,0,0,0,0,0.34,31.97,8.72,0.01,0,0.34,0,41.11,0,22.91,0.05,64.06,0,-8582.28,0,-15.6599999999999
Jun 2016,67.39,0,0,0,0,0.34,36.75,10.09,0.01,0,0.34,0,67.38,0,26.32,0.06,93.76,0,-8605.22,0,-22.939999999998697
Jul 2016,55.4,0,0,0,0,0.34,39.52,10.88,0.01,0,0.34,0,55.38,0,28.3,0.06,83.74,0,-8631.59,0,-26.3700000000008
Aug 2016,147.85,0,0,0,0,0.34,27.8,7.53,0.03,0,0.34,0,147.82,0,19.93,0.05,167.8,0,-8659.93,0,-28.3400000000001
Sep 2016,254.68,0,0,0,0,0.34,12.06,3.03,0.05,0,0.34,0,254.62,0,8.69,0.04,263.35,0,-8679.88,0,-19.949999999998898
Oct 2016,143.8,0,0,0,0,0.34,12.31,3.1,0.03,0,0.34,0,143.77,0,8.87,0.02,152.67,0,-8688.56,0,-8.68000000000029
Nov 2016,51.47,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,51.46,0,1.12,0.0,52.58,0,-8697.42,0,-8.86000000000058
Dec 2016,31.59,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,31.58,0,1.12,0.0,32.7,0,-8698.53,0,-1.11000000000058
Jan 2017,61.23,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,61.22,0,1.12,0.0,62.34,0,-8699.64,0,-1.10999999999876
Feb 2017,34.23,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,34.23,0,1.12,0.0,35.34,0,-8700.74,0,-1.1000000000003602
Mar 2017,131.7,0,0,0,0,0.34,1.46,0.0,0.03,0,0.34,0,131.68,0,1.12,0.0,132.8,0,-8701.85,0,-1.11000000000058
Apr 2017,259.7,0,0,0,0,0.34,7.42,1.71,0.05,0,0.34,0,259.64,0,5.38,0.04,265.05,0,-8702.95,0,-1.1000000000003602
May 2017,57.14,0,0,0,0,0.34,28.74,7.8,0.01,0,0.34,0,57.13,0,20.6,0.04,77.77,0,-8708.3,0,-5.34999999999854
Jun 2017,124.34,0,0,0,0,0.34,31.44,8.57,0.03,0,0.34,0,124.32,0,22.53,0.06,146.9,0,-8728.94,0,-20.640000000001198
Jul 2017,57.19,0,0,0,0,0.34,39.04,10.74,0.01,0,0.34,0,57.18,0,27.95,0.06,85.19,0,-8751.49,0,-22.549999999999297
Aug 2017,319.1,0,0,0,0,0.34,15.15,3.91,0.07,0,0.34,0,319.04,0,10.9,0.05,329.98,0,-8779.49,0,-28.0
Sep 2017,51.05,0,0,0,0,0.34,27.04,7.31,0.01,0,0.34,0,51.04,0,19.38,0.03,70.46,0,-8790.37,0,-10.880000000000999
Oct 2017,9.9,0,0,0,0,0.34,22.0,5.87,0.0,0,0.34,0,9.9,0,15.78,0.02,25.71,0,-8809.77,0,-19.3999999999996
Nov 2017,58.95,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,58.94,0,1.12,0.0,60.05,0,-8825.58,0,-15.8099999999995
Dec 2017,2.0,0,0,0,0,0.34,1.46,0.0,0.0,0,0.34,0,2.0,0,1.12,0.0,3.12,0,-8826.68,0,-1.1000000000003602
Jan 2018,9.73,0,0,0,0,0.34,1.46,0.0,0.0,0,0.34,0,9.73,0,1.12,0.0,10.84,0,-8827.8,0,-1.11999999999898
Feb 2018,36.11,0,0,0,0,0.34,1.46,0.0,0.01,0,0.34,0,36.1,0,1.12,0.0,37.22,0,-8828.92,0,-1.1200000000008001
Mar 2018,48.76,0,0,0,0,0.34,1.48,0.01,0.01,0,0.34,0,48.75,0,1.13,0.0,49.88,0,-8830.03,0,-1.11000000000058
Apr 2018,57.31,0,0,0,0,0.34,23.15,6.2,0.01,0,0.34,0,57.3,0,16.6,0.04,73.94,0,-8831.15,0,-1.11999999999898
May 2018,54.55,0,0,0,0,0.34,31.58,8.61,0.01,0,0.34,0,54.53,0,22.63,0.05,77.21,0,-8847.78,0,-16.630000000000997
Jun 2018,208.07,0,0,0,0,0.34,24.66,6.63,0.04,0,0.34,0,208.03,0,17.69,0.06,225.77,0,-8870.44,0,-22.6599999999999
Jul 2018,57.29,0,0,0,0,0.34,39.54,10.89,0.01,0,0.34,0,57.28,0,28.32,0.06,85.65,0,-8888.14,0,-17.699999999998898
