date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,15.0,0.22,1.5,1.62,0.0,0.26,0.06,0.0,0.15,0,0.33,0,14.63,0.03,0.82,0.0,15.49,44.45,979.92,0.0,0.0
Feb 2016,3.72,0.05,7.66,4.57,1.29,0.02,0.06,0.0,0.04,0,1.69,0,3.63,0.18,0.98,0.0,4.79,43.42,980.34,-1.03,0.42000000000007304
Mar 2016,43.41,0.64,15.54,22.81,0.0,10.42,0.06,0.0,0.43,0,3.42,0,42.35,0.36,1.44,0.0,44.15,43.77,982.01,0.35000000000000103,1.66999999999996
Apr 2016,2.13,0.03,3.87,14.34,5.61,16.99,2.26,0.88,0.02,0,0.85,0,2.07,0.09,5.38,1.99,9.54,31.96,985.81,-11.81,3.79999999999995
May 2016,34.56,0.51,26.56,10.57,14.11,4.09,2.59,1.02,0.34,0,5.85,0,33.71,0.61,5.28,2.37,41.98,16.57,983.32,-15.39,-2.4899999999999
Jun 2016,11.34,0.17,14.73,24.35,8.33,21.37,3.33,1.31,0.11,0,3.25,0,11.06,0.34,7.05,3.0,21.46,22.89,985.57,6.32,2.25
Jul 2016,355.62,5.23,17.6,4.41,17.21,3.07,1.96,0.77,3.52,0,3.88,0,346.87,0.41,3.47,2.69,353.44,4.81,983.92,-18.08,-1.65000000000009
Aug 2016,279.41,4.11,20.69,14.98,7.84,3.06,1.95,0.76,2.76,0,4.56,0,272.54,0.48,3.95,2.37,279.34,16.68,987.43,11.87,3.5099999999999905
Sep 2016,176.86,2.6,14.1,16.53,4.83,8.1,1.95,0.76,1.75,0,3.11,0,172.51,0.33,3.86,2.01,178.71,18.7,991.19,2.02,3.7600000000001
Oct 2016,80.1,1.18,3.01,5.05,3.88,5.47,1.58,0.61,0.79,0,0.66,0,78.13,0.07,2.84,1.27,82.31,12.77,992.84,-5.93,1.64999999999998
Nov 2016,130.94,1.93,5.69,1.18,5.07,0.02,0.06,0.0,1.29,0,1.26,0,127.71,0.13,0.3,0.0,128.15,9.3,992.06,-3.47,-0.780000000000086
Dec 2016,21.35,0.31,1.38,0.52,0.85,0.02,0.06,0.0,0.21,0,0.3,0,20.83,0.03,0.36,0.0,21.22,14.11,994.56,4.81,2.5
Jan 2017,94.66,1.39,4.42,0.83,3.93,0.02,0.06,0.0,0.94,0,0.97,0,92.34,0.1,0.34,0.0,92.78,14.64,995.02,0.530000000000001,0.460000000000036
Feb 2017,80.05,1.18,6.48,2.06,4.03,0.02,0.06,0.0,0.79,0,1.43,0,78.08,0.15,0.44,0.0,78.67,18.26,996.87,3.62,1.85000000000002
Mar 2017,154.5,2.27,12.2,12.14,0.0,0.65,0.06,0.0,1.53,0,2.69,0,150.7,0.28,0.89,0.0,151.87,21.88,999.04,3.62,2.16999999999996
Apr 2017,83.35,1.23,6.45,9.77,2.31,5.98,0.96,0.37,0.82,0,1.42,0,81.3,0.15,2.67,0.97,85.09,20.4,1003.2,-1.48,4.16000000000008
May 2017,212.37,3.12,19.56,13.3,7.44,2.82,1.8,0.7,2.1,0,4.31,0,207.15,0.45,3.88,2.22,213.71,14.66,1003.88,-5.74,0.67999999999995
Jun 2017,138.1,2.03,13.12,18.53,6.55,13.13,2.63,1.03,1.37,0,2.89,0,134.71,0.3,5.43,2.73,143.17,16.5,1006.97,1.84,3.0900000000000296
