date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,75.15,1.12,8.56,8.89,0.01,1.48,4.21,0.0,0.57,0,0.58,0,73.46,1.68,2.74,0.0,77.88,0,-684.15,0,0.0
Feb 2016,0.78,0.01,27.61,21.62,0.46,1.75,4.43,0.07,0.01,0,1.87,0,0.76,5.42,3.07,0.0,9.25,0,-687.2,0,-3.0500000000000695
Mar 2016,34.74,0.52,108.64,72.54,23.84,15.93,15.54,3.62,0.26,0,7.38,0,33.96,21.35,19.83,0.1,75.23,0,-689.68,0,-2.4799999999999
Apr 2016,2.69,0.04,88.29,52.29,36.02,23.32,21.34,5.46,0.02,0,5.99,0,2.63,17.35,28.57,0.17,48.71,0,-694.07,0,-4.3900000000001
May 2016,9.08,0.14,99.54,59.24,39.65,25.52,23.07,6.02,0.07,0,6.76,0,8.87,19.56,31.17,0.19,59.79,0,-704.1,0,-10.03
Jun 2016,11.44,0.17,127.87,76.76,48.18,30.7,27.12,7.31,0.09,0,8.68,0,11.19,25.12,37.29,0.23,73.84,0,-714.51,0,-10.41
Jul 2016,566.46,8.44,144.21,105.82,25.88,17.18,16.53,3.93,4.31,0,9.79,0,553.71,28.33,21.31,0.21,603.56,0,-725.78,0,-11.27
Aug 2016,468.04,6.97,115.15,82.67,26.68,17.66,16.91,4.05,3.57,0,7.82,0,457.5,22.62,21.88,0.19,502.19,0,-724.49,0,1.2899999999999598
Sep 2016,493.11,7.35,74.18,55.81,19.3,13.19,13.41,2.93,3.76,0,5.04,0,482.01,14.57,16.59,0.16,513.33,0,-726.16,0,-1.66999999999996
Oct 2016,137.47,2.05,17.24,11.7,14.73,11.7,15.99,2.56,1.05,0,1.17,0,134.38,3.39,16.46,0.11,154.34,0,-728.0,0,-1.84000000000003
Nov 2016,274.29,4.09,4.5,8.85,0.09,1.54,4.29,0.02,2.09,0,0.31,0,268.12,0.88,2.82,0.0,271.83,0,-739.34,0,-11.34
Dec 2016,31.79,0.47,0.07,2.01,0.01,1.5,4.26,0.0,0.24,0,0.0,0,31.08,0.01,2.76,0.0,33.86,0,-741.22,0,-1.88
Jan 2017,161.62,2.41,9.64,10.99,0.01,1.5,4.26,0.0,1.23,0,0.65,0,157.98,1.89,2.77,0.0,162.64,0,-745.22,0,-4.0
Feb 2017,69.46,1.03,28.42,23.43,0.01,1.5,4.26,0.0,0.53,0,1.93,0,67.89,5.58,2.77,0.0,76.25,0,-747.59,0,-2.37
Mar 2017,118.15,1.76,109.51,83.33,1.22,2.24,4.84,0.19,0.9,0,7.44,0,115.49,21.51,3.64,0.01,140.65,0,-749.39,0,-1.7999999999999499
Apr 2017,37.11,0.55,87.91,54.77,30.36,19.91,18.69,4.61,0.28,0,5.97,0,36.27,17.27,24.54,0.14,78.23,0,-745.71,0,3.67999999999995
May 2017,44.67,0.67,99.33,60.26,38.05,24.57,22.35,5.77,0.34,0,6.74,0,43.66,19.52,30.05,0.19,93.42,0,-753.69,0,-7.980000000000019
Jun 2017,118.01,1.76,128.19,80.91,42.3,27.15,24.37,6.42,0.9,0,8.7,0,115.35,25.18,33.1,0.22,173.86,0,-763.37,0,-9.679999999999948
Jul 2017,586.33,8.73,141.73,104.61,25.12,16.73,16.21,3.81,4.47,0,9.62,0,573.13,27.85,20.78,0.21,621.96,0,-771.95,0,-8.580000000000041
Aug 2017,404.81,6.03,111.37,77.9,29.37,19.32,18.24,4.46,3.08,0,7.56,0,395.69,21.88,23.84,0.19,441.6,0,-770.47,0,1.48000000000002
Sep 2017,371.29,5.53,66.47,46.49,23.99,16.05,15.68,3.64,2.83,0,4.51,0,362.93,13.06,19.98,0.16,396.13,0,-773.79,0,-3.31999999999994
Oct 2017,225.8,3.36,17.44,11.46,16.19,11.46,12.49,2.49,1.72,0,1.18,0,220.71,3.43,14.72,0.09,238.96,0,-778.65,0,-4.860000000000009
Nov 2017,17.21,0.26,0.07,1.81,0.01,1.51,4.3,0.0,0.13,0,0.0,0,16.83,0.01,2.79,0.0,19.63,0,-785.84,0,-7.19000000000005
Dec 2017,210.08,3.13,2.12,6.2,0.01,1.52,4.3,0.0,1.6,0,0.14,0,205.35,0.42,2.79,0.0,208.56,0,-789.99,0,-4.14999999999998
Jan 2018,112.27,1.67,8.24,9.24,0.01,1.52,4.3,0.0,0.86,0,0.56,0,109.74,1.62,2.79,0.0,114.15,0,-792.54,0,-2.54999999999995
Feb 2018,112.74,1.68,28.7,24.3,0.01,1.52,4.31,0.0,0.86,0,1.95,0,110.2,5.64,2.79,0.0,118.63,0,-795.43,0,-2.8899999999999904
Mar 2018,89.33,1.33,108.89,82.78,0.44,1.78,4.52,0.07,0.68,0,7.39,0,87.32,21.39,3.11,0.0,111.82,0,-796.92,0,-1.4900000000000102
Apr 2018,24.61,0.37,88.44,54.41,31.84,20.83,19.44,4.83,0.19,0,6.01,0,24.06,17.38,25.62,0.15,67.2,0,-793.3,0,3.62
May 2018,132.28,1.97,100.71,63.97,34.58,22.49,20.75,5.25,1.01,0,6.84,0,129.3,19.79,27.59,0.19,176.87,0,-801.86,0,-8.56000000000006
Jun 2018,158.0,2.35,128.44,82.56,40.16,25.87,23.4,6.09,1.2,0,8.72,0,154.45,25.24,31.59,0.22,211.49,0,-809.71,0,-7.850000000000019
Jul 2018,360.69,5.37,138.47,95.18,34.5,22.44,20.72,5.23,2.75,0,9.4,0,352.57,27.21,27.53,0.22,407.52,0,-817.31,0,-7.599999999999911
Aug 2018,326.27,4.86,110.87,75.24,32.29,21.1,19.67,4.9,2.49,0,7.53,0,318.92,21.78,25.95,0.19,366.85,0,-820.86,0,-3.5500000000000695
Sep 2018,528.54,7.87,67.64,52.01,18.15,12.53,12.96,2.76,4.03,0,4.59,0,516.64,13.29,15.82,0.16,545.91,0,-825.81,0,-4.94999999999993
Oct 2018,239.9,3.57,17.4,11.98,16.37,11.98,14.05,2.62,1.83,0,1.18,0,234.5,3.42,15.83,0.11,253.86,0,-827.54,0,-1.73000000000002
Nov 2018,96.15,1.43,0.72,3.45,0.1,1.59,4.39,0.02,0.73,0,0.05,0,93.98,0.14,2.88,0.0,97.0,0,-836.08,0,-8.540000000000079
Dec 2018,11.35,0.17,0.07,1.75,0.01,1.53,4.35,0.0,0.09,0,0.0,0,11.1,0.01,2.82,0.0,13.93,0,-839.67,0,-3.58999999999992
Jan 2019,60.67,0.9,7.55,7.98,0.01,1.54,4.35,0.0,0.46,0,0.51,0,59.31,1.48,2.82,0.0,63.61,0,-843.92,0,-4.25
Feb 2019,100.56,1.5,28.48,22.95,2.62,3.12,5.59,0.4,0.77,0,1.93,0,98.3,5.59,4.69,0.01,108.6,0,-847.29,0,-3.37
Mar 2019,3.87,0.06,107.99,69.92,28.24,18.66,17.77,4.28,0.03,0,7.33,0,3.78,21.22,23.06,0.12,48.18,0,-849.79,0,-2.5
Apr 2019,42.69,0.64,88.17,54.68,31.39,20.57,19.27,4.76,0.33,0,5.99,0,41.73,17.32,25.32,0.15,84.53,0,-856.04,0,-6.25
May 2019,22.42,0.33,99.15,59.47,38.99,25.18,22.89,5.91,0.17,0,6.73,0,21.92,19.48,30.78,0.19,72.36,0,-864.39,0,-8.35000000000002
Jun 2019,23.95,0.36,127.65,77.22,47.23,30.18,26.81,7.16,0.18,0,8.67,0,23.42,25.08,36.69,0.23,85.41,0,-874.65,0,-10.26
Jul 2019,298.48,4.45,137.79,92.6,37.49,24.28,22.19,5.69,2.27,0,9.36,0,291.76,27.07,29.71,0.22,348.76,0,-885.67,0,-11.02
Aug 2019,663.02,9.88,114.7,88.01,19.79,13.54,13.78,3.0,5.05,0,7.79,0,648.09,22.53,17.02,0.19,687.83,0,-890.76,0,-5.09000000000003
Sep 2019,730.34,10.88,70.09,59.78,10.67,8.02,9.45,1.62,5.56,0,4.76,0,713.9,13.77,10.48,0.15,738.3,0,-888.88,0,1.88
Oct 2019,266.34,3.97,17.95,13.09,14.3,10.22,11.18,2.17,2.03,0,1.22,0,260.35,3.53,13.09,0.09,277.05,0,-886.53,0,2.35000000000002
Nov 2019,35.35,0.53,0.07,2.13,0.01,1.55,4.39,0.0,0.27,0,0.01,0,34.55,0.01,2.84,0.0,37.41,0,-892.37,0,-5.84000000000003
Dec 2019,150.18,2.24,0.78,4.36,0.01,1.55,4.39,0.0,1.14,0,0.05,0,146.8,0.15,2.84,0.0,149.79,0,-896.48,0,-4.110000000000009
Jan 2020,43.15,0.64,7.44,7.66,0.01,1.56,4.4,0.0,0.33,0,0.51,0,42.18,1.46,2.84,0.0,46.48,0,-899.67,0,-3.18999999999994
Feb 2020,278.23,4.14,29.72,27.56,0.01,1.56,4.4,0.0,2.12,0,2.02,0,271.96,5.84,2.85,0.0,280.65,0,-903.23,0,-3.56000000000006
Mar 2020,41.44,0.62,108.56,81.91,0.32,1.75,4.55,0.05,0.32,0,7.37,0,40.5,21.33,3.07,0.0,64.9,0,-903.49,0,-0.259999999999991
Apr 2020,12.86,0.19,87.88,53.93,31.69,20.77,19.46,4.81,0.1,0,5.97,0,12.57,17.27,25.57,0.15,55.55,0,-900.3,0,3.19000000000005
May 2020,55.11,0.82,100.32,61.35,37.68,24.41,22.31,5.72,0.42,0,6.81,0,53.87,19.71,29.86,0.19,103.63,0,-909.03,0,-8.730000000000018
Jun 2020,199.51,2.97,128.66,84.16,38.16,24.7,22.54,5.79,1.52,0,8.74,0,195.02,25.28,30.21,0.22,250.73,0,-918.58,0,-9.55000000000007
Jul 2020,136.57,2.03,134.69,85.77,42.95,27.61,24.82,6.52,1.04,0,9.15,0,133.49,26.46,33.65,0.21,193.81,0,-925.3,0,-6.719999999999911
Aug 2020,455.6,6.79,111.2,79.53,26.98,17.92,17.24,4.09,3.47,0,7.55,0,445.34,21.85,22.2,0.19,489.57,0,-933.63,0,-8.330000000000041
Sep 2020,380.87,5.67,63.64,45.19,22.51,15.22,15.12,3.42,2.9,0,4.32,0,372.3,12.5,19.0,0.15,403.95,0,-935.94,0,-2.31000000000006
Oct 2020,0.84,0.01,13.99,10.31,10.3,10.31,18.57,2.19,0.01,0,0.95,0,0.82,2.75,16.38,0.11,20.05,0,-940.57,0,-4.63
Nov 2020,6.42,0.1,0.07,2.59,0.15,2.59,7.95,0.26,0.05,0,0.01,0,6.28,0.01,5.25,0.03,11.57,0,-956.11,0,-15.54
Dec 2020,4.7,0.07,0.07,1.69,0.01,1.57,4.43,0.0,0.04,0,0.01,0,4.59,0.01,2.87,0.0,7.47,0,-963.77,0,-7.65999999999997
Jan 2021,21.71,0.32,7.33,7.28,0.01,1.57,4.44,0.0,0.17,0,0.5,0,21.22,1.44,2.87,0.0,25.53,0,-968.16,0,-4.389999999999991
Feb 2021,23.19,0.35,27.81,22.09,0.73,2.01,4.78,0.11,0.18,0,1.89,0,22.67,5.46,3.39,0.0,31.52,0,-971.93,0,-3.7699999999999796
Mar 2021,1.06,0.02,108.51,69.58,30.06,19.8,18.72,4.56,0.01,0,7.37,0,1.03,21.32,24.42,0.13,46.9,0,-974.53,0,-2.60000000000002
Apr 2021,1.04,0.02,88.25,52.64,35.25,22.95,21.19,5.35,0.01,0,5.99,0,1.02,17.34,28.14,0.17,46.67,0,-981.45,0,-6.92000000000007
May 2021,106.7,1.59,102.5,63.45,38.42,24.88,22.71,5.83,0.81,0,6.96,0,104.3,20.14,30.42,0.21,155.07,0,-991.47,0,-10.02
