date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,75.15,1.12,8.56,9.56,0.01,2.15,5.77,0.0,0.57,0,0.58,0,73.46,1.68,3.63,0.0,78.77,0,-744.34,0,0.0
Feb 2016,0.78,0.01,27.61,22.24,0.57,2.49,6.05,0.09,0.01,0,1.87,0,0.76,5.42,4.03,0.0,10.22,0,-748.95,0,-4.610000000000009
Mar 2016,34.74,0.52,108.92,71.07,29.79,20.22,19.94,4.52,0.26,0,7.4,0,33.96,21.4,24.99,0.1,80.45,0,-753.03,0,-4.07999999999993
Apr 2016,2.69,0.04,88.21,49.37,45.02,29.46,27.18,6.83,0.02,0,5.99,0,2.63,17.33,35.91,0.17,56.04,0,-760.89,0,-7.860000000000009
May 2016,9.08,0.14,99.5,55.98,49.56,32.21,29.34,7.52,0.07,0,6.76,0,8.87,19.55,39.17,0.19,67.78,0,-775.4,0,-14.51
Jun 2016,11.44,0.17,127.75,72.61,60.22,38.68,34.41,9.13,0.09,0,8.67,0,11.19,25.1,46.82,0.23,83.34,0,-790.59,0,-15.1900000000001
Jul 2016,566.46,8.44,144.19,103.94,32.35,21.78,21.18,4.91,4.31,0,9.79,0,553.71,28.33,26.84,0.21,609.08,0,-807.34,0,-16.75
Aug 2016,468.04,6.97,115.12,80.7,33.34,22.38,21.65,5.06,3.57,0,7.82,0,457.5,22.62,27.55,0.19,507.86,0,-809.71,0,-2.37
Sep 2016,493.11,7.35,74.0,54.45,24.13,16.8,17.28,3.66,3.76,0,5.02,0,482.01,14.54,20.95,0.16,517.65,0,-815.11,0,-5.399999999999981
Oct 2016,137.47,2.05,17.19,13.15,14.69,13.15,20.51,2.75,1.05,0,1.17,0,134.38,3.38,19.29,0.11,157.16,0,-820.11,0,-5.0
Nov 2016,274.29,4.09,4.53,9.54,0.11,2.24,5.88,0.02,2.09,0,0.31,0,268.12,0.89,3.73,0.0,272.74,0,-835.76,0,-15.65
Dec 2016,31.79,0.47,0.1,2.71,0.01,2.18,5.84,0.0,0.24,0,0.01,0,31.08,0.02,3.66,0.0,34.76,0,-839.22,0,-3.46000000000004
Jan 2017,161.62,2.41,9.63,11.66,0.01,2.18,5.84,0.0,1.23,0,0.65,0,157.98,1.89,3.67,0.0,163.54,0,-844.8,0,-5.57999999999993
Feb 2017,69.46,1.03,28.42,24.11,0.01,2.18,5.85,0.0,0.53,0,1.93,0,67.89,5.58,3.67,0.0,77.15,0,-848.76,0,-3.96000000000004
Mar 2017,118.15,1.76,109.5,83.89,1.52,3.1,6.57,0.23,0.9,0,7.43,0,115.49,21.51,4.76,0.01,141.77,0,-852.14,0,-3.38
Apr 2017,37.11,0.55,87.84,52.41,37.95,25.2,23.89,5.76,0.28,0,5.96,0,36.27,17.26,30.88,0.14,84.56,0,-850.15,0,1.9900000000000102
May 2017,44.67,0.67,99.34,57.21,47.56,31.03,28.46,7.21,0.34,0,6.75,0,43.66,19.52,37.78,0.19,101.14,0,-862.18,0,-12.03
Jun 2017,118.01,1.76,127.97,77.27,52.87,34.25,30.99,8.02,0.9,0,8.69,0,115.35,25.14,41.59,0.22,182.31,0,-876.52,0,-14.34
Jul 2017,586.33,8.73,141.67,102.79,31.39,21.23,20.79,4.76,4.47,0,9.62,0,573.13,27.83,26.19,0.21,627.36,0,-890.13,0,-13.61
Aug 2017,404.81,6.03,111.3,75.65,36.72,24.46,23.32,5.57,3.08,0,7.56,0,395.69,21.87,30.01,0.19,447.76,0,-892.27,0,-2.13999999999999
Sep 2017,371.29,5.53,66.42,44.79,29.99,20.38,20.13,4.55,2.83,0,4.51,0,362.93,13.05,25.19,0.16,401.32,0,-899.58,0,-7.31000000000006
Oct 2017,225.8,3.36,17.44,12.7,16.19,12.7,16.13,2.63,1.72,0,1.18,0,220.71,3.43,16.99,0.09,241.22,0,-907.97,0,-8.38999999999999
Nov 2017,17.21,0.26,0.1,2.52,0.01,2.2,5.9,0.0,0.13,0,0.01,0,16.83,0.02,3.7,0.0,20.55,0,-918.67,0,-10.6999999999999
Dec 2017,210.08,3.13,2.16,6.92,0.01,2.21,5.9,0.0,1.6,0,0.15,0,205.35,0.42,3.7,0.0,209.48,0,-924.42,0,-5.75
Jan 2018,112.27,1.67,8.23,9.93,0.01,2.21,5.91,0.0,0.86,0,0.56,0,109.74,1.62,3.7,0.0,115.06,0,-928.57,0,-4.15000000000009
Feb 2018,112.74,1.68,28.7,24.99,0.01,2.21,5.91,0.0,0.86,0,1.95,0,110.2,5.64,3.71,0.0,119.54,0,-933.06,0,-4.489999999999901
Mar 2018,89.33,1.33,108.88,83.42,0.55,2.54,6.18,0.09,0.68,0,7.39,0,87.32,21.39,4.1,0.0,112.81,0,-936.16,0,-3.10000000000002
Apr 2018,24.61,0.37,88.4,51.95,39.8,26.35,24.83,6.04,0.19,0,6.0,0,24.06,17.37,32.24,0.15,73.82,0,-934.18,0,1.98000000000002
May 2018,132.28,1.97,100.65,61.22,43.22,28.43,26.47,6.56,1.01,0,6.83,0,129.3,19.78,34.7,0.19,183.97,0,-946.94,0,-12.7600000000001
Jun 2018,158.0,2.35,128.4,79.27,50.19,32.66,29.79,7.61,1.2,0,8.72,0,154.45,25.23,39.71,0.22,219.6,0,-959.19,0,-12.25
Jul 2018,360.69,5.37,138.42,92.45,43.12,28.37,26.43,6.54,2.75,0,9.4,0,352.57,27.2,34.64,0.22,414.61,0,-971.66,0,-12.4699999999999
Aug 2018,326.27,4.86,110.75,72.67,40.36,26.7,25.12,6.12,2.49,0,7.52,0,318.92,21.76,32.66,0.19,373.54,0,-979.62,0,-7.960000000000041
Sep 2018,528.54,7.87,67.59,50.89,22.69,15.98,16.73,3.44,4.03,0,4.59,0,516.64,13.28,19.99,0.16,550.07,0,-988.8,0,-9.179999999999948
Oct 2018,239.9,3.57,17.39,13.33,16.37,13.33,18.1,2.78,1.83,0,1.18,0,234.5,3.42,18.36,0.11,256.39,0,-993.63,0,-4.83000000000004
Nov 2018,96.15,1.43,0.76,4.17,0.13,2.3,6.02,0.02,0.73,0,0.05,0,93.98,0.15,3.82,0.0,97.95,0,-1006.06,0,-12.43
Dec 2018,11.35,0.17,0.1,2.47,0.01,2.24,5.97,0.0,0.09,0,0.01,0,11.1,0.02,3.74,0.0,14.86,0,-1011.27,0,-5.21000000000004
Jan 2019,60.67,0.9,7.54,8.68,0.01,2.24,5.98,0.0,0.46,0,0.51,0,59.31,1.48,3.74,0.0,64.53,0,-1017.14,0,-5.87
Feb 2019,100.56,1.5,28.47,23.39,3.27,4.22,7.53,0.5,0.77,0,1.93,0,98.3,5.59,6.08,0.01,109.99,0,-1022.14,0,-5.0
