date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,155.94,2.32,9.51,11.12,0.01,1.81,4.99,0.0,1.19,0,0.65,0,152.43,1.87,3.18,0.0,157.48,0,-713.28,0,0.0
Feb 2016,150.44,2.24,29.47,25.73,0.01,1.82,5.0,0.0,1.15,0,2.0,0,147.06,5.79,3.19,0.0,156.03,0,-716.43,0,-3.14999999999998
Mar 2016,6.91,0.1,108.45,80.4,3.3,3.82,6.57,0.5,0.05,0,7.36,0,6.76,21.31,5.55,0.02,33.64,0,-718.28,0,-1.85000000000002
Apr 2016,6.85,0.1,89.06,57.94,24.13,16.45,16.47,3.66,0.05,0,6.05,0,6.69,17.5,20.49,0.15,44.82,0,-716.95,0,1.32999999999993
May 2016,203.93,3.04,103.76,72.32,22.52,15.48,15.71,3.42,1.55,0,7.05,0,199.34,20.39,19.34,0.18,239.25,0,-723.8,0,-6.849999999999911
Jun 2016,165.51,2.47,130.51,88.69,29.49,19.7,19.02,4.47,1.26,0,8.86,0,161.78,25.64,24.34,0.22,211.97,0,-727.67,0,-3.87
Jul 2016,261.2,3.89,138.61,96.25,29.03,19.43,18.81,4.41,1.99,0,9.41,0,255.32,27.23,24.01,0.22,306.78,0,-732.32,0,-4.65000000000009
Aug 2016,117.8,1.75,108.64,71.62,30.18,20.12,19.36,4.58,0.9,0,7.38,0,115.15,21.35,24.84,0.19,161.52,0,-735.54,0,-3.21999999999991
Sep 2016,229.13,3.41,67.6,46.14,22.43,15.43,15.69,3.4,1.75,0,4.59,0,223.97,13.28,19.29,0.16,256.7,0,-742.24,0,-6.70000000000005
Oct 2016,352.12,5.25,21.5,18.37,11.49,8.79,10.49,1.75,2.68,0,1.46,0,344.2,4.22,11.44,0.11,359.97,0,-748.35,0,-6.110000000000009
Nov 2016,15.25,0.23,0.09,2.11,0.01,1.83,5.04,0.0,0.12,0,0.01,0,14.9,0.02,3.21,0.0,18.13,0,-753.06,0,-4.70999999999992
Dec 2016,107.65,1.6,1.46,4.5,0.01,1.84,5.05,0.0,0.82,0,0.1,0,105.23,0.29,3.21,0.0,108.73,0,-757.97,0,-4.91000000000008
Jan 2017,135.56,2.02,9.08,10.53,0.01,1.84,5.05,0.0,1.03,0,0.62,0,132.51,1.78,3.22,0.0,137.51,0,-762.09,0,-4.12
Feb 2017,58.06,0.86,28.26,23.33,0.41,2.09,5.25,0.07,0.44,0,1.92,0,56.75,5.55,3.51,0.0,65.81,0,-765.49,0,-3.39999999999998
Mar 2017,40.92,0.61,108.83,75.59,17.58,12.5,13.41,2.67,0.31,0,7.39,0,40.0,21.38,15.82,0.1,77.3,0,-768.31,0,-2.81999999999994
Apr 2017,38.23,0.57,88.97,58.88,22.81,15.67,15.9,3.46,0.29,0,6.04,0,37.37,17.48,19.57,0.14,74.57,0,-771.45,0,-3.1400000000001
May 2017,50.27,0.75,100.16,64.81,29.14,19.51,18.91,4.42,0.38,0,6.8,0,49.14,19.68,24.11,0.19,93.13,0,-777.7,0,-6.25
Jun 2017,14.23,0.21,126.79,80.74,37.06,24.32,22.68,5.62,0.11,0,8.61,0,13.91,24.91,29.8,0.24,68.86,0,-785.2,0,-7.5
