date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,155.94,2.32,9.51,11.09,0.01,1.78,4.92,0.0,1.19,0,0.65,0,152.43,1.87,3.14,0.0,157.43,0,-713.28,0,0.0
Feb 2016,150.44,2.24,29.47,25.7,0.01,1.78,4.92,0.0,1.15,0,2.0,0,147.06,5.79,3.14,0.0,155.99,0,-716.36,0,-3.08000000000004
Mar 2016,6.91,0.1,108.45,80.36,3.3,3.78,6.49,0.5,0.05,0,7.36,0,6.76,21.31,5.51,0.02,33.59,0,-718.13,0,-1.76999999999998
Apr 2016,6.85,0.1,89.06,57.9,24.13,16.41,16.39,3.66,0.05,0,6.05,0,6.69,17.5,20.44,0.15,44.78,0,-716.71,0,1.41999999999996
May 2016,203.93,3.04,103.76,72.29,22.52,15.44,15.63,3.42,1.55,0,7.05,0,199.34,20.39,19.29,0.18,239.2,0,-723.49,0,-6.77999999999997
Jun 2016,165.51,2.47,130.51,88.65,29.49,19.67,18.94,4.47,1.26,0,8.86,0,161.78,25.64,24.29,0.22,211.93,0,-727.28,0,-3.78999999999996
Jul 2016,261.2,3.89,138.61,96.22,29.03,19.39,18.73,4.41,1.99,0,9.41,0,255.32,27.23,23.96,0.22,306.73,0,-731.84,0,-4.56000000000006
Aug 2016,117.8,1.75,108.64,71.59,30.18,20.09,19.28,4.58,0.9,0,7.38,0,115.15,21.35,24.79,0.19,161.47,0,-734.98,0,-3.1399999999999904
Sep 2016,229.13,3.41,67.6,46.1,22.43,15.39,15.6,3.4,1.75,0,4.59,0,223.97,13.28,19.24,0.16,256.65,0,-741.6,0,-6.62
Oct 2016,352.12,5.25,21.5,18.33,11.49,8.76,10.4,1.75,2.68,0,1.46,0,344.2,4.22,11.39,0.11,359.92,0,-747.62,0,-6.019999999999981
