date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.12,0.03,7.29,7.15,0.03,1.8,4.93,0.01,0.02,0,0.49,0,2.07,1.43,3.16,0.0,6.66,0,-713.35,0,0.0
Feb 2016,88.06,1.31,28.89,15.72,21.89,15.05,15.32,3.32,0.67,0,1.96,0,86.08,5.68,18.83,0.07,110.66,0,-717.76,0,-4.40999999999997
Mar 2016,5.76,0.09,108.83,68.71,33.59,22.15,20.88,5.1,0.04,0,7.39,0,5.63,21.38,27.22,0.11,54.34,0,-727.19,0,-9.43000000000006
Apr 2016,7.12,0.11,88.52,50.01,43.18,27.97,25.44,6.55,0.05,0,6.01,0,6.96,17.39,34.1,0.16,58.62,0,-735.66,0,-8.46999999999991
May 2016,2.7,0.04,100.89,55.3,52.72,33.75,29.98,8.0,0.02,0,6.85,0,2.64,19.82,40.95,0.2,63.61,0,-748.65,0,-12.99
Jun 2016,93.61,1.39,129.75,76.26,56.82,36.25,31.93,8.62,0.71,0,8.81,0,91.5,25.49,43.89,0.24,161.12,0,-763.96,0,-15.3100000000001
Jul 2016,504.38,7.51,88.02,59.97,35.77,23.48,21.93,5.43,3.84,0,5.98,0,493.02,17.29,28.79,0.21,539.32,0,-777.99,0,-14.03
Aug 2016,343.45,5.12,73.19,45.21,39.48,25.73,23.7,5.99,2.62,0,4.97,0,335.72,14.38,31.46,0.19,381.75,0,-784.89,0,-6.899999999999981
Sep 2016,782.07,11.65,63.03,55.05,12.09,9.12,10.69,1.84,5.96,0,4.28,0,764.46,12.38,11.82,0.15,788.82,0,-795.2,0,-10.3100000000001
Oct 2016,19.13,0.28,15.4,12.19,11.61,12.19,22.92,2.6,0.15,0,1.05,0,18.7,3.03,19.74,0.12,41.58,0,-793.97,0,1.23000000000002
Nov 2016,15.44,0.23,0.08,2.72,0.29,2.72,7.87,0.24,0.12,0,0.01,0,15.09,0.02,5.2,0.02,20.33,0,-813.21,0,-19.24
Dec 2016,8.06,0.12,0.08,1.97,0.01,1.8,4.96,0.0,0.06,0,0.01,0,7.88,0.02,3.16,0.0,11.06,0,-820.73,0,-7.519999999999981
Jan 2017,71.43,1.06,8.41,9.04,0.01,1.8,4.96,0.0,0.54,0,0.57,0,69.82,1.65,3.17,0.0,74.64,0,-825.62,0,-4.889999999999991
Feb 2017,46.85,0.7,28.39,23.38,0.01,1.8,4.96,0.0,0.36,0,1.93,0,45.8,5.58,3.17,0.0,54.54,0,-829.46,0,-3.8400000000000296
Mar 2017,19.67,0.29,108.97,77.7,11.58,8.82,10.46,1.76,0.15,0,7.4,0,19.23,21.41,11.46,0.04,52.14,0,-832.13,0,-2.66999999999996
Apr 2017,0.77,0.01,67.39,34.5,42.9,27.82,25.36,6.51,0.01,0,4.58,0,0.75,13.24,33.93,0.16,48.08,0,-833.33,0,-1.2000000000000501
May 2017,50.22,0.75,17.56,14.72,13.67,14.72,28.66,3.23,0.38,0,1.19,0,49.09,3.45,24.37,0.2,77.12,0,-847.76,0,-14.4299999999999
Jun 2017,25.18,0.38,8.69,12.7,6.76,12.7,33.4,2.73,0.19,0,0.59,0,24.61,1.71,24.74,0.24,51.3,0,-871.81,0,-24.05
Jul 2017,299.49,4.46,28.77,20.11,25.62,20.11,27.41,4.58,2.28,0,1.95,0,292.74,5.65,28.35,0.22,326.96,0,-901.94,0,-30.1300000000001
Aug 2017,302.77,4.51,34.49,21.38,29.88,21.38,24.56,4.9,2.31,0,2.34,0,295.96,6.78,28.17,0.19,331.09,0,-920.76,0,-18.819999999999897
Sep 2017,25.68,0.38,35.35,20.62,26.39,20.62,27.95,4.71,0.2,0,2.4,0,25.1,6.95,29.01,0.16,61.22,0,-935.97,0,-15.21
Oct 2017,616.13,9.18,26.89,27.57,8.13,6.74,8.85,1.24,4.69,0,1.83,0,602.26,5.28,9.01,0.11,616.66,0,-956.77,0,-20.8
Nov 2017,29.83,0.44,0.14,2.2,0.55,2.2,5.45,0.1,0.23,0,0.01,0,29.15,0.03,3.7,0.0,32.89,0,-957.98,0,-1.2100000000000402
Dec 2017,220.65,3.29,3.0,7.3,0.01,1.82,5.0,0.0,1.68,0,0.2,0,215.69,0.59,3.19,0.0,219.46,0,-963.1,0,-5.12
Jan 2018,223.85,3.33,10.28,12.7,0.01,1.82,5.0,0.0,1.71,0,0.7,0,218.81,2.02,3.19,0.0,224.02,0,-966.21,0,-3.1100000000000096
Feb 2018,97.95,1.46,28.98,24.59,0.01,1.82,5.01,0.0,0.75,0,1.97,0,95.75,5.69,3.19,0.0,104.63,0,-968.8,0,-2.58999999999992
Mar 2018,137.44,2.05,109.58,84.42,0.15,1.91,5.08,0.03,1.05,0,7.44,0,134.35,21.53,3.3,0.0,159.17,0,-971.09,0,-2.29000000000008
Apr 2018,67.11,1.0,89.55,53.74,38.0,24.87,23.07,5.77,0.51,0,6.08,0,65.6,17.59,30.44,0.15,113.79,0,-967.66,0,3.43000000000006
May 2018,173.56,2.59,102.3,62.16,44.47,28.79,26.15,6.75,1.32,0,6.95,0,169.66,20.1,35.08,0.21,225.04,0,-978.53,0,-10.87
Jun 2018,141.73,2.11,128.78,77.76,53.14,34.05,30.27,8.06,1.08,0,8.74,0,138.54,25.3,41.3,0.23,205.37,0,-989.87,0,-11.34
Jul 2018,273.44,4.07,138.28,88.36,48.93,31.5,28.27,7.42,2.08,0,9.39,0,267.28,27.17,38.28,0.22,332.96,0,-1002.48,0,-12.61
Aug 2018,260.23,3.88,110.14,69.3,44.29,28.69,26.07,6.72,1.98,0,7.48,0,254.38,21.64,34.96,0.2,311.17,0,-1012.09,0,-9.61000000000001
Sep 2018,252.56,3.76,70.47,42.88,36.96,24.24,22.59,5.61,1.92,0,4.78,0,246.88,13.84,29.7,0.16,290.59,0,-1022.18,0,-10.0899999999999
Oct 2018,428.02,6.38,22.87,18.14,17.51,12.45,13.35,2.66,3.26,0,1.55,0,418.39,4.49,15.76,0.12,438.75,0,-1032.62,0,-10.4399999999999
Nov 2018,152.01,2.26,2.1,5.37,0.68,2.24,5.36,0.11,1.16,0,0.14,0,148.59,0.41,3.69,0.0,152.7,0,-1038.62,0,-6.0
Dec 2018,9.62,0.14,0.09,2.03,0.01,1.84,5.05,0.0,0.07,0,0.01,0,9.4,0.02,3.21,0.0,12.63,0,-1042.58,0,-3.96000000000004
Jan 2019,102.3,1.52,8.42,9.55,0.01,1.84,5.05,0.0,0.78,0,0.57,0,99.99,1.65,3.22,0.0,104.86,0,-1047.54,0,-4.96000000000004
Feb 2019,75.5,1.12,28.73,24.09,0.01,1.84,5.05,0.0,0.58,0,1.95,0,73.8,5.64,3.22,0.0,82.66,0,-1051.23,0,-3.69000000000005
Mar 2019,52.29,0.78,109.08,81.62,3.16,3.75,6.55,0.48,0.4,0,7.41,0,51.11,21.43,5.48,0.01,78.03,0,-1053.75,0,-2.51999999999998
Apr 2019,9.35,0.14,88.33,50.5,41.83,27.21,24.94,6.35,0.07,0,6.0,0,9.13,17.35,33.21,0.16,59.86,0,-1052.03,0,1.7200000000000302
May 2019,87.05,1.3,100.2,59.38,44.38,28.76,26.15,6.73,0.66,0,6.8,0,85.09,19.69,35.04,0.18,140.0,0,-1064.71,0,-12.680000000000101
Jun 2019,274.26,4.09,128.86,82.82,45.49,29.43,26.68,6.9,2.09,0,8.75,0,268.08,25.32,35.84,0.23,329.47,0,-1076.84,0,-12.1299999999999
Jul 2019,746.24,11.12,142.96,107.91,25.95,17.58,17.4,3.94,5.68,0,9.71,0,729.44,28.09,21.83,0.21,779.56,0,-1086.01,0,-9.170000000000071
Aug 2019,370.49,5.52,110.99,74.18,37.69,24.7,22.98,5.72,2.82,0,7.54,0,362.15,21.81,30.25,0.19,414.4,0,-1084.29,0,1.7200000000000302
Sep 2019,93.28,1.39,60.81,30.19,45.18,29.24,26.54,6.85,0.71,0,4.13,0,91.18,11.95,35.62,0.16,138.92,0,-1091.38,0,-7.09000000000015
Oct 2019,56.95,0.85,14.34,11.89,11.39,11.89,22.13,2.52,0.43,0,0.97,0,55.67,2.82,19.12,0.12,77.72,0,-1106.4,0,-15.02
Nov 2019,90.75,1.35,0.5,3.05,1.33,2.65,5.71,0.2,0.69,0,0.03,0,88.7,0.1,4.18,0.0,92.99,0,-1124.73,0,-18.3299999999999
Dec 2019,246.11,3.67,3.17,7.84,0.01,1.86,5.09,0.0,1.87,0,0.22,0,240.57,0.62,3.24,0.0,244.44,0,-1129.51,0,-4.779999999999969
Jan 2020,109.34,1.63,7.83,9.24,0.01,1.86,5.09,0.0,0.83,0,0.53,0,106.88,1.54,3.24,0.0,111.66,0,-1132.51,0,-3.0
Feb 2020,103.99,1.55,28.36,24.26,0.01,1.86,5.1,0.0,0.79,0,1.93,0,101.65,5.57,3.24,0.0,110.46,0,-1136.23,0,-3.72000000000003
Mar 2020,12.47,0.19,108.12,81.02,1.42,2.72,5.77,0.22,0.1,0,7.34,0,12.19,21.24,4.26,0.01,37.7,0,-1138.61,0,-2.37999999999988
Apr 2020,7.58,0.11,86.88,49.55,41.48,27.02,24.81,6.29,0.06,0,5.9,0,7.41,17.07,32.99,0.15,57.62,0,-1136.73,0,1.87999999999988
May 2020,39.06,0.58,99.08,55.57,50.21,32.31,28.96,7.62,0.3,0,6.73,0,38.18,19.47,39.25,0.2,97.09,0,-1149.45,0,-12.72
Jun 2020,109.93,1.64,126.71,75.01,55.15,35.31,31.32,8.37,0.84,0,8.6,0,107.46,24.9,42.79,0.23,175.38,0,-1163.97,0,-14.52
