date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,37.16,0.86,3.42,1.73,2.04,0.34,2.17,0.8,1.28,0,0.77,0,35.02,0.08,2.91,0.0,38.0,38.62,-730.84,0.0,0.0
Feb 2016,0.74,0.02,5.14,1.34,2.94,0.4,2.49,1.13,0.03,0,1.16,0,0.69,0.12,3.5,0.24,4.55,38.77,-730.15,0.150000000000006,0.690000000000055
Mar 2016,34.63,0.8,23.99,1.29,18.77,1.21,12.15,3.15,1.19,0,5.4,0,32.63,0.55,10.79,7.88,51.85,39.17,-730.57,0.39999999999999897,-0.42000000000007304
Apr 2016,9.59,0.22,13.73,18.59,9.71,17.76,16.71,7.24,0.33,0,3.09,0,9.04,0.31,21.28,13.07,43.71,54.94,-740.86,15.77,-10.29
May 2016,38.77,0.9,10.55,11.3,11.28,13.75,18.33,7.56,1.34,0,2.37,0,36.53,0.24,21.31,14.43,72.51,35.09,-759.98,-19.85,-19.12
Jun 2016,21.6,0.5,23.85,3.77,18.17,3.5,21.95,8.02,0.74,0,5.37,0,20.35,0.54,22.98,17.66,61.53,22.09,-781.47,-13.0,-21.49
Jul 2016,621.13,14.37,18.62,22.58,8.22,2.42,13.31,5.41,21.43,0,4.19,0,585.34,0.42,15.78,15.08,616.62,27.71,-806.94,5.62,-25.47
Aug 2016,418.53,9.68,25.29,13.34,17.99,2.62,14.69,6.01,14.44,0,5.69,0,394.41,0.57,16.73,14.07,425.79,25.62,-804.29,-2.09,2.6500000000000896
Sep 2016,432.69,10.01,26.28,18.59,13.36,2.17,12.23,4.93,14.93,0,5.92,0,407.75,0.6,14.19,11.79,434.33,32.94,-806.92,7.32,-2.63
Oct 2016,128.23,2.97,7.58,20.54,7.57,19.44,12.62,5.12,4.42,0,1.71,0,120.84,0.17,14.12,8.35,143.48,37.23,-805.17,4.29,1.75
Nov 2016,191.38,4.43,6.8,12.68,1.07,4.21,2.75,0.95,6.6,0,1.53,0,180.36,0.15,2.98,0.64,184.12,18.74,-814.89,-18.49,-9.720000000000029
Dec 2016,22.22,0.51,1.67,2.7,1.06,2.0,2.17,0.68,0.77,0,0.38,0,20.94,0.04,2.27,0.0,23.24,14.43,-809.2,-4.31,5.68999999999994
Jan 2017,130.54,3.02,5.08,2.11,5.07,0.34,2.17,0.8,4.5,0,1.14,0,123.01,0.12,2.21,0.0,125.34,12.72,-809.55,-1.71,-0.34999999999990905
Feb 2017,82.18,1.9,4.98,1.08,4.9,0.34,2.17,0.81,2.83,0,1.12,0,77.44,0.11,2.37,0.0,79.93,16.62,-805.27,3.9,4.27999999999997
