date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,98.16,2.27,6.46,2.25,5.26,0.38,2.39,0.89,3.39,0,1.46,0,92.51,0.15,3.35,0.19,96.19,38.62,-728.66,0.0,0.0
Feb 2016,223.54,5.17,15.77,1.71,16.73,1.41,8.03,3.49,7.71,0,3.55,0,210.66,0.36,9.19,5.78,225.99,41.65,-725.51,3.03,3.14999999999998
Mar 2016,11.17,0.26,23.15,1.64,17.57,1.54,13.09,3.9,0.39,0,5.21,0,10.53,0.53,13.27,8.59,32.92,52.33,-724.57,10.68,0.939999999999941
Apr 2016,1.64,0.04,13.65,24.0,8.98,22.67,15.68,6.8,0.06,0,3.07,0,1.55,0.31,20.38,11.57,33.81,64.28,-736.75,11.95,-12.1799999999999
May 2016,998.59,23.1,30.85,35.89,11.64,1.22,7.02,2.74,34.45,0,6.95,0,941.05,0.7,9.7,13.37,964.82,39.1,-754.08,-25.18,-17.33
Jun 2016,224.58,5.19,52.05,18.31,29.26,3.23,18.02,7.39,7.75,0,11.72,0,211.63,1.18,21.71,16.03,250.55,44.09,-730.34,4.99,23.74
Jul 2016,245.12,5.67,10.96,33.57,11.53,31.19,18.47,7.61,8.46,0,2.47,0,231.0,0.25,24.11,15.84,271.19,59.04,-737.54,14.95,-7.19999999999993
Aug 2016,188.88,4.37,21.03,7.84,15.48,3.13,17.44,7.17,6.52,0,4.74,0,177.99,0.48,19.55,13.88,211.9,26.14,-753.32,-32.9,-15.7800000000001
Sep 2016,450.64,10.42,22.41,17.54,11.88,2.14,12.01,4.83,15.54,0,5.05,0,424.67,0.51,13.78,11.78,450.74,29.2,-766.21,3.06,-12.89
Oct 2016,509.82,11.79,20.51,26.11,4.12,3.02,7.25,2.82,17.59,0,4.62,0,480.44,0.47,8.3,7.74,496.94,32.34,-764.57,3.14,1.63999999999999
Nov 2016,47.96,1.11,3.17,15.73,2.28,14.51,4.62,1.74,1.65,0,0.71,0,45.2,0.07,5.21,1.67,52.15,29.57,-754.53,-2.77,10.0400000000001
Dec 2016,130.84,3.03,4.34,4.7,1.93,0.34,2.18,0.68,4.51,0,0.98,0,123.3,0.1,2.3,0.0,125.7,15.01,-756.72,-14.56,-2.19000000000005
Jan 2017,149.91,3.47,4.81,2.59,4.83,0.34,2.18,0.8,5.17,0,1.08,0,141.27,0.11,2.33,0.0,143.71,15.8,-752.73,0.790000000000001,3.9900000000000095
Feb 2017,95.96,2.22,5.57,1.23,5.58,0.4,2.53,1.03,3.31,0,1.25,0,90.43,0.13,2.99,0.32,93.87,19.34,-747.86,3.54,4.87
Mar 2017,85.52,1.98,15.93,1.35,13.86,1.25,11.99,3.23,2.95,0,3.59,0,80.59,0.36,10.3,8.45,99.71,23.02,-745.12,3.68,2.7400000000000095
Apr 2017,109.12,2.52,10.78,11.75,7.66,8.78,13.67,5.94,3.76,0,2.43,0,102.83,0.25,15.87,10.82,129.77,34.09,-755.79,11.07,-10.67
May 2017,609.86,14.11,25.22,18.19,16.83,1.94,10.93,4.4,21.04,0,5.68,0,574.72,0.57,12.97,14.03,602.29,24.83,-768.15,-9.260000000000009,-12.36
Jun 2017,153.3,3.55,31.62,11.64,19.23,3.53,19.67,8.09,5.29,0,7.12,0,144.47,0.72,22.8,16.93,184.92,33.28,-762.0,8.45,6.149999999999981
Jul 2017,233.42,5.4,10.0,19.29,11.83,18.2,18.92,7.79,8.05,0,2.25,0,219.97,0.23,22.48,16.2,258.89,37.75,-778.1,4.47,-16.1
Aug 2017,205.48,4.75,12.78,5.74,11.8,3.18,17.72,7.29,7.09,0,2.88,0,193.64,0.29,19.58,14.46,227.98,20.02,-795.12,-17.73,-17.02
