date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,98.16,2.27,6.46,2.22,5.29,0.38,2.43,0.92,3.39,0,1.45,0,92.51,0.15,3.4,0.19,96.24,38.62,-728.66,0.0,0.0
Feb 2016,223.54,5.17,15.77,1.67,16.92,1.56,9.48,3.86,7.71,0,3.55,0,210.66,0.36,10.31,5.78,227.11,41.65,-725.53,3.03,3.13
Mar 2016,11.17,0.26,23.11,1.87,17.54,1.77,15.8,4.46,0.39,0,5.2,0,10.53,0.53,15.19,8.59,34.84,52.32,-725.67,10.67,-0.139999999999986
Apr 2016,1.64,0.04,12.97,22.58,11.13,23.92,19.04,8.24,0.06,0,2.92,0,1.55,0.29,23.84,11.57,37.25,64.23,-740.01,11.91,-14.34
May 2016,998.59,23.1,30.35,35.03,12.34,1.44,8.21,3.25,34.45,0,6.83,0,941.05,0.69,10.9,13.37,966.0,38.41,-759.42,-25.82,-19.41
Jun 2016,224.58,5.19,51.32,16.14,31.61,3.95,21.96,9.08,7.75,0,11.55,0,211.63,1.17,25.68,16.03,254.51,43.37,-736.46,4.96,22.9599999999999
Jul 2016,245.12,5.67,10.03,31.33,14.12,32.24,22.53,9.34,8.46,0,2.26,0,231.0,0.23,28.21,15.84,275.27,58.24,-746.08,14.87,-9.62
Aug 2016,188.88,4.37,20.0,5.65,17.57,3.82,21.23,8.8,6.52,0,4.5,0,177.99,0.45,23.4,13.88,215.73,25.09,-764.39,-33.15,-18.3099999999999
Sep 2016,450.64,10.42,21.59,15.81,13.43,2.58,14.45,5.88,15.54,0,4.86,0,424.67,0.49,16.24,11.78,453.18,27.88,-779.69,2.79,-15.3000000000001
Oct 2016,509.82,11.79,20.29,24.73,4.93,2.6,8.5,3.36,17.59,0,4.57,0,480.44,0.46,9.55,7.74,498.19,31.07,-779.63,3.19,0.0600000000000591
Nov 2016,47.96,1.11,3.15,15.1,2.66,14.28,5.22,2.0,1.65,0,0.71,0,45.2,0.07,5.81,1.67,52.75,28.98,-770.35,-2.09,9.279999999999971
Dec 2016,130.84,3.03,4.33,4.63,1.98,0.34,2.16,0.68,4.51,0,0.97,0,123.3,0.1,2.28,0.0,125.68,14.77,-772.88,-14.21,-2.52999999999997
Jan 2017,149.91,3.47,4.8,2.59,4.82,0.34,2.17,0.8,5.17,0,1.08,0,141.27,0.11,2.32,0.0,143.69,15.62,-768.87,0.85,4.009999999999991
Feb 2017,95.96,2.22,5.55,1.16,5.65,0.41,2.6,1.06,3.31,0,1.25,0,90.43,0.13,3.06,0.32,93.94,19.15,-763.98,3.53,4.889999999999991
Mar 2017,85.52,1.98,15.89,1.56,13.83,1.46,14.43,3.73,2.95,0,3.58,0,80.59,0.36,12.01,8.45,101.42,22.86,-761.28,3.71,2.70000000000005
Apr 2017,109.12,2.52,10.6,10.39,9.49,9.38,16.53,7.16,3.76,0,2.39,0,102.83,0.24,18.8,10.82,132.69,33.92,-773.9,11.06,-12.62
May 2017,609.86,14.11,23.35,17.42,16.58,2.33,13.1,5.33,21.04,0,5.26,0,574.72,0.53,15.19,14.03,604.47,24.58,-787.94,-9.34,-14.0400000000001
Jun 2017,153.3,3.55,29.46,8.7,21.33,4.33,24.02,9.95,5.29,0,6.63,0,144.47,0.67,27.14,16.93,189.2,31.4,-783.44,6.82,4.5
Jul 2017,233.42,5.4,8.35,16.06,14.49,18.87,23.09,9.58,8.05,0,1.88,0,219.97,0.19,26.59,16.2,262.95,35.34,-802.52,3.94,-19.0799999999999
Aug 2017,205.48,4.75,11.65,4.08,13.11,3.68,21.58,8.47,7.09,0,2.62,0,193.64,0.26,22.76,14.46,231.12,17.88,-822.3,-17.46,-19.78
Sep 2017,461.56,10.68,25.51,10.25,22.16,2.54,14.25,5.79,15.92,0,5.74,0,434.97,0.58,15.56,11.74,462.84,17.66,-840.16,-0.219999999999999,-17.86
Oct 2017,179.77,4.16,10.62,15.68,8.64,12.18,14.3,5.83,6.2,0,2.39,0,169.41,0.24,15.58,8.28,193.51,30.18,-838.69,12.52,1.46999999999991
Nov 2017,152.59,3.53,4.93,11.42,2.75,6.93,5.34,2.05,5.26,0,1.11,0,143.79,0.11,5.74,2.18,151.83,19.53,-846.85,-10.65,-8.15999999999997
Dec 2017,76.22,1.76,2.9,3.23,1.08,0.37,2.17,0.68,2.63,0,0.65,0,71.82,0.07,2.27,0.0,74.16,12.89,-845.94,-6.64,0.909999999999968
Jan 2018,32.07,0.74,2.04,0.59,2.03,0.34,2.17,0.8,1.11,0,0.46,0,30.22,0.05,2.22,0.0,32.49,12.82,-844.15,-0.0700000000000003,1.7900000000000802
Feb 2018,61.13,1.41,3.55,0.79,3.69,0.4,2.49,0.93,2.11,0,0.8,0,57.61,0.08,2.76,0.22,60.67,13.65,-843.95,0.83,0.199999999999932
Mar 2018,27.78,0.64,10.27,1.44,8.27,1.34,15.49,3.24,0.96,0,2.31,0,26.18,0.23,11.74,8.56,46.71,15.74,-842.81,2.09,1.1400000000001
Apr 2018,13.15,0.3,3.71,3.48,10.42,10.81,19.63,8.1,0.45,0,0.84,0,12.39,0.08,21.15,12.37,46.0,23.18,-860.35,7.44,-17.5400000000001
May 2018,30.23,0.7,5.09,3.18,6.7,5.35,23.79,7.08,1.04,0,1.15,0,28.49,0.12,21.59,15.78,65.97,13.17,-882.96,-10.01,-22.61
Jun 2018,402.79,9.32,11.63,4.17,17.48,3.59,19.99,8.23,13.89,0,2.62,0,379.58,0.26,21.47,16.87,418.18,9.65,-913.26,-3.52,-30.3
Jul 2018,161.56,3.74,8.47,3.88,10.33,4.1,24.16,8.35,5.57,0,1.91,0,152.25,0.19,23.71,16.09,192.24,13.82,-925.37,4.17,-12.11
