date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,98.16,2.27,6.62,2.36,5.45,0.56,2.99,0.92,3.39,0,1.49,0,92.51,0.15,3.78,0.19,96.63,38.62,-752.59,0.0,0.0
Feb 2016,223.54,5.17,15.93,1.84,17.04,1.73,10.04,3.85,7.71,0,3.59,0,210.66,0.36,10.69,5.78,227.5,41.8,-749.98,3.18,2.6100000000000096
Mar 2016,11.17,0.26,23.35,2.05,17.72,1.95,16.36,4.46,0.39,0,5.26,0,10.53,0.53,15.6,8.59,35.25,52.61,-750.65,10.81,-0.669999999999959
Apr 2016,1.64,0.04,13.19,22.95,11.13,24.12,19.6,8.24,0.06,0,2.97,0,1.55,0.3,24.25,11.57,37.67,64.69,-765.5,12.08,-14.85
May 2016,998.59,23.1,30.53,35.4,12.27,1.61,8.77,3.25,34.45,0,6.87,0,941.05,0.69,11.31,13.37,966.42,38.81,-785.42,-25.88,-19.92
Jun 2016,224.58,5.19,51.47,16.49,31.54,4.12,22.52,9.08,7.75,0,11.59,0,211.63,1.17,26.1,16.03,254.93,43.68,-762.99,4.87,22.4299999999999
Jul 2016,245.12,5.67,10.19,31.62,14.12,32.41,23.09,9.34,8.46,0,2.29,0,231.0,0.23,28.62,15.84,275.68,58.45,-773.13,14.77,-10.14
Aug 2016,188.88,4.37,20.16,5.91,17.61,3.99,21.8,8.8,6.52,0,4.54,0,177.99,0.46,23.8,13.88,216.13,25.29,-791.97,-33.16,-18.84
Sep 2016,450.64,10.42,21.76,16.08,13.46,2.75,15.01,5.88,15.54,0,4.9,0,424.67,0.49,16.64,11.78,453.59,28.11,-807.79,2.82,-15.819999999999899
Oct 2016,509.82,11.79,20.45,25.03,4.93,2.79,9.06,3.36,17.59,0,4.6,0,480.44,0.46,9.94,7.74,498.58,31.31,-808.27,3.2,-0.48000000000001797
Nov 2016,47.96,1.11,3.39,15.36,2.66,14.37,5.78,2.0,1.65,0,0.76,0,45.2,0.08,6.2,1.67,53.15,29.2,-799.51,-2.11,8.759999999999991
Dec 2016,130.84,3.03,4.49,4.85,2.06,0.51,2.73,0.68,4.51,0,1.01,0,123.3,0.1,2.68,0.0,126.08,15.08,-802.55,-14.12,-3.03999999999996
Jan 2017,149.91,3.47,4.96,2.73,4.98,0.51,2.73,0.8,5.17,0,1.12,0,141.27,0.11,2.72,0.0,144.1,16.0,-799.07,0.92,3.4799999999999
Feb 2017,95.96,2.22,5.72,1.37,5.74,0.59,3.16,1.07,3.31,0,1.29,0,90.43,0.13,3.47,0.32,94.35,19.68,-794.71,3.68,4.360000000000009
Mar 2017,85.52,1.98,16.07,1.75,13.96,1.64,14.99,3.75,2.95,0,3.62,0,80.59,0.37,12.45,8.45,101.86,23.45,-792.53,3.77,2.18000000000006
Apr 2017,109.12,2.52,10.86,10.86,9.49,9.65,17.09,7.16,3.76,0,2.45,0,102.83,0.25,19.23,10.82,133.13,34.57,-805.66,11.12,-13.13
May 2017,609.86,14.11,23.52,17.87,16.43,2.51,13.66,5.33,21.04,0,5.3,0,574.72,0.53,15.61,14.03,604.9,25.1,-820.2,-9.47,-14.5400000000001
Jun 2017,153.3,3.55,29.68,9.07,21.3,4.5,24.59,9.95,5.29,0,6.68,0,144.47,0.67,27.55,16.93,189.62,31.74,-816.23,6.64,3.97000000000003
Jul 2017,233.42,5.4,8.51,16.4,14.49,19.09,23.66,9.58,8.05,0,1.92,0,219.97,0.19,27.0,16.2,263.37,35.63,-835.83,3.89,-19.6
Aug 2017,205.48,4.75,11.81,4.27,13.24,3.87,22.15,8.51,7.09,0,2.66,0,193.64,0.27,23.22,14.46,231.59,18.11,-856.14,-17.52,-20.3099999999999
Sep 2017,461.56,10.68,25.68,10.54,22.18,2.72,14.82,5.79,15.92,0,5.78,0,434.97,0.58,15.96,11.74,463.25,17.9,-874.5,-0.21000000000000102,-18.36
Oct 2017,179.77,4.16,10.78,16.0,8.64,12.37,14.87,5.83,6.2,0,2.43,0,169.41,0.25,15.98,8.28,193.92,30.42,-873.56,12.52,0.940000000000055
Nov 2017,152.59,3.53,5.09,11.7,2.75,7.09,5.91,2.05,5.26,0,1.15,0,143.79,0.12,6.14,2.18,152.23,19.75,-882.26,-10.67,-8.70000000000005
Dec 2017,76.22,1.76,3.06,3.43,1.15,0.51,2.74,0.68,2.63,0,0.69,0,71.82,0.07,2.67,0.0,74.57,13.13,-881.89,-6.62,0.370000000000005
Jan 2018,32.07,0.74,2.23,0.72,2.21,0.51,2.74,0.8,1.11,0,0.5,0,30.22,0.05,2.63,0.0,32.9,13.14,-880.62,0.00999999999999979,1.26999999999998
Feb 2018,61.13,1.41,3.72,0.92,3.86,0.57,3.06,0.94,2.11,0,0.84,0,57.61,0.08,3.17,0.22,61.08,14.15,-880.96,1.01,-0.34000000000003194
Mar 2018,27.78,0.64,10.51,1.63,8.45,1.53,16.07,3.29,0.96,0,2.37,0,26.18,0.24,12.2,8.56,47.18,16.38,-880.34,2.23,0.620000000000005
Apr 2018,13.15,0.3,3.95,3.71,10.74,11.18,20.2,8.21,0.45,0,0.89,0,12.39,0.09,21.74,12.37,46.6,23.88,-898.35,7.5,-18.01
May 2018,30.23,0.7,5.34,3.4,6.96,5.64,24.37,7.17,1.04,0,1.2,0,28.49,0.12,22.16,15.78,66.55,13.69,-921.37,-10.19,-23.02
Jun 2018,402.79,9.32,11.79,4.59,17.36,3.77,20.56,8.23,13.89,0,2.65,0,379.58,0.27,21.9,16.87,418.61,10.04,-952.1,-3.65,-30.73
