date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.97,0.07,2.46,1.15,1.5,0.73,2.22,0.82,0.1,0,0.55,0,2.8,0.06,3.11,0.05,6.01,38.62,-730.45,0.0,0.0
Feb 2016,141.3,3.27,11.53,1.43,11.66,1.15,7.18,2.89,4.87,0,2.6,0,133.15,0.26,7.79,5.53,146.73,37.67,-731.24,-0.949999999999996,-0.7899999999999641
Mar 2016,3.35,0.08,23.02,1.36,17.13,1.09,10.59,2.87,0.12,0,5.18,0,3.15,0.52,10.23,8.84,22.75,44.68,-733.58,7.01,-2.3400000000000296
Apr 2016,63.62,1.47,15.02,23.3,6.79,17.32,12.16,5.3,2.19,0,3.38,0,59.95,0.34,16.65,12.41,89.34,58.2,-744.84,13.52,-11.26
May 2016,231.22,5.35,18.4,18.2,7.68,6.7,12.65,5.14,7.98,0,4.14,0,217.9,0.42,15.76,14.89,248.97,37.89,-758.53,-20.31,-13.6899999999999
Jun 2016,366.49,8.48,34.23,17.23,19.31,2.32,13.05,5.27,12.64,0,7.71,0,345.37,0.78,15.75,16.6,378.5,30.62,-768.81,-7.27,-10.28
Jul 2016,591.7,13.69,28.1,29.27,7.48,1.93,10.91,4.39,20.41,0,6.32,0,557.61,0.64,14.18,15.29,587.72,39.63,-772.84,9.01,-4.03000000000009
Aug 2016,564.03,13.05,31.9,24.29,14.56,1.81,10.25,4.11,19.46,0,7.18,0,531.53,0.73,12.85,14.01,559.11,37.52,-767.92,-2.11,4.92000000000007
Sep 2016,924.38,21.38,46.96,35.58,22.12,1.0,5.81,2.19,31.89,0,10.57,0,871.11,1.07,8.05,11.51,891.74,43.55,-761.42,6.0299999999999905,6.5
Oct 2016,13.2,0.31,10.16,33.68,6.85,32.59,11.47,4.63,0.46,0,2.29,0,12.44,0.23,14.22,8.78,35.67,60.23,-734.09,16.68,27.3299999999999
Nov 2016,23.27,0.54,2.33,13.66,2.56,13.93,5.05,1.93,0.8,0,0.52,0,21.93,0.05,5.64,2.5,30.12,27.12,-746.98,-33.11,-12.89
Dec 2016,1.34,0.03,1.32,2.0,1.06,2.04,2.17,0.68,0.05,0,0.3,0,1.27,0.03,2.24,0.0,3.53,13.23,-751.27,-13.89,-4.28999999999996
