date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,73.38,1.7,5.22,2.15,3.8,0.34,2.17,0.8,2.53,0,1.17,0,69.15,0.12,2.73,0.0,72.0,38.62,-726.28,0.0,0.0
Feb 2016,100.37,2.32,10.07,2.85,7.38,0.34,2.17,0.99,3.46,0,2.27,0,94.58,0.23,2.92,0.0,97.73,40.72,-723.94,2.1,2.33999999999992
Mar 2016,21.38,0.49,23.27,1.11,17.86,0.97,8.03,2.58,0.74,0,5.24,0,20.15,0.53,8.8,3.9,33.37,46.02,-719.39,5.3,4.55000000000007
Apr 2016,76.66,1.77,14.26,21.74,10.61,19.85,18.21,7.88,2.64,0,3.21,0,72.25,0.32,22.8,11.99,107.36,59.55,-722.75,13.53,-3.3600000000000096
May 2016,34.96,0.81,12.72,9.98,14.73,14.33,23.67,9.83,1.21,0,2.86,0,32.95,0.29,27.27,15.73,76.23,37.84,-739.21,-21.71,-16.46
Jun 2016,110.31,2.55,23.39,4.82,19.66,4.34,25.23,9.97,3.81,0,5.27,0,103.95,0.53,27.31,17.46,149.25,24.8,-764.7,-13.04,-25.49
Jul 2016,112.49,2.6,8.49,7.19,16.39,14.6,26.01,10.82,3.88,0,1.91,0,106.01,0.19,29.23,17.12,152.55,28.08,-788.35,3.28,-23.65
Aug 2016,333.36,7.71,13.04,5.15,15.97,3.6,20.04,8.29,11.5,0,2.94,0,314.15,0.3,21.79,14.92,351.15,15.83,-814.87,-12.25,-26.52
Sep 2016,1721.64,39.82,48.63,40.52,36.73,0.86,5.02,1.85,59.39,0,10.95,0,1622.44,1.11,6.0,11.05,1640.58,18.16,-827.1,2.33,-12.23
Oct 2016,697.05,16.12,24.19,42.37,3.58,11.63,6.37,2.45,24.04,0,5.45,0,656.88,0.55,8.32,8.11,673.86,51.2,-770.98,33.04,56.12
Nov 2016,106.72,2.47,5.04,23.24,0.76,17.74,2.29,0.75,3.68,0,1.13,0,100.57,0.11,2.83,0.08,103.6,38.75,-753.52,-12.45,17.46
Dec 2016,35.37,0.82,2.71,4.3,1.07,2.51,2.17,0.68,1.22,0,0.61,0,33.33,0.06,2.43,0.0,35.82,20.48,-750.32,-18.27,3.1999999999999305
Jan 2017,157.11,3.63,6.0,2.47,6.02,0.34,2.17,0.8,5.42,0,1.35,0,148.06,0.14,2.31,0.0,150.5,18.1,-749.98,-2.38,0.34000000000003194
Feb 2017,82.2,1.9,5.94,1.47,5.24,0.34,2.18,0.95,2.84,0,1.34,0,77.46,0.14,2.63,0.0,80.23,22.84,-744.58,4.74,5.399999999999981
Mar 2017,201.61,4.66,22.42,1.68,21.39,1.54,12.44,3.91,6.95,0,5.05,0,189.99,0.51,11.6,8.38,210.48,26.34,-741.64,3.5,2.94000000000005
Apr 2017,346.47,8.01,21.73,19.76,7.1,2.5,12.78,5.56,11.95,0,4.89,0,326.5,0.49,15.46,10.89,353.34,43.12,-746.55,16.78,-4.90999999999997
May 2017,130.9,3.03,27.86,11.49,16.18,3.69,20.5,8.48,4.52,0,6.27,0,123.35,0.63,23.75,14.06,161.8,39.47,-747.81,-3.65,-1.25999999999999
Jun 2017,256.55,5.93,13.87,19.88,13.97,17.49,22.29,9.21,8.85,0,3.12,0,241.77,0.32,26.0,16.87,284.95,40.24,-763.1,0.770000000000003,-15.2900000000001
Jul 2017,95.6,2.21,12.4,4.79,14.75,8.01,26.21,10.29,3.3,0,2.79,0,90.1,0.28,28.2,17.03,135.61,23.8,-781.07,-16.44,-17.97
Aug 2017,816.11,18.88,23.21,19.25,19.39,2.31,12.95,5.26,28.15,0,5.23,0,769.08,0.53,14.59,14.47,798.68,18.25,-807.93,-5.55,-26.8599999999999
Sep 2017,105.61,2.44,18.84,6.74,13.27,3.4,18.91,7.77,3.64,0,4.24,0,99.52,0.43,20.69,10.83,131.47,28.43,-796.72,10.18,11.2099999999999
Oct 2017,8.68,0.2,2.56,10.97,10.37,19.21,17.03,6.99,0.3,0,0.58,0,8.18,0.06,18.33,8.19,34.76,28.76,-810.81,0.330000000000002,-14.0899999999999
Nov 2017,258.76,5.98,5.91,10.39,0.76,0.72,2.29,0.75,8.93,0,1.33,0,243.85,0.13,2.29,0.16,246.44,11.63,-828.16,-17.13,-17.35
Dec 2017,5.75,0.13,1.04,1.58,1.06,1.72,2.18,0.68,0.2,0,0.24,0,5.42,0.02,2.17,0.0,7.61,10.92,-819.61,-0.7100000000000011,8.54999999999995
Jan 2018,48.6,1.12,1.87,1.0,1.87,0.34,2.18,0.8,1.68,0,0.42,0,45.8,0.04,2.12,0.0,47.96,9.59,-820.67,-1.33,-1.0599999999999499
Feb 2018,78.72,1.82,3.19,1.41,3.15,0.34,2.18,0.72,2.72,0,0.72,0,74.18,0.07,2.27,0.0,76.53,10.37,-819.96,0.7799999999999989,0.7099999999999229
Mar 2018,38.2,0.88,6.75,0.86,5.83,0.72,7.67,1.64,1.32,0,1.52,0,36.0,0.15,6.26,3.75,46.16,12.37,-817.98,2.0,1.98000000000002
Apr 2018,48.89,1.13,2.9,3.11,8.29,8.08,18.57,7.04,1.69,0,0.65,0,46.07,0.07,18.88,11.87,76.89,17.25,-824.92,4.88,-6.93999999999994
May 2018,91.9,2.13,7.94,2.92,7.96,2.78,22.17,6.37,3.17,0,1.79,0,86.61,0.18,19.59,15.12,121.49,10.1,-845.99,-7.15,-21.070000000000103
Jun 2018,327.19,7.57,13.38,4.09,17.15,3.6,21.2,8.25,11.29,0,3.01,0,308.34,0.3,22.15,16.89,347.68,11.49,-871.95,1.39,-25.96
Jul 2018,144.57,3.34,13.37,4.1,13.07,3.77,25.57,8.66,4.99,0,3.01,0,136.24,0.3,25.03,17.2,178.77,15.83,-887.49,4.34,-15.54
Aug 2018,421.61,9.75,14.56,8.2,15.87,3.37,18.75,7.73,14.54,0,3.28,0,397.32,0.33,20.54,14.99,433.18,17.02,-913.6,1.19,-26.11
Sep 2018,366.36,8.47,25.23,8.77,21.47,2.8,15.64,6.38,12.64,0,5.68,0,345.25,0.57,17.08,11.65,374.55,20.0,-921.79,2.98,-8.18999999999994
Oct 2018,52.4,1.21,5.13,13.23,9.99,18.15,16.43,6.74,1.81,0,1.16,0,49.38,0.12,17.79,8.29,75.57,30.87,-924.39,10.87,-2.60000000000002
Nov 2018,0.17,0.0,1.41,5.28,3.35,7.57,6.3,2.46,0.01,0,0.32,0,0.16,0.03,6.6,2.06,8.85,14.61,-939.41,-16.26,-15.02
Dec 2018,185.34,4.29,3.97,4.16,3.46,0.34,2.19,0.68,6.39,0,0.89,0,174.66,0.09,2.14,0.0,176.89,7.65,-944.99,-6.96,-5.580000000000041
Jan 2019,6.07,0.14,1.16,0.49,0.86,0.34,2.19,0.8,0.21,0,0.26,0,5.72,0.03,1.89,0.0,7.64,10.12,-939.21,2.47,5.77999999999997
Feb 2019,3.62,0.08,1.5,0.5,1.07,0.36,2.98,0.75,0.12,0,0.34,0,3.41,0.03,2.71,0.47,6.63,10.13,-940.12,0.0100000000000016,-0.909999999999968
Mar 2019,16.02,0.37,5.22,1.55,4.16,1.42,15.88,3.24,0.55,0,1.18,0,15.09,0.12,11.9,8.72,35.83,10.37,-942.36,0.23999999999999802,-2.24000000000001
Apr 2019,119.98,2.78,3.63,2.95,8.11,5.56,17.49,6.56,4.14,0,0.82,0,113.07,0.08,17.73,11.97,142.85,13.86,-961.99,3.49,-19.63
May 2019,88.02,2.04,4.98,2.97,5.82,3.01,22.41,6.49,3.04,0,1.12,0,82.94,0.11,19.84,15.3,118.2,9.61,-979.93,-4.25,-17.9399999999999
Jun 2019,254.86,5.89,8.68,3.78,11.94,3.3,22.79,7.54,8.79,0,1.95,0,240.17,0.2,21.56,17.36,279.29,8.5,-1006.99,-1.11,-27.0600000000001
Jul 2019,208.88,4.83,14.34,3.67,15.29,3.35,24.09,7.67,7.21,0,3.23,0,196.84,0.33,22.51,16.78,236.46,10.83,-1028.85,2.33,-21.8599999999999
Aug 2019,309.88,7.17,13.66,4.72,16.44,3.72,20.7,8.56,10.69,0,3.07,0,292.02,0.31,22.55,15.18,330.06,16.68,-1051.62,5.85,-22.77
Sep 2019,358.58,8.29,18.65,8.43,16.84,2.94,16.43,6.71,12.37,0,4.2,0,337.92,0.42,17.92,12.25,368.51,19.0,-1065.18,2.32,-13.5600000000002
Oct 2019,99.76,2.31,4.24,10.39,9.8,14.7,16.12,6.6,3.44,0,0.95,0,94.01,0.1,17.33,8.68,120.11,24.69,-1070.58,5.69,-5.399999999999861
Nov 2019,35.08,0.81,1.85,4.47,3.3,5.56,6.23,2.42,1.21,0,0.42,0,33.06,0.04,6.44,2.15,41.69,11.99,-1084.39,-12.7,-13.8100000000002
Dec 2019,2.95,0.07,1.02,0.52,1.08,0.77,2.19,0.68,0.1,0,0.23,0,2.78,0.02,2.13,0.0,4.93,7.09,-1088.72,-4.9,-4.32999999999993
Jan 2020,4.98,0.12,1.16,0.49,0.84,0.34,2.19,0.8,0.17,0,0.26,0,4.7,0.03,1.84,0.0,6.56,6.78,-1089.9,-0.31,-1.1800000000000601
Feb 2020,0.93,0.02,1.36,0.44,0.9,0.3,2.22,0.53,0.03,0,0.31,0,0.88,0.03,1.93,0.02,2.85,6.82,-1090.86,0.04,-0.9599999999998091
Mar 2020,0.7,0.02,3.11,1.72,2.22,1.58,17.57,3.46,0.02,0,0.7,0,0.66,0.07,13.09,10.1,23.93,7.19,-1092.23,0.37,-1.37000000000012
Apr 2020,27.12,0.63,1.43,2.53,4.2,5.03,20.1,5.31,0.94,0,0.32,0,25.56,0.03,17.12,13.09,55.79,8.84,-1115.71,1.65,-23.48
May 2020,239.33,5.54,3.82,2.95,8.27,2.81,19.95,6.44,8.26,0,0.86,0,225.54,0.09,18.44,15.32,259.39,5.68,-1142.32,-3.16,-26.6099999999999
Jun 2020,250.3,5.79,13.61,3.42,15.54,2.94,22.62,6.7,8.63,0,3.06,0,235.88,0.31,20.05,17.09,273.34,6.21,-1162.04,0.53,-19.72
Jul 2020,125.9,2.91,6.87,4.1,10.24,6.26,25.87,8.66,4.34,0,1.55,0,118.65,0.16,25.05,17.17,161.02,14.67,-1183.35,8.46,-21.3099999999999
Aug 2020,396.81,9.18,16.88,3.94,21.34,3.41,19.23,7.82,13.69,0,3.8,0,373.94,0.38,20.45,15.07,409.85,10.82,-1211.85,-3.85,-28.5
Sep 2020,1102.75,25.51,39.54,27.59,28.85,1.19,6.83,2.62,38.04,0,8.9,0,1039.21,0.9,7.98,11.48,1059.57,19.72,-1220.84,8.9,-8.990000000000009
Oct 2020,443.58,10.26,23.9,30.57,5.58,7.91,9.54,3.8,15.3,0,5.38,0,418.02,0.54,11.03,7.79,437.39,43.61,-1189.59,23.89,31.25
Nov 2020,80.28,1.86,4.53,21.17,0.68,16.59,2.2,0.7,2.77,0,1.02,0,75.65,0.1,2.63,0.01,78.39,35.99,-1182.45,-7.62,7.13999999999987
Dec 2020,294.69,6.82,10.72,7.92,7.31,0.35,2.2,0.68,10.17,0,2.41,0,277.71,0.24,2.42,0.0,280.37,18.95,-1180.16,-17.04,2.28999999999996
Jan 2021,184.85,4.28,6.5,3.33,6.18,0.35,2.2,0.8,6.38,0,1.46,0,174.2,0.15,2.58,0.0,176.93,25.0,-1169.09,6.05,11.070000000000201
Feb 2021,66.13,1.53,6.51,1.77,5.01,0.35,2.2,0.99,2.28,0,1.47,0,62.32,0.15,2.72,0.0,65.19,29.66,-1162.65,4.66,6.43999999999983
Mar 2021,32.4,0.75,21.11,0.85,16.49,0.71,7.22,1.96,1.12,0,4.75,0,30.54,0.48,6.9,3.4,41.32,32.8,-1160.11,3.14,2.5400000000001897
Apr 2021,119.57,2.77,11.49,17.06,9.93,15.58,17.19,7.43,4.12,0,2.59,0,112.68,0.26,20.51,11.64,145.08,46.95,-1162.9,14.15,-2.79000000000019
May 2021,603.13,13.95,25.17,20.22,15.1,2.44,13.65,5.55,20.8,0,5.67,0,568.37,0.57,16.18,14.47,599.59,30.55,-1177.59,-16.4,-14.6899999999998
Jun 2021,79.19,1.83,30.77,8.69,20.9,4.61,25.54,10.59,2.73,0,6.93,0,74.62,0.7,29.04,17.21,121.57,35.12,-1173.67,4.57,3.9199999999998503
Jul 2021,134.81,3.12,3.09,14.91,16.03,25.5,25.49,10.59,4.65,0,0.69,0,127.04,0.07,29.37,16.94,173.42,37.33,-1196.18,2.21,-22.51
Aug 2021,573.04,13.25,20.78,10.0,21.76,2.89,16.11,6.6,19.77,0,4.68,0,540.02,0.47,17.54,14.55,572.58,13.4,-1222.69,-23.93,-26.51
Sep 2021,193.52,4.48,20.93,6.34,17.21,3.34,18.58,7.62,6.68,0,4.71,0,182.37,0.48,20.3,11.81,214.95,24.25,-1222.3,10.85,0.3900000000001
Oct 2021,198.61,4.59,7.12,16.13,8.09,14.27,13.49,5.48,6.85,0,1.6,0,187.17,0.16,14.62,7.85,209.8,28.79,-1233.68,4.54,-11.3800000000001
Nov 2021,277.04,6.41,10.32,12.03,2.71,0.57,3.44,1.23,9.56,0,2.32,0,261.08,0.23,3.65,1.35,266.32,16.0,-1241.1,-12.79,-7.41999999999985
Dec 2021,12.72,0.29,1.56,3.12,1.05,2.69,2.2,0.68,0.44,0,0.35,0,11.98,0.04,2.29,0.0,14.31,16.7,-1232.78,0.699999999999999,8.31999999999994
Jan 2022,137.57,3.18,5.51,2.17,5.5,0.35,2.2,0.8,4.75,0,1.24,0,129.64,0.13,2.3,0.0,132.07,14.28,-1233.51,-2.42,-0.7300000000000179
Feb 2022,128.0,2.96,6.2,1.88,6.09,0.35,2.2,0.84,4.42,0,1.39,0,120.63,0.14,2.5,0.0,123.26,18.53,-1228.93,4.25,4.57999999999993
Mar 2022,162.04,3.75,17.61,1.12,16.85,0.98,6.63,2.59,5.59,0,3.96,0,152.7,0.4,7.2,3.76,164.06,23.14,-1224.48,4.61,4.45000000000005
Apr 2022,162.42,3.76,10.47,12.49,9.68,10.53,16.77,7.25,5.6,0,2.36,0,153.06,0.24,19.41,11.94,184.64,35.84,-1222.71,12.7,1.76999999999998
May 2022,214.83,4.97,14.17,7.53,12.47,4.37,20.19,8.34,7.41,0,3.19,0,202.45,0.32,22.69,15.16,240.62,25.1,-1236.21,-10.74,-13.5
Jun 2022,440.57,10.19,17.1,12.89,13.67,3.51,19.55,8.03,15.2,0,3.85,0,415.19,0.39,21.94,16.99,454.51,22.36,-1252.62,-2.74,-16.4099999999999
Jul 2022,230.38,5.33,9.03,7.2,14.46,9.53,23.08,9.56,7.95,0,2.03,0,217.1,0.21,25.6,16.11,259.02,22.1,-1262.08,-0.259999999999998,-9.46000000000004
Aug 2022,551.97,12.77,20.47,10.23,20.89,2.96,16.52,6.77,19.04,0,4.61,0,520.16,0.47,18.08,14.66,553.37,14.94,-1281.73,-7.16,-19.6500000000001
Sep 2022,1125.02,26.02,37.99,31.08,24.58,1.07,6.17,2.33,38.81,0,8.55,0,1060.19,0.86,7.44,11.03,1079.53,24.55,-1282.5,9.61,-0.7699999999999821
Oct 2022,78.35,1.81,5.06,22.85,10.2,27.44,16.75,6.86,2.7,0,1.14,0,73.83,0.12,18.76,8.89,101.6,44.45,-1250.01,19.9,32.49
Nov 2022,99.82,2.31,3.63,11.03,1.01,7.01,2.71,0.91,3.44,0,0.82,0,94.07,0.08,2.88,0.33,97.36,18.35,-1264.96,-26.1,-14.95
Dec 2022,9.1,0.21,1.27,1.71,1.05,1.6,2.21,0.68,0.31,0,0.29,0,8.57,0.03,2.19,0.0,10.79,11.27,-1262.82,-7.08,2.1400000000001
Jan 2023,182.43,4.22,5.46,3.21,5.46,0.35,2.21,0.8,6.29,0,1.23,0,171.92,0.12,2.19,0.0,174.23,10.07,-1263.74,-1.2,-0.920000000000073
Feb 2023,82.52,1.91,4.37,1.24,4.3,0.35,2.21,0.74,2.85,0,0.98,0,77.77,0.1,2.41,0.0,80.27,14.39,-1257.62,4.32,6.12000000000012
Mar 2023,57.7,1.33,9.97,0.9,8.69,0.76,7.18,1.87,1.99,0,2.24,0,54.37,0.23,6.41,3.51,64.52,17.41,-1255.26,3.02,2.3599999999999
Apr 2023,75.13,1.74,4.2,5.12,10.54,10.76,18.14,7.83,2.59,0,0.95,0,70.8,0.1,20.13,11.85,102.88,24.24,-1259.85,6.83,-4.58999999999992
May 2023,37.06,0.86,4.49,3.3,7.56,6.63,23.13,7.24,1.28,0,1.01,0,34.92,0.1,21.58,15.15,71.75,14.19,-1278.47,-10.05,-18.620000000000104
Jun 2023,41.39,0.96,3.58,3.68,5.37,5.4,27.61,7.29,1.43,0,0.81,0,39.01,0.08,23.37,18.73,81.19,9.43,-1307.22,-4.76,-28.75
Jul 2023,197.67,4.57,6.2,3.45,8.91,3.12,24.79,7.13,6.82,0,1.4,0,186.28,0.14,21.66,17.27,225.35,6.36,-1344.04,-3.07,-36.8199999999999
Aug 2023,205.11,4.74,9.71,3.51,11.52,2.98,22.55,6.8,7.08,0,2.19,0,193.29,0.22,20.14,15.35,229.0,8.15,-1370.77,1.79,-26.73
Sep 2023,459.84,10.64,17.11,8.29,17.79,2.57,14.38,5.83,15.86,0,3.85,0,433.34,0.39,15.39,11.79,460.91,12.3,-1392.6,4.15,-21.8299999999999
Oct 2023,100.47,2.32,6.36,7.06,10.21,10.16,16.76,6.86,3.47,0,1.43,0,94.68,0.14,17.91,9.2,121.94,20.67,-1393.23,8.37,-0.630000000000109
Nov 2023,32.5,0.75,2.2,6.48,0.93,4.99,2.59,0.86,1.12,0,0.5,0,30.63,0.05,2.61,0.2,33.49,12.71,-1407.43,-7.96,-14.2
Dec 2023,26.54,0.61,1.68,1.1,1.13,0.35,2.21,0.68,0.92,0,0.38,0,25.01,0.04,2.13,0.0,27.18,7.76,-1407.74,-4.95,-0.30999999999994504
Jan 2024,18.67,0.43,1.74,0.5,1.59,0.35,2.21,0.8,0.64,0,0.39,0,17.59,0.04,1.99,0.0,19.62,7.94,-1407.97,0.180000000000001,-0.230000000000018
Feb 2024,136.37,3.15,5.06,2.32,4.99,0.35,2.21,0.67,4.7,0,1.14,0,128.52,0.12,2.22,0.0,130.86,8.6,-1408.35,0.659999999999999,-0.379999999999882
Mar 2024,2.76,0.06,8.11,1.03,6.03,0.9,11.42,1.95,0.1,0,1.83,0,2.6,0.18,8.45,5.98,17.22,12.56,-1404.05,3.96,4.29999999999995
Apr 2024,17.25,0.4,2.18,3.26,8.58,9.8,19.9,7.33,0.6,0,0.49,0,16.26,0.05,20.12,12.69,49.11,18.72,-1417.59,6.16,-13.54
May 2024,280.05,6.48,5.69,3.33,10.62,3.19,18.85,7.3,9.66,0,1.28,0,263.91,0.13,19.56,14.82,298.42,9.95,-1441.76,-8.77,-24.1700000000001
Jun 2024,398.92,9.23,17.72,3.91,22.07,3.43,19.74,7.82,13.76,0,3.99,0,375.93,0.4,20.73,16.5,413.56,9.38,-1457.18,-0.5699999999999991,-15.4200000000001
Jul 2024,720.57,16.67,27.62,17.15,22.99,2.69,15.05,6.13,24.86,0,6.22,0,679.05,0.63,17.04,15.25,711.97,19.21,-1467.85,9.83,-10.669999999999801
