date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,73.38,1.7,5.22,2.16,3.81,0.34,2.18,0.8,2.53,0,1.17,0,69.15,0.12,2.74,0.0,72.01,38.62,-726.28,0.0,0.0
Feb 2016,100.37,2.32,10.07,2.86,7.38,0.34,2.18,0.99,3.46,0,2.27,0,94.58,0.23,2.92,0.0,97.73,40.72,-723.95,2.1,2.3299999999999303
Mar 2016,21.38,0.49,23.3,1.01,17.88,0.87,6.86,2.34,0.74,0,5.24,0,20.15,0.53,7.97,3.9,32.55,46.02,-719.4,5.3,4.55000000000007
Apr 2016,76.66,1.77,14.92,23.07,8.57,18.65,15.01,6.51,2.64,0,3.36,0,72.25,0.34,19.52,11.99,104.09,59.58,-721.84,13.56,-2.4400000000000497
May 2016,34.96,0.81,13.66,12.13,11.99,13.04,19.38,8.0,1.21,0,3.07,0,32.95,0.31,22.9,15.73,71.88,38.48,-736.32,-21.1,-14.48
Jun 2016,110.31,2.55,24.54,6.28,18.45,3.71,20.63,8.5,3.81,0,5.53,0,103.95,0.56,23.38,17.46,145.34,25.9,-759.14,-12.58,-22.8199999999999
Jul 2016,112.49,2.6,9.86,10.02,13.35,13.35,21.25,8.79,3.88,0,2.22,0,106.01,0.22,24.42,17.12,147.77,29.39,-779.39,3.49,-20.25
Aug 2016,333.36,7.71,14.09,7.53,13.73,2.95,16.47,6.76,11.5,0,3.17,0,314.15,0.32,18.22,14.92,347.61,17.43,-802.87,-11.96,-23.48
Sep 2016,1721.64,39.82,49.07,41.51,35.98,0.76,4.45,1.61,59.39,0,11.05,0,1622.44,1.12,5.48,11.05,1640.08,19.69,-812.83,2.26,-9.96000000000004
Oct 2016,697.05,16.12,24.48,43.41,3.05,11.92,5.54,2.1,24.04,0,5.51,0,656.88,0.56,7.52,8.11,673.07,52.27,-756.28,32.58,56.550000000000104
