date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,8.78,0.3,0.12,0.5,0.32,0.15,1.11,0.44,0.25,0,-0.27,0,8.23,0.02,0.83,0.0,9.09,0,-265.07,0,0.0
Feb 2016,224.89,7.6,2.4,14.63,0.32,0.15,1.11,0.44,6.48,0,-5.19,0,210.81,0.39,0.83,0.0,212.04,0,-265.75,0,-0.6800000000000072
Mar 2016,37.83,1.28,0.67,3.14,0.32,0.15,1.11,0.44,1.09,0,-1.46,0,35.46,0.11,0.83,0.0,36.41,0,-265.13,0,0.620000000000005
Apr 2016,7.75,0.26,0.37,0.97,1.1,0.72,1.23,0.58,0.22,0,-0.79,0,7.26,0.06,1.04,0.65,9.01,0,-266.17,0,-1.04000000000002
May 2016,2.79,0.09,0.03,0.41,0.2,0.41,1.51,0.21,0.08,0,-0.07,0,2.61,0.01,1.08,2.09,5.79,0,-268.05,0,-1.88
Jun 2016,114.77,3.88,1.24,6.65,3.13,2.17,1.55,0.94,3.31,0,-2.69,0,107.59,0.2,1.57,2.54,111.91,0,-271.42,0,-3.37
Jul 2016,589.18,19.91,5.47,35.65,2.06,1.4,1.38,0.75,16.97,0,-11.82,0,552.3,0.89,1.29,2.26,556.74,0,-273.96,0,-2.53999999999996
Aug 2016,438.1,14.8,4.52,27.68,2.12,1.44,1.39,0.76,12.62,0,-9.77,0,410.67,0.73,1.31,1.98,414.69,0,-271.71,0,2.25
Sep 2016,1260.91,42.61,12.01,78.42,0.53,0.31,1.14,0.47,36.32,0,-25.98,0,1181.98,1.95,0.89,1.55,1186.38,0,-271.47,0,0.23999999999995197
Oct 2016,50.51,1.71,1.1,4.39,1.9,1.29,1.36,0.72,1.45,0,-2.38,0,47.35,0.18,1.25,1.05,49.83,0,-263.35,0,8.12
Nov 2016,14.58,0.49,0.24,1.06,0.32,0.15,1.11,0.44,0.42,0,-0.52,0,13.67,0.04,0.84,0.0,14.55,0,-265.96,0,-2.60999999999996
Dec 2016,39.64,1.34,0.88,3.8,0.32,0.15,1.11,0.44,1.14,0,-1.89,0,37.16,0.14,0.84,0.0,38.14,0,-266.74,0,-0.7800000000000301
Jan 2017,161.43,5.46,2.07,11.49,0.32,0.15,1.11,0.44,4.65,0,-4.47,0,151.33,0.34,0.84,0.0,152.5,0,-268.16,0,-1.42000000000002
Feb 2017,95.8,3.24,1.07,6.29,0.32,0.15,1.11,0.44,2.76,0,-2.32,0,89.81,0.17,0.84,0.0,90.82,0,-268.65,0,-0.48999999999995203
Mar 2017,129.2,4.37,1.85,9.75,0.32,0.16,1.11,0.44,3.72,0,-4.0,0,121.11,0.3,0.84,0.01,122.26,0,-268.89,0,-0.24000000000000898
Apr 2017,4.62,0.16,0.09,0.51,0.42,0.51,1.44,0.27,0.13,0,-0.19,0,4.33,0.01,1.08,1.65,7.07,0,-269.85,0,-0.9600000000000359
May 2017,158.94,5.37,1.36,8.68,2.49,1.71,1.45,0.83,4.58,0,-2.95,0,148.99,0.22,1.41,2.08,152.7,0,-272.72,0,-2.87
