date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,192.29,6.5,1.87,11.91,0.32,0.1,0.97,0.44,5.54,0,-4.05,0,180.25,0.3,0.74,0.0,181.3,0,-258.34,0,0.0
Feb 2016,173.9,5.88,1.84,11.17,0.32,0.1,0.97,0.44,5.01,0,-3.97,0,163.02,0.3,0.74,0.0,164.06,0,-257.38,0,0.95999999999998
Mar 2016,80.99,2.74,1.18,6.06,0.32,0.1,0.97,0.44,2.33,0,-2.55,0,75.92,0.19,0.74,0.0,76.86,0,-256.87,0,0.509999999999991
Apr 2016,34.98,1.18,0.44,2.12,0.89,0.52,1.06,0.54,1.01,0,-0.94,0,32.79,0.07,0.9,0.66,34.42,0,-257.62,0,-0.75
May 2016,0.77,0.03,0.01,0.25,0.06,0.25,1.28,0.17,0.02,0,-0.03,0,0.73,0.0,0.92,2.16,3.81,0,-258.74,0,-1.12
Jun 2016,78.63,2.66,0.74,4.08,2.42,1.61,1.3,0.81,2.26,0,-1.61,0,73.71,0.12,1.3,2.43,77.56,0,-262.01,0,-3.2699999999999796
Jul 2016,454.28,15.35,4.37,27.78,1.93,1.26,1.22,0.72,13.08,0,-9.44,0,425.84,0.71,1.17,2.41,430.13,0,-264.27,0,-2.25999999999999
Aug 2016,595.07,20.11,5.3,35.46,1.47,0.93,1.15,0.64,17.14,0,-11.46,0,557.82,0.86,1.05,2.03,561.76,0,-263.53,0,0.7400000000000091
Sep 2016,1238.34,41.85,9.79,70.97,0.5,0.24,1.0,0.47,35.67,0,-21.18,0,1160.82,1.59,0.79,1.56,1164.77,0,-260.39,0,3.1399999999999904
Oct 2016,1090.98,36.87,9.92,66.43,0.32,0.11,0.97,0.44,31.42,0,-21.47,0,1022.69,1.61,0.75,0.58,1025.63,0,-248.0,0,12.39
Nov 2016,147.82,5.0,1.81,10.22,0.32,0.11,0.97,0.44,4.26,0,-3.92,0,138.56,0.29,0.75,0.0,139.61,0,-239.16,0,8.84
Dec 2016,155.22,5.25,1.97,10.96,0.32,0.11,0.97,0.44,4.47,0,-4.27,0,145.5,0.32,0.75,0.0,146.57,0,-239.36,0,-0.200000000000017
Jan 2017,482.05,16.29,4.84,30.6,0.32,0.11,0.97,0.44,13.88,0,-10.47,0,451.87,0.79,0.75,0.0,453.4,0,-239.69,0,-0.32999999999998403
Feb 2017,130.48,4.41,1.53,8.78,0.32,0.11,0.97,0.44,3.76,0,-3.3,0,122.31,0.25,0.75,0.0,123.3,0,-236.81,0,2.88
Mar 2017,687.76,23.24,7.28,44.88,0.32,0.11,0.97,0.44,19.81,0,-15.75,0,644.71,1.18,0.75,0.0,646.64,0,-236.89,0,-0.0799999999999841
Apr 2017,375.81,12.7,5.39,28.66,0.33,0.11,0.97,0.44,10.82,0,-11.66,0,352.29,0.88,0.75,0.05,353.96,0,-233.37,0,3.5199999999999796
May 2017,5.74,0.19,0.18,0.61,0.72,0.61,1.25,0.36,0.17,0,-0.38,0,5.38,0.03,1.0,1.88,8.29,0,-234.78,0,-1.41
Jun 2017,209.83,7.09,2.19,12.93,2.14,1.42,1.26,0.76,6.04,0,-4.74,0,196.69,0.36,1.23,2.36,200.63,0,-237.76,0,-2.9799999999999907
Jul 2017,443.83,15.0,4.41,27.58,1.9,1.24,1.22,0.72,12.78,0,-9.54,0,416.05,0.72,1.16,2.35,420.28,0,-239.31,0,-1.55000000000001
Aug 2017,638.39,21.57,6.07,39.28,1.38,0.87,1.14,0.63,18.39,0,-13.14,0,598.43,0.99,1.02,2.0,602.44,0,-238.92,0,0.39000000000001506
Sep 2017,355.18,12.0,3.68,22.49,1.49,0.95,1.16,0.65,10.23,0,-7.95,0,332.95,0.6,1.05,1.61,336.21,0,-236.18,0,2.73999999999998
Oct 2017,46.62,1.58,1.26,4.88,1.29,0.8,1.12,0.61,1.34,0,-2.73,0,43.7,0.21,1.0,0.85,45.76,0,-236.02,0,0.15999999999999698
Nov 2017,126.14,4.26,1.22,7.72,0.32,0.11,0.97,0.44,3.63,0,-2.65,0,118.24,0.2,0.75,0.0,119.19,0,-238.78,0,-2.7599999999999905
Dec 2017,5.53,0.19,0.16,0.45,0.32,0.11,0.97,0.44,0.16,0,-0.34,0,5.19,0.03,0.75,0.0,5.96,0,-238.33,0,0.449999999999989
Jan 2018,24.92,0.84,0.36,1.7,0.32,0.11,0.97,0.44,0.72,0,-0.77,0,23.36,0.06,0.75,0.0,24.16,0,-239.04,0,-0.70999999999998
Feb 2018,45.63,1.54,0.56,3.01,0.32,0.11,0.97,0.44,1.31,0,-1.21,0,42.78,0.09,0.75,0.0,43.61,0,-239.63,0,-0.5900000000000029
Mar 2018,133.57,4.51,1.85,9.85,0.32,0.11,0.97,0.44,3.85,0,-4.0,0,125.21,0.3,0.75,0.0,126.26,0,-240.07,0,-0.439999999999998
