date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,4.32,0.11,0.06,1.04,0.0,0.87,0.11,0.21,0.07,0,0.0,0,4.13,0.0,1.09,0.0,5.22,96.6,826.02,0.0,0.0
Feb 2016,119.36,3.06,2.01,11.02,0.0,6.06,0.11,0.21,1.92,0,0.05,0,114.38,0.05,1.16,0.0,115.6,94.55,826.2,-2.05,0.180000000000064
Mar 2016,16.95,0.43,0.86,13.93,0.01,12.69,0.11,0.21,0.27,0,0.02,0,16.24,0.02,1.96,0.0,18.23,87.22,828.27,-7.33,2.06999999999994
Apr 2016,149.33,3.83,9.0,9.34,3.87,0.85,0.27,0.21,2.41,0,0.22,0,143.09,0.24,2.49,2.43,148.26,72.48,828.66,-14.74,0.38999999999998597
May 2016,85.01,2.18,4.01,29.97,1.95,25.93,0.34,0.21,1.37,0,0.1,0,81.46,0.11,3.15,3.17,87.89,73.07,828.8,0.5899999999999891,0.139999999999986
Jun 2016,210.63,5.4,7.48,23.71,2.02,13.24,0.34,0.21,3.4,0,0.18,0,201.83,0.2,2.85,3.71,208.59,46.06,826.97,-27.01,-1.82999999999993
Jul 2016,529.27,13.57,17.03,21.98,8.6,0.85,0.27,0.21,8.53,0,0.42,0,507.16,0.46,2.06,3.5,513.18,32.13,826.71,-13.93,-0.259999999999991
Aug 2016,530.74,13.61,15.21,26.51,2.23,0.7,0.24,0.21,8.55,0,0.37,0,508.58,0.41,1.75,2.99,513.73,37.88,832.09,5.75,5.38
Sep 2016,542.9,13.92,13.23,23.5,3.46,0.48,0.2,0.21,8.75,0,0.32,0,520.23,0.36,1.44,2.42,524.45,37.69,838.0,-0.190000000000005,5.90999999999997
Oct 2016,15.48,0.4,0.9,0.83,1.32,0.9,0.27,0.21,0.25,0,0.02,0,14.83,0.02,1.57,1.64,18.07,39.21,844.66,1.52,6.65999999999997
Nov 2016,45.13,1.16,1.03,1.6,0.58,0.04,0.11,0.21,0.73,0,0.03,0,43.25,0.03,0.7,0.0,43.97,38.11,843.24,-1.1,-1.41999999999996
Dec 2016,11.49,0.29,0.17,0.65,0.0,0.2,0.11,0.21,0.19,0,0.0,0,11.01,0.0,0.52,0.0,11.53,37.86,844.09,-0.25,0.850000000000023
Jan 2017,85.1,2.18,1.3,3.03,0.43,0.04,0.11,0.21,1.37,0,0.03,0,81.55,0.04,0.45,0.0,82.03,37.05,844.38,-0.810000000000002,0.28999999999996395
Feb 2017,42.43,1.09,0.61,4.2,0.0,2.53,0.11,0.21,0.68,0,0.01,0,40.66,0.02,0.59,0.0,41.26,36.89,845.88,-0.15999999999999698,1.5
Mar 2017,34.77,0.89,1.55,6.55,0.03,4.22,0.11,0.21,0.56,0,0.04,0,33.32,0.04,1.13,0.04,34.54,33.66,846.68,-3.23,0.799999999999955
Apr 2017,13.91,0.36,3.33,2.1,2.47,1.05,0.31,0.21,0.22,0,0.08,0,13.33,0.09,1.82,2.44,17.68,28.25,847.33,-5.41,0.6500000000000911
May 2017,169.47,4.35,4.27,15.17,1.77,8.54,0.32,0.21,2.73,0,0.1,0,162.39,0.12,2.03,3.22,167.76,27.95,845.09,-0.30000000000000104,-2.24000000000001
Jun 2017,411.32,10.55,13.35,20.6,3.58,0.96,0.29,0.21,6.63,0,0.33,0,394.15,0.36,1.74,3.63,399.88,19.25,844.6,-8.7,-0.49000000000000893
Jul 2017,367.11,9.41,11.05,14.51,6.44,1.06,0.31,0.21,5.92,0,0.27,0,351.78,0.3,1.85,3.57,357.5,20.21,847.84,0.9600000000000011,3.2400000000000095
Aug 2017,358.58,9.19,13.29,17.64,5.08,0.92,0.28,0.21,5.78,0,0.32,0,343.6,0.36,1.61,3.04,348.61,23.84,850.37,3.63,2.52999999999997
Sep 2017,37.68,0.97,0.8,6.36,1.96,6.59,0.34,0.21,0.61,0,0.02,0,36.11,0.02,1.9,2.64,40.67,26.46,853.36,2.62,2.9900000000000095
Oct 2017,589.74,15.12,11.35,16.58,9.41,0.11,0.12,0.21,9.51,0,0.28,0,565.11,0.31,0.59,1.35,567.36,20.06,851.22,-6.4,-2.13999999999999
Nov 2017,26.73,0.69,0.34,0.93,0.12,0.04,0.11,0.21,0.43,0,0.01,0,25.62,0.01,0.53,0.0,26.15,28.68,859.75,8.62,8.529999999999971
Dec 2017,159.54,4.09,2.29,5.07,1.23,0.04,0.11,0.21,2.57,0,0.06,0,152.88,0.06,0.38,0.0,153.32,28.13,860.29,-0.5500000000000009,0.5399999999999641
Jan 2018,247.84,6.35,3.84,8.1,1.94,0.04,0.11,0.21,3.99,0,0.09,0,237.49,0.1,0.43,0.0,238.02,28.84,863.01,0.7100000000000011,2.72000000000003
Feb 2018,99.49,2.55,4.92,6.75,0.5,0.04,0.11,0.21,1.6,0,0.12,0,95.33,0.13,0.54,0.0,96.01,30.21,867.2,1.37,4.19000000000005
Mar 2018,348.99,8.95,12.93,18.08,3.18,0.04,0.11,0.21,5.63,0,0.32,0,334.41,0.35,0.77,0.0,335.53,30.03,869.02,-0.18,1.8199999999999399
Apr 2018,179.97,4.61,11.64,9.28,6.64,0.28,0.16,0.21,2.9,0,0.28,0,172.46,0.32,1.2,0.84,174.81,32.3,875.06,2.27,6.039999999999959
May 2018,630.75,16.17,28.4,36.32,7.3,0.51,0.2,0.21,10.17,0,0.69,0,604.41,0.77,1.73,3.11,610.02,37.41,877.46,5.11,2.4000000000000896
Jun 2018,336.23,8.62,8.43,25.84,1.71,10.94,0.31,0.21,5.42,0,0.21,0,322.19,0.23,2.58,3.66,328.66,42.46,885.22,5.05,7.759999999999991
Jul 2018,317.25,8.13,8.89,14.64,3.08,1.16,0.33,0.21,5.11,0,0.22,0,304.0,0.24,2.33,3.67,310.24,30.76,887.08,-11.7,1.86000000000001
Aug 2018,500.0,12.82,16.7,23.73,5.69,0.75,0.25,0.21,8.06,0,0.41,0,479.12,0.45,1.67,3.07,484.3,30.47,888.63,-0.290000000000003,1.5499999999999499
Sep 2018,265.71,6.81,6.11,14.58,1.41,3.39,0.27,0.21,4.28,0,0.15,0,254.62,0.17,1.79,2.62,259.19,33.78,893.99,3.31,5.360000000000009
Oct 2018,157.73,4.04,3.35,4.54,3.41,0.73,0.24,0.21,2.54,0,0.08,0,151.14,0.09,1.35,1.75,154.33,30.08,895.74,-3.7,1.75
Nov 2018,134.15,3.44,2.11,4.04,1.45,0.04,0.11,0.21,2.16,0,0.05,0,128.54,0.06,0.54,0.0,129.14,31.44,896.58,1.36,0.840000000000032
Dec 2018,11.6,0.3,0.14,0.6,0.0,0.18,0.11,0.21,0.19,0,0.0,0,11.12,0.0,0.54,0.0,11.67,32.2,898.89,0.7600000000000021,2.3099999999999503
Jan 2019,117.71,3.02,3.47,4.72,1.63,0.04,0.11,0.21,1.9,0,0.08,0,112.79,0.09,0.4,0.0,113.29,31.39,899.18,-0.810000000000002,0.28999999999996395
Feb 2019,44.56,1.14,1.81,4.37,0.0,1.52,0.11,0.21,0.72,0,0.04,0,42.7,0.05,0.6,0.0,43.35,32.47,901.26,1.08,2.08000000000004
Mar 2019,140.64,3.61,6.73,10.62,0.0,0.64,0.11,0.21,2.27,0,0.16,0,134.77,0.18,0.94,0.0,135.89,30.26,902.12,-2.21,0.860000000000014
Apr 2019,40.16,1.03,4.18,3.39,2.08,0.48,0.2,0.21,0.65,0,0.1,0,38.48,0.11,1.32,1.13,41.04,28.59,904.65,-1.67,2.52999999999997
May 2019,191.68,4.91,8.63,17.21,1.53,5.64,0.29,0.21,3.09,0,0.21,0,183.68,0.23,1.8,2.81,188.53,28.86,904.28,0.27,-0.370000000000005
Jun 2019,375.55,9.63,10.35,20.24,1.59,2.39,0.3,0.21,6.05,0,0.25,0,359.86,0.28,1.88,3.59,365.61,23.03,904.69,-5.83,0.410000000000082
Jul 2019,534.04,13.69,16.08,19.88,9.92,0.86,0.27,0.21,8.61,0,0.39,0,511.74,0.44,1.68,3.54,517.39,20.44,907.32,-2.59,2.63
Aug 2019,258.79,6.64,10.37,15.84,1.72,1.09,0.31,0.21,4.17,0,0.25,0,247.98,0.28,1.87,3.09,253.22,27.88,912.72,7.44,5.399999999999981
Sep 2019,132.44,3.4,3.13,9.18,1.73,4.54,0.31,0.21,2.13,0,0.08,0,126.9,0.09,1.79,2.64,131.42,26.74,913.95,-1.14,1.23000000000002
Oct 2019,109.53,2.81,4.43,3.33,4.41,0.73,0.25,0.21,1.77,0,0.11,0,104.95,0.12,1.19,1.6,107.86,22.24,913.42,-4.5,-0.530000000000086
