date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,50.3,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,50.29,0.0,0.05,0.0,50.34,0,0.0,0,0.0
Feb 1975,50.28,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,50.27,0.0,0.05,0.0,50.32,0,-0.04,0,-0.04
Mar 1975,41.68,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,41.67,0.0,0.05,0.0,41.72,0,-0.09,0,-0.05
Apr 1975,95.07,0.0,0,0.0,0.02,0,0.15,0.04,0.02,0,-0.02,0,95.04,0.0,0.13,0.02,95.19,0,-0.13,0,-0.04
May 1975,127.68,0.0,0,0.0,0.05,0,2.34,0.72,0.26,0,-0.06,0,127.42,0.0,1.67,0.25,129.34,0,-0.26,0,-0.13
Jun 1975,199.54,0.92,0,1.06,0.06,0,2.5,0.77,0.66,0,-0.32,0,197.96,0.12,1.78,0.29,200.16,0,-1.91,0,-1.65
Jul 1975,291.09,1.56,0,1.71,0.05,0,2.14,0.66,0.84,0,-0.32,0,288.69,0.12,1.53,0.27,290.61,0,-3.59,0,-1.68
Aug 1975,187.79,1.17,0,1.32,0.06,0,2.65,0.82,0.72,0,-0.32,0,185.9,0.11,1.89,0.27,188.17,0,-4.82,0,-1.23
Sep 1975,255.62,0.0,0,0.05,0.04,0,1.71,0.53,0.23,0,-0.11,0,255.4,0.02,1.23,0.19,256.84,0,-6.52,0,-1.7
Oct 1975,0.0,0.0,0,0.0,0.03,0,0.86,0.26,0.07,0,-0.03,0,-0.07,0.0,0.63,0.06,0.62,0,-7.78,0,-1.26
Nov 1975,90.06,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,90.05,0.0,0.05,0.0,90.1,0,-8.41,0,-0.63
Dec 1975,11.89,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,11.89,0.0,0.05,0.0,11.94,0,-8.45,0,-0.0399999999999991
Jan 1976,12.64,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,12.63,0.0,0.05,0.0,12.68,0,-8.5,0,-0.0500000000000007
Feb 1976,31.65,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,31.65,0.0,0.05,0.0,31.7,0,-8.54,0,-0.0399999999999991
Mar 1976,17.56,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,17.55,0.0,0.05,0.0,17.6,0,-8.59,0,-0.0500000000000007
Apr 1976,72.5,0.0,0,0.0,0.13,0,0.78,0.24,0.13,0,-0.13,0,72.36,0.0,0.67,0.09,73.13,0,-8.63,0,-0.0400000000000009
May 1976,199.38,0.0,0,0.01,0.23,0,1.46,0.45,0.31,0,-0.26,0,199.07,0.01,1.24,0.23,200.56,0,-9.26,0,-0.629999999999999
Jun 1976,113.24,0.13,0,0.03,0.36,0,2.34,0.72,0.42,0,-0.3,0,112.69,0.03,1.98,0.29,115.0,0,-10.45,0,-1.19
Jul 1976,286.37,0.98,0,0.87,0.29,0,1.86,0.57,0.67,0,-0.3,0,284.72,0.12,1.58,0.28,286.69,0,-12.24,0,-1.79
Aug 1976,185.59,0.19,0,0.13,0.32,0,2.08,0.64,0.41,0,-0.3,0,184.99,0.04,1.76,0.26,187.05,0,-13.44,0,-1.2
Sep 1976,299.41,1.17,0,1.23,0.15,0,0.92,0.28,0.64,0,-0.3,0,297.61,0.08,0.79,0.19,298.67,0,-15.03,0,-1.59
Oct 1976,53.58,0.0,0,0.0,0.05,0,0.22,0.06,0.03,0,-0.05,0,53.54,0.0,0.2,0.02,53.77,0,-15.52,0,-0.49
Nov 1976,29.96,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,29.95,0.0,0.05,0.0,30.0,0,-15.71,0,-0.190000000000001
Dec 1976,0.23,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,0.22,0.0,0.05,0.0,0.27,0,-15.76,0,-0.0499999999999989
Jan 1977,27.39,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,27.39,0.0,0.05,0.0,27.44,0,-15.8,0,-0.0400000000000009
Feb 1977,22.41,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,22.4,0.0,0.05,0.0,22.45,0,-15.85,0,-0.0499999999999989
Mar 1977,38.42,0.0,0,0.0,0.02,0,0.04,0.01,0.01,0,-0.02,0,38.41,0.0,0.05,0.0,38.47,0,-15.89,0,-0.0400000000000009
Apr 1977,285.4,0.81,0,0.95,0.05,0,0.22,0.06,0.42,0,-0.28,0,284.17,0.09,0.2,0.09,284.56,0,-15.94,0,-0.0499999999999989
May 1977,238.91,8.34,0,8.29,0.19,0,1.17,0.36,2.85,0,-0.28,0,227.72,0.15,1.0,0.24,229.12,0,-16.04,0,-0.0999999999999996
