date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.28,0.01,0,0.01,0,0,0.02,0.0,0.01,0,-0.0,0,2.27,0.0,0.02,0.0,2.29,0,-77.29,0,0.0
Feb 2016,68.05,0.32,0,0.35,0,0,0.02,0.0,0.17,0,-0.05,0,67.57,0.02,0.02,0.0,67.61,0,-77.31,0,-0.019999999999996004
Mar 2016,18.56,0.09,0,0.09,0,0,0.02,0.0,0.05,0,-0.01,0,18.43,0.0,0.02,0.0,18.46,0,-77.21,0,0.100000000000009
Apr 2016,147.13,0.69,0,0.76,0,0,0.1,0.03,0.36,0,-0.11,0,146.09,0.03,0.08,0.08,146.28,0,-77.2,0,0.009999999999990909
May 2016,200.0,0.93,0,1.03,0,0,0.31,0.09,0.49,0,-0.15,0,198.58,0.05,0.22,0.26,199.11,0,-77.11,0,0.0900000000000034
Jun 2016,258.24,1.21,0,1.33,0,0,0.35,0.1,0.63,0,-0.19,0,256.4,0.06,0.25,0.31,257.01,0,-77.25,0,-0.140000000000001
Jul 2016,412.17,1.93,0,2.13,0,0,0.27,0.08,1.0,0,-0.3,0,409.24,0.1,0.2,0.3,409.84,0,-77.36,0,-0.10999999999999902
Aug 2016,430.55,2.01,0,2.23,0,0,0.2,0.06,1.05,0,-0.32,0,427.49,0.1,0.15,0.25,427.99,0,-77.16,0,0.200000000000003
Sep 2016,326.89,1.53,0,1.69,0,0,0.19,0.05,0.8,0,-0.24,0,324.57,0.08,0.14,0.2,324.99,0,-76.82,0,0.34000000000000297
Oct 2016,20.3,0.09,0,0.1,0,0,0.27,0.08,0.05,0,-0.01,0,20.15,0.0,0.2,0.13,20.48,0,-76.6,0,0.219999999999999
Nov 2016,36.56,0.17,0,0.19,0,0,0.02,0.0,0.09,0,-0.03,0,36.3,0.01,0.02,0.0,36.33,0,-76.89,0,-0.29000000000000603
Dec 2016,12.68,0.06,0,0.06,0,0,0.02,0.0,0.03,0,-0.01,0,12.59,0.0,0.02,0.0,12.62,0,-76.85,0,0.0400000000000063
Jan 2017,45.53,0.21,0,0.23,0,0,0.02,0.0,0.11,0,-0.03,0,45.21,0.01,0.02,0.0,45.24,0,-76.85,0,0.0
Feb 2017,15.75,0.07,0,0.08,0,0,0.02,0.0,0.04,0,-0.01,0,15.64,0.0,0.02,0.0,15.67,0,-76.8,0,0.0499999999999972
Mar 2017,24.79,0.12,0,0.13,0,0,0.02,0.0,0.06,0,-0.02,0,24.62,0.01,0.02,0.0,24.65,0,-76.79,0,0.009999999999990909
Apr 2017,27.71,0.13,0,0.14,0,0,0.34,0.1,0.07,0,-0.02,0,27.51,0.01,0.24,0.2,27.95,0,-76.77,0,0.0200000000000102
May 2017,158.97,0.74,0,0.82,0,0,0.35,0.1,0.39,0,-0.12,0,157.84,0.04,0.25,0.27,158.4,0,-77.16,0,-0.39000000000000107
