date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,124.07,0.13,12.41,11.58,0.15,0.06,0.17,0.14,0.18,0,0.81,0,123.77,0.07,0.11,0.0,123.95,0,-924.75,0,0.0
Feb 2016,8.14,0.01,0.46,0.36,0.15,0.06,0.17,0.14,0.01,0,0.03,0,8.12,0.0,0.11,0.0,8.23,0,-923.79,0,0.9600000000000359
Mar 2016,58.52,0.06,6.43,5.95,0.15,0.06,0.18,0.14,0.08,0,0.42,0,58.38,0.04,0.12,0.0,58.53,0,-923.77,0,0.0199999999999818
Apr 2016,10.84,0.01,0.59,0.06,0.56,0.06,8.35,3.63,0.02,0,0.04,0,10.81,0.0,5.21,0.35,16.38,0,-923.3,0,0.47000000000002706
May 2016,28.93,0.03,1.91,0.8,1.06,0.06,9.07,4.21,0.04,0,0.12,0,28.85,0.01,5.85,0.39,35.1,0,-928.32,0,-5.0200000000001
Jun 2016,44.53,0.05,1.36,0.13,1.24,0.06,10.81,5.01,0.06,0,0.09,0,44.42,0.01,6.98,0.47,51.88,0,-933.39,0,-5.069999999999941
Jul 2016,697.9,0.72,44.16,41.14,0.68,0.06,5.32,2.5,1.0,0,2.88,0,696.19,0.25,3.44,0.42,700.29,0,-939.51,0,-6.12
Aug 2016,478.05,0.49,33.21,30.65,0.77,0.06,6.21,2.91,0.68,0,2.16,0,476.88,0.19,4.01,0.38,481.46,0,-938.88,0,0.629999999999995
Sep 2016,714.79,0.74,50.64,47.43,0.43,0.06,2.93,1.41,1.02,0,3.3,0,713.03,0.28,1.9,0.31,715.52,0,-939.72,0,-0.840000000000032
Oct 2016,216.86,0.22,17.0,15.46,0.63,0.06,4.82,2.27,0.31,0,1.11,0,216.33,0.1,3.11,0.22,219.75,0,-937.24,0,2.48000000000002
Nov 2016,372.24,0.38,30.98,29.09,0.15,0.06,0.17,0.14,0.53,0,2.02,0,371.32,0.17,0.11,0.0,371.61,0,-938.58,0,-1.34000000000003
Dec 2016,77.55,0.08,3.63,3.37,0.15,0.06,0.17,0.14,0.11,0,0.24,0,77.36,0.02,0.11,0.0,77.5,0,-936.06,0,2.5200000000001
Jan 2017,260.48,0.27,24.56,23.01,0.15,0.06,0.17,0.14,0.37,0,1.6,0,259.84,0.14,0.11,0.0,260.09,0,-935.74,0,0.31999999999993606
Feb 2017,125.63,0.13,12.27,11.45,0.15,0.06,0.17,0.14,0.18,0,0.8,0,125.32,0.07,0.11,0.0,125.5,0,-933.8,0,1.9400000000000501
Mar 2017,252.44,0.26,23.34,21.87,0.15,0.06,0.17,0.14,0.36,0,1.52,0,251.82,0.13,0.11,0.0,252.06,0,-932.84,0,0.9599999999999229
Apr 2017,44.44,0.05,4.72,3.64,0.85,0.06,6.99,3.27,0.06,0,0.31,0,44.33,0.03,4.52,0.29,49.16,0,-930.99,0,1.85000000000002
May 2017,13.4,0.01,1.84,0.7,1.08,0.06,9.25,4.3,0.02,0,0.12,0,13.36,0.01,5.97,0.39,19.73,0,-934.64,0,-3.64999999999998
Jun 2017,131.84,0.14,9.22,7.63,1.14,0.06,9.76,4.53,0.19,0,0.6,0,131.52,0.05,6.3,0.46,138.33,0,-939.84,0,-5.20000000000005
Jul 2017,710.05,0.73,43.42,40.5,0.65,0.06,5.03,2.37,1.01,0,2.83,0,708.31,0.24,3.25,0.41,712.21,0,-944.73,0,-4.889999999999991
Aug 2017,464.84,0.48,30.97,28.53,0.79,0.06,6.37,2.98,0.66,0,2.02,0,463.7,0.17,4.12,0.38,468.37,0,-943.96,0,0.7699999999999821
Sep 2017,405.24,0.42,31.17,28.76,0.68,0.06,5.36,2.52,0.58,0,2.03,0,404.24,0.17,3.46,0.32,408.19,0,-945.05,0,-1.08999999999992
Oct 2017,146.3,0.15,18.99,17.34,0.51,0.06,3.71,1.76,0.21,0,1.24,0,145.94,0.11,2.39,0.15,148.59,0,-945.6,0,-0.550000000000068
Nov 2017,61.62,0.06,6.52,6.04,0.15,0.06,0.17,0.14,0.09,0,0.42,0,61.47,0.04,0.11,0.0,61.62,0,-946.25,0,-0.649999999999977
Dec 2017,105.21,0.11,7.91,7.38,0.15,0.06,0.17,0.14,0.15,0,0.52,0,104.95,0.04,0.11,0.0,105.11,0,-945.77,0,0.48000000000001797
Jan 2018,260.38,0.27,17.62,16.56,0.15,0.06,0.17,0.14,0.37,0,1.15,0,259.74,0.1,0.11,0.0,259.95,0,-945.13,0,0.639999999999986
Feb 2018,127.11,0.13,11.0,10.27,0.15,0.06,0.17,0.14,0.18,0,0.72,0,126.79,0.06,0.11,0.0,126.97,0,-943.64,0,1.4900000000000102
Mar 2018,239.55,0.25,22.88,21.42,0.15,0.06,0.17,0.14,0.34,0,1.49,0,238.96,0.13,0.11,0.0,239.2,0,-942.77,0,0.8700000000000051
Apr 2018,35.46,0.04,3.95,3.3,0.47,0.06,3.29,1.57,0.05,0,0.26,0,35.38,0.02,2.13,0.14,37.67,0,-940.96,0,1.8099999999999499
May 2018,67.54,0.07,6.14,4.79,1.05,0.06,8.98,4.17,0.1,0,0.4,0,67.38,0.03,5.8,0.4,73.61,0,-942.51,0,-1.5499999999999499
Jun 2018,147.65,0.15,7.98,6.54,1.09,0.06,9.36,4.35,0.21,0,0.52,0,147.29,0.04,6.04,0.44,153.82,0,-947.22,0,-4.71000000000004
Jul 2018,562.62,0.58,37.18,34.41,0.78,0.06,6.34,2.96,0.8,0,2.42,0,561.24,0.21,4.09,0.43,565.97,0,-951.95,0,-4.73000000000002
Aug 2018,323.47,0.33,18.55,16.72,0.91,0.06,7.6,3.54,0.46,0,1.21,0,322.67,0.1,4.91,0.39,328.07,0,-952.52,0,-0.569999999999936
Sep 2018,395.72,0.41,33.06,30.5,0.69,0.06,5.4,2.54,0.57,0,2.15,0,394.75,0.18,3.49,0.32,398.74,0,-955.29,0,-2.7699999999999796
Oct 2018,281.45,0.29,21.63,19.85,0.6,0.06,4.55,2.15,0.4,0,1.41,0,280.75,0.12,2.94,0.23,284.04,0,-955.75,0,-0.460000000000036
Nov 2018,135.29,0.14,11.06,10.33,0.15,0.06,0.17,0.14,0.19,0,0.72,0,134.96,0.06,0.11,0.0,135.13,0,-956.57,0,-0.82000000000005
Dec 2018,9.26,0.01,1.1,0.95,0.15,0.06,0.17,0.14,0.01,0,0.07,0,9.23,0.01,0.11,0.0,9.35,0,-955.69,0,0.8799999999999949
Jan 2019,108.29,0.11,7.3,6.81,0.15,0.06,0.17,0.14,0.15,0,0.48,0,108.03,0.04,0.11,0.0,108.18,0,-955.63,0,0.0600000000000591
Feb 2019,212.98,0.22,21.95,20.53,0.15,0.06,0.2,0.16,0.3,0,1.43,0,212.45,0.12,0.13,0.0,212.71,0,-955.03,0,0.600000000000023
Mar 2019,6.84,0.01,0.94,0.15,0.8,0.06,6.51,3.04,0.01,0,0.06,0,6.82,0.01,4.2,0.24,11.27,0,-953.34,0,1.6899999999999398
Apr 2019,39.49,0.04,4.45,3.35,0.9,0.06,7.43,3.46,0.06,0,0.29,0,39.4,0.02,4.8,0.31,44.53,0,-956.97,0,-3.63
May 2019,7.64,0.01,0.85,0.06,0.8,0.06,9.41,4.2,0.01,0,0.06,0,7.63,0.0,5.95,0.39,13.97,0,-960.9,0,-3.92999999999995
Jun 2019,30.26,0.03,1.65,0.38,1.25,0.06,10.85,5.03,0.04,0,0.11,0,30.19,0.01,7.01,0.47,37.67,0,-966.44,0,-5.54000000000008
Jul 2019,488.56,0.5,30.95,28.48,0.85,0.06,7.03,3.28,0.7,0,2.02,0,487.35,0.17,4.54,0.43,492.5,0,-972.58,0,-6.139999999999991
Aug 2019,505.18,0.52,38.43,35.56,0.73,0.06,5.87,2.75,0.72,0,2.5,0,503.93,0.21,3.79,0.38,508.31,0,-974.04,0,-1.4599999999999198
Sep 2019,604.29,0.62,54.1,50.48,0.49,0.06,3.46,1.65,0.86,0,3.53,0,602.8,0.3,2.24,0.3,605.65,0,-974.31,0,-0.26999999999998203
Oct 2019,356.66,0.37,27.42,25.62,0.29,0.06,1.57,0.78,0.51,0,1.79,0,355.78,0.15,1.02,0.12,357.07,0,-972.03,0,2.27999999999997
Nov 2019,105.95,0.11,7.09,6.61,0.15,0.06,0.17,0.14,0.15,0,0.46,0,105.69,0.04,0.11,0.0,105.84,0,-970.64,0,1.38999999999999
Dec 2019,146.96,0.15,7.6,7.13,0.15,0.06,0.17,0.14,0.21,0,0.5,0,146.6,0.04,0.11,0.0,146.75,0,-970.06,0,0.580000000000041
Jan 2020,96.63,0.1,4.97,4.63,0.15,0.06,0.17,0.14,0.14,0,0.32,0,96.39,0.03,0.11,0.0,96.53,0,-969.38,0,0.67999999999995
