date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,360.36,0.37,25.98,24.43,0.15,0.06,0.17,0.14,0.51,0,1.69,0,359.48,0.15,0.11,0.0,359.73,0,-924.08,0,0.0
Feb 2016,191.42,0.2,16.82,15.74,0.15,0.06,0.17,0.14,0.27,0,1.1,0,190.95,0.09,0.11,0.0,191.16,0,-921.9,0,2.18000000000006
Mar 2016,23.46,0.02,2.88,2.62,0.15,0.06,0.19,0.15,0.03,0,0.19,0,23.4,0.02,0.12,0.0,23.54,0,-920.56,0,1.34000000000003
Apr 2016,32.45,0.03,3.34,2.62,0.58,0.06,4.4,2.08,0.05,0,0.22,0,32.37,0.02,2.84,0.3,35.53,0,-920.38,0,0.17999999999995
May 2016,98.78,0.1,12.33,10.99,0.64,0.06,4.95,2.33,0.14,0,0.8,0,98.54,0.07,3.2,0.37,102.18,0,-922.73,0,-2.35000000000002
Jun 2016,63.77,0.07,6.6,5.49,0.77,0.06,6.22,2.91,0.09,0,0.43,0,63.61,0.04,4.02,0.45,68.11,0,-924.77,0,-2.03999999999996
Jul 2016,395.38,0.41,25.86,23.87,0.63,0.06,4.84,2.28,0.56,0,1.69,0,394.41,0.14,3.13,0.44,398.12,0,-928.01,0,-3.2400000000000095
Aug 2016,118.97,0.12,6.47,5.46,0.73,0.06,5.87,2.75,0.17,0,0.42,0,118.67,0.04,3.79,0.39,122.89,0,-928.76,0,-0.75
Sep 2016,135.34,0.14,12.22,10.92,0.64,0.06,4.91,2.31,0.19,0,0.8,0,135.0,0.07,3.17,0.33,138.57,0,-931.68,0,-2.91999999999996
Oct 2016,315.05,0.33,30.62,28.48,0.37,0.06,2.32,1.12,0.45,0,2.0,0,314.27,0.17,1.5,0.21,316.15,0,-933.62,0,-1.9400000000000501
Nov 2016,42.32,0.04,2.64,2.42,0.15,0.06,0.17,0.14,0.06,0,0.17,0,42.21,0.01,0.11,0.0,42.34,0,-932.57,0,1.0499999999999499
Dec 2016,245.86,0.25,19.59,18.37,0.15,0.06,0.17,0.14,0.35,0,1.28,0,245.25,0.11,0.11,0.0,245.47,0,-932.37,0,0.200000000000045
