date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,5.12,0.01,0.47,0.36,0.15,0.07,0.18,0.14,0.01,0,0.03,0,5.11,0.0,0.12,0.0,5.23,0,-924.06,0,0.0
Feb 2016,144.93,0.15,13.6,12.7,0.15,0.07,0.18,0.14,0.21,0,0.89,0,144.58,0.08,0.12,0.0,144.77,0,-924.06,0,0.0
Mar 2016,27.35,0.03,2.92,2.64,0.16,0.07,0.36,0.22,0.04,0,0.19,0,27.28,0.02,0.24,0.01,27.55,0,-923.01,0,1.0499999999999499
Apr 2016,1.93,0.0,0.94,0.3,0.64,0.07,4.98,2.34,0.0,0,0.06,0,1.92,0.01,3.21,0.34,5.48,0,-922.93,0,0.0800000000000409
May 2016,6.75,0.01,0.34,0.07,0.32,0.07,5.89,2.5,0.01,0,0.02,0,6.73,0.0,3.64,0.41,10.79,0,-925.85,0,-2.9200000000000697
Jun 2016,93.74,0.1,6.01,4.95,0.8,0.07,6.53,3.05,0.13,0,0.39,0,93.51,0.03,4.22,0.5,98.26,0,-929.62,0,-3.7699999999999796
Jul 2016,489.07,0.5,30.79,28.61,0.57,0.07,4.28,2.02,0.7,0,2.01,0,487.86,0.17,2.77,0.43,491.23,0,-933.07,0,-3.45000000000005
Aug 2016,388.39,0.4,23.43,21.67,0.56,0.07,4.23,1.99,0.55,0,1.53,0,387.44,0.13,2.73,0.38,390.68,0,-933.06,0,0.0100000000001046
Sep 2016,808.16,0.83,71.92,67.46,0.28,0.07,1.45,0.72,1.15,0,4.69,0,806.17,0.4,0.94,0.3,807.82,0,-933.59,0,-0.530000000000086
Oct 2016,40.49,0.04,4.14,3.38,0.57,0.07,4.34,2.04,0.06,0,0.27,0,40.39,0.02,2.8,0.24,43.46,0,-928.78,0,4.81000000000006
Nov 2016,5.6,0.01,0.98,0.8,0.18,0.07,0.48,0.28,0.01,0,0.06,0,5.58,0.01,0.31,0.02,5.92,0,-930.99,0,-2.21000000000004
Dec 2016,21.41,0.02,3.46,3.16,0.15,0.07,0.18,0.14,0.03,0,0.23,0,21.35,0.02,0.12,0.0,21.49,0,-931.14,0,-0.14999999999997699
Jan 2017,87.78,0.09,10.67,9.93,0.15,0.07,0.18,0.14,0.13,0,0.7,0,87.57,0.06,0.12,0.0,87.75,0,-930.92,0,0.22000000000002698
Feb 2017,79.47,0.08,5.84,5.43,0.15,0.07,0.18,0.14,0.11,0,0.38,0,79.28,0.03,0.12,0.0,79.43,0,-930.14,0,0.779999999999973
Mar 2017,122.34,0.13,9.07,8.45,0.17,0.07,0.44,0.26,0.17,0,0.59,0,122.04,0.05,0.29,0.02,122.4,0,-929.69,0,0.44999999999993195
Apr 2017,5.65,0.01,0.43,0.07,0.41,0.07,4.91,2.16,0.01,0,0.03,0,5.64,0.0,3.09,0.33,9.06,0,-929.13,0,0.5600000000000589
May 2017,102.67,0.11,8.03,6.96,0.67,0.07,5.27,2.47,0.15,0,0.52,0,102.42,0.04,3.41,0.4,106.27,0,-932.17,0,-3.03999999999996
