date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,77.75,0,0,0,0,0.45,1.85,0.05,0.0,0,0.45,0,77.75,0,1.35,0.0,79.1,0,-5204.22,0,0.0
Feb 2016,115.51,0,0,0,0,0.45,1.85,0.05,0.0,0,0.45,0,115.51,0,1.35,0.0,116.86,0,-5205.57,0,-1.3499999999994499
Mar 2016,59.75,0,0,0,0,0.45,5.55,1.12,0.0,0,0.45,0,59.75,0,3.99,0.0,63.74,0,-5206.92,0,-1.35000000000036
Apr 2016,108.7,0,0,0,0,0.45,19.27,5.07,0.0,0,0.45,0,108.7,0,13.76,0.02,122.47,0,-5210.91,0,-3.98999999999978
May 2016,89.15,0,0,0,0,0.45,25.16,6.76,0.0,0,0.45,0,89.14,0,17.95,0.02,107.12,0,-5224.68,0,-13.770000000000401
Jun 2016,145.7,0,0,0,0,0.45,27.78,7.52,0.01,0,0.45,0,145.69,0,19.82,0.03,165.54,0,-5242.65,0,-17.969999999999303
Jul 2016,99.41,0,0,0,0,0.45,29.28,7.95,0.0,0,0.45,0,99.41,0,20.89,0.03,120.33,0,-5262.49,0,-19.840000000000103
Aug 2016,271.03,0,0,0,0,0.45,23.51,6.29,0.01,0,0.45,0,271.02,0,16.78,0.02,287.82,0,-5283.41,0,-20.9200000000001
Sep 2016,1503.2,0,0,0,0,0.45,4.46,0.8,0.06,0,0.45,0,1503.14,0,3.21,0.02,1506.36,0,-5300.2,0,-16.79
Oct 2016,838.99,0,0,0,0,0.45,4.69,0.87,0.03,0,0.45,0,838.96,0,3.37,0.01,842.34,0,-5303.36,0,-3.1599999999998505
Nov 2016,101.08,0,0,0,0,0.45,1.87,0.06,0.0,0,0.45,0,101.08,0,1.37,0.0,102.45,0,-5306.72,0,-3.36000000000058
Dec 2016,33.67,0,0,0,0,0.44,1.85,0.05,0.0,0,0.44,0,33.66,0,1.35,0.0,35.02,0,-5308.08,0,-1.3599999999996697
Jan 2017,154.63,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,154.63,0,1.35,0.0,155.98,0,-5309.43,0,-1.35000000000036
Feb 2017,85.11,0,0,0,0,0.44,1.85,0.05,0.0,0,0.44,0,85.1,0,1.35,0.0,86.45,0,-5310.78,0,-1.3499999999994499
Mar 2017,297.51,0,0,0,0,0.44,3.66,0.57,0.01,0,0.44,0,297.5,0,2.64,0.0,300.14,0,-5312.12,0,-1.34000000000015
Apr 2017,541.47,0,0,0,0,0.44,10.8,2.63,0.02,0,0.44,0,541.45,0,7.72,0.02,549.19,0,-5314.76,0,-2.64000000000033
May 2017,154.64,0,0,0,0,0.44,22.15,5.89,0.01,0,0.44,0,154.63,0,15.81,0.02,170.46,0,-5322.47,0,-7.710000000000041
Jun 2017,255.27,0,0,0,0,0.44,25.01,6.72,0.01,0,0.44,0,255.26,0,17.85,0.03,273.14,0,-5338.3,0,-15.8299999999999
Jul 2017,82.2,0,0,0,0,0.44,29.61,8.04,0.0,0,0.44,0,82.19,0,21.12,0.03,103.34,0,-5356.16,0,-17.8599999999997
Aug 2017,1055.52,0,0,0,0,0.44,11.38,2.8,0.04,0,0.44,0,1055.48,0,8.14,0.02,1063.64,0,-5377.31,0,-21.1500000000005
Sep 2017,174.45,0,0,0,0,0.44,19.02,5.0,0.01,0,0.44,0,174.44,0,13.58,0.02,188.04,0,-5385.43,0,-8.119999999999889
Oct 2017,6.26,0,0,0,0,0.44,18.42,4.82,0.0,0,0.44,0,6.26,0,13.16,0.01,19.43,0,-5399.02,0,-13.5900000000001
Nov 2017,320.25,0,0,0,0,0.44,1.85,0.05,0.01,0,0.44,0,320.24,0,1.35,0.0,321.59,0,-5412.19,0,-13.169999999999199
