date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,88.24,0.19,0.66,0.91,0.09,0.22,0.45,0.0,0.17,0,-0.0,0,87.87,0.07,0.33,0.0,88.27,0,-153.92,0,0.0
Feb 2016,8.81,0.02,0.14,0.26,0.09,0.22,0.46,0.0,0.02,0,-0.0,0,8.77,0.01,0.33,0.0,9.12,0,-154.21,0,-0.29000000000002
Mar 2016,100.6,0.22,0.41,0.71,0.09,0.22,0.46,0.0,0.19,0,-0.0,0,100.18,0.04,0.33,0.0,100.56,0,-154.65,0,-0.439999999999998
Apr 2016,5.64,0.01,0.14,0.32,0.14,0.32,0.69,0.04,0.01,0,-0.0,0,5.62,0.01,0.48,0.48,6.59,0,-154.91,0,-0.259999999999991
May 2016,34.12,0.07,0.16,0.41,0.22,0.41,0.85,0.06,0.07,0,-0.0,0,33.98,0.02,0.59,0.8,35.39,0,-156.04,0,-1.13
Jun 2016,23.45,0.05,0.16,0.44,0.2,0.44,0.95,0.07,0.04,0,-0.0,0,23.36,0.02,0.64,1.03,25.05,0,-157.56,0,-1.5200000000000102
Jul 2016,858.01,1.88,5.11,6.32,0.82,0.65,0.7,0.11,1.64,0,-0.03,0,854.48,0.54,0.75,0.91,856.68,0,-159.43,0,-1.87
Aug 2016,723.18,1.59,4.1,5.12,0.81,0.65,0.7,0.11,1.38,0,-0.03,0,720.21,0.43,0.75,0.81,722.2,0,-159.32,0,0.110000000000014
Sep 2016,656.19,1.44,3.69,4.66,0.68,0.57,0.65,0.09,1.26,0,-0.02,0,653.49,0.39,0.67,0.68,655.23,0,-159.36,0,-0.0400000000000205
Oct 2016,163.69,0.36,0.72,0.92,0.63,0.54,0.64,0.08,0.31,0,-0.0,0,163.01,0.08,0.64,0.34,164.07,0,-159.36,0,0.0
Nov 2016,350.12,0.77,2.04,2.73,0.09,0.22,0.46,0.0,0.67,0,-0.01,0,348.68,0.22,0.33,0.0,349.23,0,-159.95,0,-0.589999999999975
Dec 2016,39.63,0.09,0.26,0.45,0.09,0.22,0.46,0.0,0.08,0,-0.0,0,39.47,0.03,0.33,0.0,39.83,0,-159.75,0,0.19999999999998896
Jan 2017,233.53,0.51,1.56,2.04,0.09,0.22,0.46,0.0,0.45,0,-0.01,0,232.57,0.16,0.33,0.0,233.07,0,-160.13,0,-0.379999999999995
Feb 2017,180.27,0.4,0.83,1.26,0.09,0.22,0.46,0.0,0.35,0,-0.01,0,179.53,0.09,0.33,0.0,179.95,0,-160.15,0,-0.0200000000000102
Mar 2017,339.69,0.75,1.73,2.43,0.09,0.22,0.46,0.0,0.65,0,-0.01,0,338.29,0.18,0.33,0.0,338.81,0,-160.27,0,-0.120000000000005
Apr 2017,129.89,0.29,0.27,0.6,0.23,0.3,0.5,0.02,0.25,0,-0.0,0,129.35,0.03,0.41,0.11,129.9,0,-160.09,0,0.18000000000000702
May 2017,312.44,0.69,1.12,1.46,1.0,0.76,0.76,0.14,0.6,0,-0.01,0,311.15,0.12,0.85,0.78,312.9,0,-160.43,0,-0.34000000000000297
Jun 2017,271.01,0.6,1.33,1.45,1.28,0.93,0.85,0.18,0.52,0,-0.01,0,269.89,0.14,1.02,0.96,272.01,0,-161.24,0,-0.810000000000002
Jul 2017,855.23,1.88,5.09,6.31,0.81,0.65,0.7,0.11,1.64,0,-0.03,0,851.72,0.54,0.75,0.9,853.91,0,-162.36,0,-1.12
Aug 2017,689.67,1.51,4.21,5.13,0.86,0.68,0.72,0.12,1.32,0,-0.03,0,686.84,0.44,0.78,0.83,688.89,0,-162.24,0,0.120000000000005
Sep 2017,584.65,1.28,3.36,4.19,0.73,0.6,0.67,0.1,1.12,0,-0.02,0,582.24,0.36,0.7,0.66,583.96,0,-162.38,0,-0.139999999999986
Oct 2017,536.76,1.18,2.61,3.64,0.13,0.24,0.47,0.01,1.03,0,-0.02,0,534.56,0.28,0.36,0.1,535.3,0,-162.52,0,-0.140000000000015
Nov 2017,51.82,0.11,0.2,0.42,0.1,0.22,0.46,0.0,0.1,0,-0.0,0,51.61,0.02,0.33,0.0,51.96,0,-162.08,0,0.439999999999998
Dec 2017,316.18,0.69,2.63,3.19,0.1,0.22,0.46,0.0,0.61,0,-0.02,0,314.88,0.28,0.33,0.0,315.5,0,-162.44,0,-0.35999999999998494
Jan 2018,177.12,0.39,1.18,1.58,0.1,0.22,0.46,0.0,0.34,0,-0.01,0,176.39,0.12,0.33,0.0,176.85,0,-162.31,0,0.12999999999999498
Feb 2018,184.76,0.41,1.36,1.76,0.1,0.22,0.46,0.0,0.35,0,-0.01,0,184.0,0.14,0.33,0.0,184.48,0,-162.44,0,-0.12999999999999498
Mar 2018,193.25,0.42,0.93,1.39,0.1,0.22,0.46,0.0,0.37,0,-0.01,0,192.46,0.1,0.33,0.0,192.89,0,-162.56,0,-0.120000000000005
Apr 2018,108.65,0.24,0.26,0.52,0.3,0.34,0.53,0.03,0.21,0,-0.0,0,108.2,0.03,0.45,0.16,108.84,0,-162.65,0,-0.0900000000000034
May 2018,333.09,0.73,1.59,1.94,0.99,0.76,0.76,0.14,0.64,0,-0.01,0,331.72,0.17,0.85,0.79,333.54,0,-163.1,0,-0.449999999999989
Jun 2018,306.79,0.67,1.57,1.75,1.25,0.92,0.85,0.18,0.59,0,-0.01,0,305.52,0.17,1.0,0.96,307.65,0,-163.89,0,-0.7899999999999922
Jul 2018,497.3,1.09,2.35,2.93,1.13,0.85,0.81,0.16,0.95,0,-0.02,0,495.26,0.25,0.93,0.93,497.38,0,-164.95,0,-1.06
Aug 2018,450.06,0.99,2.72,3.18,1.06,0.81,0.78,0.15,0.86,0,-0.02,0,448.21,0.29,0.89,0.83,450.22,0,-165.59,0,-0.640000000000015
Sep 2018,1053.8,2.31,6.38,8.07,0.4,0.41,0.57,0.05,2.02,0,-0.04,0,1049.47,0.67,0.51,0.67,1051.33,0,-166.21,0,-0.620000000000005
Oct 2018,512.59,1.13,2.96,3.81,0.37,0.39,0.55,0.04,0.98,0,-0.02,0,510.48,0.31,0.49,0.33,511.62,0,-165.43,0,0.780000000000001
Nov 2018,133.97,0.29,0.74,1.09,0.1,0.22,0.46,0.0,0.26,0,-0.0,0,133.42,0.08,0.34,0.0,133.83,0,-165.31,0,0.120000000000005
Dec 2018,57.87,0.13,0.22,0.46,0.1,0.22,0.46,0.0,0.11,0,-0.0,0,57.63,0.02,0.34,0.0,57.99,0,-165.52,0,-0.210000000000008
Jan 2019,97.74,0.21,0.74,1.01,0.1,0.22,0.46,0.0,0.19,0,-0.0,0,97.34,0.08,0.34,0.0,97.75,0,-165.87,0,-0.349999999999994
