date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,173.11,0.38,1.2,1.6,0.11,0.25,0.5,0.0,0.33,0,-0.01,0,172.4,0.13,0.35,0.0,172.88,0,-156.47,0,0.0
Feb 2016,321.8,0.71,1.96,2.62,0.11,0.25,0.5,0.0,0.62,0,-0.01,0,320.48,0.21,0.35,0.0,321.04,0,-156.64,0,-0.169999999999987
Mar 2016,40.45,0.09,0.22,0.43,0.11,0.25,0.5,0.0,0.08,0,-0.0,0,40.29,0.02,0.35,0.0,40.66,0,-156.54,0,0.0999999999999943
Apr 2016,7.32,0.02,0.17,0.3,0.17,0.3,0.57,0.02,0.01,0,-0.0,0,7.29,0.02,0.42,0.14,7.87,0,-156.96,0,-0.420000000000016
May 2016,904.77,1.99,3.96,5.54,0.5,0.49,0.63,0.06,1.73,0,-0.03,0,901.05,0.42,0.58,0.74,902.79,0,-157.64,0,-0.6799999999999781
Jun 2016,322.1,0.71,1.54,1.8,1.22,0.92,0.87,0.17,0.62,0,-0.01,0,320.77,0.16,0.99,0.93,322.86,0,-157.25,0,0.38999999999998597
Jul 2016,568.97,1.25,2.35,3.12,1.08,0.84,0.82,0.15,1.09,0,-0.02,0,566.63,0.25,0.91,0.93,568.72,0,-158.27,0,-1.02000000000001
Aug 2016,276.91,0.61,1.15,1.36,1.2,0.92,0.86,0.17,0.53,0,-0.01,0,275.77,0.12,0.99,0.8,277.68,0,-158.81,0,-0.539999999999992
Sep 2016,528.5,1.16,2.61,3.38,0.8,0.67,0.73,0.11,1.01,0,-0.02,0,526.32,0.28,0.75,0.68,528.03,0,-159.78,0,-0.969999999999999
Oct 2016,642.94,1.41,3.28,4.49,0.19,0.3,0.53,0.01,1.23,0,-0.02,0,640.3,0.35,0.4,0.2,641.25,0,-160.09,0,-0.310000000000002
Nov 2016,51.87,0.11,0.28,0.51,0.11,0.26,0.5,0.0,0.1,0,-0.0,0,51.66,0.03,0.36,0.0,52.05,0,-159.6,0,0.49000000000000893
Dec 2016,155.63,0.34,1.1,1.48,0.11,0.26,0.5,0.0,0.3,0,-0.01,0,154.99,0.12,0.36,0.0,155.46,0,-160.0,0,-0.400000000000006
Jan 2017,176.79,0.39,1.45,1.84,0.11,0.26,0.5,0.0,0.34,0,-0.01,0,176.06,0.15,0.36,0.0,176.57,0,-160.21,0,-0.210000000000008
Feb 2017,152.4,0.33,0.81,1.21,0.11,0.26,0.5,0.0,0.29,0,-0.01,0,151.77,0.09,0.36,0.0,152.21,0,-160.39,0,-0.17999999999997798
Mar 2017,148.1,0.33,0.57,0.99,0.11,0.26,0.5,0.0,0.28,0,-0.0,0,147.49,0.06,0.36,0.0,147.91,0,-160.6,0,-0.210000000000008
Apr 2017,149.43,0.33,0.33,0.73,0.19,0.31,0.53,0.01,0.29,0,-0.0,0,148.81,0.03,0.4,0.07,149.32,0,-160.82,0,-0.219999999999999
May 2017,489.8,1.08,1.71,2.46,0.88,0.72,0.76,0.12,0.94,0,-0.01,0,487.79,0.18,0.8,0.8,489.56,0,-161.12,0,-0.300000000000011
Jun 2017,184.92,0.41,0.35,0.71,0.72,0.71,0.94,0.12,0.35,0,-0.0,0,184.16,0.04,0.84,1.02,186.05,0,-161.64,0,-0.519999999999982
Jul 2017,328.07,0.72,1.45,1.69,1.34,1.0,0.91,0.19,0.63,0,-0.01,0,326.72,0.15,1.06,0.97,328.91,0,-163.13,0,-1.4900000000000102
Aug 2017,494.17,1.09,1.93,2.6,1.05,0.82,0.82,0.14,0.95,0,-0.01,0,492.14,0.2,0.9,0.84,494.08,0,-164.21,0,-1.08000000000001
Sep 2017,605.62,1.33,2.77,3.72,0.75,0.64,0.72,0.1,1.16,0,-0.02,0,603.13,0.29,0.72,0.68,604.83,0,-164.78,0,-0.569999999999993
Oct 2017,299.75,0.66,1.69,2.18,0.48,0.48,0.63,0.06,0.57,0,-0.01,0,298.52,0.18,0.57,0.29,299.56,0,-164.94,0,-0.15999999999999698
Nov 2017,180.59,0.4,1.3,1.72,0.11,0.26,0.5,0.0,0.35,0,-0.01,0,179.85,0.14,0.36,0.0,180.34,0,-165.24,0,-0.300000000000011
Dec 2017,102.72,0.23,0.77,1.06,0.11,0.26,0.5,0.0,0.2,0,-0.01,0,102.3,0.08,0.36,0.0,102.74,0,-165.41,0,-0.169999999999987
Jan 2018,66.37,0.15,0.41,0.66,0.11,0.26,0.5,0.0,0.13,0,-0.0,0,66.1,0.04,0.36,0.0,66.5,0,-165.72,0,-0.310000000000002
Feb 2018,87.88,0.19,0.45,0.75,0.11,0.26,0.5,0.0,0.17,0,-0.0,0,87.52,0.05,0.36,0.0,87.92,0,-166.1,0,-0.379999999999995
Mar 2018,74.79,0.16,0.36,0.64,0.11,0.26,0.5,0.0,0.14,0,-0.0,0,74.48,0.04,0.36,0.0,74.88,0,-166.44,0,-0.34000000000000297
Apr 2018,26.48,0.06,0.17,0.34,0.21,0.34,0.61,0.03,0.05,0,-0.0,0,26.37,0.02,0.45,0.21,27.05,0,-166.8,0,-0.36000000000001403
May 2018,8.18,0.02,0.17,0.44,0.18,0.44,0.94,0.06,0.02,0,-0.0,0,8.14,0.02,0.62,0.9,9.68,0,-167.54,0,-0.7399999999999809
Jun 2018,300.39,0.66,1.69,1.85,1.32,0.99,0.91,0.18,0.58,0,-0.01,0,299.15,0.18,1.05,1.01,301.39,0,-169.3,0,-1.76000000000002
Jul 2018,266.91,0.59,0.86,1.02,1.36,1.02,0.92,0.19,0.51,0,-0.01,0,265.82,0.09,1.08,0.95,267.94,0,-170.47,0,-1.16999999999999
Aug 2018,796.19,1.75,4.19,5.4,0.79,0.67,0.73,0.1,1.52,0,-0.03,0,792.92,0.44,0.75,0.82,794.93,0,-171.65,0,-1.18000000000001
Sep 2018,218.72,0.48,0.8,0.97,1.05,0.83,0.82,0.14,0.42,0,-0.01,0,217.82,0.08,0.9,0.65,219.45,0,-171.6,0,0.0500000000000114
Oct 2018,500.26,1.1,3.22,4.0,0.48,0.48,0.63,0.06,0.96,0,-0.02,0,498.2,0.34,0.57,0.4,499.52,0,-172.51,0,-0.909999999999997
Nov 2018,111.28,0.24,0.46,0.8,0.11,0.26,0.51,0.0,0.21,0,-0.0,0,110.82,0.05,0.36,0.0,111.23,0,-172.55,0,-0.0400000000000205
Dec 2018,214.15,0.47,1.48,1.95,0.11,0.26,0.51,0.0,0.41,0,-0.01,0,213.27,0.16,0.36,0.0,213.78,0,-172.85,0,-0.29999999999998306
Jan 2019,56.3,0.12,0.32,0.56,0.11,0.26,0.51,0.0,0.11,0,-0.0,0,56.07,0.03,0.36,0.0,56.46,0,-172.95,0,-0.0999999999999943
Feb 2019,375.36,0.82,2.29,3.03,0.11,0.26,0.51,0.0,0.72,0,-0.02,0,373.82,0.24,0.36,0.0,374.42,0,-173.35,0,-0.400000000000006
