date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,6.18,0.01,0.21,0.38,0.13,0.3,0.56,0.0,0.01,0,-0.0,0,6.15,0.02,0.38,0.0,6.56,0,-159.07,0,0.0
Feb 2016,206.89,0.45,1.11,1.63,0.13,0.3,0.56,0.0,0.4,0,-0.01,0,206.04,0.12,0.38,0.0,206.54,0,-159.62,0,-0.5500000000000109
Mar 2016,15.44,0.03,0.22,0.41,0.13,0.3,0.56,0.0,0.03,0,-0.0,0,15.37,0.02,0.38,0.0,15.78,0,-159.79,0,-0.169999999999987
Apr 2016,93.8,0.21,0.27,0.5,0.45,0.5,0.7,0.05,0.18,0,-0.0,0,93.42,0.03,0.58,0.31,94.34,0,-160.32,0,-0.530000000000001
May 2016,49.29,0.11,0.26,0.54,0.34,0.54,0.97,0.08,0.09,0,-0.0,0,49.09,0.03,0.69,0.86,50.67,0,-161.09,0,-0.77000000000001
Jun 2016,263.47,0.58,0.98,1.15,1.37,1.06,0.97,0.19,0.5,0,-0.01,0,262.38,0.1,1.1,1.01,264.6,0,-162.76,0,-1.66999999999999
Jul 2016,815.12,1.79,4.61,5.81,0.89,0.77,0.81,0.12,1.56,0,-0.03,0,811.77,0.49,0.82,0.91,813.99,0,-164.05,0,-1.29000000000002
Aug 2016,761.03,1.67,3.9,5.09,0.82,0.72,0.79,0.1,1.46,0,-0.03,0,757.9,0.41,0.78,0.81,759.9,0,-164.13,0,-0.0799999999999841
Sep 2016,1210.1,2.66,7.04,9.09,0.35,0.44,0.63,0.03,2.32,0,-0.05,0,1205.13,0.74,0.51,0.65,1207.04,0,-164.19,0,-0.0600000000000023
Oct 2016,21.88,0.05,0.23,0.45,0.26,0.45,0.82,0.05,0.04,0,-0.0,0,21.79,0.02,0.58,0.42,22.82,0,-163.17,0,1.02000000000001
Nov 2016,52.71,0.12,0.31,0.57,0.13,0.31,0.56,0.0,0.1,0,-0.0,0,52.49,0.03,0.38,0.0,52.91,0,-164.32,0,-1.15000000000001
Dec 2016,15.66,0.03,0.22,0.4,0.13,0.31,0.56,0.0,0.03,0,-0.0,0,15.59,0.02,0.38,0.0,16.0,0,-164.78,0,-0.46000000000000796
Jan 2017,133.47,0.29,0.76,1.15,0.13,0.31,0.56,0.0,0.26,0,-0.01,0,132.92,0.08,0.38,0.0,133.39,0,-165.32,0,-0.539999999999992
Feb 2017,83.92,0.18,0.47,0.78,0.13,0.31,0.56,0.0,0.16,0,-0.0,0,83.58,0.05,0.39,0.0,84.01,0,-165.62,0,-0.300000000000011
Mar 2017,35.12,0.08,0.27,0.49,0.14,0.31,0.56,0.0,0.07,0,-0.0,0,34.97,0.03,0.39,0.0,35.39,0,-166.03,0,-0.40999999999999703
Apr 2017,11.7,0.03,0.21,0.46,0.21,0.46,0.9,0.05,0.02,0,-0.0,0,11.66,0.02,0.6,0.67,12.95,0,-166.53,0,-0.5
May 2017,169.04,0.37,0.44,0.75,0.77,0.75,0.94,0.12,0.32,0,-0.0,0,168.34,0.05,0.84,0.87,170.1,0,-168.02,0,-1.4900000000000102
Jun 2017,395.04,0.87,1.48,1.94,1.24,0.98,0.93,0.17,0.76,0,-0.01,0,393.42,0.16,1.02,0.99,395.59,0,-169.39,0,-1.3699999999999801
Jul 2017,605.52,1.33,3.12,3.94,1.09,0.89,0.88,0.15,1.16,0,-0.02,0,603.03,0.33,0.94,0.94,605.24,0,-170.39,0,-1.0
Aug 2017,541.75,1.19,2.58,3.35,1.0,0.83,0.85,0.13,1.04,0,-0.02,0,539.52,0.27,0.89,0.81,541.49,0,-170.93,0,-0.54000000000002
Sep 2017,47.81,0.1,0.29,0.55,0.36,0.55,0.95,0.08,0.09,0,-0.0,0,47.62,0.03,0.69,0.71,49.04,0,-171.44,0,-0.509999999999991
Oct 2017,904.03,1.99,5.32,6.93,0.18,0.34,0.58,0.01,1.73,0,-0.04,0,900.32,0.56,0.41,0.33,901.62,0,-172.93,0,-1.4900000000000102
Nov 2017,48.91,0.11,0.35,0.6,0.13,0.31,0.56,0.0,0.09,0,-0.0,0,48.71,0.04,0.39,0.0,49.13,0,-172.13,0,0.800000000000011
Dec 2017,318.87,0.7,2.51,3.14,0.13,0.31,0.56,0.0,0.61,0,-0.02,0,317.56,0.27,0.39,0.0,318.21,0,-172.6,0,-0.469999999999999
Jan 2018,417.18,0.92,2.94,3.74,0.13,0.31,0.56,0.0,0.8,0,-0.02,0,415.47,0.31,0.39,0.0,416.16,0,-172.57,0,0.0300000000000011
Feb 2018,185.1,0.41,0.95,1.44,0.13,0.31,0.56,0.0,0.35,0,-0.01,0,184.34,0.1,0.39,0.0,184.83,0,-172.36,0,0.20999999999998
Mar 2018,368.34,0.81,1.88,2.68,0.13,0.31,0.56,0.0,0.71,0,-0.01,0,366.83,0.2,0.39,0.0,367.42,0,-172.57,0,-0.20999999999998
Apr 2018,257.98,0.57,0.8,1.41,0.28,0.4,0.61,0.02,0.49,0,-0.01,0,256.92,0.09,0.47,0.14,257.62,0,-172.44,0,0.12999999999999498
May 2018,618.01,1.36,1.99,3.04,0.85,0.75,0.8,0.11,1.18,0,-0.01,0,615.47,0.21,0.8,0.86,617.34,0,-172.69,0,-0.25
Jun 2018,599.07,1.32,3.28,4.08,1.05,0.87,0.87,0.14,1.15,0,-0.02,0,596.61,0.35,0.92,0.98,598.86,0,-173.07,0,-0.379999999999995
Jul 2018,432.96,0.95,1.81,2.31,1.27,1.0,0.94,0.17,0.83,0,-0.01,0,431.18,0.19,1.04,0.97,433.38,0,-173.66,0,-0.5900000000000029
Aug 2018,512.12,1.12,1.98,2.72,1.06,0.87,0.87,0.14,0.98,0,-0.01,0,510.01,0.21,0.92,0.84,511.98,0,-174.59,0,-0.9300000000000072
Sep 2018,519.85,1.14,3.4,4.1,0.86,0.75,0.81,0.11,1.0,0,-0.02,0,517.71,0.36,0.81,0.7,519.58,0,-175.19,0,-0.5999999999999941
Oct 2018,504.81,1.11,3.36,4.15,0.54,0.56,0.7,0.06,0.97,0,-0.02,0,502.74,0.35,0.62,0.44,504.15,0,-175.62,0,-0.430000000000007
Nov 2018,239.01,0.52,1.26,1.84,0.13,0.31,0.57,0.0,0.46,0,-0.01,0,238.02,0.13,0.39,0.0,238.54,0,-175.75,0,-0.12999999999999498
Dec 2018,11.44,0.03,0.25,0.43,0.13,0.31,0.57,0.0,0.02,0,-0.0,0,11.39,0.03,0.39,0.0,11.81,0,-175.86,0,-0.110000000000014
Jan 2019,189.85,0.42,1.11,1.6,0.14,0.31,0.57,0.0,0.36,0,-0.01,0,189.07,0.12,0.39,0.0,189.58,0,-176.41,0,-0.549999999999983
Feb 2019,123.1,0.27,0.87,1.23,0.14,0.31,0.57,0.0,0.24,0,-0.01,0,122.6,0.09,0.39,0.0,123.08,0,-176.62,0,-0.210000000000008
Mar 2019,141.12,0.31,0.51,0.95,0.14,0.31,0.57,0.0,0.27,0,-0.0,0,140.54,0.05,0.39,0.0,140.98,0,-176.96,0,-0.34000000000000297
Apr 2019,43.85,0.1,0.24,0.43,0.31,0.43,0.69,0.04,0.08,0,-0.0,0,43.67,0.03,0.52,0.25,44.46,0,-177.26,0,-0.29999999999998306
May 2019,248.1,0.54,0.62,0.91,1.08,0.88,0.88,0.14,0.48,0,-0.0,0,247.08,0.07,0.93,0.76,248.84,0,-178.07,0,-0.810000000000002
Jun 2019,1020.75,2.24,6.37,7.93,0.72,0.67,0.77,0.09,1.95,0,-0.04,0,1016.55,0.67,0.73,0.95,1018.91,0,-179.09,0,-1.02000000000001
Jul 2019,1086.92,2.39,6.35,8.05,0.73,0.68,0.77,0.09,2.08,0,-0.04,0,1082.45,0.67,0.74,0.92,1084.77,0,-178.81,0,0.280000000000001
Aug 2019,425.89,0.94,2.17,2.68,1.11,0.91,0.89,0.15,0.82,0,-0.01,0,424.14,0.23,0.95,0.82,426.13,0,-178.37,0,0.439999999999998
Sep 2019,216.79,0.48,0.88,1.05,1.15,0.93,0.91,0.15,0.42,0,-0.01,0,215.89,0.09,0.97,0.71,217.67,0,-179.13,0,-0.7599999999999909
Oct 2019,150.66,0.33,0.48,0.7,0.76,0.7,0.79,0.1,0.29,0,-0.0,0,150.04,0.05,0.76,0.41,151.26,0,-180.18,0,-1.05000000000001
Nov 2019,143.13,0.31,0.6,1.04,0.14,0.32,0.57,0.0,0.27,0,-0.0,0,142.54,0.06,0.39,0.0,142.99,0,-181.0,0,-0.8199999999999928
Dec 2019,243.84,0.54,1.54,2.1,0.14,0.32,0.57,0.0,0.47,0,-0.01,0,242.84,0.16,0.39,0.0,243.39,0,-181.3,0,-0.300000000000011
Jan 2020,202.0,0.44,1.17,1.67,0.14,0.32,0.57,0.0,0.39,0,-0.01,0,201.17,0.12,0.39,0.0,201.68,0,-181.41,0,-0.10999999999998501
Feb 2020,251.63,0.55,1.36,1.96,0.14,0.32,0.57,0.0,0.48,0,-0.01,0,250.6,0.14,0.39,0.0,251.13,0,-181.6,0,-0.18999999999999803
Mar 2020,20.7,0.05,0.25,0.45,0.14,0.32,0.57,0.0,0.04,0,-0.0,0,20.62,0.03,0.39,0.0,21.04,0,-181.7,0,-0.0999999999999943
Apr 2020,82.89,0.18,0.25,0.53,0.29,0.41,0.62,0.02,0.16,0,-0.0,0,82.55,0.03,0.48,0.12,83.18,0,-182.24,0,-0.54000000000002
May 2020,240.76,0.53,0.55,0.87,1.03,0.87,0.91,0.14,0.46,0,-0.0,0,239.77,0.06,0.93,0.83,241.59,0,-182.79,0,-0.549999999999983
Jun 2020,182.23,0.4,0.67,0.89,1.01,0.89,1.01,0.15,0.35,0,-0.0,0,181.48,0.07,0.98,1.01,183.54,0,-183.94,0,-1.15000000000001
Jul 2020,630.61,1.38,2.89,3.8,1.09,0.89,0.89,0.14,1.21,0,-0.02,0,628.02,0.31,0.94,0.96,630.22,0,-185.47,0,-1.53
Aug 2020,712.66,1.57,3.68,4.77,0.87,0.76,0.82,0.11,1.36,0,-0.02,0,709.73,0.39,0.82,0.82,711.75,0,-185.98,0,-0.509999999999991
Sep 2020,938.39,2.06,6.06,7.56,0.49,0.53,0.69,0.05,1.8,0,-0.04,0,934.54,0.64,0.59,0.64,936.41,0,-186.17,0,-0.18999999999999803
Oct 2020,361.92,0.79,2.11,2.75,0.47,0.52,0.68,0.05,0.69,0,-0.01,0,360.43,0.22,0.58,0.29,361.53,0,-185.69,0,0.47999999999999
Nov 2020,300.55,0.66,1.69,2.37,0.14,0.32,0.57,0.0,0.58,0,-0.01,0,299.32,0.18,0.39,0.0,299.89,0,-185.94,0,-0.25
Dec 2020,176.43,0.39,0.99,1.46,0.14,0.32,0.57,0.0,0.34,0,-0.01,0,175.7,0.1,0.39,0.0,176.2,0,-185.95,0,-0.009999999999990909
Jan 2021,166.62,0.37,1.04,1.48,0.14,0.32,0.57,0.0,0.32,0,-0.01,0,165.94,0.11,0.39,0.0,166.44,0,-186.19,0,-0.24000000000000898
Feb 2021,126.78,0.28,0.76,1.15,0.14,0.32,0.57,0.0,0.24,0,-0.01,0,126.26,0.08,0.39,0.0,126.73,0,-186.45,0,-0.259999999999991
Mar 2021,44.99,0.1,0.3,0.55,0.15,0.33,0.58,0.0,0.09,0,-0.0,0,44.81,0.03,0.4,0.01,45.25,0,-186.79,0,-0.34000000000000297
Apr 2021,54.35,0.12,0.28,0.54,0.38,0.54,0.9,0.07,0.1,0,-0.0,0,54.13,0.03,0.66,0.66,55.49,0,-187.29,0,-0.5
May 2021,98.13,0.22,0.32,0.62,0.5,0.62,0.96,0.09,0.19,0,-0.0,0,97.73,0.03,0.75,0.83,99.34,0,-188.68,0,-1.3900000000000101
Jun 2021,1011.74,2.22,5.73,7.34,0.72,0.67,0.77,0.09,1.94,0,-0.04,0,1007.58,0.61,0.73,0.94,1009.86,0,-190.2,0,-1.51999999999998
Jul 2021,476.69,1.05,2.22,2.8,1.21,0.97,0.93,0.16,0.91,0,-0.01,0,474.73,0.23,1.01,0.95,476.93,0,-189.92,0,0.280000000000001
Aug 2021,332.56,0.73,1.72,2.03,1.22,0.97,0.93,0.16,0.64,0,-0.01,0,331.19,0.18,1.01,0.83,333.22,0,-190.75,0,-0.830000000000013
Sep 2021,158.27,0.35,0.9,0.94,1.16,0.94,0.93,0.16,0.3,0,-0.01,0,157.62,0.09,0.99,0.71,159.4,0,-191.73,0,-0.97999999999999
Oct 2021,222.67,0.49,1.26,1.58,0.72,0.67,0.77,0.09,0.43,0,-0.01,0,221.75,0.13,0.73,0.4,223.02,0,-192.91,0,-1.18000000000001
Nov 2021,60.69,0.13,0.31,0.6,0.14,0.32,0.58,0.0,0.12,0,-0.0,0,60.44,0.03,0.39,0.0,60.87,0,-193.57,0,-0.6599999999999971
Dec 2021,163.22,0.36,1.11,1.54,0.14,0.32,0.58,0.0,0.31,0,-0.01,0,162.55,0.12,0.39,0.0,163.06,0,-194.03,0,-0.46000000000000796
Jan 2022,252.71,0.55,2.12,2.64,0.14,0.32,0.58,0.0,0.48,0,-0.01,0,251.67,0.22,0.39,0.0,252.29,0,-194.3,0,-0.27000000000001
Feb 2022,266.56,0.59,1.67,2.27,0.14,0.32,0.58,0.0,0.51,0,-0.01,0,265.46,0.18,0.39,0.0,266.03,0,-194.41,0,-0.10999999999998501
Mar 2022,16.77,0.04,0.24,0.44,0.14,0.32,0.58,0.0,0.03,0,-0.0,0,16.7,0.03,0.39,0.0,17.12,0,-194.49,0,-0.0800000000000125
Apr 2022,35.4,0.08,0.23,0.41,0.29,0.41,0.65,0.03,0.07,0,-0.0,0,35.26,0.02,0.49,0.15,35.92,0,-195.04,0,-0.549999999999983
May 2022,571.98,1.26,2.05,2.99,0.88,0.77,0.82,0.11,1.1,0,-0.01,0,569.63,0.22,0.82,0.84,571.51,0,-195.73,0,-0.689999999999998
Jun 2022,151.05,0.33,0.47,0.78,0.76,0.78,1.03,0.13,0.29,0,-0.0,0,150.43,0.05,0.88,1.01,152.38,0,-196.21,0,-0.48000000000001797
Jul 2022,635.14,1.39,3.38,4.25,1.1,0.9,0.9,0.15,1.22,0,-0.02,0,632.53,0.36,0.95,0.97,634.8,0,-197.83,0,-1.62
Aug 2022,689.1,1.51,4.06,5.05,0.91,0.79,0.83,0.12,1.32,0,-0.03,0,686.27,0.43,0.84,0.83,688.36,0,-198.36,0,-0.530000000000001
Sep 2022,432.39,0.95,2.2,2.81,0.91,0.79,0.84,0.12,0.83,0,-0.01,0,430.61,0.23,0.84,0.67,432.36,0,-198.61,0,-0.25
