date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,109.67,0.24,0.75,1.09,0.13,0.3,0.56,0.0,0.21,0,-0.0,0,109.22,0.08,0.38,0.0,109.68,0,-159.0,0,0.0
Feb 2016,141.75,0.31,0.81,1.22,0.13,0.3,0.56,0.0,0.27,0,-0.01,0,141.17,0.09,0.38,0.0,141.64,0,-159.35,0,-0.349999999999994
Mar 2016,32.58,0.07,0.25,0.47,0.13,0.3,0.56,0.0,0.06,0,-0.0,0,32.45,0.03,0.38,0.0,32.86,0,-159.64,0,-0.289999999999992
Apr 2016,99.28,0.22,0.34,0.6,0.36,0.44,0.63,0.04,0.19,0,-0.0,0,98.87,0.04,0.52,0.29,99.71,0,-160.13,0,-0.49000000000000893
May 2016,5.93,0.01,0.21,0.42,0.2,0.42,0.82,0.05,0.01,0,-0.0,0,5.91,0.02,0.55,0.88,7.37,0,-160.83,0,-0.7000000000000172
Jun 2016,134.34,0.3,0.41,0.66,0.66,0.66,0.83,0.09,0.26,0,-0.0,0,133.79,0.04,0.74,1.02,135.6,0,-162.48,0,-1.64999999999998
Jul 2016,269.32,0.59,1.18,1.51,0.93,0.79,0.82,0.12,0.52,0,-0.01,0,268.21,0.12,0.85,1.02,270.21,0,-163.98,0,-1.5
Aug 2016,606.78,1.33,3.29,4.26,0.65,0.62,0.73,0.08,1.16,0,-0.02,0,604.28,0.35,0.68,0.85,606.17,0,-165.2,0,-1.22
Sep 2016,1481.34,3.25,10.87,13.19,0.21,0.35,0.59,0.01,2.84,0,-0.07,0,1475.25,1.15,0.43,0.64,1477.47,0,-165.57,0,-0.370000000000005
Oct 2016,751.58,1.65,4.77,6.11,0.17,0.33,0.57,0.01,1.44,0,-0.03,0,748.49,0.5,0.41,0.27,749.67,0,-164.02,0,1.54999999999998
Nov 2016,187.4,0.41,0.91,1.41,0.13,0.31,0.56,0.0,0.36,0,-0.01,0,186.63,0.1,0.38,0.0,187.11,0,-163.44,0,0.580000000000013
Dec 2016,111.41,0.24,0.48,0.86,0.13,0.31,0.56,0.0,0.21,0,-0.0,0,110.95,0.05,0.38,0.0,111.39,0,-163.65,0,-0.210000000000008
Jan 2017,262.3,0.58,1.94,2.5,0.13,0.31,0.56,0.0,0.5,0,-0.01,0,261.22,0.21,0.38,0.0,261.81,0,-164.0,0,-0.349999999999994
Feb 2017,141.83,0.31,0.78,1.19,0.13,0.31,0.56,0.0,0.27,0,-0.01,0,141.25,0.08,0.39,0.0,141.72,0,-164.07,0,-0.0699999999999932
Mar 2017,494.48,1.09,2.7,3.7,0.13,0.31,0.56,0.0,0.95,0,-0.02,0,492.45,0.29,0.39,0.0,493.12,0,-164.36,0,-0.29000000000002
Apr 2017,559.28,1.23,1.96,3.17,0.14,0.31,0.57,0.0,1.07,0,-0.01,0,556.98,0.21,0.39,0.06,557.65,0,-163.99,0,0.370000000000005
May 2017,77.98,0.17,0.34,0.55,0.48,0.55,0.79,0.07,0.15,0,-0.0,0,77.66,0.04,0.64,0.78,79.12,0,-163.56,0,0.430000000000007
Jun 2017,380.76,0.84,1.78,2.35,0.8,0.71,0.78,0.1,0.73,0,-0.01,0,379.19,0.19,0.77,0.99,381.14,0,-164.91,0,-1.3499999999999899
Jul 2017,297.8,0.65,1.12,1.53,0.9,0.77,0.82,0.12,0.57,0,-0.01,0,296.58,0.12,0.83,0.99,298.51,0,-165.86,0,-0.9500000000000172
Aug 2017,887.06,1.95,5.46,6.89,0.51,0.54,0.69,0.06,1.7,0,-0.04,0,883.41,0.58,0.6,0.83,885.42,0,-166.99,0,-1.13
Sep 2017,207.36,0.46,0.6,0.94,0.71,0.66,0.75,0.09,0.4,0,-0.0,0,206.51,0.06,0.72,0.66,207.94,0,-166.79,0,0.200000000000017
Oct 2017,27.8,0.06,0.23,0.41,0.27,0.41,0.69,0.04,0.05,0,-0.0,0,27.68,0.02,0.51,0.33,28.55,0,-167.72,0,-0.9300000000000072
Nov 2017,217.0,0.48,1.47,1.98,0.13,0.31,0.56,0.0,0.42,0,-0.01,0,216.11,0.16,0.39,0.0,216.65,0,-168.65,0,-0.9300000000000072
Dec 2017,6.71,0.01,0.22,0.39,0.13,0.31,0.56,0.0,0.01,0,-0.0,0,6.68,0.02,0.39,0.0,7.09,0,-168.81,0,-0.15999999999999698
Jan 2018,54.9,0.12,0.41,0.67,0.13,0.31,0.56,0.0,0.11,0,-0.0,0,54.68,0.04,0.39,0.0,55.11,0,-169.36,0,-0.5500000000000109
Feb 2018,118.3,0.26,0.61,0.98,0.13,0.31,0.56,0.0,0.23,0,-0.0,0,117.81,0.06,0.39,0.0,118.26,0,-169.82,0,-0.45999999999998
Mar 2018,63.64,0.14,0.35,0.63,0.13,0.31,0.56,0.0,0.12,0,-0.0,0,63.38,0.04,0.39,0.0,63.8,0,-170.16,0,-0.34000000000000297
Apr 2018,119.75,0.26,0.32,0.64,0.36,0.45,0.64,0.03,0.23,0,-0.0,0,119.26,0.03,0.52,0.29,120.09,0,-170.6,0,-0.439999999999998
May 2018,76.26,0.17,0.29,0.53,0.43,0.53,0.81,0.07,0.15,0,-0.0,0,75.94,0.03,0.64,0.87,77.48,0,-171.27,0,-0.670000000000016
Jun 2018,418.51,0.92,1.68,2.36,0.79,0.71,0.78,0.1,0.8,0,-0.01,0,416.79,0.18,0.76,0.99,418.73,0,-172.73,0,-1.45999999999998
Jul 2018,285.78,0.63,1.27,1.63,0.92,0.79,0.83,0.12,0.55,0,-0.01,0,284.61,0.13,0.84,1.02,286.61,0,-173.62,0,-0.890000000000015
Aug 2018,787.51,1.73,4.18,5.5,0.57,0.57,0.71,0.07,1.51,0,-0.03,0,784.27,0.44,0.64,0.86,786.21,0,-174.81,0,-1.19
Sep 2018,496.66,1.09,2.31,3.18,0.57,0.57,0.71,0.07,0.95,0,-0.02,0,494.62,0.24,0.64,0.68,496.18,0,-174.83,0,-0.0200000000000102
Oct 2018,7.98,0.02,0.28,0.41,0.27,0.41,0.69,0.04,0.02,0,-0.0,0,7.95,0.03,0.51,0.33,8.82,0,-175.21,0,-0.379999999999995
Nov 2018,9.27,0.02,0.2,0.38,0.13,0.31,0.57,0.0,0.02,0,-0.0,0,9.24,0.02,0.39,0.0,9.64,0,-176.19,0,-0.97999999999999
Dec 2018,116.49,0.26,0.85,1.2,0.13,0.31,0.57,0.0,0.22,0,-0.01,0,116.01,0.09,0.39,0.0,116.49,0,-176.74,0,-0.5500000000000109
Jan 2019,10.74,0.02,0.23,0.41,0.14,0.31,0.57,0.0,0.02,0,-0.0,0,10.7,0.02,0.39,0.0,11.11,0,-177.09,0,-0.349999999999994
Feb 2019,4.08,0.01,0.22,0.39,0.14,0.31,0.57,0.0,0.01,0,-0.0,0,4.06,0.02,0.39,0.0,4.48,0,-177.64,0,-0.549999999999983
Mar 2019,37.57,0.08,0.27,0.51,0.14,0.31,0.57,0.0,0.07,0,-0.0,0,37.41,0.03,0.39,0.0,37.83,0,-178.2,0,-0.560000000000002
Apr 2019,143.37,0.31,0.43,0.67,0.66,0.63,0.75,0.08,0.27,0,-0.0,0,142.78,0.05,0.69,0.66,144.18,0,-178.7,0,-0.5
May 2019,41.22,0.09,0.28,0.49,0.34,0.49,0.82,0.06,0.08,0,-0.0,0,41.05,0.03,0.61,0.87,42.57,0,-179.75,0,-1.05000000000001
Jun 2019,320.27,0.7,1.25,1.73,0.86,0.75,0.81,0.11,0.61,0,-0.01,0,318.95,0.13,0.81,1.03,320.92,0,-181.31,0,-1.56
Jul 2019,442.85,0.97,2.01,2.69,0.82,0.73,0.8,0.1,0.85,0,-0.01,0,441.03,0.21,0.79,0.99,443.02,0,-182.43,0,-1.12
Aug 2019,533.58,1.17,2.77,3.63,0.7,0.66,0.76,0.09,1.02,0,-0.02,0,531.38,0.29,0.72,0.87,533.26,0,-183.28,0,-0.8499999999999941
Sep 2019,386.79,0.85,2.1,2.72,0.66,0.63,0.74,0.08,0.74,0,-0.01,0,385.2,0.22,0.69,0.72,386.83,0,-183.83,0,-0.5500000000000109
Oct 2019,77.83,0.17,0.37,0.55,0.51,0.55,0.72,0.06,0.15,0,-0.0,0,77.51,0.04,0.62,0.44,78.6,0,-184.49,0,-0.6599999999999971
Nov 2019,49.02,0.11,0.36,0.62,0.14,0.32,0.57,0.0,0.09,0,-0.0,0,48.82,0.04,0.39,0.0,49.25,0,-185.44,0,-0.949999999999989
Dec 2019,5.21,0.01,0.21,0.38,0.14,0.32,0.57,0.0,0.01,0,-0.0,0,5.19,0.02,0.39,0.0,5.6,0,-185.92,0,-0.47999999999999
Jan 2020,23.98,0.05,0.24,0.45,0.14,0.32,0.57,0.0,0.05,0,-0.0,0,23.88,0.02,0.39,0.0,24.3,0,-186.48,0,-0.560000000000002
Feb 2020,4.85,0.01,0.21,0.38,0.14,0.32,0.57,0.0,0.01,0,-0.0,0,4.83,0.02,0.39,0.0,5.25,0,-187.0,0,-0.52000000000001
Mar 2020,2.65,0.01,0.2,0.35,0.19,0.35,0.59,0.01,0.01,0,-0.0,0,2.64,0.02,0.42,0.06,3.15,0,-187.57,0,-0.569999999999993
Apr 2020,15.35,0.03,0.23,0.43,0.24,0.43,0.78,0.04,0.03,0,-0.0,0,15.29,0.02,0.55,0.71,16.58,0,-188.21,0,-0.640000000000015
May 2020,198.81,0.44,0.52,0.83,0.79,0.71,0.79,0.1,0.38,0,-0.0,0,198.0,0.06,0.77,0.86,199.69,0,-189.63,0,-1.41999999999999
Jun 2020,282.26,0.62,1.28,1.66,0.87,0.76,0.82,0.11,0.54,0,-0.01,0,281.1,0.13,0.82,1.01,283.06,0,-190.81,0,-1.18000000000001
Jul 2020,448.66,0.99,2.0,2.7,0.83,0.74,0.8,0.11,0.86,0,-0.01,0,446.81,0.21,0.79,1.0,448.82,0,-191.99,0,-1.18000000000001
Aug 2020,637.73,1.4,3.54,4.57,0.65,0.63,0.74,0.08,1.22,0,-0.02,0,635.11,0.37,0.69,0.87,637.04,0,-192.85,0,-0.859999999999985
Sep 2020,1423.22,3.13,7.21,9.77,0.24,0.38,0.61,0.02,2.73,0,-0.05,0,1417.37,0.76,0.45,0.66,1419.24,0,-193.19,0,-0.34000000000000297
Oct 2020,569.95,1.25,3.18,4.28,0.19,0.35,0.59,0.01,1.09,0,-0.02,0,567.61,0.34,0.42,0.19,568.56,0,-191.76,0,1.4300000000000102
Nov 2020,126.3,0.28,0.53,0.94,0.14,0.32,0.57,0.0,0.24,0,-0.0,0,125.78,0.06,0.39,0.0,126.23,0,-191.46,0,0.29999999999998306
Dec 2020,522.08,1.15,4.2,5.12,0.14,0.32,0.57,0.0,1.0,0,-0.03,0,519.93,0.44,0.39,0.0,520.77,0,-191.8,0,-0.34000000000000297
Jan 2021,225.91,0.5,1.77,2.27,0.14,0.32,0.57,0.0,0.43,0,-0.01,0,224.98,0.19,0.39,0.0,225.56,0,-191.4,0,0.400000000000006
Feb 2021,109.45,0.24,0.51,0.88,0.14,0.32,0.57,0.0,0.21,0,-0.0,0,109.0,0.05,0.39,0.0,109.44,0,-191.55,0,-0.150000000000006
Mar 2021,87.02,0.19,0.37,0.7,0.14,0.32,0.58,0.0,0.17,0,-0.0,0,86.66,0.04,0.39,0.0,87.09,0,-191.92,0,-0.369999999999976
Apr 2021,196.81,0.43,0.63,1.14,0.22,0.37,0.6,0.01,0.38,0,-0.0,0,196.0,0.07,0.44,0.13,196.63,0,-192.33,0,-0.410000000000025
May 2021,673.22,1.48,2.58,3.83,0.51,0.55,0.7,0.06,1.29,0,-0.02,0,670.46,0.27,0.61,0.81,672.15,0,-192.68,0,-0.349999999999994
Jun 2021,55.46,0.12,0.31,0.54,0.4,0.54,0.86,0.07,0.11,0,-0.0,0,55.24,0.03,0.65,1.01,56.93,0,-192.86,0,-0.18000000000000702
Jul 2021,348.24,0.76,1.6,2.09,0.88,0.77,0.82,0.11,0.67,0,-0.01,0,346.81,0.17,0.82,1.0,348.79,0,-194.56,0,-1.69999999999999
Aug 2021,887.76,1.95,5.1,6.57,0.52,0.55,0.7,0.06,1.7,0,-0.03,0,884.11,0.54,0.61,0.84,886.1,0,-195.61,0,-1.05000000000001
Sep 2021,294.22,0.65,1.28,1.77,0.69,0.66,0.76,0.08,0.56,0,-0.01,0,293.01,0.14,0.71,0.7,294.56,0,-195.42,0,0.190000000000026
Oct 2021,203.2,0.45,1.23,1.67,0.31,0.43,0.63,0.03,0.39,0,-0.01,0,202.36,0.13,0.49,0.2,203.19,0,-196.24,0,-0.8200000000000219
Nov 2021,647.94,1.42,3.58,4.84,0.14,0.32,0.58,0.0,1.24,0,-0.02,0,645.28,0.38,0.39,0.0,646.05,0,-196.67,0,-0.42999999999997796
Dec 2021,14.14,0.03,0.26,0.44,0.14,0.32,0.58,0.0,0.03,0,-0.0,0,14.08,0.03,0.39,0.0,14.5,0,-196.03,0,0.639999999999986
Jan 2022,252.13,0.55,1.48,2.07,0.14,0.32,0.58,0.0,0.48,0,-0.01,0,251.09,0.16,0.39,0.0,251.64,0,-196.58,0,-0.5500000000000109
