date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,0.4,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,0.4,0,0.4,0.0,0.8,0,-150.17,0,0.0
Feb 2016,5.86,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,5.86,0,0.4,0.0,6.26,0,-150.57,0,-0.400000000000006
Mar 2016,1.86,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,1.86,0,0.4,0.0,2.26,0,-150.97,0,-0.400000000000006
Apr 2016,5.61,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,5.61,0,0.4,0.0,6.01,0,-151.37,0,-0.400000000000006
May 2016,1.89,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,1.89,0,0.4,0.01,2.3,0,-151.77,0,-0.400000000000006
Jun 2016,6.67,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,6.67,0,0.4,0.01,7.08,0,-152.17,0,-0.39999999999997704
Jul 2016,17.8,0,0,0,0,0.02,0.42,0,0.01,0,0.02,0,17.79,0,0.4,0.01,18.2,0,-152.58,0,-0.410000000000025
Aug 2016,19.47,0,0,0,0,0.02,0.42,0,0.01,0,0.02,0,19.47,0,0.4,0.01,19.87,0,-152.98,0,-0.39999999999997704
Sep 2016,17.32,0,0,0,0,0.02,0.42,0,0.01,0,0.02,0,17.32,0,0.4,0.01,17.72,0,-153.38,0,-0.400000000000006
Oct 2016,2.46,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,2.46,0,0.4,0.0,2.86,0,-153.78,0,-0.400000000000006
Nov 2016,2.4,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,2.4,0,0.4,0.0,2.8,0,-154.19,0,-0.40999999999999703
Dec 2016,2.15,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,2.15,0,0.4,0.0,2.55,0,-154.58,0,-0.39000000000001506
Jan 2017,5.12,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,5.11,0,0.4,0.0,5.52,0,-154.98,0,-0.39999999999997704
Feb 2017,2.32,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,2.32,0,0.4,0.0,2.72,0,-155.38,0,-0.400000000000006
Mar 2017,2.58,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,2.58,0,0.4,0.0,2.98,0,-155.78,0,-0.400000000000006
Apr 2017,0.94,0,0,0,0,0.02,0.42,0,0.0,0,0.02,0,0.94,0,0.4,0.0,1.34,0,-156.18,0,-0.400000000000006
