date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,66.43,0.14,0.96,0,0.0,0.25,0.52,0.01,0.07,0,1.36,0,66.21,0,0.26,0.0,66.48,0,-2937.34,0,0.0
Feb 2016,2.29,0.0,0.03,0,0.04,0.28,0.55,0.01,0.0,0,0.28,0,2.28,0,0.29,0.0,2.58,0,-2936.43,0,0.910000000000309
Mar 2016,28.47,0.06,0.48,0,0.54,2.87,7.59,0.66,0.03,0,2.87,0,28.38,0,4.61,0.02,33.0,0,-2936.69,0,-0.260000000000218
Apr 2016,3.91,0.01,0.05,0,0.06,3.81,11.11,0.89,0.0,0,3.81,0,3.89,0,6.47,0.03,10.39,0,-2940.74,0,-4.04999999999973
May 2016,12.02,0.03,0.19,0,0.22,4.23,12.15,1.0,0.01,0,4.23,0,11.98,0,7.13,0.03,19.14,0,-2947.16,0,-6.42000000000007
Jun 2016,16.88,0.04,0.19,0,0.23,5.05,14.59,1.2,0.02,0,5.05,0,16.83,0,8.56,0.04,25.42,0,-2954.1,0,-6.94000000000005
Jul 2016,463.42,1.01,7.16,0,8.17,6.71,8.25,1.62,0.48,0,6.71,0,461.93,0,8.09,0.03,470.05,0,-2962.45,0,-8.34999999999991
Aug 2016,371.18,0.81,6.22,0,7.03,6.29,8.62,1.51,0.38,0,6.29,0,369.99,0,7.85,0.03,377.87,0,-2961.93,0,0.519999999999982
Sep 2016,465.84,1.02,4.59,0,5.6,4.55,5.43,1.08,0.48,0,4.55,0,464.35,0,5.4,0.02,469.77,0,-2962.39,0,-0.460000000000036
Oct 2016,127.83,0.28,1.5,0,1.78,3.48,7.67,0.81,0.13,0,3.48,0,127.42,0,5.15,0.02,132.59,0,-2961.73,0,0.6599999999998539
Nov 2016,241.44,0.53,2.54,0,0.01,0.26,0.53,0.01,0.25,0,3.32,0,240.67,0,0.27,0.0,240.94,0,-2964.99,0,-3.25999999999976
Dec 2016,34.84,0.08,0.36,0,0.0,0.25,0.53,0.01,0.04,0,0.69,0,34.73,0,0.27,0.0,34.99,0,-2961.95,0,3.03999999999996
Jan 2017,140.36,0.31,1.9,0,0.0,0.26,0.53,0.01,0.14,0,2.46,0,139.91,0,0.27,0.0,140.18,0,-2961.75,0,0.199999999999818
Feb 2017,70.61,0.15,0.94,0,0.0,0.26,0.53,0.01,0.07,0,1.34,0,70.39,0,0.27,0.0,70.65,0,-2959.66,0,2.09000000000015
Mar 2017,105.84,0.23,1.76,0,0.14,0.35,0.62,0.03,0.11,0,2.2,0,105.5,0,0.38,0.0,105.88,0,-2958.77,0,0.8899999999998729
Apr 2017,29.5,0.06,0.44,0,0.5,3.47,9.46,0.81,0.03,0,3.47,0,29.4,0,5.68,0.02,35.11,0,-2957.05,0,1.7199999999998001
May 2017,17.66,0.04,0.18,0,0.22,4.21,12.08,0.99,0.02,0,4.21,0,17.6,0,7.09,0.03,24.73,0,-2962.22,0,-5.169999999999621
Jun 2017,83.24,0.18,1.3,0,1.48,5.2,13.24,1.24,0.09,0,5.2,0,82.97,0,8.29,0.03,91.29,0,-2969.11,0,-6.89000000000033
Jul 2017,480.68,1.05,7.04,0,8.09,6.56,7.94,1.58,0.49,0,6.56,0,479.14,0,7.88,0.03,487.05,0,-2975.86,0,-6.75
Aug 2017,330.36,0.72,5.8,0,6.52,6.26,9.25,1.51,0.34,0,6.26,0,329.3,0,8.01,0.03,337.34,0,-2975.18,0,0.680000000000291
