date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,66.43,0.14,0.96,0,0.0,0.29,0.62,0.01,0.07,0,1.4,0,66.21,0,0.32,0.0,66.54,0,-2941.06,0,0.0
Feb 2016,2.29,0.0,0.04,0,0.02,0.31,0.64,0.01,0.0,0,0.33,0,2.28,0,0.34,0.0,2.63,0,-2940.21,0,0.849999999999909
Mar 2016,28.47,0.06,0.48,0,0.55,1.97,4.86,0.42,0.03,0,1.97,0,28.38,0,3.02,0.02,31.41,0,-2940.51,0,-0.300000000000182
Apr 2016,3.91,0.01,0.05,0,0.06,2.44,6.98,0.54,0.0,0,2.44,0,3.89,0,4.05,0.03,7.98,0,-2942.97,0,-2.4599999999995803
May 2016,12.02,0.03,0.22,0,0.24,2.74,7.6,0.61,0.01,0,2.74,0,11.98,0,4.49,0.03,16.5,0,-2946.99,0,-4.01999999999998
Jun 2016,16.88,0.04,0.18,0,0.21,3.21,9.07,0.73,0.02,0,3.21,0,16.83,0,5.33,0.04,22.2,0,-2951.26,0,-4.27000000000044
Jul 2016,463.42,1.01,7.19,0,6.63,4.99,5.26,1.18,0.48,0,6.56,0,461.93,0,5.72,0.03,467.69,0,-2956.4,0,-5.13999999999987
Aug 2016,371.18,0.81,6.26,0,6.94,5.21,5.48,1.23,0.38,0,5.34,0,369.99,0,5.98,0.03,376.0,0,-2953.48,0,2.9200000000000697
Sep 2016,465.84,1.02,4.59,0,4.21,3.27,3.57,0.75,0.48,0,4.68,0,464.35,0,3.75,0.02,468.12,0,-2952.03,0,1.44999999999982
Oct 2016,127.83,0.28,1.51,0,1.79,2.57,4.91,0.57,0.13,0,2.57,0,127.42,0,3.55,0.02,130.99,0,-2949.72,0,2.3100000000003997
Nov 2016,241.44,0.53,2.54,0,0.01,0.3,0.63,0.01,0.25,0,3.36,0,240.67,0,0.33,0.0,241.0,0,-2951.37,0,-1.65000000000009
Dec 2016,34.84,0.08,0.36,0,0.0,0.3,0.63,0.01,0.04,0,0.73,0,34.73,0,0.33,0.0,35.05,0,-2948.39,0,2.9800000000000204
Jan 2017,140.36,0.31,1.9,0,0.0,0.3,0.63,0.01,0.14,0,2.51,0,139.91,0,0.33,0.0,140.24,0,-2948.24,0,0.150000000000091
