date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,66.43,0.14,0.96,0,0.0,0.33,0.72,0.01,0.07,0,1.44,0,66.21,0,0.38,0.0,66.59,0,-2944.78,0,0.0
Feb 2016,2.29,0.0,0.04,0,0.04,0.36,0.74,0.01,0.0,0,0.36,0,2.28,0,0.41,0.0,2.69,0,-2943.98,0,0.8000000000001819
Mar 2016,28.47,0.06,0.49,0,0.55,2.95,7.78,0.66,0.03,0,2.95,0,28.38,0,4.72,0.02,33.12,0,-2944.35,0,-0.36999999999989097
Apr 2016,3.91,0.01,0.06,0,0.07,3.9,11.31,0.9,0.0,0,3.9,0,3.89,0,6.59,0.03,10.51,0,-2948.51,0,-4.16000000000031
May 2016,12.02,0.03,0.2,0,0.22,4.32,12.35,1.0,0.01,0,4.32,0,11.98,0,7.25,0.03,19.26,0,-2955.05,0,-6.539999999999959
Jun 2016,16.88,0.04,0.2,0,0.23,5.13,14.79,1.2,0.02,0,5.13,0,16.83,0,8.68,0.04,25.54,0,-2962.1,0,-7.049999999999731
Jul 2016,463.42,1.01,7.17,0,8.18,6.79,8.44,1.62,0.48,0,6.79,0,461.93,0,8.21,0.03,470.17,0,-2970.56,0,-8.46000000000004
Aug 2016,371.18,0.81,6.23,0,7.04,6.38,8.81,1.52,0.38,0,6.38,0,369.99,0,7.97,0.03,377.99,0,-2970.15,0,0.409999999999854
Sep 2016,465.84,1.02,4.59,0,5.61,4.63,5.63,1.08,0.48,0,4.63,0,464.35,0,5.52,0.02,469.89,0,-2970.72,0,-0.569999999999709
Oct 2016,127.83,0.28,1.5,0,1.78,3.56,7.87,0.81,0.13,0,3.56,0,127.42,0,5.27,0.02,132.71,0,-2970.18,0,0.5399999999999641
Nov 2016,241.44,0.53,2.54,0,0.01,0.34,0.73,0.01,0.25,0,3.4,0,240.67,0,0.39,0.0,241.05,0,-2973.56,0,-3.3800000000001096
Dec 2016,34.84,0.08,0.36,0,0.0,0.34,0.73,0.01,0.04,0,0.77,0,34.73,0,0.38,0.0,35.11,0,-2970.63,0,2.92999999999984
Jan 2017,140.36,0.31,1.91,0,0.0,0.34,0.73,0.01,0.14,0,2.55,0,139.91,0,0.39,0.0,140.3,0,-2970.54,0,0.0900000000001455
Feb 2017,70.61,0.15,0.94,0,0.0,0.34,0.73,0.01,0.07,0,1.43,0,70.39,0,0.39,0.0,70.77,0,-2968.57,0,1.9699999999998001
Mar 2017,105.84,0.23,1.76,0,0.14,0.44,0.83,0.03,0.11,0,2.29,0,105.5,0,0.5,0.0,106.0,0,-2967.79,0,0.7800000000002
Apr 2017,29.5,0.06,0.44,0,0.51,3.56,9.66,0.81,0.03,0,3.56,0,29.4,0,5.8,0.02,35.23,0,-2966.19,0,1.59999999999991
May 2017,17.66,0.04,0.19,0,0.23,4.3,12.28,0.99,0.02,0,4.3,0,17.6,0,7.21,0.03,24.85,0,-2971.47,0,-5.279999999999751
Jun 2017,83.24,0.18,1.31,0,1.49,5.29,13.45,1.24,0.09,0,5.29,0,82.97,0,8.41,0.03,91.42,0,-2978.47,0,-7.0
Jul 2017,480.68,1.05,7.05,0,8.1,6.65,8.14,1.58,0.49,0,6.65,0,479.14,0,8.0,0.03,487.17,0,-2985.34,0,-6.870000000000349
Aug 2017,330.36,0.72,5.81,0,6.53,6.35,9.46,1.51,0.34,0,6.35,0,329.3,0,8.13,0.03,337.46,0,-2984.78,0,0.559999999999945
Sep 2017,303.29,0.66,2.83,0,3.49,4.37,7.86,1.01,0.31,0,4.37,0,302.31,0,5.96,0.02,308.3,0,-2986.07,0,-1.2899999999999598
Oct 2017,139.19,0.3,1.68,0,1.98,3.15,6.34,0.71,0.14,0,3.15,0,138.75,0,4.47,0.01,143.23,0,-2988.26,0,-2.19000000000005
Nov 2017,25.08,0.05,0.54,0,0.0,0.34,0.74,0.01,0.03,0,0.93,0,24.99,0,0.39,0.0,25.39,0,-2990.61,0,-2.3499999999999104
Dec 2017,117.55,0.26,0.79,0,0.0,0.34,0.74,0.01,0.12,0,1.38,0,117.17,0,0.39,0.0,117.56,0,-2990.39,0,0.220000000000255
Jan 2018,115.15,0.25,1.37,0,0.0,0.34,0.74,0.01,0.12,0,1.96,0,114.78,0,0.39,0.0,115.17,0,-2989.61,0,0.779999999999745
Feb 2018,95.56,0.21,0.84,0,0.0,0.34,0.74,0.01,0.1,0,1.39,0,95.25,0,0.39,0.0,95.64,0,-2988.27,0,1.34000000000015
Mar 2018,90.39,0.2,1.73,0,0.02,0.36,0.75,0.01,0.09,0,2.26,0,90.1,0,0.41,0.0,90.51,0,-2987.51,0,0.759999999999764
Apr 2018,20.7,0.05,0.37,0,0.41,3.66,10.11,0.83,0.02,0,3.66,0,20.64,0,6.02,0.02,26.68,0,-2985.9,0,1.61000000000013
May 2018,70.85,0.15,0.62,0,0.78,4.34,11.62,1.0,0.07,0,4.34,0,70.63,0,7.06,0.03,77.71,0,-2991.51,0,-5.61000000000013
Jun 2018,102.08,0.22,1.13,0,1.36,5.05,12.94,1.18,0.1,0,5.05,0,101.75,0,8.06,0.03,109.84,0,-2997.75,0,-6.239999999999781
Jul 2018,336.07,0.73,6.03,0,6.77,6.77,10.38,1.61,0.35,0,6.77,0,334.99,0,8.77,0.03,343.79,0,-3004.38,0,-6.630000000000111
Aug 2018,254.18,0.55,3.48,0,4.04,5.51,10.51,1.3,0.26,0,5.51,0,253.36,0,7.73,0.03,261.12,0,-3006.07,0,-1.6900000000000501
Sep 2018,370.31,0.81,3.0,0,3.81,4.21,6.93,0.97,0.38,0,4.21,0,369.13,0,5.55,0.02,374.7,0,-3009.53,0,-3.46000000000004
Oct 2018,183.13,0.4,1.91,0,2.31,3.57,7.12,0.81,0.19,0,3.57,0,182.54,0,5.05,0.02,187.61,0,-3010.91,0,-1.3799999999996497
Nov 2018,84.42,0.18,0.91,0,0.04,0.37,0.77,0.01,0.09,0,1.43,0,84.15,0,0.43,0.0,84.58,0,-3013.48,0,-2.57000000000016
Dec 2018,6.98,0.02,0.11,0,0.0,0.35,0.75,0.01,0.01,0,0.47,0,6.95,0,0.4,0.0,7.35,0,-3012.73,0,0.75
Jan 2019,54.22,0.12,0.57,0,0.0,0.35,0.75,0.01,0.06,0,1.03,0,54.04,0,0.4,0.0,54.44,0,-3013.0,0,-0.26999999999998203
Feb 2019,111.99,0.24,1.68,0,0.42,0.64,1.04,0.08,0.12,0,2.15,0,111.63,0,0.74,0.0,112.37,0,-3012.65,0,0.34999999999990905
Mar 2019,3.07,0.01,0.07,0,0.08,3.14,9.01,0.7,0.0,0,3.14,0,3.06,0,5.25,0.02,8.32,0,-3011.35,0,1.30000000000018
Apr 2019,30.62,0.07,0.42,0,0.48,3.68,10.07,0.84,0.03,0,3.68,0,30.53,0,6.03,0.02,36.58,0,-3016.54,0,-5.19000000000005
May 2019,9.59,0.02,0.09,0,0.11,4.3,12.46,0.99,0.01,0,4.3,0,9.56,0,7.27,0.03,16.86,0,-3022.08,0,-5.539999999999959
Jun 2019,15.68,0.03,0.24,0,0.27,5.13,14.71,1.2,0.02,0,5.13,0,15.63,0,8.65,0.03,24.31,0,-3029.26,0,-7.180000000000289
Jul 2019,276.34,0.6,5.02,0,5.63,6.55,11.35,1.56,0.28,0,6.55,0,275.45,0,8.87,0.03,284.35,0,-3037.66,0,-8.39999999999964
Aug 2019,460.06,1.0,7.21,0,8.21,6.52,7.57,1.55,0.47,0,6.52,0,458.58,0,7.72,0.03,466.33,0,-3040.65,0,-2.99000000000024
Sep 2019,523.29,1.14,4.9,0,5.73,4.4,4.76,1.02,0.54,0,4.72,0,521.61,0,5.07,0.02,526.7,0,-3039.71,0,0.940000000000055
Oct 2019,232.71,0.51,2.42,0,2.93,2.97,4.43,0.66,0.24,0,2.97,0,231.97,0,3.74,0.01,235.72,0,-3038.22,0,1.4900000000002398
Nov 2019,44.7,0.1,0.58,0,0.0,0.35,0.76,0.01,0.05,0,1.03,0,44.56,0,0.4,0.0,44.96,0,-3038.8,0,-0.5800000000003821
Dec 2019,102.73,0.22,0.76,0,0.0,0.35,0.76,0.01,0.11,0,1.33,0,102.4,0,0.4,0.0,102.81,0,-3038.47,0,0.33000000000038204
