date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,66.43,0.14,0.96,0,0.0,0.34,0.73,0.01,0.07,0,1.45,0,66.21,0,0.39,0.0,66.6,0,-2944.78,0,0.0
Feb 2016,2.29,0.0,0.04,0,0.02,0.36,0.75,0.01,0.0,0,0.37,0,2.28,0,0.41,0.0,2.69,0,-2943.99,0,0.7900000000004179
Mar 2016,28.47,0.06,0.49,0,0.55,2.01,4.97,0.42,0.03,0,2.01,0,28.38,0,3.08,0.02,31.48,0,-2944.35,0,-0.36000000000012705
Apr 2016,3.91,0.01,0.05,0,0.06,2.49,7.09,0.54,0.0,0,2.49,0,3.89,0,4.12,0.03,8.04,0,-2946.87,0,-2.51999999999998
May 2016,12.02,0.03,0.22,0,0.24,2.78,7.71,0.62,0.01,0,2.78,0,11.98,0,4.56,0.03,16.56,0,-2950.96,0,-4.09000000000015
Jun 2016,16.88,0.04,0.18,0,0.22,3.26,9.17,0.73,0.02,0,3.26,0,16.83,0,5.4,0.04,22.26,0,-2955.28,0,-4.32000000000016
Jul 2016,463.42,1.01,7.19,0,6.63,5.03,5.37,1.18,0.48,0,6.61,0,461.93,0,5.79,0.03,467.75,0,-2960.49,0,-5.20999999999958
Aug 2016,371.18,0.81,6.26,0,6.94,5.26,5.59,1.23,0.38,0,5.39,0,369.99,0,6.05,0.03,376.07,0,-2957.63,0,2.85999999999967
Sep 2016,465.84,1.02,4.6,0,4.21,3.32,3.68,0.75,0.48,0,4.73,0,464.35,0,3.82,0.02,468.19,0,-2956.24,0,1.3900000000003303
Oct 2016,127.83,0.28,1.51,0,1.79,2.62,5.02,0.57,0.13,0,2.62,0,127.42,0,3.62,0.02,131.06,0,-2953.99,0,2.25
Nov 2016,241.44,0.53,2.54,0,0.01,0.35,0.74,0.01,0.25,0,3.41,0,240.67,0,0.4,0.0,241.06,0,-2955.71,0,-1.72000000000025
