date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,66.43,0.14,0.96,0,0.0,0.33,0.7,0.01,0.07,0,1.43,0,66.21,0,0.37,0.0,66.59,0,-2944.78,0,0.0
Feb 2016,2.29,0.0,0.04,0,0.03,0.35,0.72,0.01,0.0,0,0.36,0,2.28,0,0.4,0.0,2.68,0,-2943.97,0,0.8100000000004001
Mar 2016,28.47,0.06,0.49,0,0.55,2.47,6.36,0.54,0.03,0,2.47,0,28.38,0,3.89,0.02,32.29,0,-2944.32,0,-0.350000000000364
Apr 2016,3.91,0.01,0.05,0,0.06,3.18,9.18,0.72,0.0,0,3.18,0,3.89,0,5.34,0.03,9.26,0,-2947.65,0,-3.3299999999999303
May 2016,12.02,0.03,0.2,0,0.23,3.54,10.01,0.81,0.01,0,3.54,0,11.98,0,5.89,0.03,17.9,0,-2952.95,0,-5.299999999999731
Jun 2016,16.88,0.04,0.19,0,0.22,4.19,11.96,0.97,0.02,0,4.19,0,16.83,0,7.03,0.04,23.89,0,-2958.63,0,-5.680000000000289
Jul 2016,463.42,1.01,7.18,0,8.19,6.28,6.88,1.49,0.48,0,6.28,0,461.93,0,7.31,0.03,469.27,0,-2965.45,0,-6.819999999999711
Aug 2016,371.18,0.81,6.25,0,7.06,5.84,7.18,1.38,0.38,0,5.84,0,369.99,0,7.02,0.03,377.04,0,-2964.12,0,1.32999999999993
Sep 2016,465.84,1.02,4.59,0,5.61,4.3,4.63,1.0,0.48,0,4.3,0,464.35,0,4.94,0.02,469.31,0,-2963.73,0,0.38999999999987295
Oct 2016,127.83,0.28,1.51,0,1.79,3.08,6.42,0.69,0.13,0,3.08,0,127.42,0,4.43,0.02,131.87,0,-2962.6,0,1.13000000000011
Nov 2016,241.44,0.53,2.54,0,0.01,0.33,0.71,0.01,0.25,0,3.4,0,240.67,0,0.38,0.0,241.04,0,-2965.14,0,-2.53999999999996
Dec 2016,34.84,0.08,0.36,0,0.0,0.33,0.71,0.01,0.04,0,0.77,0,34.73,0,0.38,0.0,35.1,0,-2962.2,0,2.94000000000005
Jan 2017,140.36,0.31,1.91,0,0.0,0.33,0.71,0.01,0.14,0,2.54,0,139.91,0,0.38,0.0,140.29,0,-2962.1,0,0.0999999999999091
Feb 2017,70.61,0.15,0.94,0,0.0,0.33,0.71,0.01,0.07,0,1.42,0,70.39,0,0.38,0.0,70.76,0,-2960.12,0,1.98000000000002
Mar 2017,105.84,0.23,1.76,0,0.11,0.41,0.79,0.03,0.11,0,2.29,0,105.5,0,0.47,0.0,105.97,0,-2959.33,0,0.7899999999999641
Apr 2017,29.5,0.06,0.44,0,0.51,2.95,7.86,0.66,0.03,0,2.95,0,29.4,0,4.75,0.02,34.17,0,-2957.69,0,1.63999999999987
May 2017,17.66,0.04,0.19,0,0.23,3.52,9.95,0.8,0.02,0,3.52,0,17.6,0,5.86,0.03,23.49,0,-2961.93,0,-4.23999999999978
