date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.05,0.0,0.03,0,0.0,0.25,0.52,0.01,0.0,0,0.29,0,2.04,0,0.26,0.0,2.31,0,-2936.6,0,0.0
Feb 2016,85.61,0.19,1.04,0,0.0,0.25,0.52,0.01,0.09,0,1.47,0,85.34,0,0.26,0.0,85.6,0,-2936.82,0,-0.220000000000255
Mar 2016,7.88,0.02,0.22,0,0.23,0.57,1.13,0.08,0.01,0,0.57,0,7.85,0,0.71,0.0,8.57,0,-2935.77,0,1.05000000000018
Apr 2016,2.79,0.01,0.08,0,0.09,2.34,6.67,0.53,0.0,0,2.34,0,2.78,0,3.88,0.02,6.69,0,-2936.25,0,-0.48000000000001797
May 2016,2.14,0.0,0.03,0,0.03,2.75,7.96,0.63,0.0,0,2.75,0,2.14,0,4.62,0.03,6.78,0,-2940.07,0,-3.82000000000016
Jun 2016,59.56,0.13,0.84,0,0.97,3.47,8.8,0.81,0.06,0,3.47,0,59.36,0,5.49,0.04,64.89,0,-2944.68,0,-4.60999999999967
Jul 2016,378.74,0.83,4.99,0,5.81,4.81,5.92,1.14,0.39,0,4.81,0,377.53,0,5.78,0.03,383.34,0,-2949.16,0,-4.48000000000002
Aug 2016,270.43,0.59,4.38,0,4.97,4.51,6.21,1.07,0.28,0,4.51,0,269.56,0,5.6,0.03,275.2,0,-2948.77,0,0.38999999999987295
Sep 2016,633.23,1.38,6.51,0,2.55,2.06,2.3,0.46,0.65,0,7.4,0,631.19,0,2.34,0.02,633.56,0,-2949.15,0,-0.38000000000010903
Oct 2016,21.33,0.05,0.36,0,0.41,2.25,5.92,0.5,0.02,0,2.25,0,21.26,0,3.58,0.02,24.86,0,-2942.97,0,6.180000000000289
Nov 2016,8.42,0.02,0.08,0,0.09,0.53,1.23,0.07,0.01,0,0.53,0,8.39,0,0.72,0.0,9.11,0,-2946.13,0,-3.16000000000031
Dec 2016,9.89,0.02,0.34,0,0.0,0.25,0.53,0.01,0.01,0,0.61,0,9.86,0,0.27,0.0,10.13,0,-2946.75,0,-0.619999999999891
Jan 2017,54.49,0.12,0.82,0,0.0,0.26,0.53,0.01,0.06,0,1.19,0,54.31,0,0.27,0.0,54.58,0,-2946.65,0,0.0999999999999091
Feb 2017,47.53,0.1,0.44,0,0.0,0.26,0.53,0.01,0.05,0,0.8,0,47.37,0,0.27,0.0,47.64,0,-2945.92,0,0.7300000000000179
Mar 2017,31.35,0.07,0.68,0,0.75,0.91,1.44,0.17,0.03,0,0.91,0,31.25,0,1.1,0.0,32.36,0,-2945.59,0,0.32999999999992696
Apr 2017,1.41,0.0,0.04,0,0.04,2.3,6.6,0.52,0.0,0,2.3,0,1.4,0,3.83,0.02,5.26,0,-2945.91,0,-0.31999999999970896
May 2017,51.96,0.11,0.81,0,0.92,3.0,7.44,0.69,0.05,0,3.0,0,51.79,0,4.67,0.03,56.49,0,-2949.73,0,-3.82000000000016
Jun 2017,5.8,0.01,0.11,0,0.13,3.19,9.14,0.74,0.01,0,3.19,0,5.79,0,5.34,0.04,11.16,0,-2953.46,0,-3.7300000000000204
Jul 2017,253.09,0.55,4.29,0,4.85,4.77,7.17,1.13,0.26,0,4.77,0,252.28,0,6.11,0.03,258.43,0,-2958.7,0,-5.23999999999978
Aug 2017,251.89,0.55,5.19,0,5.74,4.92,6.34,1.17,0.26,0,4.92,0,251.08,0,5.99,0.03,257.1,0,-2959.74,0,-1.0399999999999598
Sep 2017,21.12,0.05,0.1,0,0.14,2.62,7.4,0.59,0.02,0,2.62,0,21.05,0,4.34,0.02,25.41,0,-2959.77,0,-0.0300000000002001
Oct 2017,368.55,0.8,2.51,0,3.2,2.52,2.77,0.57,0.38,0,2.63,0,367.37,0,2.88,0.02,370.26,0,-2963.96,0,-4.19000000000005
Nov 2017,25.05,0.05,0.19,0,0.12,0.34,0.61,0.03,0.03,0,0.47,0,24.97,0,0.36,0.0,25.33,0,-2963.16,0,0.8000000000001819
Dec 2017,158.95,0.35,1.3,0,0.0,0.26,0.53,0.01,0.16,0,1.9,0,158.44,0,0.27,0.0,158.71,0,-2963.26,0,-0.10000000000036399
Jan 2018,172.21,0.38,1.92,0,0.0,0.26,0.53,0.01,0.18,0,2.55,0,171.66,0,0.27,0.0,171.93,0,-2961.72,0,1.54000000000042
Feb 2018,99.34,0.22,1.59,0,0.0,0.26,0.53,0.01,0.1,0,2.07,0,99.02,0,0.27,0.0,99.29,0,-2959.52,0,2.19999999999982
Mar 2018,116.41,0.25,1.33,0,0.0,0.26,0.53,0.01,0.12,0,1.84,0,116.04,0,0.27,0.0,116.31,0,-2957.88,0,1.63999999999987
Apr 2018,52.77,0.12,0.86,0,0.97,2.54,5.99,0.57,0.05,0,2.54,0,52.6,0,3.85,0.02,56.47,0,-2956.45,0,1.43000000000029
May 2018,97.87,0.21,1.36,0,1.58,3.25,7.26,0.75,0.1,0,3.25,0,97.55,0,4.84,0.03,102.42,0,-2959.29,0,-2.8400000000001495
Jun 2018,73.74,0.16,1.08,0,1.24,3.5,8.51,0.82,0.08,0,3.5,0,73.5,0,5.43,0.04,78.96,0,-2962.48,0,-3.19000000000005
Jul 2018,269.92,0.59,5.04,0,5.63,5.11,7.06,1.22,0.28,0,5.11,0,269.06,0,6.37,0.03,275.46,0,-2966.63,0,-4.15000000000009
Aug 2018,222.76,0.49,3.95,0,4.44,4.42,6.71,1.05,0.23,0,4.42,0,222.04,0,5.68,0.03,227.75,0,-2967.12,0,-0.48999999999978205
Sep 2018,172.06,0.38,0.97,0,1.34,2.75,6.09,0.63,0.18,0,2.75,0,171.51,0,4.06,0.02,175.59,0,-2968.16,0,-1.0399999999999598
Oct 2018,267.99,0.58,1.66,0,2.25,2.4,3.76,0.54,0.28,0,2.4,0,267.13,0,3.07,0.02,270.21,0,-2970.72,0,-2.5599999999999503
Nov 2018,153.29,0.33,2.01,0,0.05,0.29,0.57,0.01,0.16,0,2.58,0,152.8,0,0.31,0.0,153.11,0,-2971.28,0,-0.5600000000004001
Dec 2018,7.25,0.02,0.06,0,0.0,0.26,0.54,0.01,0.01,0,0.33,0,7.23,0,0.27,0.0,7.5,0,-2969.1,0,2.18000000000029
Jan 2019,87.8,0.19,1.32,0,0.0,0.26,0.54,0.01,0.09,0,1.77,0,87.52,0,0.27,0.0,87.8,0,-2969.29,0,-0.19000000000005499
Feb 2019,75.14,0.16,0.8,0,0.0,0.26,0.54,0.01,0.08,0,1.22,0,74.89,0,0.27,0.0,75.17,0,-2967.96,0,1.32999999999993
Mar 2019,53.56,0.12,1.16,0,0.22,0.41,0.69,0.04,0.06,0,1.47,0,53.39,0,0.45,0.0,53.84,0,-2967.2,0,0.7600000000002181
Apr 2019,9.09,0.02,0.3,0,0.32,2.38,6.45,0.54,0.01,0,2.38,0,9.06,0,3.85,0.02,12.94,0,-2966.32,0,0.879999999999654
May 2019,42.67,0.09,0.72,0,0.82,2.86,7.16,0.65,0.04,0,2.86,0,42.54,0,4.47,0.03,47.03,0,-2969.87,0,-3.54999999999973
Jun 2019,128.36,0.28,1.45,0,1.73,3.54,7.91,0.82,0.13,0,3.54,0,127.95,0,5.28,0.03,133.26,0,-2973.51,0,-3.64000000000033
Jul 2019,547.85,1.2,7.48,0,5.92,4.45,4.68,1.05,0.56,0,7.2,0,546.09,0,5.09,0.03,551.22,0,-2976.95,0,-3.4399999999996003
Aug 2019,340.7,0.74,5.82,0,6.56,5.05,5.56,1.2,0.35,0,5.05,0,339.61,0,5.87,0.03,345.51,0,-2972.84,0,4.10999999999967
Sep 2019,96.25,0.21,1.11,0,1.32,2.97,6.8,0.68,0.1,0,2.97,0,95.94,0,4.46,0.02,100.43,0,-2971.83,0,1.0100000000002198
Oct 2019,35.61,0.08,0.57,0,0.65,2.32,5.78,0.52,0.04,0,2.32,0,35.49,0,3.6,0.02,39.11,0,-2974.9,0,-3.07000000000016
Nov 2019,86.97,0.19,1.02,0,0.16,0.37,0.65,0.03,0.09,0,1.43,0,86.69,0,0.4,0.0,87.09,0,-2977.83,0,-2.92999999999984
Dec 2019,232.42,0.51,3.49,0,0.0,0.26,0.54,0.01,0.24,0,4.25,0,231.68,0,0.28,0.0,231.95,0,-2976.93,0,0.900000000000091
Jan 2020,99.09,0.22,1.7,0,0.0,0.26,0.54,0.01,0.1,0,2.17,0,98.77,0,0.28,0.0,99.05,0,-2972.97,0,3.96000000000004
Feb 2020,97.5,0.21,1.15,0,0.0,0.26,0.54,0.01,0.1,0,1.62,0,97.18,0,0.28,0.0,97.46,0,-2971.24,0,1.73000000000002
Mar 2020,14.22,0.03,0.23,0,0.09,0.32,0.6,0.02,0.01,0,0.49,0,14.18,0,0.35,0.0,14.53,0,-2970.05,0,1.1899999999996
Apr 2020,8.66,0.02,0.27,0,0.29,2.36,6.42,0.53,0.01,0,2.36,0,8.64,0,3.82,0.02,12.48,0,-2970.13,0,-0.0799999999999272
May 2020,31.01,0.07,0.46,0,0.53,2.9,7.69,0.66,0.03,0,2.9,0,30.91,0,4.66,0.03,35.6,0,-2973.68,0,-3.54999999999973
Jun 2020,84.97,0.19,1.55,0,1.73,3.71,8.43,0.87,0.09,0,3.71,0,84.7,0,5.58,0.04,90.32,0,-2977.81,0,-4.13000000000011
Jul 2020,347.72,0.76,6.6,0,7.36,5.69,6.34,1.36,0.36,0,5.69,0,346.61,0,6.65,0.03,353.29,0,-2981.6,0,-3.78999999999996
Aug 2020,374.43,0.82,7.31,0,6.88,5.13,5.36,1.22,0.38,0,6.37,0,373.23,0,5.88,0.03,379.14,0,-2980.57,0,1.02999999999975
Sep 2020,416.06,0.91,3.23,0,4.14,3.31,3.78,0.77,0.43,0,3.31,0,414.73,0,3.85,0.02,418.6,0,-2977.97,0,2.60000000000036
Oct 2020,191.79,0.42,2.19,0,2.61,2.68,4.08,0.61,0.2,0,2.68,0,191.17,0,3.4,0.02,194.59,0,-2977.27,0,0.6999999999998181
Nov 2020,140.75,0.31,1.56,0,0.0,0.26,0.55,0.01,0.14,0,2.13,0,140.3,0,0.28,0.0,140.58,0,-2977.88,0,-0.6100000000001271
Dec 2020,146.51,0.32,2.1,0,0.0,0.26,0.55,0.01,0.15,0,2.69,0,146.04,0,0.28,0.0,146.32,0,-2976.15,0,1.73000000000002
Jan 2021,78.42,0.17,0.91,0,0.0,0.26,0.55,0.01,0.08,0,1.35,0,78.17,0,0.28,0.0,78.45,0,-2973.85,0,2.30000000000018
Feb 2021,66.66,0.15,0.77,0,0.0,0.26,0.55,0.01,0.07,0,1.18,0,66.44,0,0.28,0.0,66.73,0,-2972.97,0,0.880000000000109
Mar 2021,28.01,0.06,0.51,0,0.57,0.84,1.46,0.15,0.03,0,0.84,0,27.92,0,1.04,0.0,28.97,0,-2972.27,0,0.6999999999998181
Apr 2021,23.82,0.05,0.41,0,0.46,2.42,6.35,0.54,0.02,0,2.42,0,23.74,0,3.85,0.02,27.62,0,-2972.72,0,-0.449999999999818
May 2021,1.96,0.0,0.05,0,0.05,2.7,7.77,0.61,0.0,0,2.7,0,1.96,0,4.51,0.03,6.5,0,-2976.11,0,-3.39000000000033
Jun 2021,32.12,0.07,0.2,0,0.27,3.14,8.79,0.72,0.03,0,3.14,0,32.02,0,5.2,0.03,37.25,0,-2980.6,0,-4.48999999999978
Jul 2021,231.14,0.5,3.93,0,4.43,4.65,7.39,1.1,0.24,0,4.65,0,230.4,0,6.07,0.03,236.5,0,-2985.52,0,-4.92000000000007
Aug 2021,422.33,0.92,8.49,0,6.32,4.74,4.97,1.12,0.43,0,7.83,0,420.97,0,5.43,0.03,426.43,0,-2986.96,0,-1.4400000000000501
Sep 2021,105.87,0.23,0.67,0,0.9,2.75,6.72,0.63,0.11,0,2.75,0,105.53,0,4.25,0.02,109.8,0,-2982.57,0,4.38999999999987
Oct 2021,141.8,0.31,0.92,0,1.23,2.26,4.78,0.5,0.15,0,2.26,0,141.35,0,3.25,0.02,144.61,0,-2985.83,0,-3.25999999999976
Nov 2021,36.41,0.08,0.89,0,0.82,0.84,1.12,0.15,0.04,0,0.99,0,36.29,0,0.95,0.0,37.24,0,-2987.72,0,-1.88999999999987
Dec 2021,212.16,0.46,3.09,0,0.0,0.27,0.55,0.01,0.22,0,3.82,0,211.47,0,0.28,0.0,211.76,0,-2987.67,0,0.0499999999997272
Jan 2022,185.56,0.41,1.74,0,0.0,0.27,0.55,0.01,0.19,0,2.41,0,184.96,0,0.28,0.0,185.24,0,-2984.18,0,3.49000000000024
Feb 2022,124.4,0.27,1.38,0,0.0,0.27,0.56,0.01,0.13,0,1.92,0,124.0,0,0.29,0.0,124.29,0,-2982.12,0,2.05999999999995
Mar 2022,16.19,0.04,0.36,0,0.4,1.95,5.04,0.43,0.02,0,1.95,0,16.14,0,3.06,0.02,19.22,0,-2980.63,0,1.4899999999997802
Apr 2022,0.82,0.0,0.03,0,0.03,2.3,6.61,0.51,0.0,0,2.3,0,0.82,0,3.83,0.02,4.67,0,-2983.29,0,-2.65999999999985
May 2022,68.81,0.15,0.91,0,1.06,3.08,7.48,0.71,0.07,0,3.08,0,68.59,0,4.75,0.03,73.38,0,-2987.11,0,-3.82000000000016
Jun 2022,40.47,0.09,0.91,0,1.0,3.53,8.91,0.82,0.04,0,3.53,0,40.34,0,5.56,0.04,45.94,0,-2990.77,0,-3.6599999999998505
