date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.05,0.0,0.03,0,0.0,0.29,0.61,0.01,0.0,0,0.33,0,2.04,0,0.32,0.0,2.36,0,-2940.31,0,0.0
Feb 2016,85.61,0.19,1.04,0,0.0,0.29,0.61,0.01,0.09,0,1.51,0,85.34,0,0.32,0.0,85.65,0,-2940.59,0,-0.28000000000020003
Mar 2016,7.88,0.02,0.22,0,0.24,0.67,1.42,0.1,0.01,0,0.67,0,7.85,0,0.89,0.0,8.74,0,-2939.6,0,0.990000000000236
Apr 2016,2.79,0.01,0.08,0,0.09,3.06,8.81,0.7,0.0,0,3.06,0,2.78,0,5.13,0.02,7.94,0,-2940.24,0,-0.6399999999998729
May 2016,2.14,0.0,0.03,0,0.04,3.61,10.53,0.84,0.0,0,3.61,0,2.14,0,6.12,0.03,8.29,0,-2945.31,0,-5.07000000000016
Jun 2016,59.56,0.13,0.82,0,0.95,4.42,11.65,1.04,0.06,0,4.42,0,59.36,0,7.14,0.04,66.54,0,-2951.41,0,-6.099999999999911
Jul 2016,378.74,0.83,4.97,0,5.8,5.44,7.81,1.29,0.39,0,5.44,0,377.53,0,6.87,0.03,384.43,0,-2957.58,0,-6.17000000000007
Aug 2016,270.43,0.59,4.37,0,4.96,5.17,8.2,1.22,0.28,0,5.17,0,269.56,0,6.76,0.03,276.35,0,-2958.3,0,-0.720000000000255
Sep 2016,633.23,1.38,6.51,0,3.4,2.7,2.99,0.61,0.65,0,7.19,0,631.19,0,3.09,0.02,634.3,0,-2959.85,0,-1.54999999999973
Oct 2016,21.33,0.05,0.35,0,0.4,2.88,7.81,0.65,0.02,0,2.88,0,21.26,0,4.68,0.02,25.96,0,-2954.41,0,5.44000000000005
Nov 2016,8.42,0.02,0.08,0,0.1,0.65,1.56,0.09,0.01,0,0.65,0,8.39,0,0.91,0.0,9.3,0,-2958.68,0,-4.26999999999998
Dec 2016,9.89,0.02,0.34,0,0.0,0.29,0.62,0.01,0.01,0,0.65,0,9.86,0,0.32,0.0,10.18,0,-2959.49,0,-0.809999999999945
Jan 2017,54.49,0.12,0.82,0,0.0,0.29,0.62,0.01,0.06,0,1.23,0,54.31,0,0.32,0.0,54.64,0,-2959.43,0,0.0599999999999454
Feb 2017,47.53,0.1,0.45,0,0.0,0.29,0.62,0.01,0.05,0,0.84,0,47.37,0,0.32,0.0,47.7,0,-2958.76,0,0.6699999999996179
Mar 2017,31.35,0.07,0.68,0,0.75,1.06,1.84,0.2,0.03,0,1.06,0,31.25,0,1.34,0.0,32.59,0,-2958.48,0,0.28000000000020003
Apr 2017,1.41,0.0,0.04,0,0.04,3.02,8.72,0.69,0.0,0,3.02,0,1.4,0,5.07,0.02,6.5,0,-2959.04,0,-0.559999999999945
May 2017,51.96,0.11,0.79,0,0.91,3.8,9.84,0.88,0.05,0,3.8,0,51.79,0,6.07,0.03,57.89,0,-2964.08,0,-5.03999999999996
Jun 2017,5.8,0.01,0.12,0,0.14,4.19,12.1,0.98,0.01,0,4.19,0,5.79,0,7.07,0.04,12.89,0,-2969.22,0,-5.13999999999987
Jul 2017,253.09,0.55,4.28,0,4.83,5.54,9.48,1.32,0.26,0,5.54,0,252.28,0,7.45,0.03,259.77,0,-2976.19,0,-6.97000000000025
Aug 2017,251.89,0.55,5.17,0,5.72,5.59,8.37,1.33,0.26,0,5.59,0,251.08,0,7.17,0.03,258.28,0,-2978.59,0,-2.4000000000000896
Sep 2017,21.12,0.05,0.11,0,0.15,3.42,9.78,0.79,0.02,0,3.42,0,21.05,0,5.73,0.02,26.8,0,-2979.8,0,-1.2100000000000402
Oct 2017,368.55,0.8,2.51,0,3.31,2.86,3.61,0.65,0.38,0,2.86,0,367.37,0,3.41,0.02,370.8,0,-2985.38,0,-5.57999999999993
Nov 2017,25.05,0.05,0.19,0,0.16,0.4,0.73,0.03,0.03,0,0.5,0,24.97,0,0.45,0.0,25.42,0,-2985.12,0,0.260000000000218
Dec 2017,158.95,0.35,1.3,0,0.0,0.3,0.62,0.01,0.16,0,1.94,0,158.44,0,0.33,0.0,158.76,0,-2985.3,0,-0.180000000000291
Jan 2018,172.21,0.38,1.92,0,0.0,0.3,0.63,0.01,0.18,0,2.59,0,171.66,0,0.33,0.0,171.99,0,-2983.81,0,1.4900000000002398
Feb 2018,99.34,0.22,1.6,0,0.0,0.3,0.63,0.01,0.1,0,2.11,0,99.02,0,0.33,0.0,99.34,0,-2981.66,0,2.15000000000009
Mar 2018,116.41,0.25,1.33,0,0.01,0.3,0.63,0.01,0.12,0,1.88,0,116.04,0,0.33,0.0,116.37,0,-2980.08,0,1.57999999999993
Apr 2018,52.77,0.12,0.86,0,0.97,3.18,7.9,0.73,0.05,0,3.18,0,52.6,0,4.96,0.02,57.58,0,-2978.7,0,1.38000000000011
May 2018,97.87,0.21,1.35,0,1.56,4.03,9.6,0.94,0.1,0,4.03,0,97.55,0,6.19,0.03,103.78,0,-2982.66,0,-3.96000000000004
Jun 2018,73.74,0.16,1.06,0,1.22,4.42,11.26,1.04,0.08,0,4.42,0,73.5,0,7.02,0.04,80.56,0,-2987.22,0,-4.55999999999995
Jul 2018,269.92,0.59,5.03,0,5.62,5.86,9.33,1.4,0.28,0,5.86,0,269.06,0,7.68,0.03,276.77,0,-2992.99,0,-5.769999999999981
Aug 2018,222.76,0.49,3.93,0,4.42,5.14,8.87,1.22,0.23,0,5.14,0,222.04,0,6.93,0.03,229.0,0,-2994.81,0,-1.82000000000016
Sep 2018,172.06,0.38,0.96,0,1.33,3.4,8.03,0.78,0.18,0,3.4,0,171.51,0,5.19,0.02,176.72,0,-2997.12,0,-2.3099999999999503
Oct 2018,267.99,0.58,1.66,0,2.24,2.8,4.93,0.63,0.28,0,2.8,0,267.13,0,3.75,0.02,270.89,0,-3000.82,0,-3.70000000000027
Nov 2018,153.29,0.33,2.01,0,0.06,0.34,0.67,0.02,0.16,0,2.62,0,152.8,0,0.38,0.0,153.18,0,-3002.07,0,-1.25
Dec 2018,7.25,0.02,0.06,0,0.0,0.3,0.63,0.01,0.01,0,0.37,0,7.23,0,0.33,0.0,7.56,0,-2999.95,0,2.12000000000035
Jan 2019,87.8,0.19,1.32,0,0.0,0.3,0.63,0.01,0.09,0,1.81,0,87.52,0,0.33,0.0,87.85,0,-3000.19,0,-0.24000000000023602
Feb 2019,75.14,0.16,0.8,0,0.0,0.3,0.63,0.01,0.08,0,1.26,0,74.89,0,0.33,0.0,75.23,0,-2998.92,0,1.26999999999998
Mar 2019,53.56,0.12,1.16,0,0.29,0.5,0.83,0.06,0.06,0,1.49,0,53.39,0,0.56,0.0,53.95,0,-2998.21,0,0.7100000000000359
Apr 2019,9.09,0.02,0.3,0,0.32,3.08,8.52,0.7,0.01,0,3.08,0,9.06,0,5.06,0.02,14.14,0,-2997.44,0,0.7699999999999821
May 2019,42.67,0.09,0.71,0,0.8,3.63,9.46,0.84,0.04,0,3.63,0,42.54,0,5.81,0.03,48.37,0,-3002.2,0,-4.75999999999976
Jun 2019,128.36,0.28,1.43,0,1.71,4.39,10.46,1.03,0.13,0,4.39,0,127.95,0,6.76,0.03,134.74,0,-3007.19,0,-4.99000000000024
Jul 2019,547.85,1.2,7.47,0,7.89,5.88,6.15,1.4,0.56,0,6.66,0,546.09,0,6.76,0.03,552.88,0,-3012.13,0,-4.94000000000005
Aug 2019,340.7,0.74,5.8,0,6.55,5.64,7.33,1.34,0.35,0,5.64,0,339.61,0,6.9,0.03,346.54,0,-3009.69,0,2.4400000000000497
Sep 2019,96.25,0.21,1.1,0,1.31,3.7,8.98,0.86,0.1,0,3.7,0,95.94,0,5.73,0.02,101.7,0,-3009.72,0,-0.0299999999997453
Oct 2019,35.61,0.08,0.56,0,0.64,2.93,7.63,0.66,0.04,0,2.93,0,35.49,0,4.67,0.02,40.18,0,-3014.07,0,-4.35000000000036
Nov 2019,86.97,0.19,1.03,0,0.21,0.45,0.78,0.04,0.09,0,1.46,0,86.69,0,0.5,0.0,87.19,0,-3018.08,0,-4.00999999999976
Dec 2019,232.42,0.51,3.49,0,0.0,0.3,0.64,0.01,0.24,0,4.3,0,231.68,0,0.33,0.0,232.01,0,-3017.28,0,0.799999999999727
Jan 2020,99.09,0.22,1.7,0,0.0,0.3,0.64,0.01,0.1,0,2.21,0,98.77,0,0.33,0.0,99.11,0,-3013.38,0,3.90000000000009
Feb 2020,97.5,0.21,1.15,0,0.0,0.3,0.64,0.01,0.1,0,1.67,0,97.18,0,0.33,0.0,97.52,0,-3011.7,0,1.68000000000029
Mar 2020,14.22,0.03,0.23,0,0.12,0.38,0.72,0.03,0.01,0,0.53,0,14.18,0,0.43,0.0,14.61,0,-3010.56,0,1.13999999999987
Apr 2020,8.66,0.02,0.27,0,0.29,3.05,8.48,0.69,0.01,0,3.05,0,8.64,0,5.02,0.02,13.68,0,-3010.72,0,-0.159999999999854
May 2020,31.01,0.07,0.45,0,0.52,3.72,10.17,0.86,0.03,0,3.72,0,30.91,0,6.1,0.03,37.04,0,-3015.47,0,-4.75
Jun 2020,84.97,0.19,1.53,0,1.71,4.62,11.15,1.08,0.09,0,4.62,0,84.7,0,7.16,0.04,91.9,0,-3021.05,0,-5.58000000000038
Jul 2020,347.72,0.76,6.59,0,7.35,6.37,8.36,1.52,0.36,0,6.37,0,346.61,0,7.83,0.03,354.47,0,-3026.45,0,-5.39999999999964
Aug 2020,374.43,0.82,7.29,0,8.11,6.29,7.06,1.5,0.38,0,6.29,0,373.23,0,7.37,0.03,380.64,0,-3026.6,0,-0.150000000000091
Sep 2020,416.06,0.91,3.23,0,4.13,3.7,4.96,0.86,0.43,0,3.7,0,414.73,0,4.53,0.02,419.29,0,-3025.51,0,1.0899999999996899
Oct 2020,191.79,0.42,2.19,0,2.61,3.11,5.35,0.71,0.2,0,3.11,0,191.17,0,4.14,0.02,195.33,0,-3025.5,0,0.0100000000002183
Nov 2020,140.75,0.31,1.57,0,0.0,0.3,0.65,0.01,0.14,0,2.17,0,140.3,0,0.34,0.0,140.64,0,-3026.85,0,-1.34999999999991
Dec 2020,146.51,0.32,2.11,0,0.0,0.3,0.65,0.01,0.15,0,2.73,0,146.04,0,0.34,0.0,146.38,0,-3025.17,0,1.67999999999984
Jan 2021,78.42,0.17,0.92,0,0.0,0.3,0.65,0.01,0.08,0,1.39,0,78.17,0,0.34,0.0,78.5,0,-3022.94,0,2.23000000000002
Feb 2021,66.66,0.15,0.77,0,0.0,0.3,0.65,0.01,0.07,0,1.22,0,66.44,0,0.34,0.0,66.78,0,-3022.11,0,0.829999999999927
Mar 2021,28.01,0.06,0.51,0,0.57,0.98,1.87,0.17,0.03,0,0.98,0,27.92,0,1.28,0.0,29.21,0,-3021.46,0,0.6500000000000911
Apr 2021,23.82,0.05,0.4,0,0.45,3.1,8.38,0.7,0.02,0,3.1,0,23.74,0,5.03,0.02,28.8,0,-3022.15,0,-0.690000000000055
May 2021,1.96,0.0,0.06,0,0.06,3.54,10.28,0.81,0.0,0,3.54,0,1.96,0,5.98,0.03,7.97,0,-3026.73,0,-4.57999999999993
Jun 2021,32.12,0.07,0.21,0,0.28,4.1,11.63,0.95,0.03,0,4.1,0,32.02,0,6.86,0.03,38.91,0,-3032.67,0,-5.94000000000005
Jul 2021,231.14,0.5,3.91,0,4.41,5.44,9.76,1.29,0.24,0,5.44,0,230.4,0,7.45,0.03,237.88,0,-3039.25,0,-6.57999999999993
Aug 2021,422.33,0.92,8.48,0,8.42,6.27,6.54,1.5,0.43,0,7.24,0,420.97,0,7.2,0.03,428.2,0,-3042.08,0,-2.8299999999999303
Sep 2021,105.87,0.23,0.66,0,0.89,3.47,8.87,0.8,0.11,0,3.47,0,105.53,0,5.5,0.02,111.06,0,-3039.48,0,2.5999999999999104
Oct 2021,141.8,0.31,0.92,0,1.23,2.77,6.29,0.62,0.15,0,2.77,0,141.35,0,4.13,0.02,145.49,0,-3044.0,0,-4.51999999999998
Nov 2021,36.41,0.08,0.89,0,0.97,1.02,1.41,0.18,0.04,0,1.02,0,36.29,0,1.18,0.0,37.47,0,-3046.77,0,-2.7699999999999796
Dec 2021,212.16,0.46,3.09,0,0.0,0.31,0.65,0.01,0.22,0,3.86,0,211.47,0,0.34,0.0,211.82,0,-3046.94,0,-0.170000000000073
Jan 2022,185.56,0.41,1.74,0,0.0,0.31,0.65,0.01,0.19,0,2.45,0,184.96,0,0.34,0.0,185.3,0,-3043.51,0,3.42999999999984
Feb 2022,124.4,0.27,1.39,0,0.0,0.31,0.65,0.01,0.13,0,1.96,0,124.0,0,0.34,0.0,124.34,0,-3041.51,0,2.0
Mar 2022,16.19,0.04,0.36,0,0.4,2.49,6.64,0.55,0.02,0,2.49,0,16.14,0,4.0,0.02,20.15,0,-3040.07,0,1.4400000000000501
Apr 2022,0.82,0.0,0.04,0,0.04,3.02,8.73,0.68,0.0,0,3.02,0,0.82,0,5.07,0.02,5.91,0,-3043.67,0,-3.59999999999991
May 2022,68.81,0.15,0.89,0,1.05,3.88,9.89,0.9,0.07,0,3.88,0,68.59,0,6.15,0.03,74.78,0,-3048.72,0,-5.049999999999731
Jun 2022,40.47,0.09,0.89,0,0.98,4.49,11.79,1.05,0.04,0,4.49,0,40.34,0,7.24,0.04,47.62,0,-3053.79,0,-5.07000000000016
Jul 2022,344.91,0.75,5.91,0,6.67,6.1,8.53,1.45,0.35,0,6.1,0,343.8,0,7.65,0.03,351.48,0,-3060.04,0,-6.25
Aug 2022,406.28,0.89,6.56,0,7.45,5.85,6.68,1.39,0.42,0,5.85,0,404.98,0,6.88,0.03,411.89,0,-3060.71,0,-0.670000000000073
Sep 2022,58.86,0.13,0.43,0,0.56,3.42,9.21,0.78,0.06,0,3.42,0,58.67,0,5.56,0.02,64.25,0,-3059.75,0,0.9600000000000359
Oct 2022,561.73,1.23,5.6,0,1.58,1.42,1.76,0.28,0.58,0,6.67,0,559.93,0,1.63,0.02,561.57,0,-3064.71,0,-4.96000000000004
Nov 2022,9.17,0.02,0.17,0,0.0,0.31,0.66,0.01,0.01,0,0.5,0,9.14,0,0.35,0.0,9.48,0,-3058.95,0,5.760000000000219
Dec 2022,84.65,0.18,1.15,0,0.0,0.31,0.66,0.01,0.09,0,1.64,0,84.38,0,0.35,0.0,84.72,0,-3059.1,0,-0.150000000000091
Jan 2023,91.94,0.2,1.44,0,0.0,0.31,0.66,0.01,0.09,0,1.95,0,91.64,0,0.35,0.0,91.99,0,-3058.03,0,1.06999999999971
Feb 2023,30.16,0.07,0.44,0,0.0,0.31,0.66,0.01,0.03,0,0.81,0,30.07,0,0.35,0.0,30.41,0,-3056.64,0,1.3900000000003303
Mar 2023,15.86,0.03,0.26,0,0.29,0.74,1.52,0.11,0.02,0,0.74,0,15.81,0,0.97,0.0,16.78,0,-3056.45,0,0.19000000000005499
Apr 2023,0.31,0.0,0.03,0,0.03,3.28,9.52,0.75,0.0,0,3.28,0,0.31,0,5.53,0.03,5.87,0,-3057.11,0,-0.660000000000309
May 2023,33.81,0.07,0.21,0,0.29,3.67,10.34,0.85,0.03,0,3.67,0,33.7,0,6.11,0.03,39.84,0,-3062.63,0,-5.519999999999981
Jun 2023,23.93,0.05,0.42,0,0.47,4.38,12.2,1.02,0.02,0,4.38,0,23.86,0,7.27,0.04,31.16,0,-3068.45,0,-5.819999999999711
Jul 2023,479.57,1.05,7.29,0,8.34,6.42,7.11,1.53,0.49,0,6.42,0,478.03,0,7.5,0.03,485.57,0,-3075.26,0,-6.8100000000004
Aug 2023,230.85,0.5,4.36,0,4.86,5.32,8.77,1.26,0.24,0,5.32,0,230.11,0,7.05,0.03,237.2,0,-3073.96,0,1.30000000000018
Sep 2023,16.44,0.04,0.1,0,0.14,3.49,10.01,0.8,0.02,0,3.49,0,16.39,0,5.86,0.02,22.27,0,-3075.95,0,-1.9899999999997802
Oct 2023,164.89,0.36,1.7,0,2.06,2.96,5.68,0.67,0.17,0,2.96,0,164.36,0,4.11,0.02,168.48,0,-3081.67,0,-5.72000000000025
Nov 2023,134.79,0.29,1.59,0,0.0,0.31,0.67,0.01,0.14,0,2.19,0,134.36,0,0.35,0.0,134.71,0,-3083.57,0,-1.90000000000009
