date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,75.57,0.16,0.86,0,0.0,0.29,0.62,0.01,0.08,0,1.32,0,75.32,0,0.32,0.0,75.65,0,-2939.7,0,0.0
Feb 2016,70.5,0.15,0.8,0,0.0,0.3,0.62,0.01,0.07,0,1.24,0,70.27,0,0.32,0.0,70.6,0,-2938.92,0,0.779999999999745
Mar 2016,19.75,0.04,0.43,0,0.47,0.78,1.41,0.13,0.02,0,0.78,0,19.69,0,0.97,0.0,20.67,0,-2938.23,0,0.690000000000055
Apr 2016,14.76,0.03,0.18,0,0.21,3.07,8.64,0.7,0.02,0,3.07,0,14.71,0,5.08,0.02,19.82,0,-2938.71,0,-0.48000000000001797
May 2016,0.38,0.0,0.03,0,0.03,3.68,10.75,0.85,0.0,0,3.68,0,0.38,0,6.24,0.03,6.65,0,-2943.6,0,-4.88999999999987
Jun 2016,37.27,0.08,0.48,0,0.56,4.23,11.64,0.99,0.04,0,4.23,0,37.15,0,6.98,0.04,44.16,0,-2949.84,0,-6.240000000000241
Jul 2016,228.07,0.5,3.86,0,4.36,5.51,10.06,1.31,0.23,0,5.51,0,227.34,0,7.6,0.03,234.97,0,-2956.25,0,-6.40999999999985
Aug 2016,327.02,0.71,5.59,0,6.3,5.66,7.74,1.35,0.34,0,5.66,0,325.97,0,7.04,0.03,333.03,0,-2959.29,0,-3.03999999999996
Sep 2016,763.48,1.67,5.9,0,2.4,2.0,2.31,0.43,0.78,0,7.16,0,761.03,0,2.28,0.02,763.34,0,-2959.72,0,-0.429999999999836
Oct 2016,526.99,1.15,5.39,0,1.66,1.47,1.79,0.3,0.54,0,6.35,0,525.3,0,1.68,0.02,526.99,0,-2953.68,0,6.039999999999959
Nov 2016,66.26,0.14,0.78,0,0.0,0.3,0.63,0.01,0.07,0,1.22,0,66.04,0,0.33,0.0,66.37,0,-2948.29,0,5.38999999999987
Dec 2016,71.31,0.16,0.99,0,0.0,0.3,0.63,0.01,0.07,0,1.44,0,71.08,0,0.33,0.0,71.41,0,-2947.63,0,0.6599999999998539
Jan 2017,182.8,0.4,2.2,0,0.0,0.3,0.63,0.01,0.19,0,2.9,0,182.22,0,0.33,0.0,182.55,0,-2946.74,0,0.8900000000003271
Feb 2017,55.09,0.12,0.63,0,0.0,0.3,0.63,0.01,0.06,0,1.04,0,54.91,0,0.33,0.0,55.24,0,-2944.28,0,2.4599999999995803
Mar 2017,256.05,0.56,3.15,0,0.26,0.48,0.81,0.05,0.26,0,3.93,0,255.23,0,0.54,0.0,255.77,0,-2943.8,0,0.48000000000001797
Apr 2017,154.74,0.34,2.44,0,2.78,3.41,6.01,0.78,0.16,0,3.41,0,154.24,0,4.6,0.02,158.86,0,-2940.38,0,3.4200000000000697
May 2017,3.94,0.01,0.06,0,0.07,3.4,9.84,0.78,0.0,0,3.4,0,3.93,0,5.73,0.03,9.68,0,-2942.06,0,-1.67999999999984
Jun 2017,110.29,0.24,1.58,0,1.82,4.48,10.57,1.05,0.11,0,4.48,0,109.93,0,6.87,0.03,116.84,0,-2947.74,0,-5.67999999999984
Jul 2017,209.53,0.46,3.83,0,4.29,5.5,10.12,1.3,0.22,0,5.5,0,208.86,0,7.6,0.03,216.5,0,-2952.7,0,-4.96000000000004
Aug 2017,374.18,0.82,6.19,0,7.01,5.81,7.18,1.38,0.38,0,5.81,0,372.98,0,7.0,0.03,380.01,0,-2955.84,0,-3.14000000000033
Sep 2017,178.87,0.39,1.86,0,2.25,3.7,7.62,0.85,0.18,0,3.7,0,178.29,0,5.32,0.02,183.64,0,-2955.47,0,0.370000000000346
Oct 2017,16.27,0.04,0.39,0,0.43,2.84,7.66,0.64,0.02,0,2.84,0,16.22,0,4.6,0.02,20.83,0,-2958.38,0,-2.91000000000031
Nov 2017,73.7,0.16,0.59,0,0.03,0.32,0.66,0.01,0.08,0,1.04,0,73.46,0,0.35,0.0,73.82,0,-2962.56,0,-4.17999999999984
Dec 2017,1.3,0.0,0.04,0,0.0,0.3,0.64,0.01,0.0,0,0.35,0,1.3,0,0.33,0.0,1.63,0,-2962.09,0,0.46999999999979997
Jan 2018,13.87,0.03,0.12,0,0.0,0.3,0.64,0.01,0.01,0,0.45,0,13.83,0,0.34,0.0,14.17,0,-2962.38,0,-0.28999999999996395
Feb 2018,27.89,0.06,0.22,0,0.0,0.3,0.64,0.01,0.03,0,0.58,0,27.8,0,0.34,0.0,28.13,0,-2962.54,0,-0.159999999999854
Mar 2018,39.98,0.09,0.69,0,0.78,0.9,1.32,0.15,0.04,0,0.9,0,39.85,0,1.05,0.0,40.9,0,-2962.57,0,-0.0300000000002001
Apr 2018,22.38,0.05,0.3,0,0.35,3.09,8.5,0.7,0.02,0,3.09,0,22.31,0,5.06,0.02,27.4,0,-2962.8,0,-0.230000000000018
May 2018,1.5,0.0,0.04,0,0.04,3.62,10.55,0.83,0.0,0,3.62,0,1.49,0,6.13,0.03,7.65,0,-2967.52,0,-4.7199999999998
Jun 2018,80.93,0.18,1.31,0,1.48,4.47,11.02,1.05,0.08,0,4.47,0,80.67,0,6.99,0.03,87.7,0,-2973.63,0,-6.11000000000013
Jul 2018,162.0,0.35,2.76,0,3.12,5.22,10.94,1.23,0.17,0,5.22,0,161.48,0,7.61,0.03,169.13,0,-2979.1,0,-5.4699999999998
Aug 2018,372.43,0.81,6.83,0,7.65,6.18,7.38,1.47,0.38,0,6.18,0,371.23,0,7.38,0.03,378.64,0,-2983.46,0,-4.36000000000013
Sep 2018,176.9,0.39,1.8,0,2.19,3.72,7.78,0.86,0.18,0,3.72,0,176.33,0,5.38,0.02,181.74,0,-2982.83,0,0.630000000000109
Oct 2018,18.12,0.04,0.04,0,0.08,2.67,7.63,0.6,0.02,0,2.67,0,18.07,0,4.44,0.02,22.53,0,-2985.87,0,-3.03999999999996
Nov 2018,2.21,0.0,0.11,0,0.11,0.48,1.0,0.05,0.0,0,0.48,0,2.2,0,0.59,0.0,2.79,0,-2990.24,0,-4.36999999999989
Dec 2018,23.86,0.05,0.19,0,0.0,0.31,0.65,0.01,0.02,0,0.55,0,23.78,0,0.34,0.0,24.12,0,-2990.71,0,-0.47000000000025505
Jan 2019,3.61,0.01,0.04,0,0.0,0.31,0.65,0.01,0.0,0,0.35,0,3.6,0,0.34,0.0,3.94,0,-2990.78,0,-0.0700000000001637
Feb 2019,12.32,0.03,0.12,0,0.15,0.47,0.93,0.05,0.01,0,0.47,0,12.28,0,0.56,0.0,12.85,0,-2991.07,0,-0.28999999999996395
Mar 2019,13.62,0.03,0.21,0,0.24,2.51,6.9,0.55,0.01,0,2.51,0,13.58,0,4.08,0.02,17.68,0,-2991.47,0,-0.399999999999636
Apr 2019,13.55,0.03,0.06,0,0.08,2.98,8.55,0.67,0.01,0,2.98,0,13.5,0,4.98,0.02,18.51,0,-2995.32,0,-3.85000000000036
May 2019,0.61,0.0,0.03,0,0.03,3.65,10.63,0.84,0.0,0,3.65,0,0.61,0,6.17,0.03,6.81,0,-3000.22,0,-4.89999999999964
Jun 2019,68.2,0.15,0.99,0,1.14,4.44,11.42,1.04,0.07,0,4.44,0,67.98,0,7.09,0.04,75.1,0,-3006.4,0,-6.180000000000289
Jul 2019,228.73,0.5,4.1,0,4.6,5.6,9.99,1.33,0.24,0,5.6,0,228.0,0,7.66,0.03,235.69,0,-3012.31,0,-5.90999999999985
Aug 2019,251.29,0.55,4.42,0,4.97,5.38,8.8,1.27,0.26,0,5.38,0,250.48,0,7.11,0.03,257.63,0,-3015.17,0,-2.86000000000013
Sep 2019,163.69,0.36,1.37,0,1.73,3.67,8.27,0.84,0.17,0,3.67,0,163.17,0,5.48,0.02,168.68,0,-3017.08,0,-1.90999999999985
Oct 2019,39.35,0.09,0.21,0,0.3,2.8,7.72,0.63,0.04,0,2.8,0,39.22,0,4.58,0.02,43.82,0,-3020.69,0,-3.61000000000013
Nov 2019,64.81,0.14,0.66,0,0.69,0.79,1.14,0.13,0.07,0,0.91,0,64.6,0,0.9,0.0,65.51,0,-3024.95,0,-4.25999999999976
Dec 2019,0.45,0.0,0.01,0,0.0,0.31,0.66,0.01,0.0,0,0.32,0,0.45,0,0.35,0.0,0.79,0,-3024.99,0,-0.0399999999999636
Jan 2020,4.03,0.01,0.08,0,0.0,0.31,0.66,0.01,0.0,0,0.4,0,4.02,0,0.35,0.0,4.37,0,-3025.32,0,-0.33000000000038204
Feb 2020,4.12,0.01,0.03,0,0.04,0.37,0.77,0.02,0.0,0,0.37,0,4.11,0,0.43,0.0,4.54,0,-3025.57,0,-0.25
Mar 2020,0.6,0.0,0.01,0,0.01,2.66,7.7,0.59,0.0,0,2.66,0,0.6,0,4.46,0.02,5.08,0,-3025.95,0,-0.379999999999654
Apr 2020,0.31,0.0,0.03,0,0.03,3.1,8.98,0.7,0.0,0,3.1,0,0.31,0,5.21,0.03,5.55,0,-3030.41,0,-4.46000000000004
May 2020,12.84,0.03,0.13,0,0.16,3.61,10.32,0.83,0.01,0,3.61,0,12.79,0,6.05,0.03,18.87,0,-3035.62,0,-5.21000000000004
Jun 2020,87.86,0.19,1.26,0,1.45,4.44,10.98,1.04,0.09,0,4.44,0,87.57,0,6.96,0.03,94.56,0,-3041.52,0,-5.900000000000089
Jul 2020,358.52,0.78,6.38,0,7.17,6.33,8.53,1.51,0.37,0,6.33,0,357.37,0,7.85,0.03,365.25,0,-3046.97,0,-5.44999999999982
Aug 2020,301.84,0.66,4.91,0,5.57,5.46,8.18,1.29,0.31,0,5.46,0,300.87,0,6.99,0.03,307.89,0,-3047.32,0,-0.350000000000364
Sep 2020,512.23,1.12,5.23,0,5.05,3.88,4.19,0.9,0.53,0,5.19,0,510.58,0,4.46,0.02,515.06,0,-3048.46,0,-1.13999999999987
Oct 2020,236.69,0.52,2.15,0,2.67,2.95,4.78,0.66,0.24,0,2.95,0,235.93,0,3.84,0.02,239.78,0,-3046.07,0,2.38999999999987
Nov 2020,41.79,0.09,0.46,0,0.0,0.31,0.67,0.01,0.04,0,0.86,0,41.66,0,0.35,0.0,42.01,0,-3047.01,0,-0.940000000000055
Dec 2020,554.66,1.21,5.67,0,0.0,0.31,0.67,0.01,0.57,0,7.19,0,552.88,0,0.35,0.0,553.23,0,-3046.77,0,0.24000000000023602
Jan 2021,141.53,0.31,1.62,0,0.0,0.31,0.67,0.01,0.15,0,2.24,0,141.07,0,0.35,0.0,141.42,0,-3039.67,0,7.099999999999911
Feb 2021,28.02,0.06,0.3,0,0.0,0.31,0.67,0.01,0.03,0,0.68,0,27.93,0,0.35,0.0,28.28,0,-3037.94,0,1.73000000000002
Mar 2021,50.93,0.11,1.05,0,0.15,0.42,0.77,0.03,0.05,0,1.43,0,50.77,0,0.47,0.0,51.24,0,-3037.9,0,0.0399999999999636
Apr 2021,40.05,0.09,0.45,0,0.54,2.96,7.84,0.67,0.04,0,2.96,0,39.92,0,4.75,0.02,44.69,0,-3037.16,0,0.740000000000236
May 2021,84.03,0.18,1.37,0,1.55,3.91,9.23,0.9,0.09,0,3.91,0,83.76,0,5.98,0.03,89.77,0,-3041.35,0,-4.19000000000005
Jun 2021,12.2,0.03,0.11,0,0.14,4.23,12.21,0.98,0.01,0,4.23,0,12.16,0,7.14,0.04,19.33,0,-3045.72,0,-4.36999999999989
Jul 2021,259.99,0.57,5.15,0,5.72,6.01,9.61,1.43,0.27,0,6.01,0,259.16,0,7.89,0.03,267.08,0,-3052.74,0,-7.019999999999981
Aug 2021,435.16,0.95,7.94,0,8.51,6.34,6.63,1.51,0.45,0,6.72,0,433.76,0,7.29,0.03,441.08,0,-3054.68,0,-1.9400000000000501
Sep 2021,103.31,0.23,1.06,0,1.28,3.66,8.89,0.84,0.11,0,3.66,0,102.98,0,5.67,0.02,108.67,0,-3052.66,0,2.01999999999998
Oct 2021,126.46,0.28,1.09,0,1.36,2.78,6.11,0.62,0.13,0,2.78,0,126.06,0,4.08,0.02,130.15,0,-3056.96,0,-4.30000000000018
