date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,184.82,0.51,0,0.72,0.01,0.05,1.38,0.1,0.29,0,-0.17,0,184.02,0.01,1.24,0.0,185.26,0,-496.34,0,0.0
Feb 2016,47.93,0.13,0,0.22,0.01,0.05,1.38,0.1,0.08,0,-0.04,0,47.72,0.0,1.24,0.0,48.97,0,-497.5,0,-1.1600000000000301
Mar 2016,172.04,0.47,0,0.67,0.01,0.05,1.38,0.1,0.27,0,-0.16,0,171.29,0.01,1.24,0.0,172.54,0,-498.75,0,-1.25
Apr 2016,27.28,0.07,0,0.14,0.01,0.05,1.38,0.1,0.04,0,-0.03,0,27.16,0.0,1.24,0.0,28.41,0,-499.92,0,-1.17000000000002
May 2016,84.39,0.23,0,0.35,0.02,0.06,1.38,0.1,0.13,0,-0.08,0,84.03,0.0,1.25,0.17,85.45,0,-501.19,0,-1.26999999999998
Jun 2016,17.71,0.05,0,0.1,0.02,0.06,1.38,0.1,0.03,0,-0.02,0,17.63,0.0,1.25,0.23,19.11,0,-502.59,0,-1.39999999999998
Jul 2016,659.64,1.81,0,2.45,0.02,0.06,1.38,0.1,1.05,0,-0.62,0,656.78,0.02,1.25,0.23,658.28,0,-504.1,0,-1.51000000000005
Aug 2016,656.54,1.8,0,2.44,0.02,0.06,1.38,0.1,1.05,0,-0.62,0,653.69,0.02,1.25,0.19,655.16,0,-505.18,0,-1.07999999999998
Sep 2016,656.77,1.8,0,2.44,0.01,0.05,1.39,0.1,1.05,0,-0.62,0,653.92,0.02,1.25,0.15,655.34,0,-506.23,0,-1.05000000000001
Oct 2016,254.16,0.7,0,0.97,0.01,0.05,1.39,0.1,0.41,0,-0.24,0,253.05,0.01,1.25,0.01,254.32,0,-507.24,0,-1.00999999999999
Nov 2016,578.67,1.59,0,2.16,0.01,0.05,1.39,0.1,0.92,0,-0.54,0,576.16,0.02,1.25,0.0,577.43,0,-508.38,0,-1.13999999999999
Dec 2016,73.59,0.2,0,0.31,0.01,0.05,1.39,0.1,0.12,0,-0.07,0,73.27,0.0,1.25,0.0,74.52,0,-509.29,0,-0.910000000000025
Jan 2017,414.03,1.14,0,1.55,0.01,0.05,1.39,0.1,0.66,0,-0.39,0,412.23,0.02,1.25,0.0,413.49,0,-510.53,0,-1.23999999999995
Feb 2017,222.38,0.61,0,0.86,0.01,0.05,1.39,0.1,0.35,0,-0.21,0,221.42,0.01,1.25,0.0,222.67,0,-511.55,0,-1.02000000000004
Mar 2017,474.16,1.3,0,1.77,0.01,0.05,1.39,0.1,0.76,0,-0.44,0,472.1,0.02,1.25,0.0,473.37,0,-512.7,0,-1.15000000000003
Apr 2017,160.53,0.44,0,0.63,0.01,0.05,1.39,0.1,0.26,0,-0.15,0,159.83,0.01,1.25,0.0,161.09,0,-513.68,0,-0.9799999999999051
May 2017,136.73,0.38,0,0.54,0.01,0.05,1.39,0.1,0.22,0,-0.13,0,136.14,0.01,1.25,0.09,137.48,0,-514.87,0,-1.1900000000000501
Jun 2017,134.84,0.37,0,0.53,0.02,0.06,1.39,0.1,0.21,0,-0.13,0,134.25,0.01,1.26,0.22,135.74,0,-516.17,0,-1.2999999999999499
Jul 2017,621.51,1.71,0,2.31,0.02,0.06,1.39,0.1,0.99,0,-0.58,0,618.81,0.02,1.26,0.22,620.31,0,-517.6,0,-1.4300000000000601
Aug 2017,631.43,1.74,0,2.34,0.02,0.06,1.4,0.1,1.01,0,-0.59,0,628.69,0.02,1.26,0.2,630.17,0,-518.71,0,-1.11000000000001
Sep 2017,457.47,1.26,0,1.71,0.01,0.06,1.4,0.1,0.73,0,-0.43,0,455.48,0.02,1.26,0.15,456.91,0,-519.79,0,-1.0799999999999301
Oct 2017,519.83,1.43,0,1.94,0.01,0.05,1.4,0.1,0.83,0,-0.49,0,517.57,0.02,1.26,0.0,518.85,0,-520.95,0,-1.16000000000008
Nov 2017,223.78,0.61,0,0.86,0.01,0.05,1.4,0.1,0.36,0,-0.21,0,222.81,0.01,1.26,0.0,224.08,0,-521.91,0,-0.9599999999999229
Dec 2017,63.17,0.17,0,0.28,0.01,0.05,1.4,0.1,0.1,0,-0.06,0,62.9,0.0,1.26,0.0,64.16,0,-523.06,0,-1.14999999999998
Jan 2018,215.79,0.59,0,0.83,0.01,0.05,1.4,0.1,0.34,0,-0.2,0,214.85,0.01,1.26,0.0,216.12,0,-524.32,0,-1.2600000000001002
Feb 2018,122.93,0.34,0,0.49,0.01,0.05,1.4,0.1,0.2,0,-0.12,0,122.39,0.0,1.26,0.0,123.66,0,-525.49,0,-1.16999999999996
Mar 2018,544.06,1.5,0,2.03,0.01,0.05,1.4,0.1,0.87,0,-0.51,0,541.7,0.02,1.26,0.0,542.98,0,-526.71,0,-1.2200000000000302
Apr 2018,125.1,0.34,0,0.5,0.01,0.05,1.4,0.1,0.2,0,-0.12,0,124.55,0.0,1.26,0.0,125.82,0,-527.66,0,-0.949999999999932
May 2018,140.02,0.38,0,0.55,0.01,0.06,1.4,0.1,0.22,0,-0.13,0,139.41,0.01,1.27,0.12,140.8,0,-528.88,0,-1.2200000000000302
Jun 2018,147.9,0.41,0,0.58,0.02,0.06,1.4,0.1,0.24,0,-0.14,0,147.26,0.01,1.27,0.22,148.75,0,-530.22,0,-1.34000000000003
