date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,184.82,0.51,0,0.72,0.01,0.05,1.39,0.1,0.29,0,-0.17,0,184.02,0.01,1.25,0.0,185.28,0,-496.34,0,0.0
Feb 2016,47.93,0.13,0,0.22,0.01,0.05,1.39,0.1,0.08,0,-0.04,0,47.72,0.0,1.25,0.0,48.98,0,-497.51,0,-1.17000000000002
Mar 2016,172.04,0.47,0,0.67,0.01,0.05,1.39,0.1,0.27,0,-0.16,0,171.29,0.01,1.25,0.0,172.55,0,-498.78,0,-1.26999999999998
Apr 2016,27.28,0.07,0,0.14,0.01,0.05,1.4,0.1,0.04,0,-0.03,0,27.16,0.0,1.25,0.0,28.42,0,-499.96,0,-1.18000000000001
May 2016,84.39,0.23,0,0.35,0.02,0.06,1.4,0.1,0.13,0,-0.08,0,84.03,0.0,1.26,0.17,85.46,0,-501.24,0,-1.28000000000003
Jun 2016,17.71,0.05,0,0.1,0.02,0.06,1.4,0.1,0.03,0,-0.02,0,17.63,0.0,1.26,0.23,19.12,0,-502.66,0,-1.42000000000002
Jul 2016,659.64,1.81,0,2.45,0.01,0.06,1.4,0.1,1.05,0,-0.62,0,656.78,0.02,1.26,0.23,658.29,0,-504.18,0,-1.51999999999998
Aug 2016,656.54,1.8,0,2.44,0.01,0.06,1.4,0.1,1.05,0,-0.62,0,653.69,0.02,1.26,0.19,655.17,0,-505.28,0,-1.09999999999997
Sep 2016,656.77,1.8,0,2.44,0.01,0.05,1.4,0.1,1.05,0,-0.62,0,653.92,0.02,1.26,0.15,655.35,0,-506.35,0,-1.07000000000005
Oct 2016,254.16,0.7,0,0.97,0.01,0.05,1.4,0.1,0.41,0,-0.24,0,253.05,0.01,1.26,0.01,254.34,0,-507.37,0,-1.01999999999998
Nov 2016,578.67,1.59,0,2.16,0.01,0.05,1.4,0.1,0.92,0,-0.54,0,576.16,0.02,1.26,0.0,577.45,0,-508.53,0,-1.15999999999997
Dec 2016,73.59,0.2,0,0.31,0.01,0.05,1.4,0.1,0.12,0,-0.07,0,73.27,0.0,1.26,0.0,74.54,0,-509.45,0,-0.9200000000000159
Jan 2017,414.03,1.14,0,1.56,0.01,0.05,1.41,0.1,0.66,0,-0.39,0,412.23,0.02,1.26,0.0,413.51,0,-510.71,0,-1.25999999999999
Feb 2017,222.38,0.61,0,0.86,0.01,0.05,1.41,0.1,0.35,0,-0.21,0,221.42,0.01,1.27,0.0,222.69,0,-511.75,0,-1.04000000000002
Mar 2017,474.16,1.3,0,1.78,0.01,0.05,1.41,0.1,0.76,0,-0.44,0,472.1,0.02,1.27,0.0,473.38,0,-512.92,0,-1.16999999999996
Apr 2017,160.53,0.44,0,0.63,0.01,0.05,1.41,0.1,0.26,0,-0.15,0,159.83,0.01,1.27,0.0,161.11,0,-513.92,0,-1.0
May 2017,136.73,0.38,0,0.54,0.01,0.05,1.41,0.1,0.22,0,-0.13,0,136.14,0.01,1.27,0.09,137.5,0,-515.12,0,-1.2000000000000501
