date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,7.1,0.12,0.38,0.71,0.01,0.03,0.1,0,0.15,0,-0.2,0,6.83,0.01,0.08,0.0,6.92,0,350.84,0,0.0
Feb 2016,111.25,1.87,4.04,7.98,0.01,0.03,0.1,0,2.42,0,-2.16,0,106.97,0.11,0.08,0.0,107.16,0,350.69,0,-0.14999999999997699
Mar 2016,36.42,0.61,1.85,3.43,0.01,0.03,0.1,0,0.79,0,-0.99,0,35.02,0.05,0.08,0.0,35.15,0,350.85,0,0.16000000000002498
Apr 2016,167.58,2.81,13.11,22.59,0.01,0.03,0.1,0,3.64,0,-7.0,0,161.13,0.36,0.08,0.0,161.57,0,350.55,0,-0.300000000000011
May 2016,115.59,1.94,3.74,5.45,4.7,2.56,0.1,0,2.51,0,-2.0,0,111.14,0.1,2.23,2.69,116.17,0,347.09,0,-3.46000000000004
Jun 2016,207.69,3.48,5.38,8.25,7.34,3.99,0.1,0,4.51,0,-2.87,0,199.69,0.15,3.44,4.82,208.1,0,344.81,0,-2.27999999999997
Jul 2016,416.89,6.99,9.47,19.24,4.46,2.44,0.1,0,9.06,0,-5.06,0,400.84,0.26,2.12,4.71,407.93,0,341.52,0,-3.2900000000000205
Aug 2016,456.8,7.66,13.95,27.47,2.69,1.48,0.1,0,9.92,0,-7.45,0,439.22,0.38,1.31,3.84,444.75,0,340.71,0,-0.810000000000002
Sep 2016,337.69,5.66,8.3,17.11,2.38,1.31,0.1,0,7.34,0,-4.44,0,324.7,0.23,1.17,2.97,329.06,0,339.24,0,-1.46999999999997
Oct 2016,31.79,0.53,1.49,2.79,0.01,0.03,0.1,0,0.69,0,-0.79,0,30.56,0.04,0.08,0.0,30.68,0,339.07,0,-0.17000000000001597
Nov 2016,46.8,0.78,2.03,3.86,0.01,0.03,0.1,0,1.02,0,-1.08,0,45.0,0.05,0.08,0.0,45.14,0,338.87,0,-0.19999999999998896
Dec 2016,27.18,0.46,1.2,2.29,0.01,0.03,0.1,0,0.59,0,-0.64,0,26.13,0.03,0.08,0.0,26.25,0,338.7,0,-0.17000000000001597
Jan 2017,91.71,1.54,3.02,6.11,0.01,0.03,0.1,0,1.99,0,-1.61,0,88.18,0.08,0.08,0.0,88.34,0,338.55,0,-0.14999999999997699
Feb 2017,37.93,0.64,1.31,2.63,0.01,0.03,0.1,0,0.82,0,-0.7,0,36.47,0.04,0.08,0.0,36.59,0,338.83,0,0.27999999999997305
Mar 2017,46.04,0.77,2.05,3.88,0.01,0.03,0.1,0,1.0,0,-1.1,0,44.27,0.06,0.08,0.0,44.4,0,338.85,0,0.0200000000000387
Apr 2017,34.18,0.57,8.0,12.65,0.01,0.03,0.1,0,0.74,0,-4.27,0,32.86,0.22,0.08,0.0,33.16,0,338.65,0,-0.200000000000045
May 2017,110.14,1.85,2.84,3.42,5.93,3.23,0.1,0,2.39,0,-1.52,0,105.9,0.08,2.8,3.3,112.08,0,335.02,0,-3.63
Jun 2017,304.84,5.11,9.04,16.22,5.53,3.02,0.1,0,6.62,0,-4.83,0,293.1,0.25,2.61,4.71,300.67,0,332.5,0,-2.51999999999998
Jul 2017,277.24,4.65,5.22,9.54,6.55,3.57,0.1,0,6.02,0,-2.79,0,266.57,0.14,3.08,4.79,274.59,0,329.48,0,-3.0199999999999796
Aug 2017,337.9,5.67,8.74,16.89,4.29,2.34,0.1,0,7.34,0,-4.67,0,324.89,0.24,2.04,3.95,331.12,0,327.81,0,-1.67000000000002
Sep 2017,29.95,0.5,1.41,1.45,2.63,1.45,0.1,0,0.65,0,-0.75,0,28.79,0.04,1.28,3.45,33.56,0,326.43,0,-1.38
Oct 2017,300.92,5.05,8.97,18.58,0.01,0.03,0.1,0,6.54,0,-4.79,0,289.34,0.24,0.08,0.08,289.74,0,322.78,0,-3.6500000000000297
Nov 2017,29.6,0.5,1.31,2.49,0.01,0.03,0.1,0,0.64,0,-0.7,0,28.46,0.04,0.08,0.0,28.58,0,324.35,0,1.57000000000005
Dec 2017,93.49,1.57,3.05,6.18,0.01,0.03,0.1,0,2.03,0,-1.63,0,89.89,0.08,0.08,0.0,90.06,0,324.19,0,-0.16000000000002498
Jan 2018,191.26,3.21,5.25,11.13,0.01,0.03,0.1,0,4.15,0,-2.8,0,183.9,0.14,0.08,0.0,184.12,0,324.49,0,0.300000000000011
Feb 2018,120.26,2.02,4.62,9.01,0.01,0.03,0.1,0,2.61,0,-2.47,0,115.63,0.13,0.08,0.0,115.84,0,325.74,0,1.25
Mar 2018,267.6,4.49,8.97,18.02,0.01,0.03,0.1,0,5.81,0,-4.79,0,257.3,0.24,0.08,0.0,257.63,0,325.78,0,0.0399999999999636
Apr 2018,262.93,4.41,15.14,27.24,0.01,0.03,0.11,0,5.71,0,-8.09,0,252.81,0.41,0.08,0.0,253.3,0,326.7,0,0.9200000000000159
May 2018,561.4,9.41,26.39,49.14,0.17,0.12,0.11,0,12.19,0,-14.1,0,539.79,0.72,0.16,2.58,543.24,0,324.23,0,-2.46999999999997
Jun 2018,203.39,3.41,4.54,6.85,7.46,4.06,0.11,0,4.42,0,-2.42,0,195.56,0.12,3.5,4.85,204.04,0,319.64,0,-4.59000000000003
Jul 2018,233.35,3.91,4.42,7.14,7.54,4.1,0.11,0,5.07,0,-2.36,0,224.37,0.12,3.54,4.95,232.98,0,316.68,0,-2.9599999999999795
Aug 2018,437.6,7.34,12.83,25.29,3.07,1.69,0.11,0,9.51,0,-6.85,0,420.76,0.35,1.49,3.96,426.55,0,314.33,0,-2.35000000000002
Sep 2018,145.44,2.44,3.13,4.25,6.37,3.47,0.11,0,3.16,0,-1.67,0,139.84,0.08,3.0,3.42,146.35,0,312.92,0,-1.40999999999997
Oct 2018,74.78,1.25,1.39,3.01,0.79,0.45,0.11,0,1.62,0,-0.74,0,71.9,0.04,0.44,0.39,72.76,0,310.89,0,-2.03000000000003
Nov 2018,119.96,2.01,3.98,8.03,0.01,0.03,0.11,0,2.61,0,-2.12,0,115.34,0.11,0.08,0.0,115.53,0,311.28,0,0.38999999999998597
Dec 2018,15.5,0.26,0.78,1.46,0.01,0.03,0.11,0,0.34,0,-0.42,0,14.9,0.02,0.08,0.0,15.0,0,311.66,0,0.380000000000052
Jan 2019,128.1,2.15,4.2,8.5,0.01,0.03,0.11,0,2.78,0,-2.24,0,123.17,0.11,0.08,0.0,123.36,0,311.48,0,-0.18000000000000702
Feb 2019,42.46,0.71,1.69,3.28,0.01,0.03,0.11,0,0.92,0,-0.9,0,40.83,0.05,0.08,0.0,40.95,0,311.92,0,0.439999999999998
Mar 2019,153.42,2.57,6.09,11.77,0.01,0.03,0.11,0,3.33,0,-3.25,0,147.52,0.16,0.08,0.0,147.76,0,311.83,0,-0.0900000000000318
Apr 2019,66.36,1.11,8.85,14.48,0.01,0.03,0.11,0,1.44,0,-4.73,0,63.81,0.24,0.08,0.0,64.13,0,311.81,0,-0.0199999999999818
May 2019,196.81,3.3,7.96,14.7,1.34,0.75,0.11,0,4.28,0,-4.25,0,189.23,0.22,0.69,1.21,191.36,0,308.42,0,-3.3899999999999904
Jun 2019,245.83,4.12,5.66,9.64,6.6,3.6,0.11,0,5.34,0,-3.02,0,236.37,0.15,3.11,4.76,244.39,0,307.13,0,-1.29000000000002
Jul 2019,382.15,6.41,7.17,14.94,5.03,2.75,0.11,0,8.3,0,-3.83,0,367.44,0.19,2.39,4.79,374.81,0,304.58,0,-2.55000000000001
Aug 2019,288.46,4.84,7.48,13.75,5.18,2.83,0.11,0,6.27,0,-3.99,0,277.35,0.2,2.46,4.04,284.06,0,304.16,0,-0.41999999999995896
Sep 2019,107.48,1.8,2.72,3.22,5.91,3.22,0.11,0,2.33,0,-1.46,0,103.35,0.07,2.79,3.38,109.59,0,302.28,0,-1.88000000000005
Oct 2019,103.57,1.74,4.08,7.82,0.21,0.14,0.11,0,2.25,0,-2.18,0,99.58,0.11,0.17,0.13,99.99,0,299.68,0,-2.5999999999999703
