date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,7.1,0.12,0.38,0.71,0.01,0.03,0.1,0,0.15,0,-0.2,0,6.83,0.01,0.08,0.0,6.91,0,350.84,0,0.0
Feb 2016,111.25,1.87,4.04,7.98,0.01,0.03,0.1,0,2.42,0,-2.16,0,106.97,0.11,0.08,0.0,107.16,0,350.69,0,-0.14999999999997699
Mar 2016,36.42,0.61,1.85,3.42,0.01,0.03,0.1,0,0.79,0,-0.99,0,35.02,0.05,0.08,0.0,35.15,0,350.85,0,0.16000000000002498
Apr 2016,167.58,2.81,11.51,20.18,0.01,0.03,0.1,0,3.64,0,-6.15,0,161.13,0.31,0.08,0.0,161.52,0,350.56,0,-0.29000000000002
May 2016,115.59,1.94,6.27,10.11,2.82,1.55,0.1,0,2.51,0,-3.35,0,111.14,0.17,1.37,2.69,115.37,0,347.95,0,-2.6100000000000096
Jun 2016,207.69,3.48,6.07,10.64,4.4,2.41,0.1,0,4.51,0,-3.25,0,199.69,0.16,2.1,4.82,206.77,0,344.33,0,-3.62
Jul 2016,416.89,6.99,10.98,22.34,2.68,1.47,0.1,0,9.06,0,-5.87,0,400.84,0.3,1.3,4.71,407.15,0,340.68,0,-3.64999999999998
Aug 2016,456.8,7.66,14.74,29.15,1.62,0.9,0.1,0,9.92,0,-7.87,0,439.22,0.4,0.82,3.84,444.27,0,339.06,0,-1.62
Sep 2016,337.69,5.66,9.16,18.83,1.43,0.8,0.1,0,7.34,0,-4.89,0,324.7,0.25,0.73,2.97,328.64,0,337.17,0,-1.88999999999999
Oct 2016,31.79,0.53,1.49,2.79,0.01,0.03,0.1,0,0.69,0,-0.79,0,30.56,0.04,0.08,0.0,30.68,0,336.54,0,-0.629999999999995
Nov 2016,46.8,0.78,2.03,3.86,0.01,0.03,0.1,0,1.02,0,-1.08,0,45.0,0.05,0.08,0.0,45.14,0,336.34,0,-0.200000000000045
Dec 2016,27.18,0.46,1.2,2.29,0.01,0.03,0.1,0,0.59,0,-0.64,0,26.13,0.03,0.08,0.0,26.24,0,336.18,0,-0.15999999999996803
Jan 2017,91.71,1.54,3.02,6.11,0.01,0.03,0.1,0,1.99,0,-1.61,0,88.18,0.08,0.08,0.0,88.34,0,336.03,0,-0.150000000000034
Feb 2017,37.93,0.64,1.31,2.62,0.01,0.03,0.1,0,0.82,0,-0.7,0,36.47,0.04,0.08,0.0,36.59,0,336.31,0,0.28000000000003
Mar 2017,46.04,0.77,2.03,3.85,0.01,0.03,0.1,0,1.0,0,-1.08,0,44.27,0.06,0.08,0.0,44.4,0,336.34,0,0.0299999999999727
Apr 2017,34.18,0.57,8.02,12.67,0.01,0.03,0.1,0,0.74,0,-4.28,0,32.86,0.22,0.08,0.0,33.16,0,336.16,0,-0.17999999999995
May 2017,110.14,1.85,2.67,4.25,3.56,1.95,0.1,0,2.39,0,-1.42,0,105.9,0.07,1.71,3.3,110.99,0,332.52,0,-3.64000000000004
Jun 2017,304.84,5.11,10.47,19.39,3.32,1.82,0.1,0,6.62,0,-5.59,0,293.1,0.28,1.6,4.71,299.7,0,330.09,0,-2.43000000000001
Jul 2017,277.24,4.65,5.39,10.98,3.93,2.15,0.1,0,6.02,0,-2.88,0,266.57,0.15,1.88,4.79,273.39,0,326.31,0,-3.77999999999997
Aug 2017,337.9,5.67,10.03,19.62,2.57,1.42,0.1,0,7.34,0,-5.36,0,324.89,0.27,1.26,3.95,330.37,0,324.56,0,-1.75
Sep 2017,29.95,0.5,1.18,1.26,2.28,1.26,0.1,0,0.65,0,-0.63,0,28.79,0.03,1.12,3.45,33.39,0,322.5,0,-2.06
Oct 2017,300.92,5.05,8.96,18.57,0.01,0.03,0.1,0,6.54,0,-4.79,0,289.34,0.24,0.08,0.08,289.74,0,318.97,0,-3.52999999999997
Nov 2017,29.6,0.5,1.3,2.48,0.01,0.03,0.1,0,0.64,0,-0.7,0,28.46,0.04,0.08,0.0,28.58,0,320.54,0,1.5699999999999898
Dec 2017,93.49,1.57,3.05,6.18,0.01,0.03,0.1,0,2.03,0,-1.63,0,89.89,0.08,0.08,0.0,90.05,0,320.39,0,-0.150000000000034
Jan 2018,191.26,3.21,5.24,11.13,0.01,0.03,0.1,0,4.15,0,-2.8,0,183.9,0.14,0.08,0.0,184.12,0,320.7,0,0.310000000000002
Feb 2018,120.26,2.02,4.62,9.0,0.01,0.03,0.1,0,2.61,0,-2.47,0,115.63,0.13,0.08,0.0,115.83,0,321.95,0,1.25
Mar 2018,267.6,4.49,8.97,18.02,0.01,0.03,0.1,0,5.81,0,-4.79,0,257.3,0.24,0.08,0.0,257.63,0,322.0,0,0.0500000000000114
Apr 2018,262.93,4.41,13.68,25.05,0.01,0.03,0.1,0,5.71,0,-7.31,0,252.81,0.37,0.08,0.0,253.26,0,322.92,0,0.9200000000000159
May 2018,561.4,9.41,27.8,51.29,0.11,0.08,0.1,0,12.19,0,-14.85,0,539.79,0.75,0.12,2.58,543.25,0,321.22,0,-1.69999999999999
Jun 2018,203.39,3.41,4.32,7.88,4.48,2.45,0.1,0,4.42,0,-2.31,0,195.56,0.12,2.13,4.85,202.67,0,315.89,0,-5.33000000000004
Jul 2018,233.35,3.91,4.19,8.17,4.53,2.47,0.1,0,5.07,0,-2.24,0,224.37,0.11,2.15,4.95,231.59,0,313.04,0,-2.8499999999999703
Aug 2018,437.6,7.34,13.76,27.26,1.85,1.02,0.1,0,9.51,0,-7.35,0,420.76,0.37,0.92,3.96,426.01,0,310.83,0,-2.21000000000004
Sep 2018,145.44,2.44,2.94,5.14,3.82,2.09,0.1,0,3.16,0,-1.57,0,139.84,0.08,1.83,3.42,145.17,0,308.93,0,-1.89999999999998
Oct 2018,74.78,1.25,1.68,3.59,0.48,0.28,0.1,0,1.62,0,-0.9,0,71.9,0.05,0.29,0.39,72.62,0,307.0,0,-1.9300000000000102
Nov 2018,119.96,2.01,3.97,8.02,0.01,0.03,0.1,0,2.61,0,-2.12,0,115.34,0.11,0.08,0.0,115.53,0,307.24,0,0.24000000000000898
Dec 2018,15.5,0.26,0.78,1.45,0.01,0.03,0.1,0,0.34,0,-0.42,0,14.9,0.02,0.08,0.0,15.0,0,307.62,0,0.379999999999995
Jan 2019,128.1,2.15,4.2,8.49,0.01,0.03,0.1,0,2.78,0,-2.24,0,123.17,0.11,0.08,0.0,123.36,0,307.45,0,-0.17000000000001597
Feb 2019,42.46,0.71,1.69,3.28,0.01,0.03,0.1,0,0.92,0,-0.9,0,40.83,0.05,0.08,0.0,40.95,0,307.89,0,0.439999999999998
Mar 2019,153.42,2.57,6.08,11.76,0.01,0.03,0.1,0,3.33,0,-3.25,0,147.52,0.16,0.08,0.0,147.76,0,307.81,0,-0.0799999999999841
Apr 2019,66.36,1.11,6.43,10.83,0.01,0.03,0.1,0,1.44,0,-3.44,0,63.81,0.17,0.08,0.0,64.06,0,307.79,0,-0.0199999999999818
May 2019,196.81,3.3,10.71,19.09,0.81,0.46,0.1,0,4.28,0,-5.72,0,189.23,0.29,0.45,1.21,191.18,0,305.7,0,-2.09000000000003
Jun 2019,245.83,4.12,6.69,12.41,3.96,2.17,0.1,0,5.34,0,-3.57,0,236.37,0.18,1.89,4.76,243.21,0,302.94,0,-2.7599999999999905
Jul 2019,382.15,6.41,8.95,18.54,3.02,1.66,0.1,0,8.3,0,-4.78,0,367.44,0.24,1.46,4.79,373.93,0,299.85,0,-3.08999999999997
Aug 2019,288.46,4.84,8.95,16.92,3.11,1.71,0.1,0,6.27,0,-4.78,0,277.35,0.24,1.5,4.04,283.14,0,298.48,0,-1.37
Sep 2019,107.48,1.8,2.53,3.71,4.2,2.3,0.1,0,2.33,0,-1.35,0,103.35,0.07,2.0,3.38,108.79,0,295.82,0,-2.66000000000003
Oct 2019,103.57,1.74,4.12,7.91,0.13,0.09,0.1,0,2.25,0,-2.2,0,99.58,0.11,0.13,0.13,99.95,0,293.33,0,-2.49000000000001
Nov 2019,104.99,1.76,3.76,7.44,0.01,0.03,0.1,0,2.28,0,-2.01,0,100.95,0.1,0.08,0.0,101.13,0,293.15,0,-0.18000000000000702
Dec 2019,88.53,1.48,2.48,5.24,0.01,0.03,0.1,0,1.92,0,-1.32,0,85.12,0.07,0.08,0.0,85.27,0,293.32,0,0.17000000000001597
Jan 2020,140.1,2.35,4.41,9.01,0.01,0.03,0.1,0,3.04,0,-2.35,0,134.71,0.12,0.08,0.0,134.91,0,293.82,0,0.5
Feb 2020,126.33,2.12,4.37,8.73,0.01,0.03,0.1,0,2.74,0,-2.34,0,121.47,0.12,0.08,0.0,121.67,0,294.41,0,0.5900000000000319
Mar 2020,40.26,0.68,2.07,3.82,0.01,0.03,0.1,0,0.87,0,-1.11,0,38.71,0.06,0.08,0.0,38.85,0,294.72,0,0.310000000000002
Apr 2020,200.09,3.36,11.63,20.9,0.01,0.03,0.1,0,4.35,0,-6.21,0,192.39,0.32,0.08,0.0,192.79,0,294.39,0,-0.33000000000004104
May 2020,238.12,3.99,13.79,24.26,1.17,0.66,0.1,0,5.17,0,-7.37,0,228.96,0.37,0.61,1.91,231.86,0,292.42,0,-1.96999999999997
Jun 2020,88.74,1.49,2.52,2.88,5.29,2.88,0.1,0,1.93,0,-1.35,0,85.32,0.07,2.5,4.86,92.75,0,288.21,0,-4.21000000000004
Jul 2020,341.68,5.73,7.45,15.41,3.41,1.87,0.1,0,7.42,0,-3.98,0,328.53,0.2,1.64,4.86,335.23,0,283.84,0,-4.37
Aug 2020,331.97,5.57,7.16,15.11,2.76,1.52,0.1,0,7.21,0,-3.83,0,319.19,0.19,1.34,4.08,324.81,0,282.33,0,-1.5099999999999898
Sep 2020,199.14,3.34,3.44,7.28,2.74,1.51,0.1,0,4.33,0,-1.84,0,191.48,0.09,1.33,2.98,195.88,0,281.53,0,-0.800000000000011
Oct 2020,99.55,1.67,3.25,6.59,0.01,0.03,0.1,0,2.16,0,-1.74,0,95.72,0.09,0.08,0.0,95.88,0,280.94,0,-0.589999999999975
Nov 2020,108.25,1.82,3.23,6.71,0.01,0.03,0.1,0,2.35,0,-1.73,0,104.09,0.09,0.08,0.0,104.25,0,281.26,0,0.319999999999993
Dec 2020,100.01,1.68,3.28,6.65,0.01,0.03,0.1,0,2.17,0,-1.75,0,96.16,0.09,0.08,0.0,96.33,0,281.78,0,0.519999999999982
Jan 2021,107.69,1.81,3.74,7.46,0.01,0.03,0.1,0,2.34,0,-2.0,0,103.55,0.1,0.08,0.0,103.73,0,282.1,0,0.32000000000004997
Feb 2021,53.39,0.9,2.1,4.08,0.01,0.03,0.1,0,1.16,0,-1.12,0,51.34,0.06,0.08,0.0,51.47,0,282.34,0,0.23999999999995197
Mar 2021,47.88,0.8,2.08,3.96,0.01,0.03,0.1,0,1.04,0,-1.11,0,46.03,0.06,0.08,0.0,46.17,0,282.28,0,-0.0600000000000023
Apr 2021,76.01,1.27,9.61,15.78,0.01,0.03,0.1,0,1.65,0,-5.13,0,73.09,0.26,0.08,0.0,73.43,0,282.11,0,-0.16999999999995902
May 2021,87.43,1.47,2.81,4.58,2.5,1.37,0.1,0,1.9,0,-1.5,0,84.07,0.08,1.22,2.21,87.58,0,278.52,0,-3.5900000000000296
Jun 2021,284.97,4.78,7.8,15.05,3.3,1.81,0.1,0,6.19,0,-4.17,0,274.0,0.21,1.59,4.48,280.29,0,276.6,0,-1.91999999999996
Jul 2021,279.87,4.69,6.68,12.95,4.0,2.19,0.1,0,6.08,0,-3.57,0,269.1,0.18,1.91,4.89,276.08,0,274.04,0,-2.56
Aug 2021,151.41,2.54,3.2,5.2,4.77,2.61,0.1,0,3.29,0,-1.71,0,145.58,0.09,2.27,4.26,152.2,0,271.57,0,-2.47000000000003
Sep 2021,26.55,0.45,1.04,1.11,2.01,1.11,0.1,0,0.58,0,-0.55,0,25.53,0.03,1.0,3.47,30.03,0,268.78,0,-2.7900000000000205
Oct 2021,59.27,0.99,2.0,3.9,0.27,0.17,0.1,0,1.29,0,-1.07,0,56.99,0.05,0.2,0.21,57.46,0,265.23,0,-3.54999999999995
Nov 2021,66.61,1.12,2.57,5.02,0.01,0.03,0.1,0,1.45,0,-1.38,0,64.04,0.07,0.08,0.0,64.19,0,265.14,0,-0.0900000000000318
Dec 2021,62.44,1.05,1.95,4.01,0.01,0.03,0.1,0,1.36,0,-1.04,0,60.04,0.05,0.08,0.0,60.17,0,265.11,0,-0.0299999999999727
Jan 2022,140.6,2.36,4.5,9.17,0.01,0.03,0.1,0,3.05,0,-2.41,0,135.18,0.12,0.08,0.0,135.39,0,265.33,0,0.21999999999997003
Feb 2022,99.96,1.68,3.64,7.18,0.01,0.03,0.1,0,2.17,0,-1.94,0,96.12,0.1,0.08,0.0,96.29,0,265.87,0,0.54000000000002
Mar 2022,26.72,0.45,1.3,2.43,0.01,0.03,0.1,0,0.58,0,-0.69,0,25.69,0.04,0.08,0.0,25.81,0,266.0,0,0.12999999999999498
Apr 2022,111.7,1.87,8.66,14.95,0.01,0.03,0.1,0,2.43,0,-4.63,0,107.4,0.23,0.08,0.0,107.71,0,265.78,0,-0.22000000000002698
May 2022,376.18,6.31,18.14,33.31,0.8,0.46,0.1,0,8.17,0,-9.69,0,361.71,0.49,0.44,2.53,365.17,0,263.48,0,-2.29999999999995
Jun 2022,77.83,1.3,2.26,2.57,4.71,2.57,0.1,0,1.69,0,-1.21,0,74.83,0.06,2.24,4.94,82.07,0,259.32,0,-4.1600000000000295
Jul 2022,263.87,4.42,5.43,10.67,4.29,2.34,0.1,0,5.73,0,-2.9,0,253.71,0.15,2.05,5.02,260.92,0,254.77,0,-4.54999999999998
Aug 2022,240.92,4.04,4.16,8.57,3.83,2.1,0.1,0,5.23,0,-2.22,0,231.65,0.11,1.84,4.28,237.88,0,252.47,0,-2.30000000000001
Sep 2022,185.86,3.12,4.22,8.03,3.21,1.76,0.1,0,4.04,0,-2.26,0,178.7,0.11,1.55,3.26,183.63,0,251.1,0,-1.37
Oct 2022,182.1,3.05,4.52,9.88,0.01,0.03,0.1,0,3.96,0,-2.41,0,175.1,0.12,0.08,0.0,175.3,0,249.52,0,-1.57999999999998
Nov 2022,18.26,0.31,0.91,1.71,0.01,0.03,0.1,0,0.4,0,-0.49,0,17.56,0.02,0.08,0.0,17.67,0,250.96,0,1.44
Dec 2022,82.59,1.38,3.12,6.11,0.01,0.03,0.1,0,1.79,0,-1.67,0,79.41,0.08,0.08,0.0,79.58,0,250.77,0,-0.18999999999999803
Jan 2023,67.24,1.13,2.3,4.62,0.01,0.03,0.1,0,1.46,0,-1.23,0,64.65,0.06,0.08,0.0,64.79,0,250.79,0,0.0199999999999818
Feb 2023,46.06,0.77,1.67,3.32,0.01,0.03,0.1,0,1.0,0,-0.89,0,44.28,0.05,0.08,0.0,44.41,0,250.92,0,0.12999999999999498
Mar 2023,54.93,0.92,2.3,4.4,0.01,0.03,0.1,0,1.19,0,-1.23,0,52.82,0.06,0.08,0.0,52.96,0,250.93,0,0.0100000000000193
Apr 2023,7.81,0.13,6.65,9.79,0.84,0.48,0.1,0,0.17,0,-3.55,0,7.51,0.18,0.46,0.64,8.79,0,250.79,0,-0.140000000000015
May 2023,332.41,5.57,11.89,22.53,2.16,1.19,0.11,0,7.22,0,-6.35,0,319.62,0.32,1.07,4.01,325.02,0,246.67,0,-4.12
Jun 2023,179.98,3.02,4.39,7.45,4.83,2.64,0.11,0,3.91,0,-2.35,0,173.05,0.12,2.29,4.95,180.42,0,243.42,0,-3.25
Jul 2023,315.68,5.29,6.61,13.51,3.84,2.1,0.11,0,6.86,0,-3.53,0,303.53,0.18,1.84,5.09,310.64,0,239.93,0,-3.48999999999998
Aug 2023,94.46,1.58,2.15,2.63,4.82,2.63,0.11,0,2.05,0,-1.15,0,90.83,0.06,2.29,4.33,97.5,0,238.07,0,-1.86000000000001
Sep 2023,13.44,0.23,0.77,0.77,1.38,0.77,0.11,0,0.29,0,-0.41,0,12.93,0.02,0.71,3.56,17.22,0,234.54,0,-3.53
Oct 2023,153.24,2.57,4.99,10.11,0.01,0.03,0.11,0,3.33,0,-2.67,0,147.34,0.14,0.08,0.0,147.56,0,230.76,0,-3.78
Nov 2023,84.23,1.41,2.71,5.51,0.01,0.03,0.11,0,1.83,0,-1.45,0,80.98,0.07,0.08,0.0,81.14,0,231.32,0,0.560000000000002
Dec 2023,99.25,1.66,3.14,6.42,0.01,0.03,0.11,0,2.16,0,-1.68,0,95.43,0.09,0.08,0.0,95.6,0,231.6,0,0.280000000000001
Jan 2024,75.13,1.26,2.24,4.65,0.01,0.03,0.11,0,1.63,0,-1.19,0,72.24,0.06,0.08,0.0,72.38,0,231.98,0,0.379999999999995
Feb 2024,74.96,1.26,2.75,5.42,0.01,0.03,0.11,0,1.63,0,-1.47,0,72.07,0.07,0.08,0.0,72.23,0,232.31,0,0.330000000000013
Mar 2024,43.65,0.73,1.88,3.59,0.01,0.03,0.11,0,0.95,0,-1.0,0,41.97,0.05,0.08,0.0,42.1,0,232.37,0,0.0600000000000023
Apr 2024,52.24,0.88,6.29,10.37,0.01,0.03,0.11,0,1.13,0,-3.36,0,50.23,0.17,0.08,0.0,50.48,0,232.21,0,-0.15999999999999698
May 2024,146.09,2.45,8.72,13.85,3.86,2.11,0.11,0,3.17,0,-4.66,0,140.46,0.24,1.85,3.89,146.44,0,229.89,0,-2.32000000000002
Jun 2024,142.95,2.4,4.19,6.35,5.2,2.84,0.11,0,3.11,0,-2.24,0,137.45,0.11,2.46,4.91,144.93,0,224.41,0,-5.479999999999991
Jul 2024,227.34,3.81,4.82,8.96,4.68,2.56,0.11,0,4.94,0,-2.58,0,218.59,0.13,2.23,5.04,225.99,0,220.26,0,-4.150000000000009
Aug 2024,251.27,4.21,4.02,8.62,3.63,1.99,0.11,0,5.46,0,-2.15,0,241.6,0.11,1.74,4.19,247.64,0,217.48,0,-2.78
Sep 2024,101.63,1.7,1.92,2.7,4.18,2.29,0.11,0,2.21,0,-1.03,0,97.72,0.05,2.0,3.3,103.07,0,216.5,0,-0.97999999999999
Oct 2024,60.11,1.01,1.77,3.6,0.2,0.14,0.11,0,1.31,0,-0.94,0,57.8,0.05,0.17,0.16,58.17,0,214.28,0,-2.22
