date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,9.24,0.03,0,0.15,0.04,0.15,0.48,0.02,0.03,0,-0.01,0,9.19,0.0,0.35,0.0,9.54,0,-586.63,0,0.0
Feb 2016,282.68,0.83,0,1.13,0.36,0.3,0.49,0.02,0.87,0,-0.37,0,280.97,0.01,0.52,0.0,281.5,0,-587.08,0,-0.450000000000045
Mar 2016,13.89,0.04,0,0.16,0.06,0.16,0.52,0.03,0.04,0,-0.02,0,13.81,0.0,0.39,0.1,14.29,0,-587.04,0,0.0400000000000773
Apr 2016,55.9,0.16,0,0.2,0.24,0.2,0.88,0.19,0.17,0,-0.07,0,55.56,0.0,0.72,1.31,57.59,0,-587.6,0,-0.5600000000000589
May 2016,54.34,0.16,0,0.2,0.23,0.2,0.97,0.23,0.17,0,-0.07,0,54.01,0.0,0.78,1.63,56.42,0,-589.49,0,-1.88999999999999
Jun 2016,338.84,1.0,0,1.15,0.58,0.3,0.97,0.31,1.05,0,-0.45,0,336.8,0.01,0.94,1.88,339.64,0,-591.77,0,-2.27999999999997
Jul 2016,1158.73,3.41,0,4.71,0.48,0.3,0.76,0.18,3.58,0,-1.53,0,1151.75,0.04,0.76,1.67,1154.22,0,-593.72,0,-1.9500000000000501
Aug 2016,991.57,2.92,0,4.0,0.49,0.3,0.76,0.18,3.06,0,-1.31,0,985.59,0.04,0.76,1.52,987.92,0,-593.92,0,-0.199999999999932
Sep 2016,1700.42,5.0,0,7.09,0.4,0.3,0.56,0.07,5.25,0,-2.24,0,1690.17,0.06,0.59,1.23,1692.05,0,-594.26,0,-0.34000000000003194
Oct 2016,28.65,0.08,0,0.17,0.12,0.17,0.85,0.16,0.09,0,-0.04,0,28.48,0.0,0.64,0.94,30.06,0,-592.98,0,1.2799999999999698
Nov 2016,57.2,0.17,0,0.24,0.24,0.24,0.51,0.04,0.18,0,-0.08,0,56.86,0.0,0.48,0.07,57.41,0,-594.55,0,-1.5699999999999399
Dec 2016,10.72,0.03,0,0.15,0.05,0.15,0.49,0.02,0.03,0,-0.01,0,10.66,0.0,0.36,0.0,11.02,0,-595.0,0,-0.450000000000045
Jan 2017,197.97,0.58,0,0.78,0.36,0.3,0.49,0.02,0.61,0,-0.26,0,196.78,0.01,0.52,0.0,197.31,0,-595.44,0,-0.44000000000005496
Feb 2017,129.43,0.38,0,0.49,0.36,0.3,0.49,0.02,0.4,0,-0.17,0,128.65,0.0,0.52,0.0,129.18,0,-595.56,0,-0.119999999999891
Mar 2017,40.04,0.12,0,0.21,0.17,0.21,0.53,0.04,0.12,0,-0.05,0,39.8,0.0,0.45,0.15,40.4,0,-595.79,0,-0.230000000000018
Apr 2017,9.94,0.03,0,0.14,0.04,0.14,0.89,0.16,0.03,0,-0.01,0,9.88,0.0,0.63,1.28,11.8,0,-596.36,0,-0.57000000000005
May 2017,199.89,0.59,0,0.58,0.56,0.3,0.93,0.28,0.62,0,-0.26,0,198.68,0.01,0.91,1.62,201.22,0,-598.36,0,-2.0
Jun 2017,450.17,1.32,0,1.64,0.57,0.3,0.94,0.29,1.39,0,-0.59,0,447.46,0.02,0.91,1.85,450.24,0,-600.27,0,-1.90999999999997
Jul 2017,822.95,2.42,0,3.25,0.53,0.3,0.85,0.24,2.54,0,-1.08,0,817.99,0.03,0.84,1.75,820.61,0,-601.98,0,-1.71000000000004
Aug 2017,691.49,2.03,0,2.7,0.52,0.3,0.83,0.22,2.13,0,-0.91,0,687.32,0.02,0.82,1.52,689.68,0,-602.89,0,-0.909999999999968
Sep 2017,73.64,0.22,0,0.22,0.31,0.22,0.94,0.23,0.23,0,-0.1,0,73.2,0.0,0.79,1.31,75.31,0,-603.79,0,-0.899999999999977
Oct 2017,1285.47,3.78,0,5.35,0.38,0.3,0.53,0.05,3.97,0,-1.69,0,1277.72,0.05,0.56,0.86,1279.19,0,-605.68,0,-1.88999999999999
Nov 2017,75.95,0.22,0,0.28,0.32,0.28,0.49,0.02,0.23,0,-0.1,0,75.5,0.0,0.5,0.0,76.0,0,-604.75,0,0.92999999999995
Dec 2017,614.35,1.81,0,2.53,0.36,0.3,0.49,0.02,1.9,0,-0.81,0,610.65,0.02,0.53,0.0,611.19,0,-605.08,0,-0.33000000000004104
Jan 2018,714.93,2.1,0,2.96,0.36,0.3,0.49,0.02,2.21,0,-0.94,0,710.62,0.03,0.53,0.0,711.17,0,-604.46,0,0.620000000000005
Feb 2018,243.34,0.72,0,0.97,0.36,0.3,0.49,0.02,0.75,0,-0.32,0,241.87,0.01,0.53,0.0,242.4,0,-603.66,0,0.800000000000068
Mar 2018,464.39,1.37,0,1.9,0.36,0.3,0.49,0.02,1.43,0,-0.61,0,461.59,0.02,0.53,0.0,462.13,0,-603.69,0,-0.0300000000000864
Apr 2018,242.86,0.71,0,0.88,0.45,0.3,0.67,0.13,0.75,0,-0.32,0,241.39,0.01,0.69,0.72,242.81,0,-603.34,0,0.350000000000023
May 2018,553.11,1.63,0,2.11,0.52,0.3,0.84,0.23,1.71,0,-0.73,0,549.78,0.02,0.83,1.63,552.26,0,-604.17,0,-0.829999999999927
Jun 2018,856.75,2.52,0,3.4,0.52,0.3,0.83,0.22,2.65,0,-1.13,0,851.59,0.03,0.82,1.82,854.26,0,-605.43,0,-1.25999999999999
Jul 2018,528.04,1.55,0,1.97,0.57,0.3,0.94,0.29,1.63,0,-0.7,0,524.85,0.02,0.92,1.8,527.59,0,-606.34,0,-0.9100000000000821
Aug 2018,559.12,1.64,0,2.12,0.54,0.3,0.88,0.25,1.73,0,-0.74,0,555.75,0.02,0.87,1.59,558.23,0,-607.85,0,-1.5099999999999898
Sep 2018,868.23,2.55,0,3.5,0.47,0.3,0.73,0.16,2.68,0,-1.14,0,863.0,0.03,0.74,1.3,865.07,0,-609.08,0,-1.23000000000002
Oct 2018,840.69,2.47,0,3.42,0.43,0.3,0.64,0.11,2.6,0,-1.11,0,835.62,0.03,0.66,0.93,837.24,0,-609.42,0,-0.33999999999991803
Nov 2018,316.9,0.93,0,1.28,0.36,0.3,0.49,0.02,0.98,0,-0.42,0,314.99,0.01,0.53,0.0,315.54,0,-609.39,0,0.0299999999999727
Dec 2018,27.17,0.08,0,0.19,0.11,0.19,0.49,0.02,0.08,0,-0.04,0,27.01,0.0,0.4,0.0,27.4,0,-609.3,0,0.0900000000000318
Jan 2019,282.32,0.83,0,1.13,0.36,0.3,0.49,0.02,0.87,0,-0.37,0,280.62,0.01,0.53,0.0,281.16,0,-609.72,0,-0.42000000000007304
Feb 2019,224.44,0.66,0,0.89,0.36,0.3,0.49,0.02,0.69,0,-0.3,0,223.09,0.01,0.53,0.0,223.62,0,-609.69,0,0.0299999999999727
Mar 2019,141.22,0.42,0,0.53,0.37,0.3,0.5,0.03,0.44,0,-0.19,0,140.37,0.01,0.53,0.02,140.93,0,-609.75,0,-0.0599999999999454
Apr 2019,30.91,0.09,0,0.17,0.13,0.17,0.88,0.17,0.1,0,-0.04,0,30.72,0.0,0.67,1.26,32.65,0,-610.0,0,-0.25
May 2019,237.1,0.7,0,0.76,0.54,0.3,0.89,0.26,0.73,0,-0.31,0,235.67,0.01,0.87,1.45,238.0,0,-611.91,0,-1.90999999999997
Jun 2019,1563.8,4.6,0,6.45,0.45,0.3,0.69,0.14,4.83,0,-2.06,0,1554.38,0.06,0.7,1.76,1556.89,0,-613.57,0,-1.66000000000008
Jul 2019,1561.07,4.59,0,6.44,0.46,0.3,0.7,0.15,4.82,0,-2.06,0,1551.65,0.06,0.71,1.68,1554.1,0,-613.11,0,0.460000000000036
Aug 2019,598.47,1.76,0,2.3,0.53,0.3,0.86,0.24,1.85,0,-0.79,0,594.86,0.02,0.85,1.51,597.24,0,-612.58,0,0.5299999999999729
Sep 2019,297.52,0.88,0,1.02,0.54,0.3,0.88,0.25,0.92,0,-0.39,0,295.73,0.01,0.87,1.32,297.93,0,-613.65,0,-1.0699999999999399
Oct 2019,189.72,0.56,0,0.6,0.51,0.3,0.81,0.21,0.59,0,-0.25,0,188.57,0.01,0.8,0.93,190.31,0,-615.07,0,-1.42000000000007
Nov 2019,162.0,0.48,0,0.62,0.37,0.3,0.49,0.02,0.5,0,-0.21,0,161.03,0.01,0.53,0.01,161.57,0,-616.27,0,-1.19999999999993
