date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,6.86,0.12,0.22,0.19,0.18,0.06,0.19,0.89,0.05,0,0.02,0,6.7,0.0,2.4,0.0,9.1,194.18,100.74,0.0,0.0
Feb 2016,7.06,0.12,0.11,0.23,0.05,0.06,0.19,0.89,0.05,0,0.01,0,6.89,0.0,2.32,0.0,9.22,191.2,101.52,-2.9800000000000204,0.780000000000001
Mar 2016,85.51,1.48,1.42,1.89,0.92,0.06,0.19,0.89,0.6,0,0.13,0,83.44,0.02,2.83,0.0,86.28,188.16,102.28,-3.0399999999999903,0.7600000000000051
Apr 2016,4.23,0.07,13.11,8.07,11.79,8.07,6.12,0.89,0.03,0,1.24,0,4.12,0.15,11.25,1.09,16.61,185.48,103.72,-2.68000000000001,1.44
May 2016,81.98,1.42,19.3,8.99,18.67,8.99,6.7,0.89,0.57,0,1.83,0,79.99,0.22,12.23,1.31,93.74,183.18,98.67,-2.29999999999998,-5.05
Jun 2016,35.75,0.62,25.8,12.8,23.68,12.8,8.94,0.89,0.25,0,2.44,0,34.89,0.3,15.7,1.69,52.57,186.44,93.96,3.2599999999999905,-4.71000000000001
Jul 2016,427.7,7.39,17.69,14.24,20.43,11.47,5.42,0.89,2.99,0,1.67,0,417.32,0.2,13.47,1.55,432.55,189.67,86.92,3.2299999999999907,-7.03999999999999
Aug 2016,338.79,5.85,13.78,9.6,18.17,9.6,5.23,0.89,2.37,0,1.3,0,330.57,0.16,11.67,1.32,343.72,189.68,85.51,0.0100000000000193,-1.41
Sep 2016,107.48,1.86,18.82,12.23,18.68,12.23,6.31,0.89,0.75,0,1.78,0,104.87,0.22,13.72,1.14,119.95,190.92,83.52,1.23999999999998,-1.9900000000000102
Oct 2016,84.32,1.46,12.44,8.67,12.58,8.67,4.43,0.89,0.59,0,1.18,0,82.27,0.14,10.1,0.7,93.22,189.06,79.5,-1.8599999999999899,-4.02
Nov 2016,209.38,3.62,2.92,4.42,1.87,0.06,0.18,0.89,1.47,0,0.28,0,204.3,0.03,2.13,0.0,206.46,186.4,77.03,-2.66,-2.47
