date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,6.86,0.12,0.22,0.2,0.18,0.07,0.21,0.89,0.05,0,0.02,0,6.7,0.0,2.41,0.0,9.11,194.18,99.32,0.0,0.0
Feb 2016,7.06,0.12,0.12,0.25,0.05,0.07,0.21,0.89,0.05,0,0.01,0,6.89,0.0,2.34,0.0,9.24,191.2,100.07,-2.9800000000000204,0.75
Mar 2016,85.51,1.48,1.42,1.9,0.92,0.07,0.21,0.89,0.6,0,0.13,0,83.44,0.02,2.85,0.0,86.3,188.16,100.8,-3.0399999999999903,0.730000000000004
Apr 2016,4.23,0.07,17.52,10.6,15.73,10.6,7.63,0.89,0.03,0,1.66,0,4.12,0.2,13.52,1.09,18.93,185.48,102.21,-2.68000000000001,1.41
May 2016,81.98,1.42,24.09,11.06,22.95,11.06,8.35,0.89,0.57,0,2.28,0,79.99,0.28,14.28,1.31,95.85,183.83,96.07,-1.64999999999998,-6.14
Jun 2016,35.75,0.62,32.32,15.95,29.51,15.95,11.15,0.89,0.25,0,3.06,0,34.89,0.37,18.71,1.69,55.66,188.91,90.15,5.0799999999999805,-5.91999999999999
Jul 2016,427.7,7.39,22.06,16.28,25.16,14.33,6.75,0.89,2.99,0,2.09,0,417.32,0.25,15.94,1.55,435.06,194.02,81.51,5.110000000000009,-8.64
Aug 2016,338.79,5.85,18.07,11.59,22.01,11.59,6.52,0.89,2.37,0,1.71,0,330.57,0.21,13.56,1.32,345.66,194.78,79.18,0.7599999999999909,-2.33
Sep 2016,107.48,1.86,23.54,15.06,22.9,15.06,7.87,0.89,0.75,0,2.23,0,104.87,0.27,16.28,1.14,122.56,197.27,76.31,2.49000000000001,-2.87
Oct 2016,84.32,1.46,15.64,10.7,15.44,10.7,5.51,0.89,0.59,0,1.48,0,82.27,0.18,11.93,0.7,95.09,195.8,71.17,-1.47,-5.14
