date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,76.14,1.31,1.14,1.31,1.08,0.06,0.19,0.89,0.53,0,0.11,0,74.29,0.01,2.59,0.0,76.89,194.18,101.07,0.0,0.0
Feb 2016,158.79,2.74,2.44,4.0,0.98,0.06,0.19,0.89,1.11,0,0.23,0,154.94,0.03,2.35,0.0,157.31,191.9,102.41,-2.28,1.34
Mar 2016,94.38,1.63,1.32,1.87,1.23,0.29,0.29,0.89,0.66,0,0.12,0,92.09,0.02,3.34,0.03,95.48,189.77,104.46,-2.13,2.05
Apr 2016,14.67,0.25,13.64,8.23,12.45,8.23,5.6,0.89,0.1,0,1.29,0,14.31,0.16,10.64,0.96,26.07,186.77,105.81,-3.0,1.35000000000001
May 2016,624.63,10.79,10.99,12.64,12.25,4.28,2.12,0.89,4.37,0,1.04,0,609.47,0.13,6.9,1.2,617.69,185.06,101.54,-1.7100000000000102,-4.27
Jun 2016,81.06,1.4,23.17,11.82,22.11,11.82,7.78,0.89,0.57,0,2.19,0,79.09,0.27,14.14,1.49,94.98,187.35,104.52,2.2899999999999903,2.9799999999999907
Jul 2016,397.16,6.86,14.82,11.69,20.11,11.69,5.54,0.89,2.78,0,1.4,0,387.52,0.17,13.61,1.52,402.82,190.4,98.9,3.0500000000000096,-5.61999999999999
Aug 2016,311.1,5.37,16.08,10.2,19.75,10.2,5.2,0.89,2.18,0,1.52,0,303.55,0.19,11.88,1.26,316.88,189.86,96.92,-0.539999999999992,-1.98
Sep 2016,267.61,4.62,14.77,11.82,15.73,9.74,4.62,0.89,1.87,0,1.4,0,261.12,0.17,11.21,1.07,273.56,191.84,95.04,1.9799999999999898,-1.88
Oct 2016,446.44,7.71,6.41,11.18,3.38,1.13,0.67,0.89,3.12,0,0.61,0,435.6,0.07,3.42,0.49,439.59,190.36,93.51,-1.4799999999999898,-1.53
Nov 2016,97.87,1.69,1.01,1.91,0.74,0.06,0.18,0.89,0.68,0,0.1,0,95.5,0.01,2.13,0.0,97.64,188.98,96.96,-1.3800000000000199,3.4499999999999904
Dec 2016,74.11,1.28,0.91,1.62,0.54,0.06,0.18,0.89,0.52,0,0.09,0,72.31,0.01,1.48,0.0,73.8,186.83,98.44,-2.14999999999998,1.48
Jan 2017,51.39,0.89,0.86,0.93,0.79,0.06,0.18,0.89,0.36,0,0.08,0,50.15,0.01,2.2,0.0,52.35,185.12,99.75,-1.7100000000000102,1.31
Feb 2017,124.37,2.15,1.4,2.78,0.67,0.06,0.18,0.89,0.87,0,0.13,0,121.35,0.02,2.46,0.0,123.82,182.95,100.9,-2.17000000000002,1.15000000000001
Mar 2017,244.58,4.22,2.64,4.65,2.01,0.08,0.19,0.89,1.71,0,0.25,0,238.65,0.03,2.97,0.01,241.66,180.4,102.61,-2.54999999999998,1.70999999999999
Apr 2017,492.31,8.5,16.65,18.27,7.72,2.61,1.36,0.89,3.44,0,1.58,0,480.37,0.19,4.88,0.89,486.32,178.67,105.25,-1.73000000000002,2.64
May 2017,602.11,10.4,38.42,26.29,23.09,4.64,2.28,0.89,4.21,0,3.64,0,587.5,0.44,7.16,1.21,596.32,179.36,108.92,0.6900000000000259,3.67
Jun 2017,218.9,3.78,19.91,11.4,21.57,11.4,6.68,0.89,1.53,0,1.88,0,213.59,0.23,13.49,1.52,228.82,192.05,114.17,12.69,5.25
Jul 2017,267.19,4.61,20.12,13.27,22.6,13.27,6.58,0.89,1.87,0,1.9,0,260.71,0.23,15.12,1.52,277.58,194.53,110.28,2.47999999999999,-3.89
Aug 2017,409.28,7.07,13.75,10.06,19.15,9.85,4.68,0.89,2.86,0,1.3,0,399.34,0.16,11.62,1.32,412.45,194.42,106.85,-0.110000000000014,-3.4300000000000095
Sep 2017,359.28,6.2,10.18,10.08,13.15,7.92,3.79,0.89,2.51,0,0.96,0,350.56,0.12,9.67,1.05,361.4,195.88,105.91,1.4600000000000102,-0.939999999999998
Oct 2017,121.61,2.1,10.27,7.66,11.28,7.66,3.89,0.89,0.85,0,0.97,0,118.66,0.12,9.22,0.66,128.67,194.34,105.43,-1.5399999999999898,-0.47999999999999
Nov 2017,76.61,1.32,0.84,1.53,0.6,0.06,0.18,0.89,0.54,0,0.08,0,74.76,0.01,2.38,0.0,77.14,191.73,103.59,-2.6100000000000096,-1.84
Dec 2017,55.82,0.96,0.74,1.26,0.42,0.06,0.18,0.89,0.39,0,0.07,0,54.46,0.01,1.55,0.0,56.02,189.19,104.91,-2.5399999999999903,1.31999999999999
Jan 2018,39.4,0.68,0.62,0.71,0.58,0.06,0.18,0.89,0.28,0,0.06,0,38.45,0.01,1.98,0.0,40.43,187.3,106.08,-1.88999999999999,1.17
Feb 2018,54.74,0.95,1.19,1.67,0.39,0.06,0.18,0.89,0.38,0,0.11,0,53.41,0.01,2.38,0.0,55.8,185.13,107.12,-2.17000000000002,1.04000000000001
Mar 2018,66.66,1.15,3.06,2.36,1.7,0.18,0.24,0.89,0.47,0,0.29,0,65.04,0.04,3.07,0.01,68.16,182.39,108.32,-2.7400000000000095,1.19999999999999
Apr 2018,200.33,3.46,17.84,12.76,15.53,8.88,4.23,0.89,1.4,0,1.69,0,195.47,0.21,10.58,1.04,207.29,180.18,109.72,-2.20999999999998,1.4000000000000101
May 2018,78.01,1.35,19.92,9.28,19.15,9.28,7.05,0.89,0.55,0,1.88,0,76.11,0.23,12.75,1.39,90.48,179.59,108.43,-0.5900000000000029,-1.28999999999999
Jun 2018,265.54,4.59,19.4,11.54,21.93,11.54,6.46,0.89,1.86,0,1.84,0,259.1,0.22,13.47,1.56,274.36,182.88,103.31,3.2899999999999903,-5.12
Jul 2018,389.25,6.72,16.99,13.18,20.32,11.6,5.48,0.89,2.72,0,1.61,0,379.81,0.2,13.38,1.49,394.86,185.36,99.87,2.48000000000002,-3.44
Aug 2018,456.86,7.89,12.7,10.37,18.12,9.25,4.4,0.89,3.2,0,1.2,0,445.78,0.15,11.06,1.34,458.33,185.29,98.13,-0.0700000000000216,-1.7400000000000102
Sep 2018,168.49,2.91,15.23,10.62,16.52,10.62,5.22,0.89,1.18,0,1.44,0,164.41,0.18,11.82,1.01,177.41,186.61,97.68,1.32000000000002,-0.449999999999989
Oct 2018,421.51,7.28,6.25,9.73,6.92,3.78,1.89,0.89,2.95,0,0.59,0,411.28,0.07,5.97,0.75,418.07,185.02,94.96,-1.59,-2.7200000000000095
Nov 2018,55.13,0.95,1.19,1.4,0.72,0.11,0.21,0.89,0.39,0,0.11,0,53.8,0.01,2.22,0.0,56.04,183.19,96.75,-1.83000000000001,1.79000000000001
Dec 2018,143.37,2.48,1.86,3.14,1.05,0.06,0.18,0.89,1.0,0,0.18,0,139.89,0.02,1.39,0.0,141.29,180.9,97.93,-2.2899999999999903,1.18000000000001
Jan 2019,22.89,0.4,0.51,0.47,0.44,0.06,0.18,0.89,0.16,0,0.05,0,22.33,0.01,2.27,0.0,24.6,179.8,99.81,-1.09999999999999,1.88
Feb 2019,235.69,4.07,5.3,7.18,1.69,0.06,0.18,0.89,1.65,0,0.5,0,229.97,0.06,2.05,0.0,232.08,177.21,100.73,-2.59,0.920000000000002
Mar 2019,3.66,0.06,0.22,0.21,0.26,0.21,0.36,0.89,0.03,0,0.02,0,3.57,0.0,3.19,0.03,6.79,176.08,103.59,-1.13,2.86
Apr 2019,242.34,4.18,14.7,12.02,11.54,6.24,3.02,0.89,1.7,0,1.39,0,236.46,0.17,7.65,0.82,245.09,172.42,104.13,-3.66000000000003,0.539999999999992
May 2019,236.15,4.08,22.95,10.97,24.59,10.97,5.24,0.89,1.65,0,2.17,0,230.42,0.26,12.6,1.28,244.56,172.2,104.27,-0.219999999999999,0.140000000000001
Jun 2019,155.28,2.68,21.85,11.86,22.21,11.86,7.47,0.89,1.09,0,2.07,0,151.51,0.25,14.11,1.58,167.46,177.57,102.46,5.37,-1.81
Jul 2019,138.34,2.39,23.95,14.36,23.8,14.36,7.95,0.89,0.97,0,2.27,0,134.99,0.28,16.41,1.59,153.26,180.39,97.45,2.8199999999999905,-5.009999999999991
Aug 2019,433.68,7.49,13.13,10.14,18.81,9.73,4.62,0.89,3.03,0,1.24,0,423.16,0.15,11.44,1.36,436.1,180.48,92.04,0.0900000000000034,-5.41
Sep 2019,61.35,1.06,19.31,12.22,18.32,12.22,6.7,0.89,0.43,0,1.83,0,59.86,0.22,13.78,1.13,75.0,181.85,91.23,1.37,-0.810000000000002
Oct 2019,289.75,5.0,8.33,8.99,9.12,5.66,2.75,0.89,2.03,0,0.79,0,282.72,0.1,7.39,0.72,290.93,179.98,86.54,-1.87,-4.69
