date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,2.12,0.04,0.05,0.11,0.05,0.07,0.21,0.89,0.01,0,0.01,0,2.07,0.0,2.68,0.0,4.74,194.18,99.41,0.0,0.0
Feb 2016,132.71,2.29,1.69,3.11,0.76,0.07,0.21,0.89,0.93,0,0.16,0,129.49,0.02,2.2,0.0,131.71,190.81,100.11,-3.37,0.700000000000003
Mar 2016,10.47,0.18,0.77,0.52,0.87,0.52,0.64,0.89,0.07,0,0.07,0,10.22,0.01,3.76,0.07,14.05,188.62,101.87,-2.19,1.7600000000000102
Apr 2016,201.64,3.48,9.45,7.78,11.93,7.78,5.27,0.89,1.41,0,0.89,0,196.74,0.11,10.42,1.04,208.31,184.96,102.2,-3.66,0.32999999999999796
May 2016,293.44,5.07,17.83,10.13,21.0,10.13,6.15,0.89,2.05,0,1.69,0,286.32,0.21,12.75,1.33,300.61,183.07,99.09,-1.8900000000000101,-3.11
Jun 2016,368.42,6.36,20.89,13.1,25.03,13.1,6.91,0.89,2.58,0,1.98,0,359.48,0.24,14.66,1.54,375.92,186.45,96.24,3.38,-2.8500000000000094
Jul 2016,607.46,10.49,16.06,15.86,19.62,10.63,5.06,0.89,4.25,0,1.52,0,592.72,0.18,12.66,1.5,607.06,189.75,93.23,3.3000000000000096,-3.0099999999999905
Aug 2016,578.09,9.98,13.37,12.66,17.86,8.58,4.12,0.89,4.05,0,1.27,0,564.06,0.15,10.37,1.26,575.85,190.25,93.33,0.5,0.0999999999999943
Sep 2016,478.56,8.26,11.37,12.94,12.71,7.23,3.5,0.89,3.35,0,1.08,0,466.95,0.13,9.01,1.03,477.12,192.38,94.15,2.13,0.8200000000000072
Oct 2016,17.45,0.3,18.54,12.05,16.87,12.05,6.7,0.89,0.12,0,1.75,0,17.03,0.21,13.45,0.76,31.45,191.46,94.94,-0.919999999999987,0.7899999999999922
Nov 2016,50.13,0.87,0.94,1.03,1.27,0.6,0.46,0.89,0.35,0,0.09,0,48.91,0.01,2.86,0.03,51.82,188.64,90.25,-2.8200000000000203,-4.69
Dec 2016,6.87,0.12,0.18,0.27,0.08,0.07,0.21,0.89,0.05,0,0.02,0,6.7,0.0,1.45,0.0,8.16,186.02,91.09,-2.61999999999998,0.840000000000003
Jan 2017,65.7,1.13,1.12,1.19,1.02,0.07,0.21,0.89,0.46,0,0.11,0,64.11,0.01,1.96,0.0,66.08,183.9,91.83,-2.12,0.7399999999999949
Feb 2017,26.4,0.46,0.49,0.79,0.18,0.07,0.21,0.89,0.18,0,0.05,0,25.76,0.01,1.95,0.0,27.72,182.21,93.07,-1.69,1.23999999999999
Mar 2017,21.86,0.38,1.34,0.87,1.57,0.87,0.92,0.89,0.15,0,0.13,0,21.33,0.02,4.12,0.11,25.58,179.69,93.98,-2.52000000000001,0.910000000000011
Apr 2017,24.77,0.43,16.63,10.24,15.3,10.24,7.25,0.89,0.17,0,1.57,0,24.17,0.19,12.77,1.04,38.17,176.29,94.12,-3.4000000000000097,0.140000000000001
May 2017,248.66,4.29,20.54,10.82,22.66,10.82,6.74,0.89,1.74,0,1.94,0,242.62,0.24,13.4,1.35,257.61,174.94,88.47,-1.3499999999999899,-5.650000000000009
Jun 2017,622.4,10.75,13.8,13.34,19.28,9.54,4.55,0.89,4.36,0,1.31,0,607.3,0.16,11.15,1.49,620.1,179.22,84.95,4.28,-3.52
Jul 2017,443.95,7.67,20.67,15.84,23.95,13.64,6.44,0.89,3.11,0,1.96,0,433.18,0.24,15.11,1.52,450.04,181.48,85.45,2.25999999999999,0.5
Aug 2017,321.11,5.55,18.58,11.68,22.15,11.68,6.59,0.89,2.25,0,1.76,0,313.32,0.21,13.44,1.3,328.28,182.22,83.45,0.7400000000000091,-2.0
Sep 2017,69.34,1.2,23.88,15.04,22.55,15.04,8.22,0.89,0.49,0,2.26,0,67.66,0.27,16.24,1.12,85.3,184.94,80.46,2.72,-2.9900000000000095
Oct 2017,425.82,7.35,9.52,12.39,7.77,4.3,2.15,0.89,2.98,0,0.9,0,415.49,0.11,6.31,0.73,422.64,183.53,74.76,-1.41,-5.69999999999999
Nov 2017,18.25,0.32,0.32,0.48,0.19,0.07,0.21,0.89,0.13,0,0.03,0,17.81,0.0,2.14,0.0,19.95,181.95,76.65,-1.58000000000001,1.89
Dec 2017,172.37,2.98,2.01,3.65,1.2,0.07,0.21,0.89,1.21,0,0.19,0,168.19,0.02,1.24,0.0,169.45,179.25,77.48,-2.6999999999999904,0.829999999999998
Jan 2018,258.55,4.46,3.29,4.27,3.21,0.07,0.21,0.89,1.81,0,0.31,0,252.27,0.04,2.17,0.0,254.48,178.46,79.56,-0.7899999999999922,2.08
Feb 2018,112.1,1.94,1.49,2.7,0.64,0.07,0.21,0.89,0.78,0,0.14,0,109.38,0.02,2.06,0.0,111.46,178.75,82.36,0.289999999999992,2.8
Mar 2018,360.02,6.22,5.33,7.54,3.51,0.07,0.21,0.89,2.52,0,0.5,0,351.28,0.06,2.38,0.0,353.72,176.59,83.96,-2.16,1.5999999999999899
Apr 2018,244.06,4.21,11.55,10.68,7.52,3.66,1.86,0.89,1.71,0,1.09,0,238.13,0.13,5.89,0.47,244.63,176.98,87.66,0.38999999999998597,3.7
May 2018,732.78,12.65,64.2,41.1,34.22,5.27,2.6,0.89,5.13,0,6.07,0,715.0,0.74,7.93,1.31,724.98,175.91,89.02,-1.06999999999999,1.36
Jun 2018,336.81,5.82,22.47,14.84,25.9,14.84,7.23,0.89,2.36,0,2.13,0,328.64,0.26,16.04,1.54,346.48,198.63,97.2,22.72,8.18000000000001
