date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,276.77,15.74,24.81,51.48,0.66,4.34,0.48,0.04,16.47,0,-9.73,0,244.56,2.48,1.07,0.0,248.11,272.4,531.8,0.0,0.0
Feb 2016,183.6,10.44,28.88,51.19,0.82,4.25,0.48,0.04,10.93,0,-11.32,0,162.24,2.89,1.28,0.0,166.41,268.08,538.1,-4.3199999999999905,6.30000000000007
Mar 2016,606.16,34.47,61.84,111.24,4.53,1.4,0.48,0.04,36.07,0,-24.25,0,535.63,6.18,1.59,0.0,543.4,263.82,537.26,-4.259999999999991,-0.840000000000032
Apr 2016,99.15,5.64,82.9,93.56,19.38,0.19,0.48,0.04,5.9,0,-32.5,0,87.61,8.28,2.81,0.0,98.7,265.8,548.64,1.98000000000002,11.38
May 2016,139.92,7.96,242.23,234.2,88.95,2.2,0.52,0.04,8.33,0,-94.97,0,123.64,24.21,4.82,1.45,154.11,282.63,521.6,16.83,-27.04
Jun 2016,51.75,2.94,94.22,89.44,59.98,24.74,0.97,0.04,3.08,0,-36.94,0,45.73,9.42,20.87,15.86,91.88,365.04,433.03,82.41,-88.57000000000009
Jul 2016,750.62,42.68,31.37,91.51,28.59,36.88,0.8,0.04,44.66,0,-12.3,0,663.27,3.14,15.22,15.99,697.61,380.34,382.38,15.3,-50.65
Aug 2016,1066.55,60.64,29.89,106.4,16.07,23.2,0.67,0.04,63.46,0,-11.72,0,942.44,2.99,9.91,13.14,968.48,357.59,398.0,-22.75,15.62
Sep 2016,662.09,37.65,18.65,69.42,15.88,23.55,0.66,0.04,39.4,0,-7.31,0,585.04,1.86,8.98,9.5,605.39,341.18,435.98,-16.41,37.98
Oct 2016,301.55,17.15,12.45,57.95,0.08,24.79,0.48,0.04,17.94,0,-4.88,0,266.46,1.24,2.25,0.0,269.95,325.15,457.93,-16.03,21.95
Nov 2016,974.91,55.43,42.43,122.76,0.08,12.57,0.48,0.04,58.01,0,-16.64,0,861.47,4.24,1.15,0.0,866.86,298.63,470.55,-26.52,12.62
Dec 2016,159.73,9.08,26.75,54.23,0.24,10.82,0.48,0.04,9.5,0,-10.49,0,141.14,2.67,0.84,0.0,144.65,285.43,511.49,-13.2,40.94
Jan 2017,893.55,50.81,38.72,103.63,0.99,3.78,0.48,0.04,53.17,0,-15.18,0,789.57,3.87,0.85,0.0,794.29,274.46,510.06,-10.97,-1.4300000000000102
Feb 2017,470.01,26.72,42.88,84.33,1.38,3.57,0.48,0.04,27.97,0,-16.81,0,415.31,4.29,1.03,0.0,420.63,271.26,547.61,-3.1999999999999904,37.55
Mar 2017,770.29,43.8,78.01,138.93,5.88,0.21,0.48,0.04,45.84,0,-30.59,0,680.66,7.8,1.7,0.0,690.15,268.48,558.32,-2.77999999999997,10.71
Apr 2017,389.75,22.16,146.95,169.04,43.19,0.19,0.48,0.04,23.19,0,-57.61,0,344.4,14.68,2.64,0.0,361.72,272.89,573.12,4.40999999999997,14.8
May 2017,411.77,23.41,318.09,274.95,161.23,1.76,0.51,0.04,24.5,0,-124.71,0,363.86,31.79,4.78,1.7,402.12,313.69,538.26,40.8,-34.86
Jun 2017,117.82,6.7,234.64,252.61,110.83,53.56,0.92,0.04,7.01,0,-91.99,0,104.11,23.45,20.01,14.74,162.31,468.86,435.88,155.17,-102.38
Jul 2017,727.81,41.38,111.32,170.88,40.28,25.93,0.8,0.04,43.31,0,-43.65,0,643.12,11.12,15.83,15.44,685.52,507.0,335.27,38.14,-100.61
Aug 2017,1043.97,59.36,73.16,167.0,18.54,31.65,0.68,0.04,62.12,0,-28.68,0,922.49,7.31,11.47,13.53,954.81,506.27,318.74,-0.7300000000000179,-16.53
Sep 2017,491.94,27.97,47.81,99.96,18.05,28.26,0.7,0.04,29.27,0,-18.74,0,434.7,4.78,10.67,9.03,459.18,482.33,338.0,-23.94,19.26
Oct 2017,758.98,43.16,54.87,127.47,2.9,16.31,0.48,0.04,45.16,0,-21.51,0,670.66,5.48,2.26,0.0,678.4,462.11,338.84,-20.22,0.839999999999975
Nov 2017,536.93,30.53,59.7,118.17,0.08,10.58,0.48,0.04,31.95,0,-23.41,0,474.45,5.97,1.24,0.0,481.65,446.89,362.04,-15.22,23.2
Dec 2017,134.51,7.65,38.68,67.25,1.27,10.9,0.48,0.04,8.0,0,-15.16,0,118.85,3.86,0.87,0.0,123.59,435.59,370.14,-11.3,8.09999999999997
Jan 2018,383.51,21.81,40.76,74.25,3.34,3.12,0.48,0.04,22.82,0,-15.98,0,338.88,4.07,1.08,0.0,344.04,425.53,362.53,-10.06,-7.610000000000009
Feb 2018,261.67,14.88,46.57,73.33,4.89,3.16,0.48,0.04,15.57,0,-18.26,0,231.22,4.65,1.05,0.0,236.93,425.11,368.93,-0.41999999999995896,6.40000000000003
Mar 2018,791.02,44.98,76.48,141.12,2.87,0.19,0.49,0.04,47.07,0,-29.98,0,698.97,7.64,1.9,0.0,708.51,426.23,365.79,1.12,-3.1399999999999904
Apr 2018,293.83,16.71,115.87,138.02,28.6,0.19,0.49,0.04,17.48,0,-45.43,0,259.64,11.58,3.4,0.0,274.62,427.46,382.43,1.22999999999996,16.64
May 2018,234.34,13.32,284.15,310.4,73.97,3.89,0.56,0.04,13.94,0,-111.4,0,207.07,28.4,7.28,2.95,245.7,452.91,354.04,25.45,-28.39
Jun 2018,177.06,10.07,183.79,194.56,74.65,21.66,0.91,0.04,10.54,0,-72.06,0,156.46,18.37,19.76,14.73,209.31,516.23,253.12,63.32,-100.92
Jul 2018,773.13,43.96,65.5,112.79,31.73,15.92,0.8,0.04,46.0,0,-25.68,0,683.16,6.55,16.12,15.89,721.72,550.34,176.0,34.11,-77.12
Aug 2018,329.84,18.76,35.43,60.07,40.56,36.1,0.87,0.04,19.63,0,-13.89,0,291.46,3.54,17.8,13.81,326.61,550.77,179.67,0.42999999999995003,3.6699999999999906
Sep 2018,474.64,26.99,26.69,63.02,29.24,30.79,0.71,0.04,28.24,0,-10.46,0,419.41,2.67,11.41,9.45,442.94,538.26,170.77,-12.51,-8.89999999999998
Oct 2018,480.47,27.32,19.21,71.81,0.08,19.74,0.49,0.04,28.59,0,-7.53,0,424.56,1.92,2.98,0.0,429.46,525.98,178.42,-12.28,7.649999999999981
